DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
France,Tarbes - Lourdes,JTI,Regular,Lights,STD,KS,1,8448000,0
South Africa,Johannesburg,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,1,2017600,0
Tanzania,Kilimanjaro,JTI,Regular,Full Flavor,STD,KS,2,36208400,3.9
Uruguay,Montevideo,MAILHOS GROUP,Regular,Full Flavor,STD,KS,3,20973600,100
Serbia,Belgrade,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,4,242942200,2.2
China,Nanchang Changbei,JTI,Regular,Lights,STD,KS,4,556501,0
Egypt,Cairo,BAT,Menthol,Full Flavor,STD,KS,1,70876800,1.5
Tunisia,Jerba,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,1927200,0
Brazil,Natal,JTI,NTD Caps,Full Flavor,STD,KS,2,882200,0
Gibraltar,Gibraltar,KING'S TOBACCO,,,,,1,22460,0.1
Taiwan,Everrich Downtown Kinmen,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,2,60220804,0
Taiwan,Everrich Downtown Kinmen,BAT,Regular,Full Flavor,SSL,100,1,17287584,0
Mexico,Puerto Vallarta,JTI,Menthol,Full Flavor,SSL,100,1,31908800,0.2
France,Paris Orly,BAT,Regular,Full Flavor,STD,KS,3,2266292800,4.8
Greece,Rhodes,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,112690600,0.4
Russia,Astrakhan,JTI,Regular,Ultralights,STD,KS,1,380800,0
China,Yancheng Nanyang,JTI,Regular,Lights,STD,KS,2,6310,0
Aruba,Oranjestad,BAT,NTD Caps,Full Flavor,STD,KS,2,7352800,0.5
China,Guangzhou Baiyun,BAT,Regular,1mg,STD,KS,1,75475816,0
Greece,Corfu,KARELIA TOBACCO,Regular,Lights,STD,KS,2,22165000,0.1
Spain,Palma De Mallorca,KING'S TOBACCO,Regular,Full Flavor,STD,KS,1,7098000,0
Portugal,Madeira,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,56129200,0.4
Poland,Krakow Balice,JTI,Regular,Full Flavor,STD,KS,5,1453191000,6.9
Aruba,Oranjestad,JTI,Regular,Full Flavor,SSL,100,1,31340400,2.3
Poland,Szczecin,BAT,,,,,1,29158,0
South Africa,Johannesburg,BAT,NTD Caps,Full Flavor,STD,KS,1,20433600,0.3
Mexico,Mexico City,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,17431400,0.1
Turkey,Izmir Airport,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,84024000,0
South Korea,Seoul,CHINA NATIONAL,Regular,Full Flavor,STD,KS,5,402890900,0.2
Great Britain,London City,JTI,Regular,Full Flavor,STD,KS,6,154384000,0.1
Trinidad and Tobago,Piarco,BAT,Regular,Full Flavor,STD,KS,3,19309600,58.6
Saudi Arabia,DAMMAM,JTI,Regular,Full Flavor,STD,KS,4,1078850800,2.1
China,Taiyuan Wusu,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,1445700,0
Switzerland,Basel,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,153533200,0.2
Belgium,Charleroi,BAT,NTD Caps,Full Flavor,STD,KS,1,7276000,0.2
Cambodia,Phnom Penh,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,24139200,1.6
South Africa,Johannesburg,JTI,Regular,Full Flavor,STD,KS,4,2735294600,46.7
South Korea,Busan - Kimhae,KT & G,NTD Caps,Full Flavor,STD,KS,3,103490800,0
Turkey,Kayseri Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,899153400,0.4
Egypt,Cairo,JTI,Regular,Lights,STD,KS,1,187790400,4
Greece,Alexandoupolis,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,2,21795000,0.1
Indonesia,Soekarno Hatta,P.T. GUDANG GARAM,,,,,1,109,0
China,Wuhan Tianhe,KT & G,Menthol,Full Flavor,SSL,100,1,24141486,0
India,Jaipur,BAT,,,,,1,29936,0
Greece,Aktio,KARELIA TOBACCO,Menthol,Ultralights,SSL,100,1,4000000,0
Turkey,Diyarbakir Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,100,1,280000,0
South Korea,Yangyang,KT & G,Menthol,Lights,SSL,100,1,72800,0
Greece,Samos,JTI,Regular,Lights,STD,KS,2,3382800,0
Ethiopia,Addis Ababa,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,3702600,0.1
Great Britain,Exeter,BAT,Regular,Full Flavor,STD,KS,2,34997400,0
