DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
China,Wenzhou Longwan,JTI,Regular,Full Flavor,STD,KS,11,116828541,0
Turkey,Diyarbakir Airport,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,2,1096400,0
Morocco,Ouarzazate,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,1263264,0
China,Dalian Zhoushuizi,JTI,Menthol,Lights,STD,KS,1,14108940,0
Gambia,Banjul,BAT,Regular,Lights,SSL,100,1,48674400,4.8
China,Wenzhou Longwan,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,41076,0
China,Ningbo Lishe,BAT,Regular,Full Flavor,STD,100,1,1782200,0
Namibia,Katima Mulilo,JTI,,,,,1,62761,3.6
Morocco,Fes,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,1700000,0
Germany,Frankfurt,OTHER LOCAL TMO IND.,,,,,1,18769585,0.3
Turkey,Istanbul Asia Airport,BAT,Regular,Full Flavor,SSL,100,1,1838160000,0.8
Turkey,Izmir Airport,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,282717400,0.1
South Korea,Busan - Kimhae,BAT,NTD Caps,Full Flavor,STD,KS,3,34667800,0
Japan,Sendai,BAT,,,,,1,220675,0
Turkey,Antalya Airport,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,1030795200,0.4
Brazil,Sao Paulo - Guarulhos,BAT,Regular,Lights,SSL,100,1,553074800,5.3
Hong Kong,Hong Kong,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,2,805737328,1.8
Turkey,Gaziantep Airport,BAT,NTD Caps,Lights,SSL,100,1,3079400,0
Mexico,Los Cabos,BAT,Regular,Lights,SSL,100,1,87327600,0.4
Mexico,Mexico City,BAT,Menthol,Full Flavor,STD,KS,2,74654000,0.4
France,Beauvais,JTI,Regular,Full Flavor,STD,KS,3,60610000,0.1
Nigeria,Lagos,BAT,Menthol,Full Flavor,STD,KS,1,3753600,0.8
Turkey,Izmir Airport,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,1,4780800,0
Azerbaijan,Baku,IMPERIAL BRANDS,,,,,1,758931,26.6
Great Britain,London Luton,BAT,Regular,Ultralights,STD,KS,1,386146800,0.3
Ecuador,Quito,JTI,NTD Caps,Full Flavor,STD,KS,1,33631200,2.2
Poland,Rzeszow,JTI,,,,,1,3113444,0
Namibia,Katima Mulilo,BAT,,,,,1,199162,11.4
Russia,Min Vody,JTI,Menthol,Lights,STD,100,1,3253600,0.1
Bulgaria,Bourgas,KING'S TOBACCO,Regular,Full Flavor,SSL,100,2,8134000,0.1
China,Wenzhou Longwan,KT & G,Regular,1mg,SSL,100,1,15652374,0
Kazakhstan,Astana,JTI,Menthol,Full Flavor,STD,100,1,3712800,0.6
Great Britain,Glasgow Prestwick,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,6350000,0
Morocco,Fes,JTI,Regular,Lights,STD,KS,3,321666078,0.3
Spain,Valencia,KING'S TOBACCO,Regular,Lights,STD,KS,2,4683200,0
Serbia,Belgrade,IMPERIAL BRANDS,Regular,Lights,STD,100,1,107467200,1
Poland,Gdansk,JTI,Regular,Full Flavor,STD,KS,4,2306867800,10.9
Ecuador,Quito,JTI,Regular,Full Flavor,SSL,100,1,8708400,0.6
Canary Islands,Fuerteventura,IMPERIAL BRANDS,Regular,Lights,STD,100,1,303470400,0.2
Poland,Olsztyn,JTI,,,,,1,59049,0
Croatia,Zagreb,JTI,Regular,Lights,STD,100,1,38880000,73.4
Great Britain,Bristol,JTI,Menthol,Full Flavor,STD,KS,1,12180000,0
Tanzania,Kilimanjaro,JTI,Regular,Lights,STD,KS,2,38519400,4.1
South Korea,Muan,BAT,Menthol,1mg,STD,KS,1,335800,0
China,Shenyang Taoxian,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,13664600,0
South Korea,Daegu (downtown),JTI,Regular,Lights,STD,KS,1,90520000,0
China,Yantai Penglai,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,65526,0
Spain,Asturias,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,7388200,0
Belgium,Charleroi,BAT,Regular,Lights,SSL,100,1,41755000,1.2
China,Zhengzhou Xinzheng,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,40992,0
Tunisia,Monastir,JTI,Menthol,Lights,STD,KS,1,31560000,0.1
Spain,Jerez De La Frontera,BAT,Regular,Lights,SSL,100,1,4056200,0
Turkey,Izmir Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,68920600,0
Turkey,Bodrum Airport,JTI,NTD Caps,Full Flavor,STD,KS,4,148225000,0.1
China,Mudanjiang Hailang,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,67710,0
Egypt,Aswan,JTI,,,,,1,19559,0
China,Wenzhou Longwan,CHINA NATIONAL,Regular,Lights,STD,KS,1,10795373,0
Panama,Panama Tocumen,BAT,NTD Caps,Full Flavor,STD,KS,2,5992000,0.5
Great Britain,Exeter,JTI,Regular,Ultralights,STD,KS,1,9077400,0
Spain,Santiago De Compostela,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,355600,0
South Korea,Jeju,KT & G,NTD Caps,Ultralights,STD,KS,1,81898600,0
France,Chambery,JTI,Regular,Ultralights,STD,KS,1,3985200,0
Cape Verde,Praia,KING'S TOBACCO,Regular,Ultralights,SSL,100,1,184800,0
Morocco,Essaouira,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,36498,0
Laos,Vientiane,BAT,Regular,Full Flavor,STD,KS,4,384056200,46.7
Nigeria,Lagos,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,85664800,17.1
Switzerland,Zurich,JTI,Menthol,Full Flavor,SSL,100,1,192600,0
Tunisia,Tunis,JTI,Menthol,Full Flavor,SSL,100,1,6216000,0
Dominican Republic,Punta Cana - Higuey,JTI,Menthol,Full Flavor,SSL,100,1,146024200,1.1
Great Britain,Bristol,JTI,NTD Caps,Full Flavor,STD,KS,1,154224000,0.1
Japan,Chubu,BAT,Regular,Full Flavor,SSL,100,3,49264400,0.1
Greece,Alexandoupolis,JTI,Regular,Lights,STD,KS,2,136879200,0.5
Canary Islands,Fuerteventura,JTI,Menthol,Lights,STD,KS,1,255530800,0.2
Mexico,Cancun,BAT,Menthol,Full Flavor,SSL,100,1,199640400,1
Spain,A Coruna,JTI,Regular,Lights,STD,KS,1,23865600,0
Macau,Macau,BAT,Menthol,Full Flavor,STD,KS,1,2258945,0
Tunisia,Tunis,BAT,Regular,Lights,SSL,100,1,1513678400,3.9
South Korea,Jeju (downtown),KT & G,Regular,Lights,SSL,100,2,120781000,0.1
China,Nanjing Lukou,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,15748434,0
Tunisia,Monastir,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,2,3025000,0
Kuwait,Kuwait,BAT,Regular,Full Flavor,STD,100,3,658295000,3.5
Maldives,Male,IMPERIAL TOB. AUST.,,,,,1,1060215,7.7
China,Mudanjiang Hailang,JTI,Regular,Full Flavor,STD,100,1,32280,0
China,Sanya Fenghuang,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,138610,0
China,Harbin Taiping,BAT,Regular,Lights,STD,KS,1,222000,0
Macau,Macau,BAT,,,,,1,414767,0
Uzbekistan,Tashkent,Undefined,,,,,1,26828,0.1
China,Weihai Dashuibo,BAT,Regular,Full Flavor,STD,100,1,1418920,0
United Arab Emirates,Dubai,KING'S TOBACCO,Regular,Full Flavor,STD,KS,1,160087200,0.1
United Arab Emirates,Dubai,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,359400000,0.2
Mexico,Cancun,BAT,Regular,Lights,SSL,100,1,1115932200,5.5
Saudi Arabia,RIYADH,BAT,Regular,Lights,STD,KS,3,1768028600,3.4
China,Weihai Dashuibo,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,1311300,0
South Africa,Cape Town,JTI,Regular,Full Flavor,STD,KS,4,1061546000,18.1
China,Hangzhou Xiaoshan,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,188107800,0
Spain,Madrid Barajas,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,56068800,0.1
Saudi Arabia,DAMMAM,BAT,Regular,Ultralights,STD,KS,1,15512400,0
Saudi Arabia,RIYADH,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,206236800,0.4
France,Lille,JTI,Regular,Lights,STD,KS,2,31820400,0.1
Japan,Okayama,BAT,Regular,Full Flavor,SSL,100,1,204800,0
South Korea,Daegu (downtown),KT & G,Menthol,Lights,SSL,100,1,910000,0
Tunisia,Tunis,KARELIA TOBACCO,,,,,1,3369,0
China,Taiyuan Wusu,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,15258584,0
China,Kunming Wujiaba,CHINA NATIONAL,Regular,Lights,STD,KS,1,38207742,0
Poland,Radom,JTI,,,,,1,7608,0
Brazil,Viracopos,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,193200,0
United Arab Emirates,Dubai,IMPERIAL BRANDS,Regular,1mg,SLI,100,1,359775000,0.2
Chile,Santiago Arturo Merino Benitez,JTI,Regular,Full Flavor,SSL,100,1,98793600,0.6
Great Britain,Liverpool,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,6215607200,4.5
Turkey,Antalya Airport,JTI,Regular,Ultralights,STD,KS,1,35616800,0
Italy,Bergamo,JTI,Regular,Lights,SLI,100,1,1573000,0
China,Hefei Xinqiao,JTI,Regular,1mg,STD,KS,1,8952596,0
Spain,Ibiza,JTI,Regular,Lights,STD,KS,2,461173200,0.5
Switzerland,Zurich,JTI,Regular,Lights,STD,100,1,79760000,0.1
Japan,Osaka - Kansai,KT & G,,,,,1,256954,0
Italy,Palermo,JTI,Regular,Ultralights,STD,KS,1,50400,0
Niger,Niamey,IMPERIAL BRANDS,,,,,1,23430,19.4
Russia,Moscow - Sheremetyevo,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,114535800,3.5
Myanmar,Yangon,JTI,,,,,1,2003,0
Mexico,Monterrey,BAT,Menthol,Full Flavor,SSL,100,1,2847000,0
Morocco,Rabat,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,610006,0
Greece,Chania,JTI,Regular,Lights,STD,KS,2,225706800,0.8
France,Grenoble,JTI,Regular,Ultralights,STD,KS,1,4575600,0
Indonesia,Ngurah Rai,BAT,Regular,Full Flavor,SSL,100,1,314706000,3.1
Taiwan,Taichung,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,208381530,0.1
South Korea,Incheon,BAT,Regular,Lights,STD,KS,1,280440000,0.1
Indonesia,Soekarno Hatta,Undefined,,,,,1,4660,0
United Arab Emirates,Abu Dhabi,JTI,Regular,Full Flavor,STD,100,1,80215800,0.1
Turkey,Bodrum Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,134300000,0.1
Greece,Rhodes,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,12779200,0
China,Sanya Fenghuang,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,770800,0
Portugal,Faro Airport,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,2934000,0
Italy,Pisa,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,17953600,0.1
China,Chengdu Tianfu,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,57262976,0
China,Ningbo Lishe,JTI,Menthol,Full Flavor,STD,KS,1,356380,0
Poland,Szczecin,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,37638000,0.2
China,Chengdu Tianfu,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,24090303,0
Great Britain,London Stansted,BAT,Regular,Ultralights,STD,KS,1,922774000,0.7
Switzerland,Basel,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,1075400,0
Canary Islands,Fuerteventura,JTI,Regular,Lights,STD,KS,2,2665440600,1.9
United Arab Emirates,Abu Dhabi,JTI,Menthol,Lights,STD,KS,1,16937200,0
China,Shenyang Taoxian,JTI,Regular,1mg,STD,KS,1,37111232,0
China,Shanghai Hongqiao,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,45925074,0
Russia,Moscow - Vnukovo,BAT,Menthol,Full Flavor,SSL,100,1,332800,0
Brazil,Salvador,JTI,Regular,Full Flavor,SSL,100,1,7478400,0.1
Hong Kong,Hong Kong,BAT,Menthol,Lights,STD,KS,1,37993749,0.1
Turkey,Gaziantep Airport,BAT,Menthol,Lights,SSL,100,1,18288000,0
South Korea,Jeju,Undefined,Regular,Full Flavor,STD,KS,1,25369200,0
Great Britain,Glasgow,IMPERIAL BRANDS,Regular,Lights,STD,100,1,34516800,0
South Korea,Cheongju,KT & G,Regular,Full Flavor,STD,KS,2,33303800,0
Germany,Berlin Brandenburg,OTHER LOCAL TMO IND.,,,,,1,7205140,0.1
Great Britain,London Stansted,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,80506800,0.1
Great Britain,Exeter,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,2871000,0
Turkey,Istanbul Asia Airport,KARELIA TOBACCO,Regular,Lights,STD,KS,2,69911600,0
China,Shenyang Taoxian,JTI,Menthol,Lights,STD,KS,1,16351971,0
China,Shanghai Pudong,BAT,Menthol,Full Flavor,STD,KS,1,215651856,0.1
Poland,Warsaw-Modlin,JTI,,,,,1,2266967,0
Japan,Komatsu,BAT,,,,,1,70204,0
Mongolia,Ulaanbaatar,KT & G,NTD Caps,Full Flavor,SSL,100,1,12622200,3.6
Morocco,Al Hoceima,JTI,Regular,Ultralights,STD,KS,1,8192,0
China,Xuzhou Guanyin,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,374100,0
India,Lucknow,ITC Ltd.,,,,,1,108216,0
Saudi Arabia,RIYADH,BAT,NTD Caps,Full Flavor,STD,KS,1,20203200,0
Iraq,Basrah,BAT,,,,,1,2731946,15.5
China,Yinchuan Hedong,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,21960,0
Myanmar,Yangon,CHINA NATIONAL,,,,,1,58113,0.3
Canary Islands,La Palma,KING'S TOBACCO,Menthol,Full Flavor,SSL,KS,1,306000,0
Greece,Santorini,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,6272000,0
France,Strasbourg,JTI,Menthol,Full Flavor,STD,100,1,189000,0
China,Mudanjiang Hailang,KT & G,Menthol,Full Flavor,SSL,100,1,191040,0
Tunisia,Enfidha,BAT,Regular,Full Flavor,SSL,KS,1,37600,0
United Arab Emirates,Dubai,KING'S TOBACCO,Regular,Lights,STD,KS,1,134149000,0.1
Lithuania,Vilnius,OTHER LOCAL TMO IND.,,,,,1,7043681,60.4
Turkey,Antalya Airport,P.T. DJARUM,Regular,Full Flavor,SLI,KS,1,113750000,0
Turkey,Antalya Airport,JTI,Regular,1mg,STD,KS,1,10574000,0
Kenya,Jomo Kenyatta,JTI,,,,,1,244193,0
Morocco,Oujda,BAT,Regular,Lights,SSL,100,1,93531200,0.1
Taiwan,Taipei - Taoyuan,JTI,Menthol Caps,Full Flavor,STD,KS,1,22069390,0
Greece,Mykonos,JTI,Regular,Lights,STD,KS,2,222738600,0.8
Serbia,Nis,KARELIA TOBACCO,Menthol,Ultralights,SSL,100,1,752000,0
Mexico,Guadalajara,BAT,Menthol,Full Flavor,STD,KS,1,17134800,0.1
China,Yinchuan Hedong,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,1631536,0
Dominican Republic,Samana El Catey,JTI,Menthol,Full Flavor,SSL,100,1,5853400,0
Turkey,Kutahya Airport,KARELIA TOBACCO,Regular,Lights,STD,KS,1,23600,0
China,Changsha Huanghua,BAT,Regular,1mg,STD,KS,1,2981780,0
Spain,Ibiza,JTI,NTD Caps,Full Flavor,STD,KS,1,2227000,0
Greece,Karpathos,JTI,Regular,Full Flavor,STD,KS,1,136200,0
Japan,Chubu,KT & G,Regular,Full Flavor,SSL,100,1,504000,0
Italy,Rome Fiumicino,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,96569400,0.4
China,Fuzhou Changle,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,2015880,0
Dominican Republic,La Romana,BAT,Regular,Full Flavor,STD,KS,1,61200,0
Cambodia,Phnom Penh,CHINA NATIONAL,Menthol,Full Flavor,STD,KS,1,120000,0
Greece,Thessaloniki,JTI,Regular,Lights,STD,100,1,20480000,0.1
China,Wenzhou Longwan,KT & G,NTD Caps,Lights,SSL,100,1,4393268,0
Aruba,Oranjestad,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,232400,0
Greece,Aktio,KARELIA TOBACCO,Regular,Lights,SSL,100,1,1782000,0
South Korea,Seoul,KT & G,Menthol,Full Flavor,STD,KS,1,9970000,0
Spain,Murcia,JTI,Menthol,Lights,STD,KS,1,89525200,0.1
United Arab Emirates,Dubai,KT & G,Menthol,Ultralights,STD,KS,1,170786000,0.1
Spain,Sevilla,BAT,Regular,Ultralights,STD,KS,1,35501600,0
Russia,Zhukovsky,OTHER LOCAL TMO IND.,,,,,1,52426,0
China,Nanchang Changbei,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,280768,0
Brazil,Salvador,BAT,Menthol,Full Flavor,SSL,100,1,2496600,0
China,Taiyuan Wusu,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,1856500,0
Chile,Santiago Arturo Merino Benitez,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,13593000,0.1
China,Changchun Longjia,KT & G,Regular,1mg,SSL,100,1,5393400,0
Turkey,Antalya Airport,BAT,NTD Caps,Full Flavor,STD,KS,1,36067200,0
South Korea,Busan - Kimhae (downtown),KT & G,Menthol,Full Flavor,STD,KS,1,5860000,0
China,Wenzhou Longwan,BAT,Regular,1mg,STD,KS,1,1082896,0
Turkey,Bodrum Airport,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,2292200,0
Bulgaria,Bourgas,BAT,Regular,Lights,STD,KS,1,1408800,0
Canary Islands,Gran Canaria,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,6630800,0
China,Beijing,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,312307850,0.1
China,Xian Xianyang,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,48562308,0
China,Shanghai Hongqiao,JTI,Menthol,Full Flavor,STD,KS,1,17013746,0
Germany,Paderborn,BAT,Regular,Lights,SSL,100,1,11452800,0.2
United Arab Emirates,Abu Dhabi,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,2520000,0
China,Xian Xianyang,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,905791,0
Spain,Malaga,BAT,Regular,Full Flavor,SSL,100,1,29257200,0
China,Yanji Zhaoyangchuan,KT & G,Regular,1mg,SSL,100,1,6037780,0
Taiwan,Taichung,JTI,NTD Caps,Full Flavor,STD,KS,1,33721600,0
El Salvador,San Salvador Comalapa,BAT,Regular,Lights,SSL,100,1,41755000,12.6
Greece,Athens,JTI,Regular,Lights,STD,100,1,85200000,0.3
Turkey,Izmir Airport,POESCHL TABAK GMBH,Regular,Full Flavor,STD,KS,1,3276000,0
Turkey,Istanbul Asia Airport,BAT,Regular,Full Flavor,STD,KS,20,10102150800,4.2
Dominican Republic,Santo Domingo Las Americas,JTI,NTD Caps,Full Flavor,STD,KS,3,51409600,0.4
Spain,Barcelona,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,12,1591115000,1.8
Morocco,Rabat,BAT,Menthol,Full Flavor,SSL,100,3,140778797,0.1
Turkey,Istanbul Airport,CHINA NATIONAL,,,,,1,2007573,0
Switzerland,Zurich,JTI,Regular,Lights,STD,KS,2,16630607760,20.9
Cambodia,Phnom Penh,CHINA NATIONAL,Regular,Full Flavor,SSL,KS,1,1356800,0.1
China,Wenzhou Longwan,JTI,Regular,1mg,STD,KS,1,8501104,0
China,Dalian Zhoushuizi,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,37830656,0
Jamaica,Montego Bay,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,10,508906800,13.3
China,Chengdu Tianfu,JTI,Regular,Full Flavor,STD,KS,11,1032809422,0.3
Great Britain,London Southend Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,19092600,0
United Arab Emirates,Dubai,JTI,Regular,Full Flavor,STD,KS,8,19426381600,12.4
Cambodia,Phnom Penh,JTI,Regular,Full Flavor,STD,KS,10,503166000,33.2
Great Britain,Jersey,BAT,Regular,Lights,STD,KS,1,580032000,0.4
China,Wenzhou Longwan,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,473379602,0.1
Kyrgyzstan,Manas,JTI,Regular,Lights,STD,KS,1,74337000,8.8
United Arab Emirates,Dubai,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,9093000,0
Great Britain,Birmingham,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,2767152000,2
Barbados,Bridgetown,BAT,,,,,1,719313,54.1
Sweden,Malmo,BAT,Regular,Full Flavor,STD,KS,5,45639800,1.9
China,Changsha Huanghua,JTI,Regular,Lights,STD,KS,4,43070191,0
Kazakhstan,Astana,JTI,Regular,Full Flavor,STD,KS,3,79817400,12
Armenia,Yerevan,BAT,Regular,Full Flavor,STD,KS,5,300712200,13.2
China,Sanya Fenghuang,BAT,Regular,Full Flavor,STD,KS,15,14844010,0
Mexico,Puerto Vallarta,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,39452800,0.2
Japan,Chubu,JTI,Menthol Caps,Full Flavor,STD,KS,7,106914400,0.3
China,Wuhan Tianhe,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,1475129948,0.4
Spain,Malaga,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,12,5259902400,6
China,Xuzhou Guanyin,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,15752765,0
Kyrgyzstan,Manas,IMPERIAL BRANDS,Regular,1mg,STD,KS,3,21389200,2.5
China,Mudanjiang Hailang,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,709450,0
Cambodia,Sihanoukville,CHINA NATIONAL,NTD Caps,Full Flavor,SSL,KS,1,2400,0
China,Zhengzhou Xinzheng,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,7895765,0
Mexico,Los Cabos,BAT,Regular,Full Flavor,STD,KS,9,179383800,0.9
Mexico,Mexico City,BAT,NTD Caps,Full Flavor,STD,KS,4,13472600,0.1
Great Britain,Leeds Bradford,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,573195600,0.4
South Korea,Seoul,BAT,Regular,Full Flavor,STD,KS,8,291700600,0.1
Gabon,Gabon,BAT,Regular,Lights,STD,KS,1,7526000,0.7
China,Changchun Longjia,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,10067840,0
Turkey,Antalya Gazipasa Airport,BAT,NTD Caps,Full Flavor,STD,KS,3,8017000,0
Greece,Corfu,BAT,Regular,Full Flavor,STD,KS,3,12574400,0
Bulgaria,Bourgas,KARELIA TOBACCO,Regular,Lights,STD,KS,2,70436400,0.8
France,Nantes,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,162708200,0.3
South Korea,Muan,KT & G,Regular,1mg,STD,KS,5,9508400,0
Indonesia,Ngurah Rai,JTI,Menthol Caps,Full Flavor,STD,KS,3,16865600,0.2
Vietnam,Phu Quok,BAT,Regular,Full Flavor,STD,KS,7,24266989,0.3
Great Britain,Guernsey,IMPERIAL BRANDS,,,,,1,99112,0
China,Mudanjiang Hailang,BAT,Regular,Full Flavor,STD,KS,14,1657820,0
China,Qingdao Liuting,JTI,Regular,Lights,STD,KS,4,71958476,0
Japan,Naha,JTI,,,,,1,10470977,0
Ecuador,Quito,JTI,Regular,Full Flavor,STD,KS,3,492345600,32.3
Switzerland,Geneva,BAT,Regular,1mg,STD,KS,1,29031440,0
Turkey,Antalya Airport,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,1356475400,0.6
Poland,Lodz,BAT,,,,,1,135668,0
Albania,Tirana,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,619140000,2.5
Greece,Zakynthos,JTI,Regular,Full Flavor,STD,KS,6,437295600,1.5
Bulgaria,Sofia,JTI,Regular,Full Flavor,STD,KS,4,1676921578,20.1
Morocco,Marrakech,BAT,Regular,Full Flavor,SSL,100,3,891340610,0.7
Spain,Barcelona,BAT,Regular,Lights,STD,KS,2,338110000,0.4
Tunisia,Tunis,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,215316600,0.5
Switzerland,Zurich,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,2,40008400,0.1
Vietnam,Ho Chi Minh,BAT,Regular,Full Flavor,STD,KS,7,1814665750,24.5
Ecuador,Guayaquil,JTI,NTD Caps,Full Flavor,STD,KS,2,14288400,0.9
Guatemala,Guatemala City,BAT,Regular,Full Flavor,STD,KS,7,77561200,12.2
Kyrgyzstan,Manas,IMPERIAL BRANDS,Regular,Ultralights,SLI,100,1,1650000,0.2
South Korea,Seoul,KT & G,Regular,Lights,SSL,100,2,137539000,0.1
China,Hefei Xinqiao,BAT,Regular,Lights,STD,KS,2,20696580,0
South Korea,Daegu (downtown),BAT,Regular,Full Flavor,STD,KS,5,591840000,0.3
China,Nanjing Lukou,JTI,Regular,Lights,STD,KS,4,76997266,0
China,Chongqing Jiangbei,JTI,Regular,Full Flavor,STD,100,1,8286814,0
Canary Islands,La Palma,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,12,168499400,0.1
Dominican Republic,Santo Domingo Las Americas,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,444200,0
Morocco,Essaouira,JTI,NTD Caps,Full Flavor,STD,KS,2,15715235,0
China,Yantai Penglai,BAT,Regular,Full Flavor,STD,KS,15,59674150,0
Kenya,Jomo Kenyatta,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,70447200,2.5
China,Hefei Xinqiao,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,498652361,0.1
Turkey,Ankara Airport,BAT,Regular,Ultralights,STD,KS,1,1338000,0
Great Britain,London Stansted,IMPERIAL BRANDS,Regular,Lights,STD,KS,5,530480000,0.4
China,Fuzhou Changle,JTI,Regular,Lights,STD,KS,4,4230650,0
Turkey,Diyarbakir Airport,JTI,Regular,Full Flavor,STD,KS,8,234433000,0.1
China,Kunming Wujiaba,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,10693982,0
Greece,Mykonos,JTI,Regular,Full Flavor,STD,KS,6,142717400,0.5
Tunisia,Enfidha,BAT,Regular,Full Flavor,SSL,100,2,505400,0
Japan,Ibaraki,JTI,,,,,1,89614,0
China,Ningbo Lishe,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,212675550,0.1
Jordan,Amman,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,6988800,0
China,Nanning Wuxu,JTI,Menthol,Full Flavor,STD,KS,1,1020730,0
United Arab Emirates,Abu Dhabi,JTI,Regular,Full Flavor,STD,KS,8,3651664400,2.3
Canary Islands,Tenerife,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,32140200,0
Mexico,Cancun,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,11371000,0.1
Malaysia,Johor Bahru,BAT,Regular,Full Flavor,STD,KS,3,668587000,3.6
Great Britain,Cardiff,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,118750400,0.1
Italy,Rome Fiumicino,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,1152473600,4.9
Canary Islands,Gran Canaria,KING'S TOBACCO,Regular,Lights,STD,KS,1,9551800,0
