DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Turkey,Konya Airport,BAT,KENT,62490,KENT - SWITCH KS RCB C,200,3200,24600,10200,1,9,4,488.35,4253.12,1791.95
France,Paris Charles De Gaulle,PMI,MARLBORO,122774,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - FRANCE DF GHW-FR05 - IDM FRANCE,600,5239800,4690200,4585200,12,12,11,1374896.5,1399233.9,1382564.38
China,Hohhot Baita,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,200,0,240,2755,0,0,0,0,144,1653
Indonesia,Ngurah Rai,JTI,SEVEN STARS,37891,SEVEN STARS,200,22400,279000,339400,6,12,11,0,721671604.48,911190401.37
Great Britain,Manchester,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,915400,954000,824200,12,12,11,292928,326915.41,319219
Poland,Warsaw,PMI,MARLBORO,120910,MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM POLAND,200,1284600,0,0,12,0,0,1051976,0,0
South Korea,Incheon,KT & G,ESSE,107108,ESSE - ROYAL PALACE 100's RCB SUPERSLIMS,200,1159800,3319000,5453600,12,12,11,342141,979795,1669248.88
United Arab Emirates,Dubai,JTI,WINSTON,118895,WINSTON - BLUE LE KS BOX,200,326200,902400,995600,6,11,11,31021.83,97499.26,113213.71
Morocco,Marrakech,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,400,544780,1526932,1833529,9,12,11,73545.3,206899.29,247526.415
Morocco,Tangier,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,67549,69455,50522,9,12,11,10807.84,11280.8,8237.52
Saudi Arabia,DAMMAM,PMI,PARLIAMENT,125064,PARLIAMENT - AQUA BLUE KS RCS WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,120800,497000,0,6,11,0,83956,355476.74
Turkey,Izmir Airport,JTI,WINSTON,54448,WINSTON - CLASSIC KS RCB,200,312600,237800,0,12,12,0,44710.68,39574,0
Japan,Chitose,PMI,PARLIAMENT,97144,PARLIAMENT - PLATINUM BLUE 100's RCB WHITE - JAPAN DF,200,3400,65600,46200,1,12,10,73780,1423520,1002540
Japan,Komatsu,BAT,UNDEFINED,0,UNDEFINED,0,0,0,67657,0,0,10,0,0,0
Great Britain,Manchester,JTI,STERLING,91239,STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,400,1110800,992000,1012800,12,12,11,227714,221720.66,247471
Japan,Osaka - Kansai,PMI,MARLBORO,122726,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS BOX C WRG WHITE - JAPAN DF,200,74000,1089600,2744000,11,12,12,1614700,23798491.25,59925365.83
Saudi Arabia,Jeddah,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,157200,981600,813600,3,12,7,0,305720.24,266808
Germany,Hannover,PMI,L&M,125729,L&M - BLUE LABEL (5.0 CWB) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,12200,0,0,3,0,0,3287.9,0,0
South Korea,Incheon,KT & G,ESSE,125779,ESSE - CHANGE GRAM 100's D-HEXAGONAL (FRONT/BACK OCT) C SUPERSLIMS,200,1837800,5090800,5404000,10,12,11,273940,763620,810600
Indonesia,Ngurah Rai,CHINA NATIONAL,YUN YAN,103389,YUN YAN - CLASSIC KS SOFT,200,8800,37800,11800,2,6,2,0,72379190.58,22406999.95
China,Changsha Huanghua,CHINA NATIONAL,ZHONG NAN HAI,56694,ZHONG NAN HAI - FIVE KS BOX,200,1248,48601,90249,0,10,11,499.2,19440.4,36099.6
Gabon,Gabon,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,400,73200,104800,94800,11,8,11,1068000,7574500.02,7658000
China,Chengdu Tianfu,PMI,MARLBORO,105689,MARLBORO - (RED FWD) KS BOX - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,275400,628000,0,10,11,0,199035,423900
Taiwan,Taipei - Taoyuan,IMPERIAL BRANDS,DAVIDOFF,53129,DAVIDOFF - CLASSIC KS OCTAGONAL PACK,200,8118967,42858291,60406845,12,12,12,29634229.55,160111795.2,229546011
Gabon,Gabon,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,200,22400,52200,26400,7,11,9,504000,4693000.2,2697500
Nigeria,Lagos,BAT,BENSON & HEDGES,42858,BENSON & HEDGES - SILVER KS BOX,200,53400,91600,65200,12,12,10,0,17741.28,11090.78
Dominican Republic,Samana El Catey,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,1800,4400,1800,0,1,0,288,704,328
Gambia,Banjul,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,400,64400,284800,243600,4,11,10,278640,1537920,1315440
Morocco,Casablanca,IMPERIAL BRANDS,FORTUNA,43467,FORTUNA - KS BOX,400,360940,823498,470414,12,12,11,28669.3,67742.31,38669.33
Greece,Athens,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,671200,735400,984000,12,12,11,93646.46,112148.5,150060
Dominican Republic,Santo Domingo Las Americas,PMI,MARLBORO,99921,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - LA&CANADA DF-ENG TXT,200,122400,70800,0,9,5,0,25750,15776,0
Turkey,Istanbul Airport,PMI,L&M,122595,L&M - RED LABEL (5.0 CWB) KS RCB 400 - TURKEY DF,400,0,0,1365600,0,0,11,0,0,202750.6
Mexico,Mexico City,PMI,MARLBORO,113618,MARLBORO - (GOLD 3.0) 100's RCB WHITE - LA&CANADA DF-ENG TXT,200,647000,487600,0,12,10,0,106755,90504,0
Portugal,Faro Airport,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,122000,281000,355000,9,12,12,24570,60386.7,76680
Greece,Zakynthos,JTI,WINSTON,55025,WINSTON - SILVER KS BOX,200,15400,10400,7200,5,5,3,2348.5,1586,1332
South Korea,Jeju,KT & G,ESSE,122813,ESSE - CHANGE DOUBLE 100's BOX C SUPERSLIMS,200,1240800,1637400,2098200,12,12,11,179953,240442,310259
Morocco,Ouarzazate,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,9952,9738,12663,5,2,6,1691.84,1655.46,2152.71
Saudi Arabia,RIYADH,BAT,DUNHILL,50827,DUNHILL - (GOLD) KS BOX,200,2509000,1594600,732800,11,12,11,0,940814,427934.63
Turkey,Istanbul Airport,BAT,VOGUE,104076,VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,0,540200,0,0,9,0,0,102963.7,0
China,Weihai Dashuibo,NANYANG BROTHERS,DOUBLE HAPPINESS,103412,DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,0,73310,102800,0,8,11,0,51317,71960
Italy,Pisa,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,114400,0,0,9,0,0,23522.19,0,0
Colombia,Bogota,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,600,90600,185400,269400,11,12,11,9966,58916374.12,76005997.1
Morocco,Casablanca,PMI,MARLBORO,122897,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCS C WRG JUMBO RC WHITE - GENERIC DF-ENG TXT,200,3600,438200,467000,1,12,11,666,79380,84074
Greece,Santorini,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,29800,15600,10200,7,6,5,5140.5,3098,2163
Sri Lanka,Colombo,PMI,MARLBORO,125839,MARLBORO - RED 3.5 KS BOS 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE 1,600,0,0,394877,0,0,11,0,0,58895.90455
France,Lyon Saint Exupery,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,200,64800,60800,46000,12,12,11,16524,19908.6,16221.94
China,Changzhou Benniu,BAT,DUNHILL,49364,DUNHILL - (BLUE) KS BOX,200,0,12841,0,0,7,0,0,7383.575,0
Morocco,Marrakech,PMI,PHILIP MORRIS,58267,PHILIP MORRIS - KS BOX - NORTH AFRICA DF,200,2225040,4262400,9883800,10,12,11,363664.8,713898,1731720.4
Turkey,Istanbul Asia Airport,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,600,0,0,250800,0,0,10,0,0,41629.86
Turkey,Diyarbakir Airport,PMI,MARLBORO,114829,MARLBORO - (GOLD 3.0) 100's SOFT - TURKEY DF,200,12800,3600,15000,2,1,5,1184,333,1387.5
Paraguay,Asuncion Silvio Petterossi,PMI,MARLBORO,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,0,0,96000,0,0,6,0,0,10440
Turkey,Istanbul Asia Airport,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,400,864400,1414000,1075200,10,12,11,136143,231264.28,184452.25
South Korea,Incheon,PMI,MARLBORO,144142,MARLBORO - SUMMER SPLASH MENTHOL KS BOS C MUL WHITE - KOREA DF,200,0,0,1942800,0,0,4,0,0,299217
Spain,Valencia,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,123600,128400,94600,12,12,11,23113.2,31806,29636.49
Iraq,Erbil International Airport,PMI,LARK,123380,LARK - BLUE KS RCB WHITE - GENERIC DF-ENG TXT,200,15200,21000,56000,4,4,9,912,1260,3360
Greece,Alexandoupolis,JTI,STERLING,61078,STERLING - (RED) KS BOX,200,0,70000,97400,0,3,7,0,13299.97,18506
Morocco,Essaouira,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,22188,26718,23399,7,12,11,3439.14,4141.29,3626.845
Aruba,Oranjestad,PMI,MARLBORO,91751,MARLBORO - (RED FWD) KS BOX WHITE - LA&CANADA DF-ENG TXT,200,411000,119000,0,12,3,0,84255,25347,0
Spain,Ibiza,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,200,174400,215600,199200,7,9,7,41507.2,58212,61124.9
Egypt,Hurgada,PMI,L&M,123646,L&M - SILVER LABEL (5.0 CWB) KS RCB WHITE - GENERIC DF-ENG TXT,200,613429,707869,366600,5,12,11,67477.19,77788.66,40171
China,Shenyang Taoxian,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,200,1526,17458,24732,0,9,11,1014.79,11609.57,16446.78
Vietnam,Ho Chi Minh,PMI,MARLBORO,98204,MARLBORO - BLACK MENTHOL (2.0) MENTHOL KS BOX WHITE - INDOCHINA DF,200,206836,401056,267924,7,12,7,24820.32,48818.94,32150.88
Spain,Reus,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,940400,1290600,1084800,7,9,8,167861.4,329114.7,355345.72
China,Wenzhou Longwan,KT & G,ESSE,52454,ESSE - (GREEN) MENTHOL 100's BOX SUPERSLIMS,200,1228,22443,36293,0,10,11,706.1,12992.225,20868.475
Japan,Tokyo - Narita,JTI,MEVIUS,88920,MEVIUS - ONE 100's RCB,200,472200,1186000,1239000,12,12,12,9207900,23127000,24160500
Morocco,Agadir,JTI,WINSTON,45191,WINSTON - LIGHTS KS BOX,200,38822,47517,47364,8,12,10,6017.41,7365.135,7341.42
Poland,Gdansk,JTI,WINSTON,54235,WINSTON - BLUE 100's BOX SUPERSLIMS,200,280400,920400,995000,8,12,11,157024,630090,747785
Mexico,Ixtapa Zihuatanejo,PMI,MARLBORO,104440,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,0,2800,0,0,2,0,0,492,0
Great Britain,Bournemouth,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,600,13200,19200,15000,5,9,6,2926,4355.97,3743
Turkey,Gaziantep Airport,KARELIA TOBACCO,LEADER,49143,LEADER - (RED) KS BOX,200,7800,12800,20800,2,5,8,255,512,832
Japan,Tokyo - Narita,JTI,MINE,46257,MINE - KS BOX,200,187600,3104600,7643200,10,8,12,3845800,63644300,156685600
Czech Republic,Prague,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,1211800,1803000,1972200,12,12,11,0,11798185.15,13302489
Turkey,Izmir Airport,BAT,KENT,58431,KENT - SURROUND (GREY) KS RCB,200,181400,150000,0,12,12,0,30699.3,27657,0
Colombia,Medellin Jose Maria Cordova,PMI,MARLBORO,99921,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - LA&CANADA DF-ENG TXT,200,52314,44845,0,11,9,0,7062.39,6726.75,0
Turkey,Gaziantep Airport,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,400,0,7200,18000,0,4,7,0,918,2295
Canary Islands,Gran Canaria,IMPERIAL BRANDS,LAMBERT & BUTLER,96896,LAMBERT & BUTLER - BLUE KS BOX,200,963600,1066600,799400,12,12,11,157548.6,162525.79,145419
South Korea,Jeju,JTI,MEVIUS,89714,MEVIUS - PREMIUM MENTHOL OPTION 5 MENTHOL KS RCB C,200,490000,945200,1680000,12,12,11,71050,137054,243600
Hong Kong,Hong Kong,PMI,MARLBORO,114125,MARLBORO - (GOLD 3.0) KS RCB WHITE - HK DF DEPARTURE,200,2880600,17632400,16887800,12,12,11,2592540,17139640,16887800
Colombia,Medellin Jose Maria Cordova,PMI,MARLBORO,91755,MARLBORO - (RED FWD) KS BOX 400 WHITE - LA&CANADA DF-ENG TXT,400,204178,155431,21504,12,12,3,23990.915,18263.1425,2526.72
United Arab Emirates,Dubai,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,400,358800,0,0,6,0,0,45845.67,0,0
Senegal,Leopold Sedar Senghar,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,400,62800,196000,288400,4,9,11,0,14364000,23975000
China,Hefei Xinqiao,PMI,MARLBORO,105626,MARLBORO - DOUBLE BURST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,45600,100000,0,9,4,0,43278,90000
Greece,Thessaloniki,PMI,L&M,120929,L&M - BLUE LABEL (NON TRAVEL) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,200,169600,0,0,7,0,0,26712,0,0
Germany,Nuernberg,JTI,CAMEL,43009,CAMEL - RS SOFT NF,200,6800,6600,0,2,1,0,1702.4,1611.7,0
Turkey,Antalya Airport,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,600,0,0,469800,0,0,10,0,0,82921
Morocco,Agadir,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,200,285143,468972,513967,8,12,11,41799.2022,70573.44,78428.2
Taiwan,Taichung,JTI,MEVIUS,89726,MEVIUS - SKY BLUE KS RCB,200,0,721317,1412937,0,12,12,0,2631136.8,5369160.6
Brazil,Belo Horizonte,PMI,MARLBORO,114360,MARLBORO - (GOLD 3.0) KS RCB 400 WHITE - LA&CANADA DF-ENG TXT,400,16400,24800,0,6,7,0,2033,3348,0
Maldives,Male,PMI,MARLBORO,98258,MARLBORO - (RED FWD) KS BOX - SOUTH ASIA DF,200,854502,661953,400739,12,12,11,145265.34,115437.835,70129.325
Turkey,Istanbul Airport,PMI,MARLBORO,137512,MARLBORO - WHITE (3.5) KS RCS WHITE - TURKEY DF,200,0,714800,921800,0,10,11,0,135662,182563.5
South Korea,Busan - Kimhae,KT & G,BOHEM,70934,BOHEM - MOJITO DOUBLE MENTHOL KS BOX C,200,98400,385800,473200,9,12,11,14585.7,57475.14,70596.83
Canary Islands,Lanzarote,PMI,L&M,124962,L&M - RED LABEL (5.0 CWB) KS RCB - CANARY ISLANDS DF - IDM SPAIN,200,953600,1534000,1424800,9,12,11,150192,229443.53,233282.49
Canary Islands,Tenerife,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,2709000,3805600,2825800,12,12,11,426667.5,518769.5,429038
China,Wuxi Shuofang,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,0,1387,2721,0,0,0,0,638.02,1251.66
Turkey,Istanbul Asia Airport,KT & G,ESSE,52455,ESSE - (BLUE) 100's BOX SUPERSLIMS,200,0,0,32000,0,0,8,0,0,6080
Vietnam,Hanoi,BAT,STATE EXPRESS 555,38071,STATE EXPRESS 555,200,6248569,12238784,7674846,12,12,11,0,0,0
China,Zhengzhou Xinzheng,IMPERIAL BRANDS,DAVIDOFF,48009,DAVIDOFF - SLIMS CLASSIC 100's OCTAGONAL PACK SLIMS,200,195,5598,24217,0,0,9,117,3358.8,14530.2
Switzerland,Zurich,PMI,MARLBORO,124270,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - ZONE 1 DF - IDM SWITZERLAND,400,4050800,3813200,3375600,12,12,11,1029608.64,984146.57,910270.32
Kuwait,Kuwait,PMI,MARLBORO,114978,MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - GCC DF,600,858000,996000,1417800,10,11,11,38728,48284.54,57532.82
Mexico,Guadalajara,PMI,MARLBORO,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,0,414000,888000,0,5,11,0,63135,140749.5
Saudi Arabia,Medina,PMI,PARLIAMENT,125070,PARLIAMENT - PLATINUM BLUE KS RCS WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,46000,323200,0,3,11,0,31970,230535.45
Germany,Nuernberg,PMI,MARLBORO,125052,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,101200,0,13263,12,0,2,21252,0,3183.12
South Korea,Incheon,PMI,PARLIAMENT,121941,PARLIAMENT - ONE KS RCB JUMBO RC WHITE - KOREA DF - IDM KOREA,200,379600,5333800,4967600,1,12,11,53144,777683,726643
Australia,Melbourne,CHINA NATIONAL,HUANGHELOU,103404,HUANGHELOU - KS BOX,200,5600,0,0,2,0,0,,0,0
China,Xuzhou Guanyin,CHINA NATIONAL,HONGTASHAN,56350,HONGTASHAN - KS BOX,200,0,370,1285,0,0,0,0,185,642.5
China,Beijing,PMI,MARLBORO,122859,MARLBORO - GOLD (3.5) KS RCB WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,0,510000,6715400,0,1,11,0,392700,5505562
Italy,Naples,PMI,MARLBORO,122414,MARLBORO - (RED FWD) KS BOX 400 TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,400,159200,357600,0,5,12,0,34387.2,78443.94,0
Macedonia,Skopje,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,71800,14200,0,6,1,0,9693,1917,0
China,Ningbo Lishe,CHINA NATIONAL,YU XI,53542,YU XI - (RED) KS BOX,200,4899,67356,35640,1,12,5,6368.7,87562.8,46332
Qatar,Doha,PMI,PARLIAMENT,122939,PARLIAMENT - AQUA BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,1603000,3576840,2664640,12,12,11,299173.49,696589.59,518938.64
Georgia,Batumi,PMI,L&M,122658,L&M - RED LABEL (5.0 CWB) KS RCB - GEORGIA DF,200,92800,128600,225400,8,12,11,8842.1,12795.7,22427.3
South Korea,Daegu,BAT,DUNHILL,58199,DUNHILL - FINE CUT (BLUE) 90's OCTAGONAL PACK SLIMS,200,3400,32600,44200,1,10,10,493,4727,6409
Japan,Osaka - Kansai,JTI,MEVIUS,87832,MEVIUS - LIGHTS KS BOX,200,371800,3237000,3530400,12,12,12,7250100,63121500,68842800
Great Britain,Manchester,PMI,MARLBORO,122750,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,600,952800,1408800,1569000,12,12,11,200088,303365.66,352643
Japan,Tokyo - Narita,BAT,KENT,46484,KENT - 1 ONE KS RCB,200,95400,260600,310200,8,12,12,1669500,4560500,5428500
Greece,Aktio,KARELIA TOBACCO,KARELIA,53451,KARELIA - SLIMS (BLUE) 100's BOX SLIMS,200,40000,43000,40000,5,7,7,5800,6235,5940.88
China,Xian Xianyang,JTI,MILD SEVEN,46248,MILD SEVEN - ONE KS BOX,200,38562,209892,198886,6,10,11,26029.35,147576.6,144192.35
India,Chattrapati Shivaji,PMI,MARLBORO,123409,MARLBORO - DOUBLE ICE KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,939877,1089757,1319732,8,3,7,14232662.15,185258.69,21577618.2
United Arab Emirates,Dubai,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,400,2602800,2952800,3066800,12,12,11,217145.88,275527.94,312017.39
Egypt,Sharm El Sheikh,JTI,UNDEFINED,0,UNDEFINED,0,0,86280,222358,0,5,11,0,0,0
Italy,Bergamo,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,400,194400,0,0,12,0,0,32562,0,0
France,Paris Charles De Gaulle,JTI,WINSTON,70991,WINSTON - XS FRESH MENTHOL MENTHOL 100's D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,163800,739000,0,5,11,0,55855.8,261237.89
Japan,Fukuoka,BAT,KENT,114407,KENT - S SERIES SPARK MELLOW 1 MENTHOL 100's BOX C SUPERSLIMS,200,47800,164200,313400,6,8,12,812600,2791400,5327800
Spain,Madrid Barajas,JTI,CAMEL,52964,CAMEL - NATURAL FLAVOR KS BOX,200,149600,148800,150000,11,12,11,29583.4,34149.6,37733.87
Germany,Munich,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,102200,127800,129200,11,12,12,30001.9,38276.1,40267.4
Turkey,Bodrum Airport,JTI,WINSTON,45379,WINSTON - CLASSIC RED KS BOX,600,0,0,4200,0,0,2,0,0,619.5
Switzerland,Geneva,BAT,VOGUE,51103,VOGUE - LILAS 100's BOX SUPERSLIMS,400,744000,756000,621600,12,12,11,192342.8,195237,160544.6
India,Hyderabad,PMI,MARLBORO,114978,MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - GCC DF,600,134382,76760,47965,3,1,2,19485.39,11125.082666667,7206.730583333
Bulgaria,Sofia,KING'S TOBACCO,MERILYN,65334,MERILYN - SLIMS (BLUE) 100's BOX EXTRA SLIMS,200,0,121200,134400,0,10,11,0,13938,15456
Iraq,Suleymania Airport,PMI,PARLIAMENT,122961,PARLIAMENT - PLATINUM BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,10000,0,0,50000,0,0,1,0,0,5750
Brazil,Sao Paulo - Guarulhos,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,600,544800,250200,265200,12,11,11,54480,29831.8,32708
Aruba,Oranjestad,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,200,70800,46800,28000,11,8,9,14514,6783.05,6339.15
Saudi Arabia,DAMMAM,IMPERIAL BRANDS,DAVIDOFF,91764,DAVIDOFF - (WHITE) KS OCTAGONAL PACK SLIMS,400,234400,351600,423200,12,12,11,0,189864,252454.71
Bahrain,Manama,BAT,JOHN PLAYER,63855,JOHN PLAYER - GOLD KS BOX,200,0,1124400,1211600,0,12,11,0,41884.67,34479.09
Japan,Chubu,CHINA NATIONAL,CHUNGHWA,43087,CHUNGHWA - KS BOX,200,5800,557000,1695600,3,12,12,139200,13368000,40694400
Brazil,Viracopos,PMI,MARLBORO,114397,MARLBORO - SILVER (3.0) KS RCB WHITE - LA&CANADA DF-ENG TXT,200,9200,6200,0,3,3,0,1288,930,0
Germany,Stuttgart,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,60000,66800,72000,11,12,12,16170,18002.6,19404
Jordan,Amman,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,600,354600,251400,248400,12,12,11,34065,24721,24426
Mauritius,Port Louis,PMI,MARLBORO,121521,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 400 - MAURITIUS DF,400,4776744,11162353,4953038,12,12,4,863627.76,2023176.48125,906943.2855
Hong Kong,Hong Kong,PMI,MARLBORO,147066,MARLBORO - GOLD (3.5) KS RCB (PROMO) WHITE - HK DF DEPARTURE,200,0,0,2336800,0,0,4,0,0,2336800
China,Hefei Xinqiao,BAT,DUNHILL,49364,DUNHILL - (BLUE) KS BOX,200,0,7222,16097,0,2,5,0,4152.65,9255.775
Japan,Fukuoka,PMI,MARLBORO,96046,MARLBORO - (RED FWD) KS BOX - JAPAN DF,200,120000,367800,434600,12,12,11,2562000,7852530,9278710
United Arab Emirates,Abu Dhabi,JTI,WINSTON,55025,WINSTON - SILVER KS BOX,200,0,40800,438600,0,2,11,0,16111.44,170251.24
Oman,Salalah,PMI,PARLIAMENT,122946,PARLIAMENT - AQUA BLUE KS RCS 400 TRANSPARENT BUNDLE WHITE - GENERIC DF-ENG TXT,400,38400,0,0,4,0,0,6822,0,0
Turkey,Bodrum Airport,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,200,0,0,27400,0,0,6,0,0,6151.3
Japan,Sendai,PMI,MARLBORO,96046,MARLBORO - (RED FWD) KS BOX - JAPAN DF,200,0,22200,36400,0,7,9,0,473970,777140
Senegal,Leopold Sedar Senghar,PMI,L&M,123645,L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,1800,117600,109000,1,7,6,153,9103500,9267500
China,Hefei Xinqiao,NANYANG BROTHERS,DOUBLE HAPPINESS,85873,DOUBLE HAPPINESS - CLASSIC DELUXE LS BOX,200,0,13517,30180,0,7,5,0,11354.28,25351.2
China,Shanghai Pudong,CHINA NATIONAL,DOUBLE HAPPINESS,46152,DOUBLE HAPPINESS - KS BOX,200,1717008,12240926,14986034,10,12,11,643878,4590347.25,5975172.85
Turkey,Antalya Airport,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,1382400,781000,864000,12,12,11,265278.17,160361,193320
Israel,Tel-Aviv,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,45466044,47084795,35481700,12,12,10,10207126.878,11451401.3525,9035750.33
Jordan,Aqaba,BAT,KENT,46048,KENT - PREMIUM LIGHTS KS BOX,200,21200,35800,13000,6,5,6,3180,5370,1984
Japan,Tokyo - Narita,JTI,MEVIUS,87831,MEVIUS - ORIGINAL KS BOX,200,586000,2476600,3060000,12,12,12,11427000,48293700,59670000
Bahrain,Manama,PMI,PARLIAMENT,122948,PARLIAMENT - SILVER BLUE KS RCS 400 TRANSPARENT BUNDLE WHITE - GENERIC DF-ENG TXT,400,1214800,1359200,1322400,11,12,11,199260.36,235099.84,231750.6
Bahrain,Manama,BAT,VOGUE,45100,VOGUE - MENTHOL 100's BOX SLIMS,400,0,754000,709600,0,12,11,0,92890.72,45337.77
Mexico,Cancun,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,400,274000,303200,570800,11,9,11,42127.5,52441.5,105697.5
Great Britain,Doncaster,JTI,STERLING,99392,STERLING - DUAL KS BOX C,200,85000,0,0,5,0,0,22100,0,0
Great Britain,Manchester,IMPERIAL BRANDS,JOHN PLAYER SPECIAL,51575,JOHN PLAYER SPECIAL - BLUE KS BOX,400,0,0,698000,0,0,9,0,0,163308.2
Morocco,Fes,PMI,MARLBORO,100604,MARLBORO - (RED FWD) KS BOX - NORTH AFRICA DF,200,3249000,1979400,1662600,12,12,11,570613,343850.41,270113.56
