DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
South Korea,Daegu,JTI,CASTER,46127,CASTER - MILD KS BOX,200,1000,136400,89000,0,10,9,150,20460,13350
Morocco,Marrakech,JTI,CAMEL,97296,CAMEL - ACTIVATE DOUBLE MINT PURPLE KS CURVE PACK C,200,46654,103378,111929,8,12,11,7345.80645,16263.8616,16251.3586
Sweden,Malmo,BAT,PRINCE,51120,PRINCE - RICH TASTE KS BOX,400,4000,77200,46000,1,12,11,8490,163857,97635
Spain,Reus,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,200,127400,94000,119200,7,7,7,23823.8,23993.86,38019.85
Spain,Barcelona,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,200,0,0,541200,0,0,5,0,0,186443.58
Argentina,Buenos Aires - Ezeiza,JTI,CAMEL,45351,CAMEL - (BLUE) KS BOX,600,49200,0,0,3,0,0,4182,0,0
Egypt,Marsa Aalam,PMI,PARLIAMENT,122961,PARLIAMENT - PLATINUM BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,0,39200,79000,0,5,11,0,6440.18,14140.38
Tunisia,Monastir,BAT,VOGUE,51509,VOGUE - MENTHE 1 MENTHOL 100's BOX SUPERSLIMS,600,0,0,194400,0,0,7,0,0,29854.92
Morocco,Casablanca,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,200,154316,142486,180600,12,12,11,24690.56,22797.76,28896
Morocco,Rabat,IMPERIAL BRANDS,NEWS,40461,NEWS,200,13800,23800,38400,7,8,10,1656,2856,4620.54
Japan,Chubu,BAT,LUCKY STRIKE,103220,LUCKY STRIKE - CLICK 4 MIX KS BOX C,200,0,0,92000,0,0,3,0,0,1886002.99
Spain,Sevilla,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,28000,30800,29400,9,12,11,5236,6860.7,7164.73
Saudi Arabia,DAMMAM,BAT,DUNHILL,103541,DUNHILL - SWITCH (BLACK - GREEN) KS OCTAGONAL PACK C,200,0,40000,48400,0,3,2,0,23600,28556
Curazao,Curacao,IMPERIAL BRANDS,UNDEFINED,0,UNDEFINED,0,475013,389422,411372,12,12,11,0,0,0
New Zealand,Queenstown,PMI,MARLBORO,99584,MARLBORO - (RED FWD) KS BOX 25 TRANSPARENT BUNDLE - AUSTRALIA DOM,200,24000,10000,0,1,1,0,16200,6750,0
Reunion,Roland Garros,BAT,GLADSTONE,68535,GLADSTONE - (RED) KS BOX 25,200,2226800,1927600,1534200,12,10,11,0,477819.52,437247
Turkey,Kutahya Airport,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,600,1200,3600,2400,0,2,0,164,546,381.99
Brazil,Viracopos,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,0,0,5600,0,0,2,0,0,756
