Location,Cat_A,Cat_B,Cat_D,Avg_Score
Djibouti,5.0,0.0,0.0,1.67
Santiago De Compostela,6.79,0.0,9.19,5.33
Piarco,6.67,0.0,2.88,3.18
Fortaleza,6.87,10.0,7.68,8.18
Diyarbakir Airport,6.84,8.53,0.0,5.12
Port Louis,5.24,0.0,9.84,5.03
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88
Amsterdam - Schiphol,6.79,0.0,0.0,2.26
Muscat,6.78,0.0,7.26,4.68
Nykoping,6.67,0.0,7.18,4.62
Skopje,6.8,0.0,8.45,5.08
Tuzla,4.91,0.0,9.87,4.93
Gaziantep Airport,6.85,8.92,9.82,8.53
Grenoble,6.35,10.0,10.0,8.78
Cheongju,6.08,9.9,4.47,6.82
Oslo,6.78,0.0,0.0,2.26
Trichy,4.87,0.0,6.82,3.9
Genoa,5.76,0.0,0.0,1.92
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13
Billund,6.67,0.0,9.35,5.34
Kunming Wujiaba,6.16,9.99,7.04,7.73
Asturias,6.97,0.0,0.0,2.32
Nanjing Lukou,5.42,5.52,0.76,3.9
Cozumel,6.87,10.0,0.0,5.62
Hatay Airport,9.52,0.0,0.0,3.17
Fuzhou Changle,6.02,10.0,6.37,7.46
Aberdeen,6.44,0.0,9.6,5.35
Singapore - Changi,6.83,0.0,7.65,4.83
Umea,7.08,0.0,9.71,5.6
Radom,5.56,0.0,7.48,4.35
Bourgas,6.2,0.0,0.6,2.27
Ibaraki,4.44,0.0,6.8,3.75
Munich,6.35,0.0,1.1,2.48
Abu Dhabi,5.75,9.62,8.47,7.95
Nuernberg,6.86,0.0,0.0,2.29
Zaporizhya,8.04,0.0,0.0,2.68
Fuerteventura,6.76,0.0,9.49,5.42
Poznan-Lawica,4.81,0.0,0.0,1.6
Okayama,6.44,9.93,3.69,6.69
Munster-Osnabruck,4.9,0.0,6.56,3.82
London Stansted,6.57,0.0,9.55,5.37
Montevideo,6.67,0.0,2.86,3.18
Chitose,4.94,0.0,7.94,4.29
Sharm El Sheikh,6.78,0.0,9.19,5.32
Goa,4.87,0.0,7.18,4.02
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5
A Coruna,6.92,0.0,9.35,5.42
Amman,6.02,10.0,0.0,5.34
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3
Taipei - Taoyuan,5.89,9.97,4.43,6.76
Busan - Kimhae,6.02,9.85,0.52,5.46
Baku,4.94,0.0,9.91,4.95
Praia,6.85,10.0,9.57,8.81
Takamatsu,5.0,0.0,3.78,2.93
Yingsheng,10.0,0.0,0.0,3.33
Olsztyn,6.84,0.0,0.0,2.28
Kavala,5.52,0.0,9.8,5.11
Graz,6.79,0.0,10.0,5.6
Ras El Khaymah,6.8,0.0,2.11,2.97
Mudanjiang Hailang,6.71,8.45,0.0,5.05
Lyon Saint Exupery,6.77,10.0,1.74,6.17
Bangui,8.33,0.0,0.0,2.78
Kagoshima,5.71,0.0,8.08,4.6
Skiathos,6.67,0.0,10.0,5.56
Istanbul Asia Airport,6.8,8.5,9.15,8.15
Florence,6.86,0.0,9.71,5.52
Tozeur,6.36,10.0,0.0,5.45
Essaouira,6.84,9.99,10.0,8.94
Bergen,6.81,0.0,5.7,4.17
Bremen,6.77,0.0,0.0,2.26
Basel,6.35,10.0,4.59,6.98
Maputo,9.17,0.0,0.0,3.06
Hiroshima,4.89,0.0,10.0,4.96
Naha,4.94,0.0,6.2,3.71
Nantes,6.6,10.0,9.37,8.66
Warsaw-Modlin,6.92,0.0,9.04,5.32
Mykonos,5.53,0.0,9.37,4.97
Ngurah Rai,6.76,9.96,9.16,8.63
Lodz,6.83,0.0,9.61,5.48
Aktio,6.05,0.0,10.0,5.35
Bodrum Airport,6.75,9.61,9.37,8.58
Southampton,6.71,0.0,0.0,2.24
Milan - Linate,6.88,0.0,4.11,3.66
Konya Airport,6.87,8.06,9.87,8.27
Ramon,10.0,0.0,0.0,3.33
Cali,6.8,8.86,5.97,7.21
Roland Garros,6.67,10.0,7.17,7.95
Glasgow Prestwick,6.36,0.0,6.82,4.39
Cochin,6.67,0.0,8.29,4.99
Orebro,7.78,0.0,9.67,5.82
East Midlands,6.15,0.0,9.41,5.19
Kutahya Airport,6.95,10.0,1.39,6.11
Ulaanbaatar,6.67,0.0,0.0,2.22
Doha,5.05,0.0,6.68,3.91
Jersey,6.67,0.0,9.91,5.53
Male,5.33,0.0,8.94,4.76
Everrich Downtown Kinmen,5.89,9.96,4.05,6.63
Adelaide,6.19,0.0,5.83,4.01
Perth,6.71,10.0,0.0,5.57
Mexico City,6.84,9.87,0.0,5.57
Puerto Plata,6.82,9.11,7.83,7.92
Nanning Wuxu,6.7,9.38,9.96,8.68
Medina,6.87,10.0,0.0,5.62
Trabzon Airport,6.84,5.39,9.92,7.38
Faro Airport,6.74,0.0,0.0,2.25
Brno,4.44,0.0,9.84,4.76
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5
Florianopolis,6.79,10.0,9.55,8.78
Samsun Airport,6.84,9.04,8.33,8.07
Khabarovsk,7.67,0.0,0.0,2.56
Yaounde,8.15,0.0,0.0,2.72
Hefei Xinqiao,6.63,6.54,9.85,7.67
Vaxjo,4.67,0.0,0.0,1.56
Exeter,6.72,0.0,0.0,2.24
Panama Tocumen,6.79,9.96,7.83,8.19
Nouakchott,6.9,0.0,10.0,5.63
Dubrovnik,7.78,0.0,9.32,5.7
Natal,6.84,10.0,4.78,7.21
Siem Reap,7.16,0.0,0.0,2.39
Ho Chi Minh,6.67,0.0,9.62,5.43
Pamandzi,4.85,0.0,10.0,4.95
Recife,6.86,9.99,9.49,8.78
La Palma,5.96,0.0,9.07,5.01
Split,7.78,0.0,5.93,4.57
Bamako,6.89,0.0,10.0,5.63
Gran Canaria,6.76,0.0,6.68,4.48
Santiago Cibao,6.79,2.39,1.31,3.5
Salvador,6.84,10.0,9.09,8.64
Marseille,6.76,10.0,8.01,8.26
Naples,6.04,0.0,7.68,4.57
Windhoek,6.67,0.0,0.0,2.22
Shenyang Taoxian,6.48,9.89,9.94,8.77
Mazatlan,6.85,9.32,10.0,8.72
Shymkent,7.92,0.0,0.0,2.64
Stavanger,6.78,0.0,9.28,5.35
Pisa,6.85,0.0,9.4,5.42
Pula,8.89,0.0,0.0,2.96
Brisbane,6.67,0.0,0.0,2.22
Vilnius,6.94,0.0,0.0,2.31
Agadir,6.43,9.98,10.0,8.8
Faroe Islands,6.67,0.0,9.55,5.41
Haiphong,8.33,0.0,9.9,6.08
Yangon,5.77,0.0,9.23,5.0
Kutaisi,6.78,0.0,8.84,5.21
Madeira,6.67,0.0,9.0,5.22
Madrid Barajas,6.83,0.0,9.6,5.48
Lima,6.77,9.99,9.6,8.79
Johannesburg,6.82,10.0,8.94,8.59
Belgorod,7.78,0.0,0.0,2.59
Istanbul Airport,6.79,0.0,0.0,2.26
Liberia,5.24,0.0,3.2,2.81
Iloilo,0.0,0.0,0.0,0.0
Seoul (downtown),0.0,0.35,0.0,0.12
Alesund,8.97,0.0,0.0,2.99
Johor Bahru,6.13,7.84,9.07,7.68
Leeds Bradford,6.23,0.0,9.19,5.14
Los Cabos,6.83,9.93,0.0,5.59
Sanya Fenghuang,6.71,0.0,0.0,2.24
Ningbo Lishe,6.2,0.09,9.99,5.43
Bergamo,6.86,0.0,9.3,5.39
Fes,6.51,10.0,0.0,5.5
Volgograd,6.88,0.0,6.99,4.62
Kilimanjaro,6.75,0.0,10.0,5.58
Jinan Xiaoqiang,6.67,5.9,10.0,7.52
Viracopos,6.85,10.0,7.38,8.08
Antigua,6.79,0.0,0.0,2.26
Colombo,6.7,10.0,0.0,5.57
Kingston,6.67,0.0,0.0,2.22
Tokyo - Narita,6.55,9.51,8.71,8.26
Rotterdam,6.92,0.0,1.1,2.67
Daegu (downtown),0.0,9.73,0.0,3.24
Vladivostok,9.67,0.0,0.0,3.22
Wuhan Tianhe,6.07,7.37,9.98,7.81
Osaka - Kansai,6.58,5.08,9.03,6.9
Fukuoka,6.51,9.46,0.0,5.32
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35
Jomo Kenyatta,6.42,9.99,6.99,7.8
Indira Gandhi,5.25,0.0,0.0,1.75
Paramaribo,6.79,0.0,4.13,3.64
Paris Orly,6.76,10.0,0.0,5.59
Zagreb,6.11,0.0,7.85,4.65
Dnipropetrovsk,8.0,0.0,0.0,2.67
Nanchang Changbei,6.62,10.0,9.96,8.86
Melbourne,6.76,0.0,9.04,5.27
Lublin,6.82,0.0,0.0,2.27
Humberside,6.67,0.0,0.0,2.22
Cardiff,6.43,0.0,9.26,5.23
Chania,5.86,0.0,7.93,4.6
Banjul,6.9,0.0,0.0,2.3
Torino,5.78,0.0,1.33,2.37
Porto,6.89,0.0,9.75,5.55
Brussels,6.67,0.0,5.79,4.15
Asuncion Silvio Petterossi,6.85,0.0,7.95,4.93
Samara,6.67,0.0,10.0,5.56
Mandalay,5.42,0.0,0.0,1.81
Amritsar,4.87,0.0,6.89,3.92
La Romana,6.83,9.97,9.29,8.7
Verona,6.83,0.0,10.0,5.61
Hohhot Baita,6.71,10.0,9.99,8.9
Nador,6.86,9.99,6.85,7.9
Bujumbura,5.0,0.0,9.37,4.79
Rzeszow,5.0,0.0,10.0,5.0
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76
Sihanoukville,6.72,10.0,8.35,8.36
Xian Xianyang,6.49,9.82,5.73,7.35
Beijing Daxing,0.0,0.0,6.8,2.27
Acapulco,8.48,0.0,0.0,2.83
Riga,6.9,0.0,4.95,3.95
Oita,7.22,0.0,0.0,2.41
Aalborg,6.67,0.0,0.0,2.22
Mendoza,6.85,0.0,0.0,2.28
Astana,6.75,0.0,7.95,4.9
Manas,6.15,0.0,0.0,2.05
Moscow - Domodedovo,6.76,0.0,9.0,5.25
Kazan,8.75,0.0,0.0,2.92
Taiyuan Wusu,6.71,10.0,9.58,8.76
Valencia,6.5,0.0,0.0,2.17
Bordeaux,6.5,10.0,1.54,6.01
Xuzhou Guanyin,6.75,3.08,0.0,3.28
Tulear,6.97,0.0,0.0,2.32
Bangalore,6.18,10.0,6.2,7.46
Varna,6.76,0.0,1.61,2.79
Vigo,6.86,0.0,9.71,5.52
Komatsu,4.76,0.0,8.13,4.3
Moi,8.89,0.0,0.0,2.96
Hrabrovo,7.62,0.0,0.0,2.54
Dublin,5.83,0.0,3.3,3.04
Pengsheng,5.0,0.0,0.44,1.81
Berlin Brandenburg,6.82,0.0,0.0,2.27
Bologna,5.78,0.0,6.35,4.04
Gerona,6.44,0.0,9.72,5.39
Elblag,5.0,0.0,0.0,1.67
Cape Town,6.9,10.0,8.87,8.59
London Gatwick,6.58,0.0,0.0,2.19
Kos,6.72,0.0,0.0,2.24
Wellington,8.57,0.0,0.0,2.86
Rome Fiumicino,6.87,0.0,9.63,5.5
Jeju (downtown),0.0,0.12,0.0,0.04
Bristol,6.47,0.0,10.0,5.49
Cairns,7.08,0.0,6.9,4.66
Addis Ababa,6.81,10.0,7.26,8.02
Changchun Longjia,5.96,10.0,9.93,8.63
Gdansk,6.81,0.0,9.82,5.54
Danang,6.67,0.0,0.0,2.22
Queretaro,7.14,0.0,7.57,4.9
Dar Es Salaam,6.5,10.0,0.0,5.5
London Luton,6.46,0.0,8.77,5.08
Conakry,9.17,0.0,0.0,3.06
Newcastle,6.47,0.0,6.18,4.22
Punta del Este,3.33,0.0,0.0,1.11
Christchurch,4.44,0.0,0.0,1.48
Fort-de-France,6.15,10.0,6.84,7.66
Montego Bay,6.73,9.61,8.53,8.29
Luxor,6.79,0.0,8.96,5.25
Belo Horizonte,6.85,10.0,0.0,5.62
Abidjan,6.56,10.0,0.0,5.52
Alexandoupolis,5.71,0.0,0.0,1.9
Cordoba,6.89,0.0,0.0,2.3
Athens,6.26,10.0,8.18,8.15
Rhodes,5.6,10.0,8.2,7.93
Hamburg,6.82,0.0,5.53,4.12
Curacao,6.75,0.0,0.0,2.25
Bariloche,5.0,0.0,0.06,1.69
Kaohsiung,5.89,9.97,6.64,7.5
Macau,6.67,10.0,8.03,8.23
Punta Cana - Higuey,6.78,9.82,8.31,8.3
Hanoi,5.4,0.0,9.15,4.85
Fukushima,6.67,0.0,3.17,3.28
Guatemala City,6.89,5.12,4.46,5.49
Prague,6.07,0.0,0.0,2.02
Corfu,5.59,10.0,6.7,7.43
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26
Iwate,6.67,0.0,9.52,5.4
Ohrid,6.83,0.0,4.57,3.8
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58
Casablanca,6.47,9.97,9.92,8.79
Sendai,4.89,0.0,7.63,4.17
Tarbes - Lourdes,6.67,10.0,9.5,8.72
Podgorica,5.56,0.0,9.87,5.14
Rio de Janeiro,6.82,10.0,8.71,8.51
Guangzhou Baiyun,6.09,9.75,9.98,8.61
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18
Aqaba,6.86,10.0,0.0,5.62
Kigali,4.89,0.0,7.83,4.24
Budapest,8.33,0.0,0.0,2.78
St. George's Point Saline,6.81,10.0,9.62,8.81
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06
Makhachkala,6.94,0.0,6.75,4.56
Tenerife,6.76,0.0,0.0,2.25
Shizuoka,5.83,0.0,6.1,3.98
Strasbourg,6.92,0.0,9.67,5.53
Gibraltar,5.33,0.0,10.0,5.11
Hong Kong,6.21,9.99,0.0,5.4
Beijing,5.91,6.27,0.0,4.06
Palma De Mallorca,6.48,0.0,7.17,4.55
Izmir Airport,6.82,9.62,9.85,8.76
Min Vody,6.75,0.0,7.86,4.87
Niamey,5.0,0.0,0.0,1.67
Harbin Taiping,6.75,0.0,0.0,2.25
Wuxi Shuofang,6.71,10.0,9.95,8.89
Zhukovsky,0.0,0.0,0.0,0.0
Dushanbe,7.86,0.0,0.0,2.62
Mahon Airport,6.26,0.0,9.77,5.34
Vientiane,5.93,0.0,5.33,3.75
Sydney,6.67,0.0,9.84,5.5
Baghdad,6.78,0.0,0.0,2.26
Tokyo - Shinjuku,0.0,0.0,0.0,0.0
Alicante,6.32,0.0,8.22,4.85
Danang Downtown Shop,0.0,0.0,0.0,0.0
Bandaranaike,5.1,0.0,9.66,4.92
Denizli Cardak Airport,6.85,9.34,8.75,8.31
Eskisehir Airport,6.87,8.94,9.61,8.47
Tunis,6.4,9.99,8.87,8.42
Eindhoven,6.88,0.0,0.0,2.29
Aarhus,6.67,0.0,0.0,2.22
Changsha Huanghua,6.52,9.45,10.0,8.66
Zadar,8.89,0.0,0.0,2.96
Xiamen Gaoqi,6.11,9.95,8.23,8.1
Shannon,5.0,0.0,6.95,3.98
Queenstown,4.44,0.0,0.0,1.48
Kaunas,6.94,0.0,9.5,5.48
Sochi,6.75,0.0,2.77,3.17
PRISTINA,6.93,0.0,8.04,4.99
Cologne,6.91,0.0,6.04,4.32
Banja Luka,6.67,0.0,10.0,5.56
Samana El Catey,6.85,10.0,8.27,8.37
Sarajevo,4.91,0.0,9.61,4.84
Norwich,6.82,0.0,9.71,5.51
Santorini,5.38,0.0,8.71,4.7
Almaty,5.0,0.0,9.92,4.97
Shandong,6.85,0.0,0.0,2.28
Jeddah,6.45,10.0,0.0,5.48
Lubumbashi,7.14,0.0,9.72,5.62
Huatulco,0.0,0.0,0.0,0.0
Manchester,6.49,0.0,7.16,4.55
Minsk,6.79,0.0,10.0,5.6
Oranjestad,6.8,9.15,9.25,8.4
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9
Coolangatta,8.33,0.0,0.0,2.78
Nis,6.53,0.0,0.0,2.18
Katima Mulilo,4.76,0.0,0.0,1.59
Belgrade,6.83,0.0,9.37,5.4
Asyut,5.33,0.0,9.87,5.07
Cartagena de Indias,0.0,0.0,0.0,0.0
Copenhagen,6.83,0.0,9.4,5.41
Bournemouth,6.22,0.0,0.0,2.07
Weihai Dashuibo,6.75,9.96,4.71,7.14
Bydgoszcz,5.17,0.0,9.18,4.78
Charleroi,6.67,0.0,0.0,2.22
Manama,6.74,5.51,0.0,4.08
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54
Chattrapati Shivaji,5.05,0.0,0.0,1.68
Marsa Aalam,6.73,0.0,9.92,5.55
Batumi,6.83,0.0,9.5,5.44
Kuala Lumpur,6.52,9.17,0.0,5.23
Ouarzazate,6.83,10.0,6.95,7.93
Mombasa,9.0,0.0,0.0,3.0
Porto Alegre,6.85,10.0,7.68,8.18
Chengdu Tianfu,6.52,7.52,8.03,7.36
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92
Yerevan,6.67,0.0,3.45,3.37
Ciampino Airport,5.83,0.0,0.0,1.94
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33
Marka,6.89,0.0,0.0,2.3
Sevilla,6.44,0.0,0.0,2.15
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89
London City,6.8,0.0,8.87,5.22
Tel-Aviv,5.42,0.0,9.85,5.09
Tirstrup,0.0,0.0,0.0,0.0
Douala,7.0,0.0,10.0,5.67
Juba,6.9,0.0,0.0,2.3
Guernsey,5.56,0.0,0.62,2.06
Mangalore,4.87,0.0,6.95,3.94
Entebbe,4.8,0.0,9.61,4.8
Lulea,7.33,0.0,0.0,2.44
Guiyang Longdongbao,7.78,0.0,0.0,2.59
Islamabad,3.33,0.0,10.0,4.44
Puerto Vallarta,6.84,9.84,0.0,5.56
Warsaw,6.83,0.0,0.0,2.28
Novosibirsk,6.83,0.0,9.25,5.36
Zanzibar,5.44,0.0,0.0,1.81
Stockholm Arlanda,6.92,0.0,9.86,5.59
Zurich,6.27,10.0,8.13,8.13
Belize City,5.38,0.0,0.0,1.79
Jerez De La Frontera,6.91,0.0,7.78,4.9
Pointe-a-Pitre,6.35,10.0,8.73,8.36
Adana Airport,6.87,9.16,6.73,7.59
Voronezh,7.85,0.0,0.0,2.62
Juba (inactive),0.0,0.0,9.62,3.21
Santander,6.92,0.0,8.53,5.15
Lille,6.9,0.0,9.77,5.56
Alexandria,6.76,0.0,9.14,5.3
Cukurova Airport,6.86,9.08,0.0,5.31
Geneva,6.41,10.0,0.0,5.47
Bogota,6.84,9.9,6.66,7.8
Wroclaw,5.17,0.0,0.0,1.72
Kyiv,7.5,0.0,0.0,2.5
Daegu,6.13,8.34,0.0,4.82
Guadalajara,6.86,9.9,0.0,5.59
Ekaterinburg,6.79,0.0,8.39,5.06
Aomori,4.44,0.0,8.84,4.43
Cayenne,6.45,10.0,0.0,5.48
Kinshasa,6.92,0.0,0.0,2.31
Kuwait,6.05,9.94,0.0,5.33
Enfidha,6.85,9.99,8.55,8.46
Aswan,6.79,0.0,9.76,5.52
Espargos,6.5,10.0,9.41,8.64
Beauvais,6.53,0.0,0.0,2.18
Astrakhan,6.9,0.0,8.46,5.12
Paderborn,6.82,0.0,9.84,5.55
Dubai,6.57,8.82,9.07,8.15
Manila Downtown Shop,0.0,0.0,0.0,0.0
Birmingham,6.38,0.0,9.72,5.37
Malaga,6.48,0.0,0.0,2.16
Jieyang Chaoshan,6.71,0.0,0.0,2.24
Malmo,6.32,0.0,8.55,4.96
Kota Kinabalu,6.67,3.37,4.98,5.01
Rabil,6.09,10.0,9.57,8.55
Reus,6.26,0.0,9.78,5.35
Penang,6.67,10.0,8.58,8.42
DAMMAM,6.77,10.0,4.11,6.96
Palermo,6.86,0.0,9.23,5.36
Ibiza,6.46,0.0,0.0,2.15
Yancheng Nanyang,6.73,0.0,0.0,2.24
Luanda,6.9,0.0,0.0,2.3
Kayseri Airport,6.84,10.0,10.0,8.95
Milan - Malpensa,6.82,0.0,9.02,5.28
Venice,6.78,0.0,9.07,5.28
Cayenne (REC),0.0,0.0,10.0,3.33
Gaborone,7.78,0.0,0.21,2.66
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17
Monterrey,6.84,10.0,8.6,8.48
Granada,5.76,0.0,9.31,5.02
Brasilia,6.81,10.0,8.36,8.39
Salzburg,6.78,0.0,9.25,5.34
Cork,5.67,0.0,7.09,4.25
Lusaka,6.92,0.0,8.28,5.07
Thessaloniki,5.98,0.0,6.5,4.16
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88
Tbilisi,6.83,0.0,0.0,2.28
Tirana,6.19,0.0,9.65,5.28
Sierra Leone,5.42,0.0,9.8,5.07
Al Hoceima,6.67,0.0,9.52,5.4
San Jose,5.24,0.0,0.0,1.75
San Jose,5.24,0.0,9.42,4.89
Liverpool,6.47,0.0,0.0,2.16
Suleymania Airport,6.81,0.0,0.0,2.27
Karipur,4.87,0.0,3.69,2.85
Stuttgart,6.88,0.0,0.6,2.49
Ostrava,6.83,0.0,8.43,5.09
Oujda,6.55,10.0,5.62,7.39
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35
London Heathrow,6.55,0.0,9.17,5.24
