Location,Cat_A,Cat_B,Cat_D,Avg_Score
Paris Charles De Gaulle,6.67,10.0,8.44,8.37
Leopold Sedar Senghar,6.72,0.0,9.41,5.38
Quito,6.86,9.73,6.8,7.8
Jerba,6.47,9.98,0.0,5.48
Montpellier,6.88,0.0,9.71,5.53
Beira,8.75,0.0,0.0,2.92
Harare,10.0,0.0,0.0,3.33
Chongqing Jiangbei,5.99,9.91,9.99,8.63
Kralendijk (Bonaire),6.79,0.0,0.0,2.26
Togo,5.83,0.0,9.82,5.22
Samarkand,10.0,0.0,0.0,3.33
Samos,6.76,0.0,9.82,5.53
Helsinki-Vantaa,7.04,0.0,0.0,2.35
Edinburgh,6.47,0.0,9.52,5.33
Seoul,5.74,8.54,5.72,6.67
Marrakech,6.43,9.98,9.49,8.63
Heraklion Airport,6.75,10.0,8.52,8.42
Auckland,4.44,0.0,7.88,4.11
Kalibo,7.78,0.0,8.2,5.33
Bilbao,6.84,0.0,9.91,5.58
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33
Rabat,6.53,10.0,4.54,7.02
Sfax,6.12,10.0,8.65,8.26
Krasnoyarsk,6.88,0.0,9.48,5.45
Nice,6.77,10.0,0.0,5.59
Chisinau,7.76,0.0,0.0,2.59
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Tashkent,5.6,0.0,8.31,4.64
Nairobi,6.67,0.0,0.0,2.22
Yantai Penglai,6.03,9.97,0.06,5.35
Changzhou Benniu,6.91,0.0,0.0,2.3
Murcia,6.75,0.0,3.68,3.48
Sofia,6.75,0.0,1.33,2.69
Trondheim,6.79,0.0,2.82,3.2
La Paz El Alto,10.0,0.0,0.0,3.33
Lviv,7.36,0.0,0.0,2.45
Muan,6.56,10.0,0.04,5.53
Anna,4.87,0.0,0.0,1.62
Krakow Balice,6.79,0.0,9.81,5.53
Jeju,6.06,9.74,3.32,6.37
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72
Gabon,6.79,0.0,5.83,4.21
Dalaman Airport,6.79,0.0,0.0,2.26
Shanghai Pudong,5.93,3.57,9.66,6.39
Bridgetown,6.76,0.0,1.61,2.79
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98
Toulouse,6.86,10.0,0.0,5.62
Moscow - Vnukovo,6.74,0.0,8.86,5.2
Ufa,7.62,0.0,0.0,2.54
San Salvador Comalapa,6.84,9.8,7.84,8.16
Urumchi Diwobao,6.48,10.0,0.76,5.75
Kristiansand,7.6,0.0,0.0,2.53
Abuja,6.28,10.0,8.42,8.23
Doncaster,7.32,0.0,0.0,2.44
Santo Domingo Las Americas,6.8,9.64,4.3,6.91
Soekarno Hatta,6.85,10.0,9.83,8.89
Jaipur,4.87,0.0,0.0,1.62
Erbil International Airport,5.0,0.0,5.93,3.64
Cam Ranh,6.22,0.0,6.37,4.2
Almeria,6.36,0.0,9.17,5.18
Frankfurt,6.82,0.0,3.33,3.38
Chambery,6.86,0.0,0.0,2.29
Chubu,6.58,8.98,8.52,8.03
Hurgada,6.72,0.0,7.68,4.8
London Southend Airport,6.74,0.0,0.0,2.25
Dortmund,6.77,0.0,7.23,4.67
Vienna,6.77,0.0,8.52,5.1
Erfurt,10.0,0.0,0.0,3.33
Basrah,6.81,0.0,0.0,2.27
Ankara Airport,6.84,9.52,9.41,8.59
Quanzhou Jinjiang,0.0,0.0,7.98,2.66
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27
Ioannina,6.98,0.0,8.47,5.15
Incheon,6.08,9.64,4.3,6.67
Kyiv - Zhulyany,7.72,0.0,0.0,2.57
Shanghai Hongqiao,6.1,6.63,3.29,5.34
Antalya Airport,6.78,9.68,0.0,5.49
Phu Quok,6.87,0.0,9.04,5.3
Phnom Penh,6.75,4.28,8.24,6.42
Managua,6.87,9.46,5.83,7.39
Yangyang,6.67,10.0,0.0,5.56
RIYADH,6.81,10.0,2.77,6.53
Kharkiv,7.78,0.0,0.0,2.59
Miyazaki,6.67,0.0,0.0,2.22
Gothenburg,6.67,0.0,8.69,5.12
Tokyo - Haneda,5.05,0.0,8.23,4.43
Yinchuan Hedong,6.52,7.01,9.48,7.67
Cancun,6.84,9.86,8.84,8.51
Lisbon,6.86,0.0,8.54,5.13
Monastir,6.39,9.99,0.0,5.46
Treviso,5.69,0.0,9.87,5.19
Durban,6.74,10.0,9.78,8.84
Zakynthos,5.44,0.0,4.36,3.27
Katowice,5.0,0.0,9.82,4.94
Hebei,5.15,0.0,0.0,1.72
Hannover,6.79,0.0,0.0,2.26
Szczecin,6.89,0.0,0.0,2.3
Lagos,6.83,10.0,9.65,8.83
Barcelona,6.54,0.0,7.63,4.72
Shenzhen Bao'an,7.19,0.0,0.0,2.4
Accra,6.83,10.0,0.0,5.61
Zia,4.93,0.0,9.85,4.93
Tangier,6.6,9.99,5.72,7.44
Quanzhou,6.25,0.0,0.0,2.08
Salalah,6.73,0.0,0.0,2.24
Glasgow,6.48,0.0,0.01,2.16
Sandefjord-Torp,6.05,0.0,5.18,3.74
Odessa,7.62,0.0,10.0,5.87
Duesseldorf,6.8,0.0,7.15,4.65
Bari,5.78,0.0,8.85,4.88
Rosario,6.9,0.0,2.86,3.25
Cairo,6.79,10.0,0.0,5.6
Dresden,7.14,0.0,0.0,2.38
Wenzhou Longwan,6.55,4.7,9.97,7.07
Dalian Zhoushuizi,6.75,9.94,9.66,8.78
Lucknow,4.87,0.0,5.82,3.56
Rostov Don,7.81,0.0,0.0,2.6
Memmingen,10.0,0.0,0.0,3.33
Guayaquil,5.23,10.0,0.0,5.08
Sharjah,5.78,9.3,8.22,7.77
Aktau,10.0,0.0,0.0,3.33
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53
Hyderabad,5.18,0.0,0.0,1.73
Qingdao Liuting,6.05,9.88,9.87,8.6
Krasnodar,7.47,0.0,0.0,2.49
Mitilini,6.77,0.0,0.0,2.26
Karpathos,5.76,0.0,0.0,1.92
Tegucigalpa,9.0,0.0,0.0,3.0
Taichung,6.03,9.96,5.82,7.27
Mactan,6.67,0.0,0.0,2.22
Lanzarote,6.76,0.0,8.74,5.17
