Location,Cat_A,Cat_B,Cat_D,Avg_Score
Nador,6.86,9.99,6.85,7.9
Kuwait,6.05,9.94,0.0,5.33
Changzhou Benniu,6.91,0.0,0.0,2.3
Naples,6.04,0.0,7.68,4.57
Marka,6.89,0.0,0.0,2.3
Faro Airport,6.74,0.0,0.0,2.25
Moscow - Domodedovo,6.76,0.0,9.0,5.25
Cartagena de Indias,0.0,0.0,0.0,0.0
Ho Chi Minh,6.67,0.0,9.62,5.43
Zagreb,6.11,0.0,7.85,4.65
Venice,6.78,0.0,9.07,5.28
Liverpool,6.47,0.0,0.0,2.16
Yangon,5.77,0.0,9.23,5.0
Durban,6.74,10.0,9.78,8.84
Istanbul Airport,6.79,0.0,0.0,2.26
Male,5.33,0.0,8.94,4.76
Nouakchott,6.9,0.0,10.0,5.63
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88
Praia,6.85,10.0,9.57,8.81
Barcelona,6.54,0.0,7.63,4.72
Szczecin,6.89,0.0,0.0,2.3
Melbourne,6.76,0.0,9.04,5.27
Lodz,6.83,0.0,9.61,5.48
Yerevan,6.67,0.0,3.45,3.37
Stockholm Arlanda,6.92,0.0,9.86,5.59
Kristiansand,7.6,0.0,0.0,2.53
Nuernberg,6.86,0.0,0.0,2.29
Novosibirsk,6.83,0.0,9.25,5.36
Manas,6.15,0.0,0.0,2.05
Hefei Xinqiao,6.63,6.54,9.85,7.67
Porto,6.89,0.0,9.75,5.55
Gibraltar,5.33,0.0,10.0,5.11
Bergamo,6.86,0.0,9.3,5.39
Auckland,4.44,0.0,7.88,4.11
Doha,5.05,0.0,6.68,3.91
Puerto Vallarta,6.84,9.84,0.0,5.56
Gerona,6.44,0.0,9.72,5.39
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Astana,6.75,0.0,7.95,4.9
Granada,5.76,0.0,9.31,5.02
Nice,6.77,10.0,0.0,5.59
Mandalay,5.42,0.0,0.0,1.81
Recife,6.86,9.99,9.49,8.78
Moscow - Vnukovo,6.74,0.0,8.86,5.2
Exeter,6.72,0.0,0.0,2.24
Zakynthos,5.44,0.0,4.36,3.27
Natal,6.84,10.0,4.78,7.21
Samsun Airport,6.84,9.04,8.33,8.07
Queretaro,7.14,0.0,7.57,4.9
Glasgow,6.48,0.0,0.01,2.16
Belo Horizonte,6.85,10.0,0.0,5.62
Changchun Longjia,5.96,10.0,9.93,8.63
Bristol,6.47,0.0,10.0,5.49
Shanghai Pudong,5.93,3.57,9.66,6.39
Casablanca,6.47,9.97,9.92,8.79
Krakow Balice,6.79,0.0,9.81,5.53
Kinshasa,6.92,0.0,0.0,2.31
Moi,8.89,0.0,0.0,2.96
Chitose,4.94,0.0,7.94,4.29
Jersey,6.67,0.0,9.91,5.53
DAMMAM,6.77,10.0,4.11,6.96
Quanzhou,6.25,0.0,0.0,2.08
London Gatwick,6.58,0.0,0.0,2.19
Marseille,6.76,10.0,8.01,8.26
Prague,6.07,0.0,0.0,2.02
Perth,6.71,10.0,0.0,5.57
Amsterdam - Schiphol,6.79,0.0,0.0,2.26
Essaouira,6.84,9.99,10.0,8.94
Pengsheng,5.0,0.0,0.44,1.81
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26
Ufa,7.62,0.0,0.0,2.54
Seoul,5.74,8.54,5.72,6.67
Palermo,6.86,0.0,9.23,5.36
Manama,6.74,5.51,0.0,4.08
Billund,6.67,0.0,9.35,5.34
Batumi,6.83,0.0,9.5,5.44
Bangalore,6.18,10.0,6.2,7.46
Panama Tocumen,6.79,9.96,7.83,8.19
Aarhus,6.67,0.0,0.0,2.22
Hamburg,6.82,0.0,5.53,4.12
Denizli Cardak Airport,6.85,9.34,8.75,8.31
Kralendijk (Bonaire),6.79,0.0,0.0,2.26
Luanda,6.9,0.0,0.0,2.3
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35
Rabat,6.53,10.0,4.54,7.02
Mangalore,4.87,0.0,6.95,3.94
Espargos,6.5,10.0,9.41,8.64
Varna,6.76,0.0,1.61,2.79
Cairo,6.79,10.0,0.0,5.6
A Coruna,6.92,0.0,9.35,5.42
Warsaw,6.83,0.0,0.0,2.28
Heraklion Airport,6.75,10.0,8.52,8.42
Shandong,6.85,0.0,0.0,2.28
Hrabrovo,7.62,0.0,0.0,2.54
Aalborg,6.67,0.0,0.0,2.22
Curacao,6.75,0.0,0.0,2.25
Bodrum Airport,6.75,9.61,9.37,8.58
Manchester,6.49,0.0,7.16,4.55
Dresden,7.14,0.0,0.0,2.38
Rabil,6.09,10.0,9.57,8.55
Jeddah,6.45,10.0,0.0,5.48
Jerez De La Frontera,6.91,0.0,7.78,4.9
Cukurova Airport,6.86,9.08,0.0,5.31
Aomori,4.44,0.0,8.84,4.43
Malaga,6.48,0.0,0.0,2.16
Asturias,6.97,0.0,0.0,2.32
Iloilo,0.0,0.0,0.0,0.0
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33
Osaka - Kansai,6.58,5.08,9.03,6.9
RIYADH,6.81,10.0,2.77,6.53
Gran Canaria,6.76,0.0,6.68,4.48
Paramaribo,6.79,0.0,4.13,3.64
Santiago Cibao,6.79,2.39,1.31,3.5
Belgrade,6.83,0.0,9.37,5.4
Kunming Wujiaba,6.16,9.99,7.04,7.73
Shymkent,7.92,0.0,0.0,2.64
Ciampino Airport,5.83,0.0,0.0,1.94
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13
Rome Fiumicino,6.87,0.0,9.63,5.5
Suleymania Airport,6.81,0.0,0.0,2.27
Salalah,6.73,0.0,0.0,2.24
Olsztyn,6.84,0.0,0.0,2.28
Yingsheng,10.0,0.0,0.0,3.33
Yangyang,6.67,10.0,0.0,5.56
Lusaka,6.92,0.0,8.28,5.07
Entebbe,4.8,0.0,9.61,4.8
Miyazaki,6.67,0.0,0.0,2.22
Jerba,6.47,9.98,0.0,5.48
Cordoba,6.89,0.0,0.0,2.3
Guangzhou Baiyun,6.09,9.75,9.98,8.61
Gaziantep Airport,6.85,8.92,9.82,8.53
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89
Sandefjord-Torp,6.05,0.0,5.18,3.74
Lviv,7.36,0.0,0.0,2.45
Porto Alegre,6.85,10.0,7.68,8.18
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3
Thessaloniki,5.98,0.0,6.5,4.16
Reus,6.26,0.0,9.78,5.35
Oujda,6.55,10.0,5.62,7.39
Johor Bahru,6.13,7.84,9.07,7.68
Addis Ababa,6.81,10.0,7.26,8.02
PRISTINA,6.93,0.0,8.04,4.99
Mahon Airport,6.26,0.0,9.77,5.34
Phu Quok,6.87,0.0,9.04,5.3
Dubrovnik,7.78,0.0,9.32,5.7
Leeds Bradford,6.23,0.0,9.19,5.14
Beijing,5.91,6.27,0.0,4.06
Tokyo - Narita,6.55,9.51,8.71,8.26
London Southend Airport,6.74,0.0,0.0,2.25
Accra,6.83,10.0,0.0,5.61
Jaipur,4.87,0.0,0.0,1.62
Xian Xianyang,6.49,9.82,5.73,7.35
Krasnoyarsk,6.88,0.0,9.48,5.45
Phnom Penh,6.75,4.28,8.24,6.42
Lucknow,4.87,0.0,5.82,3.56
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88
Manila Downtown Shop,0.0,0.0,0.0,0.0
Beijing Daxing,0.0,0.0,6.8,2.27
Punta del Este,3.33,0.0,0.0,1.11
Aswan,6.79,0.0,9.76,5.52
Hannover,6.79,0.0,0.0,2.26
Alexandoupolis,5.71,0.0,0.0,1.9
Tel-Aviv,5.42,0.0,9.85,5.09
Fuzhou Changle,6.02,10.0,6.37,7.46
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17
Nairobi,6.67,0.0,0.0,2.22
Malmo,6.32,0.0,8.55,4.96
Douala,7.0,0.0,10.0,5.67
Ibaraki,4.44,0.0,6.8,3.75
Dushanbe,7.86,0.0,0.0,2.62
Birmingham,6.38,0.0,9.72,5.37
Diyarbakir Airport,6.84,8.53,0.0,5.12
Mazatlan,6.85,9.32,10.0,8.72
Juba (inactive),0.0,0.0,9.62,3.21
Fortaleza,6.87,10.0,7.68,8.18
Antalya Airport,6.78,9.68,0.0,5.49
Kuala Lumpur,6.52,9.17,0.0,5.23
Soekarno Hatta,6.85,10.0,9.83,8.89
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92
Baghdad,6.78,0.0,0.0,2.26
Poznan-Lawica,4.81,0.0,0.0,1.6
Khabarovsk,7.67,0.0,0.0,2.56
Danang Downtown Shop,0.0,0.0,0.0,0.0
Goa,4.87,0.0,7.18,4.02
