Location,Cat_A,Cat_B,Cat_D,Avg_Score
Zakynthos,5.44,0.0,4.36,3.27
Jerez De La Frontera,6.91,0.0,7.78,4.9
Corfu,5.59,10.0,6.7,7.43
Melbourne,6.76,0.0,9.04,5.27
Doha,5.05,0.0,6.68,3.91
Edinburgh,6.47,0.0,9.52,5.33
Punta Cana - Higuey,6.78,9.82,8.31,8.3
Santiago Cibao,6.79,2.39,1.31,3.5
Verona,6.83,0.0,10.0,5.61
Sharjah,5.78,9.3,8.22,7.77
Izmir Airport,6.82,9.62,9.85,8.76
Belize City,5.38,0.0,0.0,1.79
Ciampino Airport,5.83,0.0,0.0,1.94
Yaounde,8.15,0.0,0.0,2.72
Oslo,6.78,0.0,0.0,2.26
Tuzla,4.91,0.0,9.87,4.93
Murcia,6.75,0.0,3.68,3.48
Brasilia,6.81,10.0,8.36,8.39
St. George's Point Saline,6.81,10.0,9.62,8.81
Athens,6.26,10.0,8.18,8.15
Durban,6.74,10.0,9.78,8.84
La Palma,5.96,0.0,9.07,5.01
Bordeaux,6.5,10.0,1.54,6.01
Pisa,6.85,0.0,9.4,5.42
Okayama,6.44,9.93,3.69,6.69
Baghdad,6.78,0.0,0.0,2.26
Urumchi Diwobao,6.48,10.0,0.76,5.75
Phnom Penh,6.75,4.28,8.24,6.42
Nairobi,6.67,0.0,0.0,2.22
Manama,6.74,5.51,0.0,4.08
Samarkand,10.0,0.0,0.0,3.33
Jinan Xiaoqiang,6.67,5.9,10.0,7.52
Niamey,5.0,0.0,0.0,1.67
Montevideo,6.67,0.0,2.86,3.18
Alexandoupolis,5.71,0.0,0.0,1.9
Lima,6.77,9.99,9.6,8.79
Aalborg,6.67,0.0,0.0,2.22
Marseille,6.76,10.0,8.01,8.26
Samana El Catey,6.85,10.0,8.27,8.37
Nanning Wuxu,6.7,9.38,9.96,8.68
Beauvais,6.53,0.0,0.0,2.18
Sharm El Sheikh,6.78,0.0,9.19,5.32
Xian Xianyang,6.49,9.82,5.73,7.35
Cork,5.67,0.0,7.09,4.25
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Tokyo - Shinjuku,0.0,0.0,0.0,0.0
Seoul,5.74,8.54,5.72,6.67
Fukuoka,6.51,9.46,0.0,5.32
Diyarbakir Airport,6.84,8.53,0.0,5.12
Frankfurt,6.82,0.0,3.33,3.38
Cairns,7.08,0.0,6.9,4.66
Alicante,6.32,0.0,8.22,4.85
Hyderabad,5.18,0.0,0.0,1.73
Bournemouth,6.22,0.0,0.0,2.07
Palma De Mallorca,6.48,0.0,7.17,4.55
Enfidha,6.85,9.99,8.55,8.46
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76
Perth,6.71,10.0,0.0,5.57
Auckland,4.44,0.0,7.88,4.11
Weihai Dashuibo,6.75,9.96,4.71,7.14
Cancun,6.84,9.86,8.84,8.51
Togo,5.83,0.0,9.82,5.22
Madeira,6.67,0.0,9.0,5.22
Espargos,6.5,10.0,9.41,8.64
Chania,5.86,0.0,7.93,4.6
Istanbul Airport,6.79,0.0,0.0,2.26
Faroe Islands,6.67,0.0,9.55,5.41
Bodrum Airport,6.75,9.61,9.37,8.58
East Midlands,6.15,0.0,9.41,5.19
Kaunas,6.94,0.0,9.5,5.48
Minsk,6.79,0.0,10.0,5.6
Danang Downtown Shop,0.0,0.0,0.0,0.0
Zurich,6.27,10.0,8.13,8.13
Monastir,6.39,9.99,0.0,5.46
Palermo,6.86,0.0,9.23,5.36
Norwich,6.82,0.0,9.71,5.51
Johannesburg,6.82,10.0,8.94,8.59
Manchester,6.49,0.0,7.16,4.55
Charleroi,6.67,0.0,0.0,2.22
Essaouira,6.84,9.99,10.0,8.94
Dar Es Salaam,6.5,10.0,0.0,5.5
Rotterdam,6.92,0.0,1.1,2.67
Rio de Janeiro,6.82,10.0,8.71,8.51
Nanchang Changbei,6.62,10.0,9.96,8.86
Bridgetown,6.76,0.0,1.61,2.79
Juba (inactive),0.0,0.0,9.62,3.21
Asyut,5.33,0.0,9.87,5.07
Bergamo,6.86,0.0,9.3,5.39
Shanghai Pudong,5.93,3.57,9.66,6.39
Zaporizhya,8.04,0.0,0.0,2.68
Tenerife,6.76,0.0,0.0,2.25
Venice,6.78,0.0,9.07,5.28
Guernsey,5.56,0.0,0.62,2.06
Changsha Huanghua,6.52,9.45,10.0,8.66
Amritsar,4.87,0.0,6.89,3.92
DAMMAM,6.77,10.0,4.11,6.96
Skopje,6.8,0.0,8.45,5.08
Almaty,5.0,0.0,9.92,4.97
Tirstrup,0.0,0.0,0.0,0.0
Glasgow Prestwick,6.36,0.0,6.82,4.39
Lisbon,6.86,0.0,8.54,5.13
Soekarno Hatta,6.85,10.0,9.83,8.89
Ibaraki,4.44,0.0,6.8,3.75
Munster-Osnabruck,4.9,0.0,6.56,3.82
Oranjestad,6.8,9.15,9.25,8.4
Cairo,6.79,10.0,0.0,5.6
Islamabad,3.33,0.0,10.0,4.44
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9
Kavala,5.52,0.0,9.8,5.11
Baku,4.94,0.0,9.91,4.95
Reus,6.26,0.0,9.78,5.35
Santo Domingo Las Americas,6.8,9.64,4.3,6.91
Genoa,5.76,0.0,0.0,1.92
Ras El Khaymah,6.8,0.0,2.11,2.97
Samos,6.76,0.0,9.82,5.53
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26
Salvador,6.84,10.0,9.09,8.64
Tarbes - Lourdes,6.67,10.0,9.5,8.72
Trabzon Airport,6.84,5.39,9.92,7.38
Riga,6.9,0.0,4.95,3.95
Incheon,6.08,9.64,4.3,6.67
Liberia,5.24,0.0,3.2,2.81
Vladivostok,9.67,0.0,0.0,3.22
Conakry,9.17,0.0,0.0,3.06
Tegucigalpa,9.0,0.0,0.0,3.0
Antigua,6.79,0.0,0.0,2.26
Xuzhou Guanyin,6.75,3.08,0.0,3.28
Sofia,6.75,0.0,1.33,2.69
Djibouti,5.0,0.0,0.0,1.67
Krakow Balice,6.79,0.0,9.81,5.53
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98
Eindhoven,6.88,0.0,0.0,2.29
Valencia,6.5,0.0,0.0,2.17
Treviso,5.69,0.0,9.87,5.19
Szczecin,6.89,0.0,0.0,2.3
Ostrava,6.83,0.0,8.43,5.09
Aberdeen,6.44,0.0,9.6,5.35
Jersey,6.67,0.0,9.91,5.53
Kharkiv,7.78,0.0,0.0,2.59
A Coruna,6.92,0.0,9.35,5.42
Aktio,6.05,0.0,10.0,5.35
Stuttgart,6.88,0.0,0.6,2.49
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54
Bremen,6.77,0.0,0.0,2.26
Johor Bahru,6.13,7.84,9.07,7.68
Zadar,8.89,0.0,0.0,2.96
Paris Orly,6.76,10.0,0.0,5.59
Zanzibar,5.44,0.0,0.0,1.81
Tel-Aviv,5.42,0.0,9.85,5.09
Kuala Lumpur,6.52,9.17,0.0,5.23
Ibiza,6.46,0.0,0.0,2.15
Dalian Zhoushuizi,6.75,9.94,9.66,8.78
Santorini,5.38,0.0,8.71,4.7
Astrakhan,6.9,0.0,8.46,5.12
Newcastle,6.47,0.0,6.18,4.22
Lanzarote,6.76,0.0,8.74,5.17
Kinshasa,6.92,0.0,0.0,2.31
Konya Airport,6.87,8.06,9.87,8.27
Porto,6.89,0.0,9.75,5.55
Dnipropetrovsk,8.0,0.0,0.0,2.67
Banja Luka,6.67,0.0,10.0,5.56
Bydgoszcz,5.17,0.0,9.18,4.78
Chengdu Tianfu,6.52,7.52,8.03,7.36
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58
Karipur,4.87,0.0,3.69,2.85
Mitilini,6.77,0.0,0.0,2.26
Bujumbura,5.0,0.0,9.37,4.79
Ulaanbaatar,6.67,0.0,0.0,2.22
Jerba,6.47,9.98,0.0,5.48
Dubrovnik,7.78,0.0,9.32,5.7
Chitose,4.94,0.0,7.94,4.29
Copenhagen,6.83,0.0,9.4,5.41
Jeju,6.06,9.74,3.32,6.37
Fortaleza,6.87,10.0,7.68,8.18
Tunis,6.4,9.99,8.87,8.42
