Location,Cat_A
Puerto Plata,7.35
Split,8.34
Samsun Airport,6.54
Manila - Ninoy Aquino,7.31
Yantai Penglai,7.16
Almeria,7.06
Medellin Jose Maria Cordova,5.78
Bologna,6.96
Praia,6.68
Piarco,5.89
La Palma,5.92
Gabon,7.39
Dar Es Salaam,7.4
Southampton,2.87
Pisa,6.12
Mykonos,6.73
Windhoek,5.6
Cardiff,4.7
Charleroi,7.3
Penang,6.32
Aqaba,6.56
Wenzhou Longwan,5.91
Adana Airport,6.04
Fuzhou Changle,8.17
Luxor,7.56
Belize City,5.88
Beauvais,5.67
Milan - Linate,6.7
Skiathos,5.97
Cologne,6.01
Nanning Wuxu,6.96
Sanya Fenghuang,7.03
Ohrid,5.27
Managua,6.48
Banjul,8.21
Melbourne,5.81
Astana,6.01
Aktio,6.61
Fortaleza,6.51
Bandaranaike,7.08
London City,7.01
Kingston,6.95
Moscow - Domodedovo,5.09
Siem Reap,7.9
Palermo,6.1
Jerez De La Frontera,6.69
Faroe Islands,5.43
Ouarzazate,7.97
Astrakhan,5.91
Hefei Xinqiao,5.43
Lubumbashi,7.93
Tulear,4.44
Helsinki-Vantaa,7.78
Wuxi Shuofang,4.23
Wellington,7.48
Zagreb,6.4
Diyarbakir Airport,5.9
Jinan Xiaoqiang,4.95
Salzburg,6.64
Eindhoven,5.8
Florence,6.61
Dubrovnik,10.0
Zhengzhou Xinzheng,7.89
Santander,8.21
St. Petersburg Pulkovo,5.09
Krasnoyarsk,7.37
Conakry,6.13
Bournemouth,4.9
Lagos,6.78
Viracopos,7.14
Kota Kinabalu,4.18
Nouakchott,6.51
Monterrey,5.68
La Romana,6.71
Dresden,6.66
Bremen,6.41
Torino,6.31
Niamey,6.52
Bari,6.48
Perth,4.69
Cozumel,7.22
Djibouti,6.1
Port-au-Prince (Haiti),6.39
Sochi,5.27
Durban,4.04
Yangon,6.82
Sendai,6.28
Madeira,6.19
Asturias,7.1
Volgograd,7.0
Mendoza,5.73
Lille,7.03
Salvador,6.0
Takamatsu,6.63
Cordoba,5.43
Exeter,7.11
Kilimanjaro,7.97
Douala,6.53
Weihai Dashuibo,6.4
Brisbane,5.85
Lusaka,5.05
Antigua,6.63
Munster-Osnabruck,5.33
Rotterdam,8.01
Paderborn,3.58
Phu Quok,8.06
Genoa,6.97
Kigali,4.66
Dortmund,6.65
Mombasa,5.65
Malmo,7.34
Mazatlan,6.82
Dalian Zhoushuizi,6.64
Mudanjiang Hailang,6.85
La Paz Manuel Marquez de Leon,7.55
Konya Airport,5.94
Hiroshima,5.67
Okayama,6.22
Nanchang Changbei,8.5
Belo Horizonte,6.78
Pula,4.95
Liberia,3.47
Abuja,6.57
Yangyang,5.39
A Coruna,7.86
Norwich,7.3
Aalborg,7.83
Auckland,4.0
Treviso,5.87
Ramon,5.72
Ekaterinburg,6.2
Kutahya Airport,5.31
Samana El Catey,7.56
Minsk,5.32
Humberside,6.8
Min Vody,8.04
St. George's Point Saline,6.95
Katima Mulilo,5.34
Graz,6.81
Kavala,6.22
Natal,6.62
Florianopolis,6.27
Grenoble,8.06
Ostrava,6.73
Sydney,6.67
Tarbes - Lourdes,6.43
Brasilia,7.52
Zadar,7.58
Porto Alegre,6.98
Harbin Taiping,10.0
Recife,7.16
Mitilini,8.29
Amritsar,5.75
Anna,6.45
Goa,6.0
Jaipur,5.71
Karipur,6.82
Lucknow,5.29
Mangalore,5.53
Netaji Subhash Chandra Bose Int. Airport,6.0
Sardar Vallabh Bhai Patel,6.32
Trichy,5.73
Granada,6.85
Yinchuan Hedong,6.48
Gaborone,6.02
Haiphong,9.5
Sierra Leone,6.68
Chambery,8.07
London Southend Airport,8.82
Bujumbura,6.54
Ixtapa Zihuatanejo,7.12
Shizuoka,8.53
Vaxjo,8.67
Basseterre (Saint Kitts),5.97
Strasbourg,6.86
Maputo,8.35
Samarkand,6.25
Denizli Cardak Airport,7.01
Queretaro,6.66
Shandong,7.32
Kagoshima,3.93
Tozeur,7.44
Kinshasa,7.48
Acapulco,5.34
Samos,6.73
Samara,3.49
Rosario,5.53
Cairns,8.56
Kalibo,7.63
Lulea,6.26
Nykoping,8.97
Quanzhou,6.17
Erfurt,7.83
Sihanoukville,5.81
Miyazaki,6.66
Xuzhou Guanyin,5.94
Karpathos,4.86
Oita,8.88
Bariloche,9.45
Radom,6.14
Aktau,6.4
Umea,8.17
Fukushima,6.62
Coolangatta,5.52
Marka,5.5
Ioannina,5.18
Hatay Airport,4.0
Shymkent,7.08
Kazan,7.59
Gothenburg,6.99
Luanda ,6.39
Manama ,6.48
Lanzarote,4.34
Aarhus,5.05
Glasgow Prestwick,5.79
Queenstown,4.49
Juba,5.62
