Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Sierra Leone,5.42,0.0,9.8,5.07,1
Bourgas,6.2,0.0,0.6,2.27,2
Durban,6.74,10.0,9.78,8.84,0
Wenzhou Longwan,6.55,4.7,9.97,7.07,1
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53,2
Roland Garros,6.67,10.0,7.17,7.95,0
Yangyang,6.67,10.0,0.0,5.56,3
Glasgow Prestwick,6.36,0.0,6.82,4.39,1
Indira Gandhi,5.25,0.0,0.0,1.75,2
Cancun,6.84,9.86,8.84,8.51,0
Yantai Penglai,6.03,9.97,0.06,5.35,3
Bangalore,6.18,10.0,6.2,7.46,0
Chitose,4.94,0.0,7.94,4.29,1
Male,5.33,0.0,8.94,4.76,1
Volgograd,6.88,0.0,6.99,4.62,1
Cairo,6.79,10.0,0.0,5.6,3
Anna,4.87,0.0,0.0,1.62,2
Lublin,6.82,0.0,0.0,2.27,2
Suleymania Airport,6.81,0.0,0.0,2.27,2
Astrakhan,6.9,0.0,8.46,5.12,1
Chania,5.86,0.0,7.93,4.6,1
Kutaisi,6.78,0.0,8.84,5.21,1
Oujda,6.55,10.0,5.62,7.39,0
Genoa,5.76,0.0,0.0,1.92,2
Taichung,6.03,9.96,5.82,7.27,0
Southampton,6.71,0.0,0.0,2.24,2
Aktau,10.0,0.0,0.0,3.33,2
Phnom Penh,6.75,4.28,8.24,6.42,1
Guadalajara,6.86,9.9,0.0,5.59,3
Ulaanbaatar,6.67,0.0,0.0,2.22,2
Jaipur,4.87,0.0,0.0,1.62,2
Cologne,6.91,0.0,6.04,4.32,1
Juba,6.9,0.0,0.0,2.3,2
Stavanger,6.78,0.0,9.28,5.35,1
Hatay Airport,9.52,0.0,0.0,3.17,2
Bydgoszcz,5.17,0.0,9.18,4.78,1
Cam Ranh,6.22,0.0,6.37,4.2,1
Sarajevo,4.91,0.0,9.61,4.84,1
Guayaquil,5.23,10.0,0.0,5.08,3
Istanbul Airport,6.79,0.0,0.0,2.26,2
Almeria,6.36,0.0,9.17,5.18,1
London City,6.8,0.0,8.87,5.22,1
Aqaba,6.86,10.0,0.0,5.62,3
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76,2
Luanda,6.9,0.0,0.0,2.3,2
Kralendijk (Bonaire),6.79,0.0,0.0,2.26,2
Tbilisi,6.83,0.0,0.0,2.28,2
Yaounde,8.15,0.0,0.0,2.72,2
Lima,6.77,9.99,9.6,8.79,0
Taipei - Taoyuan,5.89,9.97,4.43,6.76,3
Cochin,6.67,0.0,8.29,4.99,1
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89,0
Leopold Sedar Senghar,6.72,0.0,9.41,5.38,1
Basel,6.35,10.0,4.59,6.98,3
