Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Copenhagen,6.83,0.0,9.4,5.41,1
Samarkand,10.0,0.0,0.0,3.33,2
Bournemouth,6.22,0.0,0.0,2.07,2
Samsun Airport,6.84,9.04,8.33,8.07,0
Kigali,4.89,0.0,7.83,4.24,1
Recife,6.86,9.99,9.49,8.78,0
Rabat,6.53,10.0,4.54,7.02,3
Salalah,6.73,0.0,0.0,2.24,2
Krakow Balice,6.79,0.0,9.81,5.53,1
Ufa,7.62,0.0,0.0,2.54,2
Samos,6.76,0.0,9.82,5.53,1
Weihai Dashuibo,6.75,9.96,4.71,7.14,3
Macau,6.67,10.0,8.03,8.23,0
A Coruna,6.92,0.0,9.35,5.42,1
Zanzibar,5.44,0.0,0.0,1.81,2
Birmingham,6.38,0.0,9.72,5.37,1
Granada,5.76,0.0,9.31,5.02,1
Karpathos,5.76,0.0,0.0,1.92,2
Bergen,6.81,0.0,5.7,4.17,1
Brasilia,6.81,10.0,8.36,8.39,0
Moscow - Domodedovo,6.76,0.0,9.0,5.25,1
Kos,6.72,0.0,0.0,2.24,2
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17,1
Perth,6.71,10.0,0.0,5.57,3
Jeju (downtown),0.0,0.12,0.0,0.04,2
Al Hoceima,6.67,0.0,9.52,5.4,1
Cartagena de Indias,0.0,0.0,0.0,0.0,2
DAMMAM,6.77,10.0,4.11,6.96,3
Riga,6.9,0.0,4.95,3.95,1
Warsaw,6.83,0.0,0.0,2.28,2
Gaziantep Airport,6.85,8.92,9.82,8.53,0
Lodz,6.83,0.0,9.61,5.48,1
Bandaranaike,5.1,0.0,9.66,4.92,1
Naha,4.94,0.0,6.2,3.71,1
Baku,4.94,0.0,9.91,4.95,1
Shymkent,7.92,0.0,0.0,2.64,2
Singapore - Changi,6.83,0.0,7.65,4.83,1
Fukuoka,6.51,9.46,0.0,5.32,3
Jerba,6.47,9.98,0.0,5.48,3
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88,2
Baghdad,6.78,0.0,0.0,2.26,2
Edinburgh,6.47,0.0,9.52,5.33,1
Trondheim,6.79,0.0,2.82,3.2,2
Seoul (downtown),0.0,0.35,0.0,0.12,2
Mudanjiang Hailang,6.71,8.45,0.0,5.05,3
Moi,8.89,0.0,0.0,2.96,2
Dublin,5.83,0.0,3.3,3.04,2
Doncaster,7.32,0.0,0.0,2.44,2
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54,1
Kaunas,6.94,0.0,9.5,5.48,1
Katima Mulilo,4.76,0.0,0.0,1.59,2
Marseille,6.76,10.0,8.01,8.26,0
Katowice,5.0,0.0,9.82,4.94,1
Busan - Kimhae,6.02,9.85,0.52,5.46,3
Kharkiv,7.78,0.0,0.0,2.59,2
Juba (inactive),0.0,0.0,9.62,3.21,1
Cali,6.8,8.86,5.97,7.21,0
Guangzhou Baiyun,6.09,9.75,9.98,8.61,0
Seoul,5.74,8.54,5.72,6.67,0
Torino,5.78,0.0,1.33,2.37,2
Mandalay,5.42,0.0,0.0,1.81,2
Vilnius,6.94,0.0,0.0,2.31,2
Port Louis,5.24,0.0,9.84,5.03,1
Shenzhen Bao'an,7.19,0.0,0.0,2.4,2
Paris Charles De Gaulle,6.67,10.0,8.44,8.37,0
Exeter,6.72,0.0,0.0,2.24,2
Liverpool,6.47,0.0,0.0,2.16,2
Heraklion Airport,6.75,10.0,8.52,8.42,0
Accra,6.83,10.0,0.0,5.61,3
Madrid Barajas,6.83,0.0,9.6,5.48,1
Belize City,5.38,0.0,0.0,1.79,2
Graz,6.79,0.0,10.0,5.6,1
Lucknow,4.87,0.0,5.82,3.56,1
Bristol,6.47,0.0,10.0,5.49,1
Qingdao Liuting,6.05,9.88,9.87,8.6,0
Espargos,6.5,10.0,9.41,8.64,0
Okayama,6.44,9.93,3.69,6.69,3
Toulouse,6.86,10.0,0.0,5.62,3
Everrich Downtown Kinmen,5.89,9.96,4.05,6.63,3
Ibiza,6.46,0.0,0.0,2.15,2
Bangui,8.33,0.0,0.0,2.78,2
Sochi,6.75,0.0,2.77,3.17,2
Beauvais,6.53,0.0,0.0,2.18,2
Kavala,5.52,0.0,9.8,5.11,1
Wellington,8.57,0.0,0.0,2.86,2
Aswan,6.79,0.0,9.76,5.52,1
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98,1
Sanya Fenghuang,6.71,0.0,0.0,2.24,2
Leeds Bradford,6.23,0.0,9.19,5.14,1
Hebei,5.15,0.0,0.0,1.72,2
Prague,6.07,0.0,0.0,2.02,2
Sharjah,5.78,9.3,8.22,7.77,0
Addis Ababa,6.81,10.0,7.26,8.02,0
Windhoek,6.67,0.0,0.0,2.22,2
Chongqing Jiangbei,5.99,9.91,9.99,8.63,0
Zakynthos,5.44,0.0,4.36,3.27,2
Nanjing Lukou,5.42,5.52,0.76,3.9,3
Paris Orly,6.76,10.0,0.0,5.59,3
Ouarzazate,6.83,10.0,6.95,7.93,0
Tarbes - Lourdes,6.67,10.0,9.5,8.72,0
Hyderabad,5.18,0.0,0.0,1.73,2
Umea,7.08,0.0,9.71,5.6,1
Trichy,4.87,0.0,6.82,3.9,1
Bamako,6.89,0.0,10.0,5.63,1
Montevideo,6.67,0.0,2.86,3.18,2
Bologna,5.78,0.0,6.35,4.04,1
Cayenne,6.45,10.0,0.0,5.48,3
Islamabad,3.33,0.0,10.0,4.44,1
Hurgada,6.72,0.0,7.68,4.8,1
Auckland,4.44,0.0,7.88,4.11,1
Diyarbakir Airport,6.84,8.53,0.0,5.12,3
Salzburg,6.78,0.0,9.25,5.34,1
Mangalore,4.87,0.0,6.95,3.94,1
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35,3
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33,2
Santo Domingo Las Americas,6.8,9.64,4.3,6.91,3
Siem Reap,7.16,0.0,0.0,2.39,2
Muan,6.56,10.0,0.04,5.53,3
Xiamen Gaoqi,6.11,9.95,8.23,8.1,0
Szczecin,6.89,0.0,0.0,2.3,2
Cozumel,6.87,10.0,0.0,5.62,3
Astana,6.75,0.0,7.95,4.9,1
Wroclaw,5.17,0.0,0.0,1.72,2
Huatulco,0.0,0.0,0.0,0.0,2
Lanzarote,6.76,0.0,8.74,5.17,1
Christchurch,4.44,0.0,0.0,1.48,2
Abuja,6.28,10.0,8.42,8.23,0
Mitilini,6.77,0.0,0.0,2.26,2
Billund,6.67,0.0,9.35,5.34,1
Jersey,6.67,0.0,9.91,5.53,1
Piarco,6.67,0.0,2.88,3.18,2
Odessa,7.62,0.0,10.0,5.87,1
Jerez De La Frontera,6.91,0.0,7.78,4.9,1
Cairns,7.08,0.0,6.9,4.66,1
Ostrava,6.83,0.0,8.43,5.09,1
Nis,6.53,0.0,0.0,2.18,2
Marsa Aalam,6.73,0.0,9.92,5.55,1
Lviv,7.36,0.0,0.0,2.45,2
Kristiansand,7.6,0.0,0.0,2.53,2
Takamatsu,5.0,0.0,3.78,2.93,2
Ngurah Rai,6.76,9.96,9.16,8.63,0
Jomo Kenyatta,6.42,9.99,6.99,7.8,0
Luxor,6.79,0.0,8.96,5.25,1
Yinchuan Hedong,6.52,7.01,9.48,7.67,0
Kilimanjaro,6.75,0.0,10.0,5.58,1
Oita,7.22,0.0,0.0,2.41,2
Vaxjo,4.67,0.0,0.0,1.56,2
Cayenne (REC),0.0,0.0,10.0,3.33,1
Varna,6.76,0.0,1.61,2.79,2
Banjul,6.9,0.0,0.0,2.3,2
Santander,6.92,0.0,8.53,5.15,1
Gran Canaria,6.76,0.0,6.68,4.48,1
Bodrum Airport,6.75,9.61,9.37,8.58,0
Ekaterinburg,6.79,0.0,8.39,5.06,1
Dalaman Airport,6.79,0.0,0.0,2.26,2
Urumchi Diwobao,6.48,10.0,0.76,5.75,3
Amritsar,4.87,0.0,6.89,3.92,1
Olsztyn,6.84,0.0,0.0,2.28,2
Naples,6.04,0.0,7.68,4.57,1
Amsterdam - Schiphol,6.79,0.0,0.0,2.26,2
Belo Horizonte,6.85,10.0,0.0,5.62,3
Zhukovsky,0.0,0.0,0.0,0.0,2
Muscat,6.78,0.0,7.26,4.68,1
Verona,6.83,0.0,10.0,5.61,1
Brno,4.44,0.0,9.84,4.76,1
Mactan,6.67,0.0,0.0,2.22,2
Bari,5.78,0.0,8.85,4.88,1
Minsk,6.79,0.0,10.0,5.6,1
Bremen,6.77,0.0,0.0,2.26,2
Sevilla,6.44,0.0,0.0,2.15,2
Aktio,6.05,0.0,10.0,5.35,1
Malaga,6.48,0.0,0.0,2.16,2
Eindhoven,6.88,0.0,0.0,2.29,2
Grenoble,6.35,10.0,10.0,8.78,0
Conakry,9.17,0.0,0.0,3.06,2
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67,1
Adana Airport,6.87,9.16,6.73,7.59,0
Djibouti,5.0,0.0,0.0,1.67,2
Montpellier,6.88,0.0,9.71,5.53,1
Alexandoupolis,5.71,0.0,0.0,1.9,2
Penang,6.67,10.0,8.58,8.42,0
Nantes,6.6,10.0,9.37,8.66,0
Athens,6.26,10.0,8.18,8.15,0
Rotterdam,6.92,0.0,1.1,2.67,2
Krasnoyarsk,6.88,0.0,9.48,5.45,1
Hrabrovo,7.62,0.0,0.0,2.54,2
Helsinki-Vantaa,7.04,0.0,0.0,2.35,2
Tulear,6.97,0.0,0.0,2.32,2
Ramon,10.0,0.0,0.0,3.33,2
Kyiv - Zhulyany,7.72,0.0,0.0,2.57,2
Cape Town,6.9,10.0,8.87,8.59,0
Erbil International Airport,5.0,0.0,5.93,3.64,1
Zurich,6.27,10.0,8.13,8.13,0
Bujumbura,5.0,0.0,9.37,4.79,1
Changsha Huanghua,6.52,9.45,10.0,8.66,0
Quanzhou,6.25,0.0,0.0,2.08,2
Chubu,6.58,8.98,8.52,8.03,0
Oranjestad,6.8,9.15,9.25,8.4,0
Trabzon Airport,6.84,5.39,9.92,7.38,0
Paramaribo,6.79,0.0,4.13,3.64,2
Los Cabos,6.83,9.93,0.0,5.59,3
Natal,6.84,10.0,4.78,7.21,3
Cordoba,6.89,0.0,0.0,2.3,2
Sihanoukville,6.72,10.0,8.35,8.36,0
RIYADH,6.81,10.0,2.77,6.53,3
Liberia,5.24,0.0,3.2,2.81,2
Incheon,6.08,9.64,4.3,6.67,3
Entebbe,4.8,0.0,9.61,4.8,1
Glasgow,6.48,0.0,0.01,2.16,2
Skiathos,6.67,0.0,10.0,5.56,1
Colombo,6.7,10.0,0.0,5.57,3
Cheongju,6.08,9.9,4.47,6.82,3
London Heathrow,6.55,0.0,9.17,5.24,1
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33,0
Lille,6.9,0.0,9.77,5.56,1
Nanchang Changbei,6.62,10.0,9.96,8.86,0
Hanoi,5.4,0.0,9.15,4.85,1
Ciampino Airport,5.83,0.0,0.0,1.94,2
Banja Luka,6.67,0.0,10.0,5.56,1
Pisa,6.85,0.0,9.4,5.42,1
Venice,6.78,0.0,9.07,5.28,1
London Stansted,6.57,0.0,9.55,5.37,1
Manas,6.15,0.0,0.0,2.05,2
Salvador,6.84,10.0,9.09,8.64,0
Guatemala City,6.89,5.12,4.46,5.49,3
Lusaka,6.92,0.0,8.28,5.07,1
Togo,5.83,0.0,9.82,5.22,1
Podgorica,5.56,0.0,9.87,5.14,1
Dubrovnik,7.78,0.0,9.32,5.7,1
Newcastle,6.47,0.0,6.18,4.22,1
Harbin Taiping,6.75,0.0,0.0,2.25,2
Palermo,6.86,0.0,9.23,5.36,1
Chambery,6.86,0.0,0.0,2.29,2
Praia,6.85,10.0,9.57,8.81,0
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26,1
Belgrade,6.83,0.0,9.37,5.4,1
Queretaro,7.14,0.0,7.57,4.9,1
Chengdu Tianfu,6.52,7.52,8.03,7.36,0
Beijing,5.91,6.27,0.0,4.06,3
Krasnodar,7.47,0.0,0.0,2.49,2
Santorini,5.38,0.0,8.71,4.7,1
Monterrey,6.84,10.0,8.6,8.48,0
Kuala Lumpur,6.52,9.17,0.0,5.23,3
Hefei Xinqiao,6.63,6.54,9.85,7.67,0
Chattrapati Shivaji,5.05,0.0,0.0,1.68,2
Hong Kong,6.21,9.99,0.0,5.4,3
Yingsheng,10.0,0.0,0.0,3.33,2
Quanzhou Jinjiang,0.0,0.0,7.98,2.66,1
Oslo,6.78,0.0,0.0,2.26,2
Doha,5.05,0.0,6.68,3.91,1
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88,2
Queenstown,4.44,0.0,0.0,1.48,2
Yangon,5.77,0.0,9.23,5.0,1
Iloilo,0.0,0.0,0.0,0.0,2
Bordeaux,6.5,10.0,1.54,6.01,3
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5,0
Tokyo - Narita,6.55,9.51,8.71,8.26,0
Min Vody,6.75,0.0,7.86,4.87,1
Istanbul Asia Airport,6.8,8.5,9.15,8.15,0
Coolangatta,8.33,0.0,0.0,2.78,2
Norwich,6.82,0.0,9.71,5.51,1
Aarhus,6.67,0.0,0.0,2.22,2
Tuzla,4.91,0.0,9.87,4.93,1
Tegucigalpa,9.0,0.0,0.0,3.0,2
San Salvador Comalapa,6.84,9.8,7.84,8.16,0
Fort-de-France,6.15,10.0,6.84,7.66,0
Kunming Wujiaba,6.16,9.99,7.04,7.73,0
PRISTINA,6.93,0.0,8.04,4.99,1
Antalya Airport,6.78,9.68,0.0,5.49,3
Guiyang Longdongbao,7.78,0.0,0.0,2.59,2
Kuwait,6.05,9.94,0.0,5.33,3
Duesseldorf,6.8,0.0,7.15,4.65,1
Pengsheng,5.0,0.0,0.44,1.81,2
East Midlands,6.15,0.0,9.41,5.19,1
Kagoshima,5.71,0.0,8.08,4.6,1
Radom,5.56,0.0,7.48,4.35,1
Porto Alegre,6.85,10.0,7.68,8.18,0
Milan - Linate,6.88,0.0,4.11,3.66,2
Hiroshima,4.89,0.0,10.0,4.96,1
Skopje,6.8,0.0,8.45,5.08,1
Shandong,6.85,0.0,0.0,2.28,2
Zagreb,6.11,0.0,7.85,4.65,1
Corfu,5.59,10.0,6.7,7.43,0
Marrakech,6.43,9.98,9.49,8.63,0
Batumi,6.83,0.0,9.5,5.44,1
Gerona,6.44,0.0,9.72,5.39,1
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92,2
Kyiv,7.5,0.0,0.0,2.5,2
Xuzhou Guanyin,6.75,3.08,0.0,3.28,2
London Southend Airport,6.74,0.0,0.0,2.25,2
Stuttgart,6.88,0.0,0.6,2.49,2
Frankfurt,6.82,0.0,3.33,3.38,2
Adelaide,6.19,0.0,5.83,4.01,1
San Jose,5.24,0.0,0.0,1.75,2
San Jose,5.24,0.0,9.42,4.89,1
Punta del Este,3.33,0.0,0.0,1.11,2
Panama Tocumen,6.79,9.96,7.83,8.19,0
Sandefjord-Torp,6.05,0.0,5.18,3.74,1
Khabarovsk,7.67,0.0,0.0,2.56,2
Bridgetown,6.76,0.0,1.61,2.79,2
Nykoping,6.67,0.0,7.18,4.62,1
Zadar,8.89,0.0,0.0,2.96,2
Tozeur,6.36,10.0,0.0,5.45,3
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18,2
Changzhou Benniu,6.91,0.0,0.0,2.3,2
Humberside,6.67,0.0,0.0,2.22,2
Berlin Brandenburg,6.82,0.0,0.0,2.27,2
Alesund,8.97,0.0,0.0,2.99,2
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35,1
Treviso,5.69,0.0,9.87,5.19,1
Gdansk,6.81,0.0,9.82,5.54,1
Beira,8.75,0.0,0.0,2.92,2
Mahon Airport,6.26,0.0,9.77,5.34,1
Basrah,6.81,0.0,0.0,2.27,2
Kutahya Airport,6.95,10.0,1.39,6.11,3
Rome Fiumicino,6.87,0.0,9.63,5.5,1
Alicante,6.32,0.0,8.22,4.85,1
Tirstrup,0.0,0.0,0.0,0.0,2
Acapulco,8.48,0.0,0.0,2.83,2
Bogota,6.84,9.9,6.66,7.8,0
Zaporizhya,8.04,0.0,0.0,2.68,2
Dresden,7.14,0.0,0.0,2.38,2
Rio de Janeiro,6.82,10.0,8.71,8.51,0
Gibraltar,5.33,0.0,10.0,5.11,1
Punta Cana - Higuey,6.78,9.82,8.31,8.3,0
Voronezh,7.85,0.0,0.0,2.62,2
Belgorod,7.78,0.0,0.0,2.59,2
Kota Kinabalu,6.67,3.37,4.98,5.01,1
Florianopolis,6.79,10.0,9.55,8.78,0
Shannon,5.0,0.0,6.95,3.98,1
Curacao,6.75,0.0,0.0,2.25,2
Kalibo,7.78,0.0,8.2,5.33,1
Shanghai Pudong,5.93,3.57,9.66,6.39,1
Faro Airport,6.74,0.0,0.0,2.25,2
Pula,8.89,0.0,0.0,2.96,2
Goa,4.87,0.0,7.18,4.02,1
Moscow - Vnukovo,6.74,0.0,8.86,5.2,1
Erfurt,10.0,0.0,0.0,3.33,2
Maputo,9.17,0.0,0.0,3.06,2
London Gatwick,6.58,0.0,0.0,2.19,2
Mexico City,6.84,9.87,0.0,5.57,3
Daegu,6.13,8.34,0.0,4.82,3
Asturias,6.97,0.0,0.0,2.32,2
Cukurova Airport,6.86,9.08,0.0,5.31,3
Rabil,6.09,10.0,9.57,8.55,0
Geneva,6.41,10.0,0.0,5.47,3
Memmingen,10.0,0.0,0.0,3.33,2
Abu Dhabi,5.75,9.62,8.47,7.95,0
Tangier,6.6,9.99,5.72,7.44,0
Jinan Xiaoqiang,6.67,5.9,10.0,7.52,0
Aberdeen,6.44,0.0,9.6,5.35,1
Cork,5.67,0.0,7.09,4.25,1
Lulea,7.33,0.0,0.0,2.44,2
Kaohsiung,5.89,9.97,6.64,7.5,0
London Luton,6.46,0.0,8.77,5.08,1
Ohrid,6.83,0.0,4.57,3.8,1
Tashkent,5.6,0.0,8.31,4.64,1
Nanning Wuxu,6.7,9.38,9.96,8.68,0
Shanghai Hongqiao,6.1,6.63,3.29,5.34,3
Aomori,4.44,0.0,8.84,4.43,1
Lubumbashi,7.14,0.0,9.72,5.62,1
Ibaraki,4.44,0.0,6.8,3.75,1
Wuhan Tianhe,6.07,7.37,9.98,7.81,0
Dnipropetrovsk,8.0,0.0,0.0,2.67,2
Dubai,6.57,8.82,9.07,8.15,0
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27,2
Cardiff,6.43,0.0,9.26,5.23,1
Tirana,6.19,0.0,9.65,5.28,1
St. George's Point Saline,6.81,10.0,9.62,8.81,0
Poznan-Lawica,4.81,0.0,0.0,1.6,2
Vienna,6.77,0.0,8.52,5.1,1
Mendoza,6.85,0.0,0.0,2.28,2
Marka,6.89,0.0,0.0,2.3,2
Santiago Cibao,6.79,2.39,1.31,3.5,2
Fuzhou Changle,6.02,10.0,6.37,7.46,0
Puerto Vallarta,6.84,9.84,0.0,5.56,3
Fukushima,6.67,0.0,3.17,3.28,2
Douala,7.0,0.0,10.0,5.67,1
Murcia,6.75,0.0,3.68,3.48,2
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,1
Karipur,4.87,0.0,3.69,2.85,2
Kazan,8.75,0.0,0.0,2.92,2
Komatsu,4.76,0.0,8.13,4.3,1
Aalborg,6.67,0.0,0.0,2.22,2
Mazatlan,6.85,9.32,10.0,8.72,0
Bilbao,6.84,0.0,9.91,5.58,1
Tunis,6.4,9.99,8.87,8.42,0
Kingston,6.67,0.0,0.0,2.22,2
Hohhot Baita,6.71,10.0,9.99,8.9,0
Puerto Plata,6.82,9.11,7.83,7.92,0
Nuernberg,6.86,0.0,0.0,2.29,2
Dalian Zhoushuizi,6.75,9.94,9.66,8.78,0
Samana El Catey,6.85,10.0,8.27,8.37,0
Kayseri Airport,6.84,10.0,10.0,8.95,0
Stockholm Arlanda,6.92,0.0,9.86,5.59,1
Brussels,6.67,0.0,5.79,4.15,1
Mombasa,9.0,0.0,0.0,3.0,2
Vientiane,5.93,0.0,5.33,3.75,1
Rosario,6.9,0.0,2.86,3.25,2
Charleroi,6.67,0.0,0.0,2.22,2
Kinshasa,6.92,0.0,0.0,2.31,2
Medina,6.87,10.0,0.0,5.62,3
Yancheng Nanyang,6.73,0.0,0.0,2.24,2
Gaborone,7.78,0.0,0.21,2.66,2
Malmo,6.32,0.0,8.55,4.96,1
Manila Downtown Shop,0.0,0.0,0.0,0.0,2
Agadir,6.43,9.98,10.0,8.8,0
Yerevan,6.67,0.0,3.45,3.37,2
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58,3
Izmir Airport,6.82,9.62,9.85,8.76,0
Elblag,5.0,0.0,0.0,1.67,2
Nairobi,6.67,0.0,0.0,2.22,2
Miyazaki,6.67,0.0,0.0,2.22,2
Phu Quok,6.87,0.0,9.04,5.3,1
Asyut,5.33,0.0,9.87,5.07,1
Split,7.78,0.0,5.93,4.57,1
Xian Xianyang,6.49,9.82,5.73,7.35,0
Madeira,6.67,0.0,9.0,5.22,1
Pamandzi,4.85,0.0,10.0,4.95,1
Guernsey,5.56,0.0,0.62,2.06,2
Abidjan,6.56,10.0,0.0,5.52,3
Niamey,5.0,0.0,0.0,1.67,2
Faroe Islands,6.67,0.0,9.55,5.41,1
Gabon,6.79,0.0,5.83,4.21,1
La Romana,6.83,9.97,9.29,8.7,0
Enfidha,6.85,9.99,8.55,8.46,0
Lisbon,6.86,0.0,8.54,5.13,1
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72,1
Zia,4.93,0.0,9.85,4.93,1
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5,2
Haiphong,8.33,0.0,9.9,6.08,1
Harare,10.0,0.0,0.0,3.33,2
Santiago De Compostela,6.79,0.0,9.19,5.33,1
Pointe-a-Pitre,6.35,10.0,8.73,8.36,0
Ho Chi Minh,6.67,0.0,9.62,5.43,1
Fuerteventura,6.76,0.0,9.49,5.42,1
Palma De Mallorca,6.48,0.0,7.17,4.55,1
Lagos,6.83,10.0,9.65,8.83,0
Shizuoka,5.83,0.0,6.1,3.98,1
Essaouira,6.84,9.99,10.0,8.94,0
Sydney,6.67,0.0,9.84,5.5,1
Paderborn,6.82,0.0,9.84,5.55,1
Tel-Aviv,5.42,0.0,9.85,5.09,1
Makhachkala,6.94,0.0,6.75,4.56,1
Sendai,4.89,0.0,7.63,4.17,1
Rzeszow,5.0,0.0,10.0,5.0,1
Nador,6.86,9.99,6.85,7.9,0
Brisbane,6.67,0.0,0.0,2.22,2
Ioannina,6.98,0.0,8.47,5.15,1
Jieyang Chaoshan,6.71,0.0,0.0,2.24,2
Osaka - Kansai,6.58,5.08,9.03,6.9,0
Sharm El Sheikh,6.78,0.0,9.19,5.32,1
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,2
Managua,6.87,9.46,5.83,7.39,0
Wuxi Shuofang,6.71,10.0,9.95,8.89,0
Sfax,6.12,10.0,8.65,8.26,0
Tokyo - Haneda,5.05,0.0,8.23,4.43,1
Johor Bahru,6.13,7.84,9.07,7.68,0
Florence,6.86,0.0,9.71,5.52,1
Eskisehir Airport,6.87,8.94,9.61,8.47,0
La Palma,5.96,0.0,9.07,5.01,1
La Paz El Alto,10.0,0.0,0.0,3.33,2
Porto,6.89,0.0,9.75,5.55,1
Antigua,6.79,0.0,0.0,2.26,2
Konya Airport,6.87,8.06,9.87,8.27,0
Sofia,6.75,0.0,1.33,2.69,2
Daegu (downtown),0.0,9.73,0.0,3.24,3
Danang,6.67,0.0,0.0,2.22,2
Amman,6.02,10.0,0.0,5.34,3
Jeddah,6.45,10.0,0.0,5.48,3
Fortaleza,6.87,10.0,7.68,8.18,0
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13,1
Gothenburg,6.67,0.0,8.69,5.12,1
Bergamo,6.86,0.0,9.3,5.39,1
Bariloche,5.0,0.0,0.06,1.69,2
Hannover,6.79,0.0,0.0,2.26,2
Manama,6.74,5.51,0.0,4.08,3
Hamburg,6.82,0.0,5.53,4.12,1
Valencia,6.5,0.0,0.0,2.17,2
Budapest,8.33,0.0,0.0,2.78,2
Vladivostok,9.67,0.0,0.0,3.22,2
Ras El Khaymah,6.8,0.0,2.11,2.97,2
Dushanbe,7.86,0.0,0.0,2.62,2
Vigo,6.86,0.0,9.71,5.52,1
Nouakchott,6.9,0.0,10.0,5.63,1
Quito,6.86,9.73,6.8,7.8,0
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06,1
Rostov Don,7.81,0.0,0.0,2.6,2
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3,2
Melbourne,6.76,0.0,9.04,5.27,1
Alexandria,6.76,0.0,9.14,5.3,1
Strasbourg,6.92,0.0,9.67,5.53,1
Warsaw-Modlin,6.92,0.0,9.04,5.32,1
Chisinau,7.76,0.0,0.0,2.59,2
Samara,6.67,0.0,10.0,5.56,1
Montego Bay,6.73,9.61,8.53,8.29,0
Manchester,6.49,0.0,7.16,4.55,1
Jeju,6.06,9.74,3.32,6.37,3
Monastir,6.39,9.99,0.0,5.46,3
Soekarno Hatta,6.85,10.0,9.83,8.89,0
