Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Bourgas,6.2,1.0,3.0,36.0,0.0,9.77,0.02,3.9974999999999996
Oita,7.22,1.0,0.0,6.0,0.0,0.0,,2.4066666666666667
Poznan-Lawica,4.81,0.0,5.0,18.0,0.0,9.94,,4.916666666666667
Bordeaux,6.5,2.0,2.0,39.0,10.0,9.99,4.9,7.8475
Kutahya Airport,6.95,9.0,0.0,105.0,10.0,0.0,,5.6499999999999995
Charleroi,6.67,2.0,1.0,21.0,0.0,9.87,,5.513333333333333
St. George's Point Saline,6.81,3.0,0.0,72.0,9.999387335348398,9.84,1.01,6.9148468338371
Alexandria,6.76,3.0,0.0,111.0,0.0,0.0,,2.2533333333333334
Fort-de-France,6.15,3.0,6.0,58.0,10.0,9.98,5.56,7.922499999999999
Miyazaki,6.67,0.0,0.0,6.0,0.0,0.0,,2.223333333333333
Haiphong,8.33,2.0,0.0,4.0,0.0,0.0,,2.776666666666667
Asyut,5.33,2.0,6.0,25.0,0.0,9.91,,5.08
Aomori,4.44,0.0,2.0,6.0,0.0,0.0,,1.4800000000000002
Aalborg,6.67,0.0,0.0,13.0,0.0,9.86,,5.510000000000001
Varna,6.76,1.0,0.0,36.0,0.0,9.82,,5.526666666666666
Christchurch,4.44,0.0,3.0,9.0,0.0,0.0,,1.4800000000000002
Asturias,6.97,2.0,0.0,22.0,0.0,9.86,,5.609999999999999
St. Petersburg Pulkovo,6.75,1.0,0.0,38.0,0.0,10.0,0.0,4.1875
Pengsheng,5.0,1.0,4.0,14.0,0.0,0.0,,1.6666666666666667
Krasnoyarsk,6.88,3.0,0.0,46.0,0.0,9.93,10.0,6.7025
Paris Orly,6.76,4.0,1.0,68.0,9.999999999999996,9.99,,8.916666666666666
Bremen,6.77,1.0,0.0,31.0,0.0,9.71,,5.493333333333333
Yangyang,6.67,0.0,0.0,73.0,10.0,0.0,,5.5566666666666675
East Midlands,6.15,0.0,5.0,65.0,0.0,9.84,4.71,5.175
Sochi,6.75,1.0,0.0,39.0,0.0,9.95,5.55,5.5625
Dresden,7.14,3.0,0.0,21.0,0.0,0.0,,2.38
Nador,6.86,6.0,0.0,102.0,9.98996676167996,9.79,0.05,6.6724916904199905
Muan,6.56,0.0,1.0,61.0,10.0,0.0,,5.52
Vientiane,5.93,0.0,4.0,36.0,0.0,9.87,,5.266666666666667
Glasgow Prestwick,6.36,0.0,2.0,43.0,0.0,9.96,10.0,6.58
Tirana,6.19,4.0,10.0,113.0,0.0,8.12,0.33,3.6599999999999997
Kaohsiung,5.89,0.0,5.0,43.0,9.967393876535425,9.97,6.83,8.164348469133856
Graz,6.79,1.0,0.0,26.0,0.0,9.99,,5.593333333333334
Rzeszow,5.0,0.0,5.0,20.0,0.0,9.79,,4.93
Jaipur,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Cologne,6.91,3.0,0.0,41.0,0.0,0.0,,2.3033333333333332
Mazatlan,6.85,5.0,0.0,91.0,9.321659754636126,9.79,,8.653886584878707
Minsk,6.79,1.0,0.0,26.0,0.0,9.99,,5.593333333333334
Goa,4.87,0.0,7.0,26.0,0.0,9.63,7.72,5.555
Santander,6.92,2.0,0.0,26.0,0.0,9.87,0.05,4.21
Palma De Mallorca,6.48,2.0,3.0,72.0,0.0,9.93,,5.47
Trichy,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Jieyang Chaoshan,6.71,1.0,0.0,74.0,,0.0,,3.355
Penang,6.67,0.0,0.0,21.0,10.0,7.05,,7.906666666666667
Everrich Downtown Kinmen,5.89,0.0,5.0,43.0,9.96434819317729,0.0,1.08,4.233587048294323
Ciampino Airport,5.83,1.0,5.0,36.0,0.0,9.87,,5.233333333333333
Roland Garros,6.67,2.0,1.0,31.0,10.0,10.0,3.39,7.515000000000001
A Coruna,6.92,2.0,0.0,26.0,0.0,9.93,,5.616666666666667
Montpellier,6.88,1.0,0.0,16.0,0.0,9.97,,5.616666666666667
Stockholm Arlanda,6.92,2.0,0.0,26.0,0.0,9.95,,5.623333333333332
Niamey,5.0,1.0,4.0,14.0,0.0,10.0,,5.0
Tarbes - Lourdes,6.67,0.0,0.0,20.0,9.999999999999998,0.0,10.0,6.6674999999999995
Karipur,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Kutaisi,6.78,1.0,0.0,29.0,0.0,7.74,0.0,3.63
Samarkand,10.0,8.0,0.0,8.0,,0.0,,5.0
Luxor,6.79,4.0,0.0,112.0,0.0,9.94,4.89,5.405
Sydney,6.67,0.0,0.0,21.0,0.0,9.95,,5.539999999999999
Rotterdam,6.92,1.0,0.0,13.0,0.0,9.73,0.0,4.1625
Hamburg,6.82,3.0,0.0,64.0,0.0,9.98,,5.6000000000000005
Beauvais,6.53,1.0,1.0,25.0,0.0,9.98,,5.503333333333334
Acapulco,8.48,30.0,0.0,55.0,,9.47,,8.975000000000001
Min Vody,6.75,1.0,0.0,40.0,0.0,9.97,3.73,5.1125
Siem Reap,7.16,14.0,0.0,95.0,,10.0,,8.58
Queretaro,7.14,2.0,0.0,14.0,0.0,9.0,9.99,6.532500000000001
Kos,6.72,1.0,0.0,60.0,0.0,,0.05,2.2566666666666664
Shenzhen Bao'an,7.19,13.0,0.0,83.0,,,,7.19
Pula,8.89,2.0,0.0,3.0,,10.0,,9.445
Kyiv,7.5,11.0,0.0,44.0,,7.5,,7.5
Sandefjord-Torp,6.05,1.0,3.0,27.0,0.0,8.42,,4.823333333333333
Kristiansand,7.6,9.0,0.0,32.0,,9.99,,8.795
Lisbon,6.86,3.0,0.0,53.0,0.0,9.98,,5.613333333333333
Vilnius,6.94,1.0,0.0,12.0,0.0,9.82,,5.586666666666667
Soekarno Hatta,6.85,3.0,0.0,54.0,9.999999999999998,7.12,0.13,6.0249999999999995
Venice,6.78,2.0,0.0,60.0,0.0,9.91,0.46,4.2875000000000005
La Palma,5.96,3.0,8.0,61.0,0.0,9.59,0.46,4.0025
Torino,5.78,0.0,2.0,15.0,0.0,8.5,10.0,6.07
Kilimanjaro,6.75,3.0,1.0,41.0,0.0,9.91,,5.553333333333334
Fuzhou Changle,6.02,0.0,9.0,93.0,10.0,9.91,10.0,8.9825
Volgograd,6.88,2.0,0.0,32.0,0.0,9.93,,5.603333333333333
Lusaka,6.92,1.0,0.0,13.0,0.0,9.5,10.0,6.605
Conakry,9.17,9.0,0.0,12.0,,9.88,,9.525
Sihanoukville,6.72,1.0,0.0,59.0,10.0,9.3,9.98,9.0
Sfax,6.12,3.0,5.0,43.0,10.0,9.88,8.11,8.5275
Taiyuan Wusu,6.71,1.0,0.0,80.0,10.0,0.0,9.04,6.4375
Odessa,7.62,6.0,0.0,21.0,,0.0,,3.81
Makhachkala,6.94,1.0,0.0,12.0,0.0,0.0,,2.3133333333333335
Banja Luka,6.67,2.0,1.0,22.0,0.0,0.0,,2.223333333333333
Chambery,6.86,1.0,0.0,17.0,0.0,0.0,,2.2866666666666666
Helsinki-Vantaa,7.04,1.0,0.0,9.0,0.0,9.92,,5.653333333333333
Rabil,6.09,2.0,5.0,46.0,9.999999999999996,9.31,5.47,7.717499999999999
Kinshasa,6.92,1.0,0.0,13.0,0.0,7.45,,4.79
Moi,8.89,8.0,0.0,12.0,,9.48,,9.185
Quito,6.86,4.0,0.0,70.0,9.734068433799413,9.19,1.12,6.726017108449853
Tozeur,6.36,1.0,2.0,33.0,10.0,0.0,,5.453333333333333
Mendoza,6.85,1.0,0.0,18.0,0.0,10.0,,5.616666666666667
Faroe Islands,6.67,0.0,0.0,16.0,0.0,0.0,,2.223333333333333
Bandaranaike,5.1,0.0,8.0,34.0,0.0,9.79,10.0,6.2225
Riga,6.9,1.0,0.0,14.0,0.0,9.89,,5.596666666666667
Khabarovsk,7.67,6.0,0.0,20.0,,9.5,,8.585
Norwich,6.82,2.0,0.0,44.0,0.0,9.92,,5.580000000000001
Togo,5.83,1.0,3.0,20.0,0.0,7.46,,4.43
Dortmund,6.77,1.0,0.0,32.0,0.0,9.93,0.0,4.175
Ras El Khaymah,6.8,2.0,0.0,50.0,0.0,10.0,,5.6000000000000005
Nantes,6.6,3.0,2.0,51.0,10.0,9.96,1.4,6.99
Kralendijk (Bonaire),6.79,1.0,0.0,26.0,0.0,9.54,,5.4433333333333325
Chisinau,7.76,17.0,0.0,52.0,,9.99,,8.875
La Paz Manuel Marquez de Leon,6.84,2.0,0.0,39.0,0.0,0.0,1.95,2.1975
Jerez De La Frontera,6.91,3.0,0.0,41.0,0.0,9.98,0.66,4.3875
Buenos Aires Aeroparque,6.91,3.0,0.0,41.0,0.0,9.98,,5.63
Trondheim,6.79,2.0,0.0,56.0,0.0,9.65,,5.48
Lucknow,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Vienna,6.77,1.0,0.0,31.0,0.0,10.0,,5.59
Santa Cruz Viru Viru,10.0,8.0,0.0,8.0,,10.0,,10.0
Kyiv - Zhulyany,7.72,13.0,0.0,41.0,,0.0,,3.86
Beira,8.75,5.0,0.0,8.0,,0.0,,4.375
Nouakchott,6.9,3.0,0.0,42.0,0.0,9.98,,5.626666666666668
Samos,6.76,1.0,0.0,34.0,0.0,7.64,,4.8
Kharkiv,7.78,5.0,0.0,15.0,,0.0,,3.89
London Heathrow,6.55,3.0,3.0,83.0,0.0,9.89,7.12,5.890000000000001
Skiathos,6.67,0.0,0.0,33.0,0.0,0.0,,2.223333333333333
Jersey,6.67,0.0,0.0,30.0,0.0,9.99,2.31,4.7425
Umea,7.08,1.0,0.0,8.0,0.0,0.0,,2.36
Lviv,7.36,15.0,0.0,72.0,,0.0,,3.68
Providenciales (Turks and Caicos),7.5,1.0,0.0,4.0,,0.0,,3.75
Belgorod,7.78,3.0,0.0,9.0,,0.0,,3.89
Basrah,6.81,1.0,0.0,24.0,0.0,9.47,,5.426666666666667
Yancheng Nanyang,6.73,1.0,0.0,54.0,0.0,0.0,,2.2433333333333336
Karpathos,5.76,1.0,2.0,11.0,0.0,0.0,,1.92
Verona,6.83,2.0,0.0,41.0,0.0,9.6,,5.476666666666667
Eskisehir Airport,6.87,5.0,0.0,81.0,8.938868357172069,0.0,,5.269622785724024
Voronezh,7.85,11.0,0.0,31.0,,0.0,,3.925
Samara,6.67,0.0,0.0,13.0,0.0,9.97,,5.546666666666667
Buenos Aires - Ezeiza,6.84,3.0,0.0,57.0,0.0,10.0,0.0,4.21
Aarhus,6.67,0.0,0.0,15.0,0.0,,,3.335
Sierra Leone,5.42,1.0,2.0,8.0,0.0,0.0,10.0,3.855
Bari,5.78,0.0,2.0,15.0,0.0,8.5,,4.760000000000001
Edinburgh,6.47,0.0,2.0,69.0,0.0,9.79,0.56,4.204999999999999
Eindhoven,6.88,1.0,0.0,16.0,0.0,9.71,,5.53
Abuja,6.28,3.0,4.0,43.0,9.999999999999998,9.79,3.05,7.279999999999999
Astrakhan,6.9,3.0,0.0,43.0,0.0,10.0,,5.633333333333333
Anna,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Baghdad,6.78,1.0,0.0,29.0,0.0,9.59,,5.456666666666667
Dublin,5.83,0.0,3.0,24.0,0.0,9.49,10.0,6.33
Nis,6.53,1.0,1.0,25.0,0.0,0.0,,2.1766666666666667
Cam Ranh,6.22,0.0,2.0,30.0,0.0,9.41,10.0,6.4075
Brisbane,6.67,0.0,0.0,20.0,0.0,9.88,,5.516666666666667
Luanda,6.9,1.0,0.0,14.0,0.0,3.96,,3.6199999999999997
Madeira,6.67,2.0,1.0,24.0,0.0,0.0,0.8,1.8675
Bilbao,6.84,3.0,0.0,58.0,0.0,9.68,2.31,4.7075
Kuala Lumpur,6.52,2.0,2.0,47.0,9.165350911491956,8.48,,8.055116970497318
Erfurt,10.0,7.0,0.0,7.0,,0.0,,5.0
Granada,5.76,1.0,2.0,11.0,0.0,10.0,4.22,4.995
Warsaw-Modlin,6.92,2.0,0.0,26.0,0.0,9.78,,5.566666666666666
Sarajevo,4.91,0.0,5.0,19.0,0.0,9.31,,4.74
Wroclaw,5.17,1.0,5.0,20.0,0.0,9.79,,4.986666666666666
Zanzibar,5.44,1.0,4.0,19.0,0.0,5.3,,3.58
Okayama,6.44,0.0,1.0,29.0,9.93444221175235,0.0,,5.45814740391745
Bamako,6.89,1.0,0.0,15.0,0.0,9.93,,5.6066666666666665
Tashkent,5.6,2.0,5.0,25.0,0.0,9.85,4.46,4.9775
Liberia,5.24,1.0,2.0,7.0,0.0,10.0,,5.08
Cork,5.67,0.0,3.0,20.0,0.0,9.78,10.0,6.3625
Lubumbashi,7.14,1.0,0.0,7.0,0.0,9.5,,5.546666666666667
Ramon,10.0,15.0,0.0,15.0,,0.0,,5.0
Kavala,5.52,1.0,6.0,32.0,0.0,0.0,7.13,3.1624999999999996
Munster-Osnabruck,4.9,1.0,5.0,17.0,0.0,9.95,,4.95
Radom,5.56,1.0,2.0,9.0,0.0,9.88,,5.146666666666667
Brussels,6.67,2.0,1.0,23.0,0.0,9.89,1.95,4.6275
Memmingen,10.0,4.0,0.0,4.0,,9.0,,9.5
Entebbe,4.8,0.0,7.0,25.0,0.0,9.58,9.99,6.092499999999999
Bridgetown,6.76,1.0,0.0,34.0,0.0,9.06,,5.273333333333333
Maputo,9.17,9.0,0.0,12.0,,10.0,,9.585
Mitilini,6.77,1.0,0.0,33.0,0.0,7.89,,4.886666666666667
Shymkent,7.92,9.0,0.0,24.0,,9.93,,8.925
Guernsey,5.56,1.0,2.0,9.0,0.0,10.0,,5.1866666666666665
Ufa,7.62,8.0,0.0,28.0,,9.99,,8.805
Alesund,8.97,9.0,0.0,13.0,,10.0,,9.485
Hrabrovo,7.62,10.0,0.0,35.0,,10.0,,8.81
Vladivostok,9.67,9.0,0.0,10.0,,9.5,,9.585
Coolangatta,8.33,3.0,0.0,6.0,,9.0,,8.665
Tuzla,4.91,0.0,5.0,19.0,0.0,0.0,,1.6366666666666667
Yangon,5.77,1.0,4.0,26.0,0.0,0.0,,1.9233333333333331
Tulear,6.97,1.0,0.0,11.0,0.0,0.0,,2.3233333333333333
Ioannina,6.98,2.0,0.0,21.0,0.0,0.0,10.0,4.245
Paderborn,6.82,2.0,0.0,44.0,0.0,9.96,,5.593333333333334
Hatay Airport,9.52,12.0,0.0,14.0,,0.0,,4.76
Nairobi,6.67,0.0,0.0,10.0,0.0,0.0,,2.223333333333333
Bangui,8.33,2.0,0.0,4.0,0.0,0.0,,2.776666666666667
Yingsheng,10.0,10.0,0.0,10.0,,,,10.0
San Jose,5.24,1.0,2.0,7.0,0.0,10.0,,5.08
San Jose,5.24,1.0,2.0,7.0,0.0,10.0,,5.08
Djibouti,5.0,1.0,2.0,6.0,0.0,10.0,,5.0
Nanjing Lukou,5.42,1.0,2.0,8.0,5.515333432355289,0.0,,3.6451111441184296
Pamandzi,4.85,0.0,3.0,11.0,0.0,10.0,,4.95
Hebei,5.15,1.0,3.0,11.0,0.0,,,2.575
Takamatsu,5.0,0.0,3.0,12.0,0.0,8.36,,4.453333333333333
Budapest,8.33,2.0,0.0,4.0,,10.0,,9.165
Queenstown,4.44,0.0,2.0,6.0,0.0,9.0,,4.48
Quanzhou,6.25,1.0,1.0,8.0,0.0,,,3.125
Nykoping,6.67,2.0,1.0,5.0,0.0,10.0,,5.5566666666666675
Orebro,7.78,1.0,0.0,3.0,0.0,0.0,,2.5933333333333333
Zagreb,6.11,1.0,1.0,6.0,0.0,7.14,,4.416666666666667
Lulea,7.33,1.0,0.0,5.0,0.0,9.5,,5.609999999999999
Karlsruhe Baden-Baden,10.0,4.0,0.0,4.0,,10.0,,10.0
Dushanbe,7.86,5.0,0.0,14.0,,9.96,,8.91
Windhoek,6.67,0.0,0.0,17.0,0.0,8.48,,5.05
Kaunas,6.94,1.0,0.0,12.0,0.0,9.82,0.0,4.19
Genoa,5.76,1.0,2.0,11.0,0.0,9.55,,5.1033333333333335
Vigo,6.86,1.0,0.0,17.0,0.0,0.0,,2.2866666666666666
Guiyang Longdongbao,7.78,1.0,0.0,3.0,0.0,0.0,,2.5933333333333333
Wellington,8.57,4.0,0.0,7.0,,9.5,,9.035
Iwate,6.67,0.0,0.0,3.0,0.0,0.0,,2.223333333333333
Bologna,5.78,0.0,2.0,15.0,0.0,8.5,,4.760000000000001
Kigali,4.89,0.0,4.0,15.0,0.0,9.78,1.72,4.097499999999999
Auckland,4.44,0.0,3.0,9.0,0.0,9.29,,4.576666666666667
Mandalay,5.42,1.0,2.0,8.0,0.0,0.0,,1.8066666666666666
Brno,4.44,0.0,3.0,9.0,0.0,9.88,,4.773333333333333
Podgorica,5.56,1.0,1.0,3.0,0.0,10.0,,5.1866666666666665
Shizuoka,5.83,0.0,1.0,8.0,0.0,0.0,,1.9433333333333334
Harare,10.0,3.0,0.0,3.0,,10.0,,10.0
Gothenburg,6.67,0.0,0.0,4.0,,0.0,,3.335
Zadar,8.89,2.0,0.0,3.0,,10.0,,9.445
Mombasa,9.0,7.0,0.0,10.0,,,,9.0
Dnipropetrovsk,8.0,2.0,0.0,5.0,,0.0,,4.0
La Paz El Alto,10.0,5.0,0.0,5.0,,10.0,,10.0
Yaounde,8.15,4.0,0.0,9.0,,0.0,,4.075
Kagoshima,5.71,0.0,1.0,7.0,0.0,0.0,,1.9033333333333333
Gibraltar,5.33,0.0,3.0,15.0,0.0,9.67,,5.0
Dubrovnik,7.78,1.0,0.0,3.0,0.0,10.0,,5.926666666666667
Gaborone,7.78,1.0,0.0,3.0,0.0,7.5,0.0,3.8200000000000003
Montevideo,6.67,0.0,0.0,10.0,0.0,10.0,,5.5566666666666675
Manila - Ninoy Aquino,6.92,1.0,0.0,13.0,0.0,9.89,,5.603333333333334
Split,7.78,1.0,0.0,3.0,0.0,10.0,,5.926666666666667
Aktau,10.0,7.0,0.0,7.0,,10.0,,10.0
Kalibo,7.78,1.0,0.0,3.0,0.0,0.0,,2.5933333333333333
Cairns,7.08,1.0,0.0,8.0,0.0,0.0,,2.36
Adelaide,6.19,1.0,1.0,7.0,0.0,0.0,,2.0633333333333335
Punta del Este,3.33,1.0,1.0,1.0,0.0,0.0,,1.11
Fukushima,6.67,0.0,0.0,3.0,0.0,0.0,,2.223333333333333
Mactan,6.67,0.0,0.0,3.0,,10.0,,8.335
Islamabad,3.33,1.0,1.0,1.0,,0.0,,1.665
Zhukovsky,,,,,0.0,,,0.0
Daegu (downtown),,,,,9.733431333086468,,,9.733431333086468
Cartagena de Indias,,,,,0.0,,,0.0
Busan - Kimhae (downtown),,,,,2.6408985366861466,,,2.6408985366861466
Huatulco,,,,,0.0,,,0.0
Iloilo,,,,,0.0,,,0.0
Seoul (downtown),,,,,0.3496579551187394,,,0.3496579551187394
Tokyo - Shinjuku,,,,,0.0,,,0.0
Jeju (downtown),,,,,0.11846661695817447,,,0.11846661695817447
Manila Downtown Shop,,,,,0.0,,,0.0
Danang Downtown Shop,,,,,0.0,,,0.0
Tirstrup,,,,,,9.4,,9.4
Cayenne (REC),,,,,,9.94,,9.94
Quanzhou Jinjiang,,,,,,0.0,,0.0
Juba (inactive),,,,,,8.74,,8.74
Beijing Daxing,,,,,,9.99,,9.99
Shijiazhuang Zhengding,,,,,,0.0,,0.0
