Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Everrich Downtown Kinmen,5.89,9.96,0.0,4.05,4.98,2
Lima,6.77,9.99,5.43,9.6,7.95,2
Murmansk,0.0,0.0,5.3,0.0,1.32,1
Toronto,0.0,0.0,5.3,0.0,1.32,1
Monastir,6.39,9.99,4.66,0.0,5.26,2
Oran,0.0,0.0,5.3,0.0,1.32,1
Taranto,0.0,0.0,5.3,0.0,1.32,1
Karlstad,0.0,0.0,5.3,0.0,1.32,1
Embajadas,0.0,0.0,5.3,0.0,1.32,1
Pengsheng,5.0,0.0,5.3,0.44,2.68,0
Visby,0.0,0.0,5.3,0.0,1.32,1
Fujairah Port,0.0,0.0,5.3,0.0,1.32,1
Tuzla,4.91,0.0,0.0,9.87,3.7,3
Piraeus Port,0.0,0.0,5.3,0.0,1.32,1
La Paz Manuel Marquez de Leon,6.84,0.0,2.47,4.86,3.54,3
Sarajevo,4.91,0.0,2.41,9.61,4.23,3
Bari,5.78,0.0,2.15,8.85,4.2,3
Budapest,8.33,0.0,5.3,0.0,3.41,0
Oita,7.22,0.0,4.34,0.0,2.89,0
Mendoza,6.85,0.0,5.67,0.0,3.13,0
Kaliningrad (Lithuania Border),0.0,0.0,5.3,0.0,1.32,1
Karipur,4.87,0.0,3.93,3.69,3.12,0
Samara,6.67,0.0,4.4,10.0,5.27,3
Jebel Ali,0.0,0.0,5.3,0.0,1.32,1
Muan,6.56,10.0,5.3,0.04,5.48,2
Jonkoping,0.0,0.0,5.3,0.0,1.32,1
Asmara,0.0,0.0,5.3,0.0,1.32,1
Geneva,6.41,10.0,7.88,0.0,6.07,2
La Rochelle,0.0,0.0,5.3,0.0,1.32,1
Clarkfield,0.0,0.0,5.3,0.0,1.32,1
Paris Orly,6.76,10.0,8.61,0.0,6.34,2
Kano,0.0,0.0,5.3,0.0,1.32,1
Kharkiv,7.78,0.0,5.3,0.0,3.27,0
Aqaba (Israel border),0.0,0.0,5.3,0.0,1.32,1
Vientiane,5.93,0.0,4.23,5.33,3.87,3
Detroit,0.0,0.0,5.3,0.0,1.32,1
Oranjestad,6.8,9.15,8.85,9.25,8.51,2
Santo Domingo Las Americas,6.8,9.64,8.15,4.3,7.22,2
Madrid Barajas,6.83,0.0,7.47,9.6,5.98,3
Fuerteventura,6.76,0.0,8.17,9.49,6.1,3
Kherson,0.0,0.0,5.3,0.0,1.32,1
Yaounde,8.15,0.0,5.3,0.0,3.36,0
Krasnodar,7.47,0.0,5.3,0.0,3.19,0
Niigata,0.0,0.0,5.3,0.0,1.32,1
Oslo,6.78,0.0,5.18,0.0,2.99,0
Russia/Estonia,0.0,0.0,5.3,0.0,1.32,1
Miyazaki,6.67,0.0,8.29,0.0,3.74,0
Samsun Airport,6.84,9.04,5.29,8.33,7.38,2
Eindhoven,6.88,0.0,7.6,0.0,3.62,0
Kutaisi,6.78,0.0,8.81,8.84,6.11,3
Salerno,0.0,0.0,5.3,0.0,1.32,1
Nouakchott,6.9,0.0,6.13,10.0,5.76,3
Manila - Ninoy Aquino,6.92,0.0,1.2,9.13,4.31,3
Rostov Don,7.81,0.0,5.3,0.0,3.28,0
Providenciales (Turks and Caicos),7.5,0.0,5.3,0.0,3.2,0
