Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Denizli Cardak Airport,6.85,9.34,8.75,8.31,3
Amman,6.02,10.0,0.0,5.34,2
Trondheim,6.79,0.0,2.82,3.2,0
Vaxjo,4.67,0.0,0.0,1.56,0
Doha,5.05,0.0,6.68,3.91,1
Essaouira,6.84,9.99,10.0,8.94,3
Krasnodar,7.47,0.0,0.0,2.49,0
Corfu,5.59,10.0,6.7,7.43,3
Belo Horizonte,6.85,10.0,0.0,5.62,2
Changchun Longjia,5.96,10.0,9.93,8.63,3
Nykoping,6.67,0.0,7.18,4.62,1
A Coruna,6.92,0.0,9.35,5.42,1
Salvador,6.84,10.0,9.09,8.64,3
Urumchi Diwobao,6.48,10.0,0.76,5.75,2
Tenerife,6.76,0.0,0.0,2.25,0
Ohrid,6.83,0.0,4.57,3.8,1
Mazatlan,6.85,9.32,10.0,8.72,3
Gran Canaria,6.76,0.0,6.68,4.48,1
Venice,6.78,0.0,9.07,5.28,1
Shannon,5.0,0.0,6.95,3.98,1
London Heathrow,6.55,0.0,9.17,5.24,1
Abidjan,6.56,10.0,0.0,5.52,2
Aalborg,6.67,0.0,0.0,2.22,0
Treviso,5.69,0.0,9.87,5.19,1
Ufa,7.62,0.0,0.0,2.54,0
Southampton,6.71,0.0,0.0,2.24,0
Gothenburg,6.67,0.0,8.69,5.12,1
Penang,6.67,10.0,8.58,8.42,3
Muan,6.56,10.0,0.04,5.53,2
Thessaloniki,5.98,0.0,6.5,4.16,1
Ramon,10.0,0.0,0.0,3.33,0
Shanghai Pudong,5.93,3.57,9.66,6.39,1
Nice,6.77,10.0,0.0,5.59,2
East Midlands,6.15,0.0,9.41,5.19,1
Shizuoka,5.83,0.0,6.1,3.98,1
Guiyang Longdongbao,7.78,0.0,0.0,2.59,0
Antalya Airport,6.78,9.68,0.0,5.49,2
Jeddah,6.45,10.0,0.0,5.48,2
Santander,6.92,0.0,8.53,5.15,1
Kagoshima,5.71,0.0,8.08,4.6,1
Mombasa,9.0,0.0,0.0,3.0,0
Dalian Zhoushuizi,6.75,9.94,9.66,8.78,3
Yaounde,8.15,0.0,0.0,2.72,0
Bangalore,6.18,10.0,6.2,7.46,3
Marsa Aalam,6.73,0.0,9.92,5.55,1
Cork,5.67,0.0,7.09,4.25,1
Oita,7.22,0.0,0.0,2.41,0
Monterrey,6.84,10.0,8.6,8.48,3
Bourgas,6.2,0.0,0.6,2.27,0
Chisinau,7.76,0.0,0.0,2.59,0
Luxor,6.79,0.0,8.96,5.25,1
Stuttgart,6.88,0.0,0.6,2.49,0
London Southend Airport,6.74,0.0,0.0,2.25,0
Fes,6.51,10.0,0.0,5.5,2
Yangyang,6.67,10.0,0.0,5.56,2
Lisbon,6.86,0.0,8.54,5.13,1
Kavala,5.52,0.0,9.8,5.11,1
