Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Haiphong,8.33,0.0,5.0,9.9,5.81
Beirut - Rafik Hariri,6.77,0.0,1.93,7.4,4.03
Sendai,4.89,0.0,2.38,7.63,3.72
Hannover,6.79,0.0,0.67,0.0,1.86
Kuusamo,0.0,0.0,5.0,0.0,1.25
Samara,6.67,0.0,0.63,10.0,4.32
Aleppo,0.0,0.0,5.0,0.0,1.25
Fes,6.51,10.0,0.04,0.0,4.14
Providenciales (Turks and Caicos),7.5,0.0,5.0,0.0,3.12
Hanoi,5.4,0.0,0.82,9.15,3.84
Wuhan Tianhe,6.07,7.37,0.07,9.98,5.87
Huatulco,0.0,0.0,0.0,0.0,0.0
Sfax,6.12,10.0,0.19,8.65,6.24
Bandar Seri Begawan,0.0,0.0,5.0,0.0,1.25
Beijing,5.91,6.27,5.0,0.0,4.3
Tirstrup,0.0,0.0,4.59,0.0,1.15
Banja Luka,6.67,0.0,5.0,10.0,5.42
Aktau,10.0,0.0,5.0,0.0,3.75
Hohhot Baita,6.71,10.0,5.0,9.99,7.92
Georgia/Turkey,0.0,0.0,5.0,0.0,1.25
Georgia/Armenia,0.0,0.0,5.0,0.0,1.25
Quanzhou Jinjiang,0.0,0.0,4.29,7.98,3.07
Lusaka,6.92,0.0,1.73,8.28,4.23
Everrich Downtown Kinmen,5.89,9.96,5.0,4.05,6.23
Singapore,0.0,0.0,5.0,0.0,1.25
Kristiansund,0.0,0.0,5.0,0.0,1.25
Montreal,0.0,0.0,5.0,0.0,1.25
San Sebastian,0.0,0.0,5.0,0.0,1.25
Savannaket,0.0,0.0,5.0,0.0,1.25
Belgrade,6.83,0.0,0.27,9.37,4.12
Bilbao,6.84,0.0,0.17,9.91,4.23
Mongolia/China,0.0,0.0,5.0,0.0,1.25
Penang,6.67,10.0,1.1,8.58,6.59
Salalah,6.73,0.0,0.71,0.0,1.86
Barcelona,6.54,0.0,0.16,7.63,3.58
Abuja,6.28,10.0,0.44,8.42,6.28
Kavala,5.52,0.0,5.0,9.8,5.08
Tallinn (Estonia/Sweden/Finland - ferries,0.0,0.0,5.0,0.0,1.25
London Luton,6.46,0.0,0.48,8.77,3.93
Rostock,0.0,0.0,5.0,0.0,1.25
Paris Charles De Gaulle,6.67,10.0,0.42,8.44,6.38
Natal,6.84,10.0,0.24,4.78,5.46
Basel,6.35,10.0,0.21,4.59,5.29
Tunis,6.4,9.99,0.05,8.87,6.33
PRISTINA,6.93,0.0,0.1,8.04,3.77
Zia,4.93,0.0,2.24,9.85,4.26
Dostuk,0.0,0.0,5.0,0.0,1.25
Livigno,0.0,0.0,5.0,0.0,1.25
Naantali,0.0,0.0,5.0,0.0,1.25
Paris Orly,6.76,10.0,0.38,0.0,4.28
Maastricht - Aachen,0.0,0.0,5.0,0.0,1.25
Esendere Turkey Iran Border,0.0,0.0,5.0,0.0,1.25
Naberezhnye Chelny,0.0,0.0,5.0,0.0,1.25
Marsa Aalam,6.73,0.0,5.0,9.92,5.41
Vaxjo,4.67,0.0,5.0,0.0,2.42
Kosice,0.0,0.0,5.0,0.0,1.25
Basseterre (Saint Kitts),6.79,9.94,0.19,0.0,4.23
Zagreb,6.11,0.0,2.81,7.85,4.19
Hiroshima,4.89,0.0,2.24,10.0,4.28
Russe/Black Sea,0.0,0.0,5.0,0.0,1.25
Harbin Taiping,6.75,0.0,0.06,0.0,1.7
Chongqing Jiangbei,5.99,9.91,0.06,9.99,6.49
Dubrovnik,7.78,0.0,5.67,9.32,5.69
Monterrey,6.84,10.0,0.29,8.6,6.43
Berlin Schoenefeld,0.0,0.0,5.0,0.0,1.25
Minsk,6.79,0.0,0.1,10.0,4.22
Seattle,0.0,0.0,5.0,0.0,1.25
Oita,7.22,0.0,4.34,0.0,2.89
Burkina Faso,0.0,0.0,5.0,0.0,1.25
Venice,6.78,0.0,0.3,9.07,4.04
Yiwu,0.0,0.0,5.0,0.0,1.25
Luang Prabang,0.0,0.0,5.0,0.0,1.25
