Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_D,Avg_Score
Everrich Downtown Kinmen,5.89,0.0,5.0,43.0,9.96434819317729,1.08,5.644782731059098
Ciampino Airport,5.83,1.0,5.0,36.0,0.0,,2.915
Roland Garros,6.67,2.0,1.0,31.0,10.0,3.39,6.686666666666667
A Coruna,6.92,2.0,0.0,26.0,0.0,,3.46
Montpellier,6.88,1.0,0.0,16.0,0.0,,3.44
Stockholm Arlanda,6.92,2.0,0.0,26.0,0.0,,3.46
Niamey,5.0,1.0,4.0,14.0,0.0,,2.5
Tarbes - Lourdes,6.67,0.0,0.0,20.0,9.999999999999998,10.0,8.889999999999999
Karipur,4.87,0.0,7.0,26.0,0.0,,2.435
Kutaisi,6.78,1.0,0.0,29.0,0.0,0.0,2.2600000000000002
Samarkand,10.0,8.0,0.0,8.0,,,10.0
Luxor,6.79,4.0,0.0,112.0,0.0,4.89,3.893333333333333
Sydney,6.67,0.0,0.0,21.0,0.0,,3.335
Rotterdam,6.92,1.0,0.0,13.0,0.0,0.0,2.3066666666666666
Hamburg,6.82,3.0,0.0,64.0,0.0,,3.41
Beauvais,6.53,1.0,1.0,25.0,0.0,,3.265
Acapulco,8.48,30.0,0.0,55.0,,,8.48
Min Vody,6.75,1.0,0.0,40.0,0.0,3.73,3.4933333333333336
Siem Reap,7.16,14.0,0.0,95.0,,,7.16
Queretaro,7.14,2.0,0.0,14.0,0.0,9.99,5.71
Kos,6.72,1.0,0.0,60.0,0.0,0.05,2.2566666666666664
Shenzhen Bao'an,7.19,13.0,0.0,83.0,,,7.19
Pula,8.89,2.0,0.0,3.0,,,8.89
Kyiv,7.5,11.0,0.0,44.0,,,7.5
Sandefjord-Torp,6.05,1.0,3.0,27.0,0.0,,3.025
Kristiansand,7.6,9.0,0.0,32.0,,,7.6
Lisbon,6.86,3.0,0.0,53.0,0.0,,3.43
Vilnius,6.94,1.0,0.0,12.0,0.0,,3.47
Soekarno Hatta,6.85,3.0,0.0,54.0,9.999999999999998,0.13,5.659999999999999
Venice,6.78,2.0,0.0,60.0,0.0,0.46,2.4133333333333336
La Palma,5.96,3.0,8.0,61.0,0.0,0.46,2.14
Torino,5.78,0.0,2.0,15.0,0.0,10.0,5.260000000000001
Kilimanjaro,6.75,3.0,1.0,41.0,0.0,,3.375
Fuzhou Changle,6.02,0.0,9.0,93.0,10.0,10.0,8.673333333333334
Volgograd,6.88,2.0,0.0,32.0,0.0,,3.44
Lusaka,6.92,1.0,0.0,13.0,0.0,10.0,5.640000000000001
Conakry,9.17,9.0,0.0,12.0,,,9.17
Sihanoukville,6.72,1.0,0.0,59.0,10.0,9.98,8.9
Sfax,6.12,3.0,5.0,43.0,10.0,8.11,8.076666666666666
Taiyuan Wusu,6.71,1.0,0.0,80.0,10.0,9.04,8.583333333333334
Odessa,7.62,6.0,0.0,21.0,,,7.62
Makhachkala,6.94,1.0,0.0,12.0,0.0,,3.47
Banja Luka,6.67,2.0,1.0,22.0,0.0,,3.335
Chambery,6.86,1.0,0.0,17.0,0.0,,3.43
Helsinki-Vantaa,7.04,1.0,0.0,9.0,0.0,,3.52
Rabil,6.09,2.0,5.0,46.0,9.999999999999996,5.47,7.186666666666665
Kinshasa,6.92,1.0,0.0,13.0,0.0,,3.46
Moi,8.89,8.0,0.0,12.0,,,8.89
Quito,6.86,4.0,0.0,70.0,9.734068433799413,1.12,5.904689477933139
Tozeur,6.36,1.0,2.0,33.0,10.0,,8.18
Mendoza,6.85,1.0,0.0,18.0,0.0,,3.425
Faroe Islands,6.67,0.0,0.0,16.0,0.0,,3.335
Bandaranaike,5.1,0.0,8.0,34.0,0.0,10.0,5.033333333333333
Riga,6.9,1.0,0.0,14.0,0.0,,3.45
Khabarovsk,7.67,6.0,0.0,20.0,,,7.67
Norwich,6.82,2.0,0.0,44.0,0.0,,3.41
Togo,5.83,1.0,3.0,20.0,0.0,,2.915
Dortmund,6.77,1.0,0.0,32.0,0.0,0.0,2.2566666666666664
Ras El Khaymah,6.8,2.0,0.0,50.0,0.0,,3.4
Nantes,6.6,3.0,2.0,51.0,10.0,1.4,6.0
Kralendijk (Bonaire),6.79,1.0,0.0,26.0,0.0,,3.395
Chisinau,7.76,17.0,0.0,52.0,,,7.76
La Paz Manuel Marquez de Leon,6.84,2.0,0.0,39.0,0.0,1.95,2.9299999999999997
Jerez De La Frontera,6.91,3.0,0.0,41.0,0.0,0.66,2.5233333333333334
Buenos Aires Aeroparque,6.91,3.0,0.0,41.0,0.0,,3.455
Trondheim,6.79,2.0,0.0,56.0,0.0,,3.395
Lucknow,4.87,0.0,7.0,26.0,0.0,,2.435
Vienna,6.77,1.0,0.0,31.0,0.0,,3.385
Santa Cruz Viru Viru,10.0,8.0,0.0,8.0,,,10.0
Kyiv - Zhulyany,7.72,13.0,0.0,41.0,,,7.72
Beira,8.75,5.0,0.0,8.0,,,8.75
Nouakchott,6.9,3.0,0.0,42.0,0.0,,3.45
Samos,6.76,1.0,0.0,34.0,0.0,,3.38
Kharkiv,7.78,5.0,0.0,15.0,,,7.78
London Heathrow,6.55,3.0,3.0,83.0,0.0,7.12,4.556666666666667
Skiathos,6.67,0.0,0.0,33.0,0.0,,3.335
Jersey,6.67,0.0,0.0,30.0,0.0,2.31,2.9933333333333336
Umea,7.08,1.0,0.0,8.0,0.0,,3.54
Lviv,7.36,15.0,0.0,72.0,,,7.36
Providenciales (Turks and Caicos),7.5,1.0,0.0,4.0,,,7.5
Belgorod,7.78,3.0,0.0,9.0,,,7.78
Basrah,6.81,1.0,0.0,24.0,0.0,,3.405
Yancheng Nanyang,6.73,1.0,0.0,54.0,0.0,,3.365
Karpathos,5.76,1.0,2.0,11.0,0.0,,2.88
Verona,6.83,2.0,0.0,41.0,0.0,,3.415
Eskisehir Airport,6.87,5.0,0.0,81.0,8.938868357172069,,7.904434178586035
Voronezh,7.85,11.0,0.0,31.0,,,7.85
Samara,6.67,0.0,0.0,13.0,0.0,,3.335
Buenos Aires - Ezeiza,6.84,3.0,0.0,57.0,0.0,0.0,2.28
Aarhus,6.67,0.0,0.0,15.0,0.0,,3.335
Sierra Leone,5.42,1.0,2.0,8.0,0.0,10.0,5.14
Bari,5.78,0.0,2.0,15.0,0.0,,2.89
Edinburgh,6.47,0.0,2.0,69.0,0.0,0.56,2.3433333333333333
Eindhoven,6.88,1.0,0.0,16.0,0.0,,3.44
Abuja,6.28,3.0,4.0,43.0,9.999999999999998,3.05,6.4433333333333325
Astrakhan,6.9,3.0,0.0,43.0,0.0,,3.45
Anna,4.87,0.0,7.0,26.0,0.0,,2.435
Baghdad,6.78,1.0,0.0,29.0,0.0,,3.39
Dublin,5.83,0.0,3.0,24.0,0.0,10.0,5.276666666666666
Nis,6.53,1.0,1.0,25.0,0.0,,3.265
Cam Ranh,6.22,0.0,2.0,30.0,0.0,10.0,5.406666666666666
Brisbane,6.67,0.0,0.0,20.0,0.0,,3.335
Luanda,6.9,1.0,0.0,14.0,0.0,,3.45
Madeira,6.67,2.0,1.0,24.0,0.0,0.8,2.4899999999999998
Bilbao,6.84,3.0,0.0,58.0,0.0,2.31,3.0500000000000003
Kuala Lumpur,6.52,2.0,2.0,47.0,9.165350911491958,,7.842675455745979
Erfurt,10.0,7.0,0.0,7.0,,,10.0
Granada,5.76,1.0,2.0,11.0,0.0,4.22,3.3266666666666667
Warsaw-Modlin,6.92,2.0,0.0,26.0,0.0,,3.46
Sarajevo,4.91,0.0,5.0,19.0,0.0,,2.455
Wroclaw,5.17,1.0,5.0,20.0,0.0,,2.585
Zanzibar,5.44,1.0,4.0,19.0,0.0,,2.72
Okayama,6.44,0.0,1.0,29.0,9.93444221175235,,8.187221105876175
Bamako,6.89,1.0,0.0,15.0,0.0,,3.445
Tashkent,5.6,2.0,5.0,25.0,0.0,4.46,3.353333333333333
Liberia,5.24,1.0,2.0,7.0,0.0,,2.62
Cork,5.67,0.0,3.0,20.0,0.0,10.0,5.223333333333334
Lubumbashi,7.14,1.0,0.0,7.0,0.0,,3.57
Ramon,10.0,15.0,0.0,15.0,,,10.0
Kavala,5.52,1.0,6.0,32.0,0.0,7.13,4.216666666666666
Munster-Osnabruck,4.9,1.0,5.0,17.0,0.0,,2.45
Radom,5.56,1.0,2.0,9.0,0.0,,2.78
Brussels,6.67,2.0,1.0,23.0,0.0,1.95,2.873333333333333
Memmingen,10.0,4.0,0.0,4.0,,,10.0
Entebbe,4.8,0.0,7.0,25.0,0.0,9.99,4.93
Bridgetown,6.76,1.0,0.0,34.0,0.0,,3.38
Maputo,9.17,9.0,0.0,12.0,,,9.17
Mitilini,6.77,1.0,0.0,33.0,0.0,,3.385
Shymkent,7.92,9.0,0.0,24.0,,,7.92
Guernsey,5.56,1.0,2.0,9.0,0.0,,2.78
Ufa,7.62,8.0,0.0,28.0,,,7.62
Alesund,8.97,9.0,0.0,13.0,,,8.97
Hrabrovo,7.62,10.0,0.0,35.0,,,7.62
Vladivostok,9.67,9.0,0.0,10.0,,,9.67
Coolangatta,8.33,3.0,0.0,6.0,,,8.33
Tuzla,4.91,0.0,5.0,19.0,0.0,,2.455
Yangon,5.77,1.0,4.0,26.0,0.0,,2.885
Tulear,6.97,1.0,0.0,11.0,0.0,,3.485
Ioannina,6.98,2.0,0.0,21.0,0.0,10.0,5.66
Paderborn,6.82,2.0,0.0,44.0,0.0,,3.41
Hatay Airport,9.52,12.0,0.0,14.0,,,9.52
Nairobi,6.67,0.0,0.0,10.0,0.0,,3.335
Bangui,8.33,2.0,0.0,4.0,0.0,,4.165
Yingsheng,10.0,10.0,0.0,10.0,,,10.0
San Jose,5.24,1.0,2.0,7.0,0.0,,2.62
Djibouti,5.0,1.0,2.0,6.0,0.0,,2.5
Nanjing Lukou,5.42,1.0,2.0,8.0,5.515333432355289,,5.467666716177645
Pamandzi,4.85,0.0,3.0,11.0,0.0,,2.425
Hebei,5.15,1.0,3.0,11.0,0.0,,2.575
Takamatsu,5.0,0.0,3.0,12.0,0.0,,2.5
Budapest,8.33,2.0,0.0,4.0,,,8.33
Queenstown,4.44,0.0,2.0,6.0,0.0,,2.22
Quanzhou,6.25,1.0,1.0,8.0,0.0,,3.125
Nykoping,6.67,2.0,1.0,5.0,0.0,,3.335
Orebro,7.78,1.0,0.0,3.0,0.0,,3.89
Zagreb,6.11,1.0,1.0,6.0,0.0,,3.055
Lulea,7.33,1.0,0.0,5.0,0.0,,3.665
Karlsruhe Baden-Baden,10.0,4.0,0.0,4.0,,,10.0
Dushanbe,7.86,5.0,0.0,14.0,,,7.86
Windhoek,6.67,0.0,0.0,17.0,0.0,,3.335
Kaunas,6.94,1.0,0.0,12.0,0.0,0.0,2.3133333333333335
Genoa,5.76,1.0,2.0,11.0,0.0,,2.88
Vigo,6.86,1.0,0.0,17.0,0.0,,3.43
Guiyang Longdongbao,7.78,1.0,0.0,3.0,0.0,,3.89
Wellington,8.57,4.0,0.0,7.0,,,8.57
Iwate,6.67,0.0,0.0,3.0,0.0,,3.335
Bologna,5.78,0.0,2.0,15.0,0.0,,2.89
Kigali,4.89,0.0,4.0,15.0,0.0,1.72,2.203333333333333
Auckland,4.44,0.0,3.0,9.0,0.0,,2.22
Mandalay,5.42,1.0,2.0,8.0,0.0,,2.71
Brno,4.44,0.0,3.0,9.0,0.0,,2.22
Podgorica,5.56,1.0,1.0,3.0,0.0,,2.78
Shizuoka,5.83,0.0,1.0,8.0,0.0,,2.915
Harare,10.0,3.0,0.0,3.0,,,10.0
Gothenburg,6.67,0.0,0.0,4.0,,,6.67
Zadar,8.89,2.0,0.0,3.0,,,8.89
Mombasa,9.0,7.0,0.0,10.0,,,9.0
Dnipropetrovsk,8.0,2.0,0.0,5.0,,,8.0
La Paz El Alto,10.0,5.0,0.0,5.0,,,10.0
Yaounde,8.15,4.0,0.0,9.0,,,8.15
Kagoshima,5.71,0.0,1.0,7.0,0.0,,2.855
Gibraltar,5.33,0.0,3.0,15.0,0.0,,2.665
Dubrovnik,7.78,1.0,0.0,3.0,0.0,,3.89
Gaborone,7.78,1.0,0.0,3.0,0.0,0.0,2.5933333333333333
Montevideo,6.67,0.0,0.0,10.0,0.0,,3.335
Manila - Ninoy Aquino,6.92,1.0,0.0,13.0,0.0,,3.46
Split,7.78,1.0,0.0,3.0,0.0,,3.89
Aktau,10.0,7.0,0.0,7.0,,,10.0
Kalibo,7.78,1.0,0.0,3.0,0.0,,3.89
Cairns,7.08,1.0,0.0,8.0,0.0,,3.54
Adelaide,6.19,1.0,1.0,7.0,0.0,,3.095
Punta del Este,3.33,1.0,1.0,1.0,0.0,,1.665
Fukushima,6.67,0.0,0.0,3.0,0.0,,3.335
Mactan,6.67,0.0,0.0,3.0,,,6.67
Islamabad,3.33,1.0,1.0,1.0,,,3.33
Zhukovsky,,,,,0.0,,0.0
Daegu (downtown),,,,,9.733431333086468,,9.733431333086468
Cartagena de Indias,,,,,0.0,,0.0
Busan - Kimhae (downtown),,,,,2.6408985366861493,,2.6408985366861493
Huatulco,,,,,0.0,,0.0
Iloilo,,,,,0.0,,0.0
Seoul (downtown),,,,,0.3496579551187395,,0.3496579551187395
Tokyo - Shinjuku,,,,,0.0,,0.0
Jeju (downtown),,,,,0.11846661695817447,,0.11846661695817447
Manila Downtown Shop,,,,,0.0,,0.0
Danang Downtown Shop,,,,,0.0,,0.0
