Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_D,Avg_Score
Kuwait,6.05,8.0,19.0,163.0,9.937619137795632,,7.993809568897817
Guadalajara,6.86,6.0,0.0,104.0,9.90091667072798,,8.38045833536399
Medina,6.87,5.0,0.0,81.0,10.0,,8.435
Melbourne,6.76,2.0,0.0,74.0,0.0,,3.38
Xuzhou Guanyin,6.75,2.0,0.0,80.0,3.077488644949547,,4.913744322474773
Beijing,5.91,1.0,12.0,101.0,6.270890112579698,,6.090445056289849
Naples,6.04,2.0,6.0,53.0,0.0,1.21,2.4166666666666665
Skopje,6.8,3.0,0.0,73.0,0.0,0.0,2.2666666666666666
Ningbo Lishe,6.2,1.0,7.0,93.0,0.0946555759218226,9.64,5.311551858640608
Doha,5.05,1.0,18.0,72.0,0.0,,2.525
Batumi,6.83,2.0,0.0,41.0,0.0,,3.415
Daegu,6.13,1.0,10.0,119.0,8.336940756877883,,7.233470378438941
Aktio,6.05,1.0,4.0,38.0,0.0,,3.025
Xian Xianyang,6.49,1.0,3.0,92.0,9.820119889565184,3.05,6.453373296521729
Chattrapati Shivaji,5.05,0.0,9.0,37.0,0.0,,2.525
Sharm El Sheikh,6.78,4.0,0.0,115.0,0.0,7.96,4.913333333333333
Bergamo,6.86,3.0,0.0,52.0,0.0,0.88,2.58
Fukuoka,6.51,0.0,3.0,130.0,9.463165452712053,,7.986582726356026
Madrid Barajas,6.83,4.0,0.0,83.0,0.0,1.27,2.6999999999999997
Munich,6.35,4.0,5.0,64.0,0.0,10.0,5.45
Bodrum Airport,6.75,9.0,0.0,341.0,9.61451312511527,1.4,5.921504375038423
Geneva,6.41,6.0,9.0,157.0,10.0,,8.205
Hyderabad,5.18,1.0,9.0,38.0,0.0,,2.59
Sofia,6.75,1.0,0.0,42.0,0.0,10.0,5.583333333333333
Suleymania Airport,6.81,1.0,0.0,24.0,0.0,,3.405
Sao Paulo - Guarulhos,6.85,7.0,0.0,126.0,9.997073720896703,8.6,8.482357906965568
Manama,6.74,4.0,0.0,187.0,5.513025756141752,,6.126512878070876
Chubu,6.58,0.0,2.0,157.0,8.980981121470355,,7.780490560735178
Viracopos,6.85,6.0,0.0,107.0,9.998113705943227,,8.424056852971614
Stuttgart,6.88,3.0,0.0,48.0,0.0,0.02,2.3
Amman,6.02,7.0,20.0,170.0,9.999999999999996,,8.009999999999998
Port Louis,5.24,1.0,2.0,7.0,0.0,,2.62
Abu Dhabi,5.75,7.0,24.0,149.0,9.624509661011395,0.23,5.201503220337131
Salalah,6.73,1.0,0.0,53.0,0.0,,3.365
Sendai,4.89,0.0,4.0,15.0,0.0,,2.445
Shanghai Pudong,5.93,0.0,11.0,99.0,3.5696188978475636,7.51,5.669872965949188
Tel-Aviv,5.42,1.0,5.0,24.0,0.0,,2.71
Aqaba,6.86,5.0,0.0,88.0,10.0,,8.43
Cancun,6.84,8.0,0.0,153.0,9.858803368436806,6.6,7.766267789478936
Doncaster,7.32,8.0,0.0,41.0,,,7.32
Fes,6.51,7.0,8.0,186.0,9.99775977903399,,8.253879889516995
La Romana,6.83,3.0,0.0,63.0,9.969498785535677,3.07,6.623166261845225
Adana Airport,6.87,5.0,0.0,84.0,9.159195623169557,0.1,5.37639854105652
Dalaman Airport,6.79,10.0,0.0,263.0,0.0,,3.395
Katima Mulilo,4.76,0.0,2.0,7.0,0.0,,2.38
Qingdao Liuting,6.05,0.0,9.0,97.0,9.875638614121309,,7.962819307060654
Port-au-Prince (Haiti),6.76,1.0,0.0,35.0,0.0,,3.38
Amritsar,4.87,0.0,7.0,26.0,0.0,,2.435
Sharjah,5.78,6.0,22.0,143.0,9.304957000175841,,7.54247850008792
Malaga,6.48,2.0,3.0,73.0,0.0,,3.24
Marsa Aalam,6.73,2.0,0.0,111.0,0.0,0.12,2.2833333333333337
Urumchi Diwobao,6.48,1.0,3.0,89.0,9.998428366126324,,8.239214183063162
Manas,6.15,3.0,8.0,84.0,0.0,,3.075
Dar Es Salaam,6.5,3.0,3.0,59.0,10.0,,8.25
Almaty,5.0,1.0,6.0,22.0,0.0,,2.5
Punta Cana - Higuey,6.78,6.0,0.0,171.0,9.822873512533828,4.46,7.0209578375112764
Frankfurt,6.82,4.0,0.0,88.0,0.0,10.0,5.6066666666666665
Yanji Zhaoyangchuan,6.54,1.0,2.0,82.0,0.0,,3.27
Ankara Airport,6.84,17.0,0.0,324.0,9.520905262573255,4.71,7.0236350875244185
Jomo Kenyatta,6.42,5.0,6.0,93.0,9.993496647525237,,8.206748323762618
Oujda,6.55,6.0,6.0,176.0,9.998636898988892,0.47,5.67287896632963
Sevilla,6.44,2.0,3.0,58.0,0.0,,3.22
Phnom Penh,6.75,3.0,0.0,126.0,4.27526805025105,0.16,3.728422683417017
Rome Fiumicino,6.87,4.0,0.0,66.0,0.0,,3.435
Shanghai Hongqiao,6.1,0.0,8.0,94.0,6.633158459977885,0.72,4.4843861533259615
St. Maarten Princess Juliana,5.76,2.0,4.0,22.0,0.0,,2.88
Trabzon Airport,6.84,5.0,0.0,99.0,5.385317051936381,10.0,7.408439017312126
Almeria,6.36,2.0,3.0,43.0,0.0,0.51,2.29
Monastir,6.39,4.0,8.0,144.0,9.992678311146388,,8.191339155573194
Puerto Vallarta,6.84,6.0,0.0,114.0,9.836285392949012,,8.338142696474506
Jinan Xiaoqiang,6.67,0.0,0.0,87.0,5.90259028578219,9.9,7.490863428594063
Mykonos,5.53,1.0,8.0,44.0,0.0,3.5,3.0100000000000002
Lublin,6.82,2.0,0.0,43.0,0.0,,3.41
Florence,6.86,3.0,0.0,51.0,0.0,,3.43
Kunming Wujiaba,6.16,1.0,8.0,98.0,9.994041871579237,3.84,6.664680623859746
Puerto Plata,6.82,5.0,0.0,106.0,9.110832688288363,1.72,5.883610896096122
Bangalore,6.18,1.0,7.0,89.0,10.0,,8.09
Seoul,5.74,0.0,19.0,136.0,8.540526633976404,4.72,6.333508877992134
Macau,6.67,0.0,0.0,33.0,10.0,0.13,5.6000000000000005
Samsun Airport,6.84,10.0,0.0,196.0,9.04435424202746,10.0,8.62811808067582
Jerba,6.47,5.0,7.0,151.0,9.979188020710543,,8.224594010355272
Humberside,6.67,0.0,0.0,45.0,0.0,,3.335
Aberdeen,6.44,0.0,2.0,58.0,0.0,0.66,2.3666666666666667
Astana,6.75,1.0,0.0,40.0,0.0,,3.375
Kingston,6.67,0.0,0.0,25.0,0.0,,3.335
Xiamen Gaoqi,6.11,0.0,8.0,95.0,9.953257374628684,,8.031628687314342
Cairo,6.79,6.0,0.0,164.0,9.999999999999998,9.68,8.823333333333332
Guayaquil,5.23,2.0,9.0,37.0,10.0,,7.615
Toulouse,6.86,4.0,0.0,69.0,9.999999999999998,,8.43
Moscow - Vnukovo,6.74,1.0,0.0,45.0,0.0,1.87,2.8699999999999997
Heraklion Airport,6.75,2.0,0.0,78.0,10.0,1.6,6.116666666666667
Malmo,6.32,0.0,1.0,19.0,0.0,,3.16
Changchun Longjia,5.96,1.0,10.0,90.0,10.0,8.91,8.290000000000001
Al Hoceima,6.67,0.0,0.0,109.0,,0.61,3.64
Milan - Linate,6.88,3.0,0.0,47.0,0.0,1.75,2.8766666666666665
Indira Gandhi,5.25,1.0,9.0,40.0,0.0,,2.625
Hiroshima,4.89,0.0,4.0,15.0,0.0,,2.445
Lille,6.9,2.0,0.0,29.0,0.0,0.05,2.316666666666667
Exeter,6.72,1.0,0.0,67.0,0.0,,3.36
Belgrade,6.83,2.0,0.0,42.0,0.0,,3.415
Managua,6.87,4.0,0.0,66.0,9.455220141642975,0.12,5.481740047214326
Vaxjo,4.67,1.0,2.0,5.0,0.0,,2.335
Amsterdam - Schiphol,6.79,1.0,0.0,27.0,0.0,0.0,2.263333333333333
Szczecin,6.89,3.0,0.0,45.0,0.0,,3.445
Accra,6.83,4.0,0.0,80.0,9.998051094576688,,8.414025547288343
Douala,7.0,1.0,0.0,10.0,0.0,,3.5
Barcelona,6.54,3.0,3.0,76.0,0.0,,3.27
Johannesburg,6.82,2.0,0.0,44.0,10.0,,8.41
Newcastle,6.47,0.0,2.0,68.0,0.0,4.87,3.78
Ibaraki,4.44,0.0,3.0,9.0,0.0,,2.22
Yantai Penglai,6.03,2.0,10.0,94.0,9.972627549374343,,8.001313774687171
Lima,6.77,4.0,0.0,132.0,9.991862889279197,1.27,6.010620963093065
London Southend Airport,6.74,1.0,0.0,43.0,0.0,,3.37
Rabat,6.53,8.0,8.0,191.0,9.999483969237309,0.03,5.51982798974577
Guangzhou Baiyun,6.09,1.0,9.0,98.0,9.74763175206672,8.31,8.04921058402224
Antalya Gazipasa Airport,6.83,10.0,0.0,207.0,9.2301984129937,,8.03009920649685
Cozumel,6.87,5.0,0.0,83.0,9.9990011315203,,8.43450056576015
Danang,6.67,0.0,0.0,38.0,0.0,,3.335
Berlin Brandenburg,6.82,3.0,0.0,65.0,0.0,,3.41
Tbilisi,6.83,2.0,0.0,41.0,0.0,,3.415
Monterrey,6.84,4.0,0.0,77.0,10.0,,8.42
Leeds Bradford,6.23,0.0,4.0,61.0,0.0,3.21,3.146666666666667
Bergen,6.81,2.0,0.0,45.0,0.0,0.55,2.453333333333333
Naha,4.94,0.0,7.0,27.0,0.0,,2.47
Katowice,5.0,0.0,5.0,20.0,0.0,,2.5
Harbin Taiping,6.75,2.0,0.0,77.0,0.0,,3.375
Baku,4.94,1.0,8.0,29.0,0.0,,2.47
Zaporizhya,8.04,7.0,0.0,17.0,,,8.04
Paramaribo,6.79,1.0,0.0,28.0,0.0,,3.395
Murcia,6.75,1.0,0.0,39.0,0.0,2.63,3.1266666666666665
Kayseri Airport,6.84,10.0,0.0,191.0,10.0,,8.42
Santiago Cibao,6.79,2.0,0.0,55.0,2.386470660796951,0.15,3.108823553598984
Treviso,5.69,1.0,3.0,17.0,0.0,7.12,4.2700000000000005
Hangzhou Xiaoshan,6.09,1.0,9.0,98.0,2.415230638693507,9.71,6.071743546231169
Montego Bay,6.73,3.0,0.0,155.0,9.611246344354115,0.05,5.463748781451372
Cayenne,6.45,3.0,3.0,47.0,10.0,,8.225
Dalian Zhoushuizi,6.75,2.0,0.0,81.0,9.944036592764622,7.51,8.068012197588208
Rio de Janeiro,6.82,6.0,0.0,128.0,10.0,9.0,8.606666666666667
Mudanjiang Hailang,6.71,1.0,0.0,82.0,8.446070841184463,,7.578035420592231
Gerona,6.44,2.0,3.0,59.0,0.0,5.82,4.086666666666667
Shannon,5.0,0.0,2.0,8.0,0.0,,2.5
Chongqing Jiangbei,5.99,1.0,10.0,94.0,9.908305088901326,9.71,8.536101696300442
Los Cabos,6.83,6.0,0.0,121.0,9.93263681903063,,8.381318409515316
Aswan,6.79,4.0,0.0,108.0,0.0,8.53,5.1066666666666665
Florianopolis,6.79,3.0,0.0,81.0,10.0,4.51,7.099999999999999
Cukurova Airport,6.86,9.0,0.0,158.0,9.083979949225299,,7.971989974612649
Rostov Don,7.81,13.0,0.0,38.0,,,7.81
Piarco,6.67,0.0,0.0,85.0,,0.0,3.335
Fortaleza,6.87,4.0,0.0,67.0,10.0,0.0,5.623333333333334
Glasgow,6.48,0.0,2.0,73.0,0.0,0.91,2.4633333333333334
Bristol,6.47,0.0,2.0,69.0,0.0,,3.235
Nice,6.77,4.0,1.0,65.0,10.0,,8.385
Yinchuan Hedong,6.52,0.0,2.0,88.0,7.01408010858033,0.07,4.534693369526777
Salvador,6.84,3.0,0.0,59.0,10.0,0.0,5.613333333333333
Ulaanbaatar,6.67,0.0,0.0,81.0,0.0,,3.335
Bariloche,5.0,1.0,1.0,2.0,0.0,,2.5
Santiago Arturo Merino Benitez,6.67,0.0,0.0,84.0,10.0,,8.335
Krakow Balice,6.79,2.0,0.0,55.0,0.0,8.04,4.9433333333333325
Singapore - Changi,6.83,3.0,0.0,62.0,0.0,6.3,4.376666666666666
Addis Ababa,6.81,7.0,0.0,163.0,9.997484903189287,1.92,6.242494967729762
Oslo,6.78,2.0,0.0,60.0,0.0,,3.39
Pointe-a-Pitre,6.35,3.0,4.0,53.0,10.0,4.98,7.11
Porto,6.89,3.0,0.0,45.0,0.0,0.01,2.3
Bujumbura,5.0,0.0,4.0,16.0,0.0,0.66,1.8866666666666667
Phu Quok,6.87,2.0,0.0,33.0,0.0,,3.435
Marseille,6.76,4.0,1.0,68.0,10.0,0.24,5.666666666666665
Shandong,6.85,4.0,0.0,72.0,,,6.85
Grenoble,6.35,2.0,2.0,21.0,10.0,,8.175
Brasilia,6.81,4.0,0.0,93.0,9.999924497984523,1.87,6.226641499328174
Porto Alegre,6.85,4.0,0.0,73.0,10.0,1.21,6.0200000000000005
Nanning Wuxu,6.7,3.0,1.0,88.0,9.375967349051194,5.01,7.028655783017065
Bydgoszcz,5.17,1.0,5.0,20.0,0.0,,2.585
Abidjan,6.56,4.0,3.0,64.0,10.0,,8.28
Corfu,5.59,1.0,11.0,65.0,10.0,6.1,7.2299999999999995
Moscow - Domodedovo,6.76,2.0,0.0,68.0,0.0,9.93,5.563333333333333
Chania,5.86,2.0,8.0,58.0,0.0,8.85,4.903333333333333
Marka,6.89,2.0,0.0,30.0,0.0,,3.445
Praia,6.85,3.0,0.0,55.0,10.0,5.47,7.44
Recife,6.86,5.0,0.0,88.0,9.993827488258754,4.83,7.227942496086253
Wuhan Tianhe,6.07,1.0,9.0,95.0,7.367285608272308,9.73,7.72242853609077
Juba,6.9,1.0,0.0,14.0,0.0,,3.45
Cardiff,6.43,0.0,2.0,57.0,0.0,3.13,3.186666666666666
Ostrava,6.83,1.0,0.0,20.0,0.0,0.05,2.2933333333333334
London Gatwick,6.58,2.0,2.0,74.0,0.0,,3.29
Denizli Cardak Airport,6.85,5.0,0.0,93.0,9.342410201852896,0.06,5.417470067284298
Panama Tocumen,6.79,3.0,0.0,81.0,9.963692734468804,9.66,8.804564244822934
