Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Venice,6.78,0.0,0.3,9.07,4.04,1
Yiwu,0.0,0.0,5.0,0.0,1.25,2
Luang Prabang,0.0,0.0,5.0,0.0,1.25,2
Lagos,6.83,10.0,0.2,9.65,6.67,3
Isparta Airport,0.0,0.0,5.0,0.0,1.25,2
Zhengzhou Xinzheng,5.65,2.53,0.06,9.99,4.56,1
Sundsvall,0.0,0.0,5.0,0.0,1.25,2
Toulouse,6.86,10.0,0.18,0.0,4.26,3
Yemen,0.0,0.0,5.0,0.0,1.25,2
Samsun Port,0.0,0.0,5.0,0.0,1.25,2
Pierrefond,0.0,0.0,5.0,0.0,1.25,2
Bristol,6.47,0.0,0.28,10.0,4.19,1
Duesseldorf,6.8,0.0,0.67,7.15,3.66,1
Belarus/Lithuania,0.0,0.0,5.0,0.0,1.25,2
Igoumenitsa Port,0.0,0.0,5.0,0.0,1.25,2
Taichung,6.03,9.96,0.26,5.82,5.52,3
Nykoping,6.67,0.0,10.0,7.18,5.96,1
Kyiv,7.5,0.0,5.0,0.0,3.12,0
Izmir Port,0.0,0.0,5.0,0.0,1.25,2
Bodrum Yalikavak Port,0.0,0.0,5.0,0.0,1.25,2
Kuwait,6.05,9.94,0.14,0.0,4.03,3
Togo,5.83,0.0,0.86,9.82,4.13,1
Ipsala Turkey Greece Border,0.0,0.0,5.0,0.0,1.25,2
Sandefjord,0.0,0.0,5.0,0.0,1.25,2
Sanya Fenghuang,6.71,0.0,0.05,0.0,1.69,0
Batumi,6.83,0.0,5.0,9.5,5.33,1
Manila Downtown Shop,0.0,0.0,0.0,0.0,0.0,2
Barranquilla,0.0,0.0,5.0,0.0,1.25,2
Santiago Cibao,6.79,2.39,0.64,1.31,2.78,0
Amsterdam - Schiphol,6.79,0.0,0.5,0.0,1.82,0
Lodz,6.83,0.0,0.75,9.61,4.3,1
Erbil International Airport,5.0,0.0,3.39,5.93,3.58,1
Kota Kinabalu,6.67,3.37,2.16,4.98,4.3,1
Vienna,6.77,0.0,0.36,8.52,3.91,1
Wellington,8.57,0.0,5.0,0.0,3.39,0
Phoenix,0.0,0.0,5.0,0.0,1.25,2
Damietta,0.0,0.0,5.0,0.0,1.25,2
Said Port,0.0,0.0,5.0,0.0,1.25,2
Samarkand,10.0,0.0,5.0,0.0,3.75,0
Liege Bierset,0.0,0.0,5.0,0.0,1.25,2
Kristiansand,7.6,0.0,5.0,0.0,3.15,0
Reus,6.26,0.0,0.24,9.78,4.07,1
Los Cabos,6.83,9.93,0.26,0.0,4.26,3
Belgorod,7.78,0.0,5.0,0.0,3.2,0
Riga,6.9,0.0,1.11,4.95,3.24,1
Armenia - Georgia,0.0,0.0,5.0,0.0,1.25,2
Fortaleza,6.87,10.0,0.87,7.68,6.36,3
Leeds Bradford,6.23,0.0,0.41,9.19,3.96,1
Cesme Port,0.0,0.0,5.0,0.0,1.25,2
Fukuoka,6.51,9.46,0.1,0.0,4.02,3
Kyzyl Kaya,0.0,0.0,5.0,0.0,1.25,2
Tokyo - Haneda,5.05,0.0,2.66,8.23,3.99,1
Warsaw,6.83,0.0,5.0,0.0,2.96,0
Amman,6.02,10.0,0.09,0.0,4.03,3
Juba,6.9,0.0,5.0,0.0,2.98,0
Managua,6.87,9.46,0.24,5.83,5.6,3
Dortmund,6.77,0.0,1.58,7.23,3.9,1
Aqaba (Saudi border),0.0,0.0,5.0,0.0,1.25,2
Tampere-Pirkkala,0.0,0.0,5.0,0.0,1.25,2
Alexandria,6.76,0.0,5.0,9.14,5.22,1
Krakow Balice,6.79,0.0,0.27,9.81,4.22,1
Surgut,0.0,0.0,5.0,0.0,1.25,2
Ronne,0.0,0.0,5.0,0.0,1.25,2
Embajadas,0.0,0.0,5.0,0.0,1.25,2
Windhoek,6.67,0.0,0.86,0.0,1.88,0
Aktobe,0.0,0.0,5.0,0.0,1.25,2
Castellon,0.0,0.0,5.0,0.0,1.25,2
Al Hoceima,6.67,0.0,5.0,9.52,5.3,1
Kinshasa,6.92,0.0,1.2,0.0,2.03,0
Trabzon Airport,6.84,5.39,0.07,9.92,5.55,1
Curacao,6.75,0.0,1.87,0.0,2.16,0
Fredrikshavn,0.0,0.0,5.0,0.0,1.25,2
Cayenne,6.45,10.0,5.0,0.0,5.36,3
Mombasa,9.0,0.0,5.0,0.0,3.5,0
Beni Mellal,0.0,0.0,5.0,0.0,1.25,2
Southampton,6.71,0.0,0.2,0.0,1.73,0
Zurich,6.27,10.0,0.13,8.13,6.13,3
Lubumbashi,7.14,0.0,5.0,9.72,5.46,1
Olsztyn,6.84,0.0,5.0,0.0,2.96,0
Conakry,9.17,0.0,5.0,0.0,3.54,0
Karipur,4.87,0.0,3.93,3.69,3.12,0
Changchun Longjia,5.96,10.0,0.06,9.93,6.49,3
Tianjin Binhai,0.0,0.0,5.0,0.0,1.25,2
Montpellier,6.88,0.0,2.14,9.71,4.68,1
Chambery,6.86,0.0,5.0,0.0,2.96,0
Kralendijk (Bonaire),6.79,0.0,1.5,0.0,2.07,0
Bar,0.0,0.0,5.0,0.0,1.25,2
London Southend Airport,6.74,0.0,0.65,0.0,1.85,0
Lviv,7.36,0.0,5.0,0.0,3.09,0
Siem Reap,7.16,0.0,5.0,0.0,3.04,0
Regina,0.0,0.0,5.0,0.0,1.25,2
Taranto,0.0,0.0,5.0,0.0,1.25,2
Basrah,6.81,0.0,3.01,0.0,2.46,0
Roscoff,0.0,0.0,5.0,0.0,1.25,2
Antigua,6.79,0.0,0.73,0.0,1.88,0
Muscat,6.78,0.0,0.4,7.26,3.61,1
Limassol,0.0,0.0,5.0,0.0,1.25,2
Juanda,0.0,0.0,5.0,0.0,1.25,2
Yancheng Nanyang,6.73,0.0,5.0,0.0,2.93,0
Melilla,0.0,0.0,5.0,0.0,1.25,2
Khost,0.0,0.0,5.0,0.0,1.25,2
Guangzhou Baiyun,6.09,9.75,0.06,9.98,6.47,3
Ngurah Rai,6.76,9.96,0.06,9.16,6.49,3
Mandalay,5.42,0.0,5.0,0.0,2.6,0
Coimbatore,0.0,0.0,5.0,0.0,1.25,2
Nanning Wuxu,6.7,9.38,0.04,9.96,6.52,3
Milazzo,0.0,0.0,5.0,0.0,1.25,2
Zhukovsky,0.0,0.0,0.0,0.0,0.0,2
Saarbruecken,0.0,0.0,5.0,0.0,1.25,2
Palermo,6.86,0.0,0.35,9.23,4.11,1
Istanbul Asia Airport,6.8,8.5,0.05,9.15,6.12,3
Kelowna,0.0,0.0,5.0,0.0,1.25,2
Strasbourg,6.92,0.0,0.65,9.67,4.31,1
Madrid,0.0,0.0,5.0,0.0,1.25,2
Rotterdam,6.92,0.0,4.83,1.1,3.21,0
Tangier,6.6,9.99,0.03,5.72,5.58,3
Puerto Vallarta,6.84,9.84,0.21,0.0,4.22,3
Santiago Arturo Merino Benitez,6.67,10.0,0.24,10.0,6.73,3
Shir Khan,0.0,0.0,5.0,0.0,1.25,2
Gurbulak Turkey Iranian Border,0.0,0.0,5.0,0.0,1.25,2
Hrabrovo,7.62,0.0,5.0,0.0,3.16,0
Cartagena de Indias,0.0,0.0,5.0,0.0,1.25,2
Aqaba Port,0.0,0.0,5.0,0.0,1.25,2
Liverpool,6.47,0.0,0.3,0.0,1.69,0
Matsuyama,0.0,0.0,5.0,0.0,1.25,2
Russia/Norway,0.0,0.0,5.0,0.0,1.25,2
Santiago De Compostela,6.79,0.0,0.24,9.19,4.06,1
Khabarovsk,7.67,0.0,5.0,0.0,3.17,0
Karlstad,0.0,0.0,5.0,0.0,1.25,2
Nairobi,6.67,0.0,5.0,0.0,2.92,0
Taipei Songshan,0.0,0.0,5.0,0.0,1.25,2
San Juan,0.0,0.0,5.0,0.0,1.25,2
Novosibirsk,6.83,0.0,0.1,9.25,4.04,1
Viracopos,6.85,10.0,0.33,7.38,6.14,3
Medellin Jose Maria Cordova,5.08,0.0,1.12,7.31,3.38,1
Yuzhno-Sakhalinsk,0.0,0.0,5.0,0.0,1.25,2
Guatemala City,6.89,5.12,0.84,4.46,4.33,3
Doha,5.05,0.0,0.84,6.68,3.14,1
Karlskrona,0.0,0.0,5.0,0.0,1.25,2
Mexico City,6.84,9.87,0.2,0.0,4.23,3
La Romana,6.83,9.97,0.22,9.29,6.58,3
Ekaterinburg,6.79,0.0,0.2,8.39,3.84,1
Sevilla,6.44,0.0,0.17,0.0,1.65,0
Maya,0.0,0.0,5.0,0.0,1.25,2
Tivat,0.0,0.0,5.0,0.0,1.25,2
Chita,0.0,0.0,5.0,0.0,1.25,2
Mendoza,6.85,0.0,5.0,0.0,2.96,0
Athens,6.26,10.0,0.24,8.18,6.17,3
Goa,4.87,0.0,3.93,7.18,4.0,1
Kigali,4.89,0.0,2.83,7.83,3.89,1
Zaporizhya,8.04,0.0,5.0,0.0,3.26,0
Belarus/Poland,0.0,0.0,5.0,0.0,1.25,2
Lilongwe,0.0,0.0,5.0,0.0,1.25,2
Piarco,6.67,0.0,0.12,2.88,2.42,0
Leipzig,0.0,0.0,5.0,0.0,1.25,2
Busan - Kimhae,6.02,9.85,0.19,0.52,4.14,3
Baghdad,6.78,0.0,3.43,0.0,2.55,0
Pune,0.0,0.0,5.0,0.0,1.25,2
Denizli Cardak Airport,6.85,9.34,5.0,8.75,7.49,3
Zadar,8.89,0.0,5.0,0.0,3.47,0
Corfu Port,0.0,0.0,5.0,0.0,1.25,2
Lanzarote,6.76,0.0,0.13,8.74,3.91,1
Hebei,5.15,0.0,5.0,0.0,2.54,0
Cairns,7.08,0.0,3.24,6.9,4.3,1
Marmaris Port,0.0,0.0,5.0,0.0,1.25,2
Bourgas,6.2,0.0,0.31,0.6,1.78,0
Mahe,0.0,0.0,5.0,0.0,1.25,2
Tashkent,5.6,0.0,0.65,8.31,3.64,1
Pazarkule Turkey Greece Border,0.0,0.0,5.0,0.0,1.25,2
Rjieka Croatia,0.0,0.0,5.0,0.0,1.25,2
Essaouira,6.84,9.99,5.0,10.0,7.96,3
Hamilton,0.0,0.0,5.0,0.0,1.25,2
Skelleftea,0.0,0.0,5.0,0.0,1.25,2
Ankara Airport,6.84,9.52,0.07,9.41,6.46,3
Harare,10.0,0.0,5.0,0.0,3.75,0
Podgorica,5.56,0.0,5.0,9.87,5.11,1
Shizuoka,5.83,0.0,5.48,6.1,4.35,1
Orenburg,0.0,0.0,5.0,0.0,1.25,2
Rosario,6.9,0.0,5.0,2.86,3.69,0
Fukushima,6.67,0.0,5.0,3.17,3.71,0
Osaka - Kansai,6.58,5.08,0.04,9.03,5.18,1
Medina,6.87,10.0,0.31,0.0,4.3,3
Orebro,7.78,0.0,5.0,9.67,5.61,1
Manchester,6.49,0.0,0.25,7.16,3.48,1
Prague,6.07,0.0,1.1,0.0,1.79,0
Tel-Aviv,5.42,0.0,0.51,9.85,3.94,1
Spinboltak,0.0,0.0,5.0,0.0,1.25,2
Karlovy Vary,0.0,0.0,5.0,0.0,1.25,2
Lima,6.77,9.99,0.16,9.6,6.63,3
Szczecin,6.89,0.0,0.53,0.0,1.86,0
Yinchuan Hedong,6.52,7.01,0.06,9.48,5.77,3
Vuosaari,0.0,0.0,5.0,0.0,1.25,2
Ottawa,0.0,0.0,5.0,0.0,1.25,2
Weihai Dashuibo,6.75,9.96,5.0,4.71,6.61,3
Indira Gandhi,5.25,0.0,5.89,0.0,2.78,0
Oslo,6.78,0.0,0.37,0.0,1.79,0
Rabil,6.09,10.0,0.19,9.57,6.46,3
Sharm El Sheikh,6.78,0.0,0.08,9.19,4.01,1
Ostersund,0.0,0.0,5.0,0.0,1.25,2
Johannesburg,6.82,10.0,0.88,8.94,6.66,3
Fort-de-France,6.15,10.0,0.36,6.84,5.84,3
Norwich,6.82,0.0,0.55,9.71,4.27,1
Islamabad,3.33,0.0,5.0,10.0,4.58,1
Hirtshals,0.0,0.0,5.0,0.0,1.25,2
St. Petersburg Pulkovo,6.75,0.0,0.42,6.04,3.3,1
Miyazaki,6.67,0.0,8.29,0.0,3.74,0
Stuttgart,6.88,0.0,1.43,0.6,2.23,0
Izmir Airport,6.82,9.62,0.06,9.85,6.59,3
Doncaster,7.32,0.0,5.0,0.0,3.08,0
Turkgozu Turkey Georgia Border,0.0,0.0,5.0,0.0,1.25,2
Salerno,0.0,0.0,5.0,0.0,1.25,2
La Paz Manuel Marquez de Leon,6.84,0.0,5.0,4.86,4.18,0
Bangkok Airport,0.0,0.0,5.0,0.0,1.25,2
Hahn,0.0,0.0,5.0,0.0,1.25,2
Cardiff,6.43,0.0,0.43,9.26,4.03,1
Ancona,0.0,0.0,5.0,0.0,1.25,2
Brasilia,6.81,10.0,0.29,8.36,6.36,3
Mitilini,6.77,0.0,0.36,0.0,1.78,0
Corfu,5.59,10.0,0.29,6.7,5.64,3
Pula,8.89,0.0,5.0,0.0,3.47,0
London Stansted,6.57,0.0,0.31,9.55,4.11,1
Nis,6.53,0.0,5.0,0.0,2.88,0
Daegu,6.13,8.34,0.25,0.0,3.68,3
Lucknow,4.87,0.0,3.93,5.82,3.66,1
Eskisehir Airport,6.87,8.94,5.0,9.61,7.6,3
Huangshan Tunxi,0.0,0.0,5.0,0.0,1.25,2
Montego Bay,6.73,9.61,0.2,8.53,6.27,3
Porto,6.89,0.0,0.22,9.75,4.22,1
Bodrum Airport,6.75,9.61,0.07,9.37,6.45,3
Munster-Osnabruck,4.9,0.0,9.14,6.56,5.15,1
Acapulco,8.48,0.0,5.0,0.0,3.37,0
Annaba,0.0,0.0,5.0,0.0,1.25,2
Algeciras,0.0,0.0,5.0,0.0,1.25,2
Sofia,6.75,0.0,0.22,1.33,2.08,0
Sharjah - Khaled Port,0.0,0.0,5.0,0.0,1.25,2
Gabon,6.79,0.0,0.26,5.83,3.22,1
Antalya Airlines,0.0,0.0,5.0,0.0,1.25,2
Jomo Kenyatta,6.42,9.99,0.16,6.99,5.89,3
Najaf,0.0,0.0,5.0,0.0,1.25,2
Cairo,6.79,10.0,5.0,0.0,5.45,3
Fujairah,0.0,0.0,5.0,0.0,1.25,2
Yonago,0.0,0.0,5.0,0.0,1.25,2
Espargos,6.5,10.0,0.11,9.41,6.5,3
Treviso,5.69,0.0,0.39,9.87,3.99,1
Haugesund,0.0,0.0,5.0,0.0,1.25,2
London City,6.8,0.0,0.68,8.87,4.09,1
San Andres,0.0,0.0,5.0,0.0,1.25,2
Gdansk,6.81,0.0,0.4,9.82,4.26,1
Billund,6.67,0.0,2.85,9.35,4.72,1
Beijing Capital,0.0,0.0,5.0,0.0,1.25,2
Zanzibar,5.44,0.0,2.7,0.0,2.04,0
Asuncion Silvio Petterossi,6.85,0.0,5.0,7.95,4.95,1
Rabat,6.53,10.0,0.04,4.54,5.28,3
Thessaloniki,5.98,0.0,0.44,6.5,3.23,1
Wuxi Shuofang,6.71,10.0,0.07,9.95,6.68,3
Russia/China,0.0,0.0,5.0,0.0,1.25,2
Hong Kong,6.21,9.99,0.2,0.0,4.1,3
Limassol Port,0.0,0.0,5.0,0.0,1.25,2
Dalian Zhoushuizi,6.75,9.94,0.06,9.66,6.6,3
Hokkaido,0.0,0.0,5.0,0.0,1.25,2
Dover,0.0,0.0,5.0,0.0,1.25,2
Vladivostok,9.67,0.0,5.0,0.0,3.67,0
Calgary,0.0,0.0,5.0,0.0,1.25,2
Toyama,0.0,0.0,5.0,0.0,1.25,2
Warsaw-Modlin,6.92,0.0,1.34,9.04,4.32,1
Julfa,0.0,0.0,5.0,0.0,1.25,2
Detroit,0.0,0.0,5.0,0.0,1.25,2
Bodo,0.0,0.0,5.0,0.0,1.25,2
Piraeus,0.0,0.0,5.0,0.0,1.25,2
Astara,0.0,0.0,5.0,0.0,1.25,2
Xuzhou Guanyin,6.75,3.08,5.0,0.0,3.71,0
Naples,6.04,0.0,0.32,7.68,3.51,1
Travemunde,0.0,0.0,5.0,0.0,1.25,2
Ukraine/Moldova,0.0,0.0,5.0,0.0,1.25,2
Murcia,6.75,0.0,5.0,3.68,3.86,0
Norrkoping,0.0,0.0,5.0,0.0,1.25,2
Puerto Plata,6.82,9.11,0.38,7.83,6.04,3
Lahore,0.0,0.0,5.0,0.0,1.25,2
Piraeus Port,0.0,0.0,5.0,0.0,1.25,2
Perth,6.71,10.0,0.36,0.0,4.27,3
Kagoshima,5.71,0.0,2.4,8.08,4.05,1
Kyiv Airlines,0.0,0.0,5.0,0.0,1.25,2
Tozeur,6.36,10.0,5.0,0.0,5.34,3
Alexandoupolis,5.71,0.0,5.0,0.0,2.68,0
Milan - Malpensa,6.82,0.0,0.24,9.02,4.02,1
Yingsheng,10.0,0.0,5.0,0.0,3.75,0
Quebec City,0.0,0.0,5.0,0.0,1.25,2
Split Port,0.0,0.0,5.0,0.0,1.25,2
Brisbane,6.67,0.0,1.02,0.0,1.92,0
Quito,6.86,9.73,0.56,6.8,5.99,3
Ufa,7.62,0.0,5.0,0.0,3.16,0
Russian/Latvia,0.0,0.0,5.0,0.0,1.25,2
Samana El Catey,6.85,10.0,5.0,8.27,7.53,3
Gran Canaria,6.76,0.0,0.15,6.68,3.4,1
Wenzhou Longwan,6.55,4.7,0.06,9.97,5.32,1
Phu Quok,6.87,0.0,1.03,9.04,4.23,1
Helsingborg,0.0,0.0,5.0,0.0,1.25,2
Manas,6.15,0.0,0.15,0.0,1.58,0
Visby,0.0,0.0,5.0,0.0,1.25,2
Samos Port,0.0,0.0,5.0,0.0,1.25,2
Durban,6.74,10.0,0.48,9.78,6.75,3
Lugano,0.0,0.0,5.0,0.0,1.25,2
San Jose,5.24,0.0,4.69,0.0,2.48,0
San Jose,5.24,0.0,4.69,9.42,4.84,1
Santa Cruz Viru Viru,10.0,0.0,5.0,10.0,6.25,1
Split,7.78,0.0,5.38,5.93,4.77,1
Nantes,6.6,10.0,0.34,9.37,6.58,3
Belarus/Ukraine,0.0,0.0,5.0,0.0,1.25,2
Ningbo Lishe,6.2,0.09,0.07,9.99,4.09,1
Nalchik,0.0,0.0,5.0,0.0,1.25,2
Kingston,6.67,0.0,1.45,0.0,2.03,0
Djibouti,5.0,0.0,3.01,0.0,2.0,0
Khorgos,0.0,0.0,5.0,0.0,1.25,2
Takamatsu,5.0,0.0,2.33,3.78,2.78,0
Monastir,6.39,9.99,0.08,0.0,4.12,3
Gibraltar,5.33,0.0,2.62,10.0,4.49,1
Gaziantep Airport,6.85,8.92,0.04,9.82,6.41,3
Skopje,6.8,0.0,0.11,8.45,3.84,1
Rome Fiumicino,6.87,0.0,0.38,9.63,4.22,1
Pointe-a-Pitre,6.35,10.0,0.58,8.73,6.42,3
Kuala Lumpur,6.52,9.17,0.24,0.0,3.98,3
Gothenburg,6.67,0.0,5.0,8.69,5.09,1
Mdawara (Saudi border),0.0,0.0,5.0,0.0,1.25,2
Friedrichshafen,0.0,0.0,5.0,0.0,1.25,2
Greece/FYROM,0.0,0.0,5.0,0.0,1.25,2
Kraljevo,0.0,0.0,5.0,0.0,1.25,2
Cheongju,6.08,9.9,0.28,4.47,5.18,3
Berlin Brandenburg,6.82,0.0,0.66,0.0,1.87,0
Nagasaki,0.0,0.0,5.0,0.0,1.25,2
Karaganda,0.0,0.0,5.0,0.0,1.25,2
Catania,0.0,0.0,5.0,0.0,1.25,2
Nice,6.77,10.0,0.49,0.0,4.31,3
Stockholm,0.0,0.0,5.0,0.0,1.25,2
Halifax,0.0,0.0,5.0,0.0,1.25,2
Aalborg,6.67,0.0,8.01,0.0,3.67,0
Saskatoon,0.0,0.0,5.0,0.0,1.25,2
Ravenna,0.0,0.0,5.0,0.0,1.25,2
Jaipur,4.87,0.0,3.93,0.0,2.2,0
Constantine,0.0,0.0,5.0,0.0,1.25,2
Amritsar,4.87,0.0,3.93,6.89,3.92,1
Frankfurt,6.82,0.0,0.67,3.33,2.7,0
Greena,0.0,0.0,5.0,0.0,1.25,2
Khorfakan Port,0.0,0.0,5.0,0.0,1.25,2
Samsun Airport,6.84,9.04,0.05,8.33,6.07,3
Civitavecchia,0.0,0.0,5.0,0.0,1.25,2
Kaliningrad (Lithuania Border),0.0,0.0,5.0,0.0,1.25,2
Ayvalik Port,0.0,0.0,5.0,0.0,1.25,2
Oran,0.0,0.0,5.0,0.0,1.25,2
Yanji Zhaoyangchuan,6.54,0.0,5.0,0.0,2.88,0
Jinan Xiaoqiang,6.67,5.9,0.07,10.0,5.66,3
Hurgada,6.72,0.0,0.08,7.68,3.62,1
Kutahya Airport,6.95,10.0,5.0,1.39,5.84,3
Lyon Saint Exupery,6.77,10.0,0.35,1.74,4.71,3
Ukraine/Poland,0.0,0.0,5.0,0.0,1.25,2
Brno,4.44,0.0,3.65,9.84,4.48,1
Beira,8.75,0.0,5.0,0.0,3.44,0
King Hussein Bridge (Palestine border),0.0,0.0,5.0,0.0,1.25,2
Ixtapa Zihuatanejo,6.86,9.85,0.34,8.28,6.33,3
Izmir Ferries Setur Seferihisar,0.0,0.0,5.0,0.0,1.25,2
Cadiz,0.0,0.0,5.0,0.0,1.25,2
Soekarno Hatta,6.85,10.0,0.17,9.83,6.71,3
Banjul,6.9,0.0,0.27,0.0,1.79,0
Male,5.33,0.0,2.05,8.94,4.08,1
Harstad,0.0,0.0,5.0,0.0,1.25,2
Yantai Penglai,6.03,9.97,0.06,0.06,4.03,3
Seoul (downtown),0.0,0.35,0.0,0.0,0.09,2
Budapest,8.33,0.0,5.0,0.0,3.33,0
Armenia - Iran,0.0,0.0,5.0,0.0,1.25,2
Hakodate,0.0,0.0,5.0,0.0,1.25,2
Liberia,5.24,0.0,4.31,3.2,3.19,0
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,0.0,2
Kastelorizo Port,0.0,0.0,5.0,0.0,1.25,2
Luxembourg,0.0,0.0,5.0,0.0,1.25,2
Shijiazhuang Zhengding,0.0,0.0,1.38,4.63,1.5,2
Georgia/Azerbaijan,0.0,0.0,5.0,0.0,1.25,2
Paris Vatry ,0.0,0.0,5.0,0.0,1.25,2
Jieyang Chaoshan,6.71,0.0,5.0,0.0,2.93,0
Motril,0.0,0.0,5.0,0.0,1.25,2
Istanbul Asia Airlines,0.0,0.0,5.0,0.0,1.25,2
Ibaraki,4.44,0.0,9.85,6.8,5.27,1
Helsinki,0.0,0.0,5.0,0.0,1.25,2
Katakolo Port,0.0,0.0,5.0,0.0,1.25,2
Karpathos,5.76,0.0,5.0,0.0,2.69,0
Omsk,0.0,0.0,5.0,0.0,1.25,2
Port-au-Prince (Haiti),6.76,0.0,1.79,5.18,3.43,1
Kalamata,0.0,0.0,5.0,0.0,1.25,2
Varna,6.76,0.0,0.46,1.61,2.21,0
Ankara Airlines,0.0,0.0,5.0,0.0,1.25,2
Sharjah,5.78,9.3,0.11,8.22,5.85,3
Tripoli,0.0,0.0,5.0,0.0,1.25,2
Fethiye Port,0.0,0.0,5.0,0.0,1.25,2
Dar Es Salaam,6.5,10.0,0.24,0.0,4.18,3
Antalya Gazipasa Airport,6.83,9.23,0.09,0.0,4.04,3
Chattrapati Shivaji,5.05,0.0,5.77,0.0,2.7,0
Torino,5.78,0.0,1.89,1.33,2.25,0
Odessa,7.62,0.0,5.0,10.0,5.66,1
Saga,0.0,0.0,5.0,0.0,1.25,2
Shenzhen Bao'an,7.19,0.0,5.0,0.0,3.05,0
Sihanoukville,6.72,10.0,0.13,8.35,6.3,3
Las Vegas,0.0,0.0,5.0,0.0,1.25,2
Santorini,5.38,0.0,0.34,8.71,3.61,1
Maputo,9.17,0.0,5.0,0.0,3.54,0
Entebbe,4.8,0.0,3.63,9.61,4.51,1
Nay Pyi Taw,0.0,0.0,5.0,0.0,1.25,2
Phnom Penh,6.75,4.28,0.15,8.24,4.85,1
