Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Haiphong,8.33,0.0,5.0,9.9,5.81,1
Beirut - Rafik Hariri,6.77,0.0,1.93,7.4,4.03,1
Sendai,4.89,0.0,2.38,7.63,3.72,1
Hannover,6.79,0.0,0.67,0.0,1.86,0
Kuusamo,0.0,0.0,5.0,0.0,1.25,2
Samara,6.67,0.0,0.63,10.0,4.32,1
Aleppo,0.0,0.0,5.0,0.0,1.25,2
Fes,6.51,10.0,0.04,0.0,4.14,3
Providenciales (Turks and Caicos),7.5,0.0,5.0,0.0,3.12,0
Hanoi,5.4,0.0,0.82,9.15,3.84,1
Wuhan Tianhe,6.07,7.37,0.07,9.98,5.87,3
Huatulco,0.0,0.0,0.0,0.0,0.0,2
Sfax,6.12,10.0,0.19,8.65,6.24,3
Bandar Seri Begawan,0.0,0.0,5.0,0.0,1.25,2
Beijing,5.91,6.27,5.0,0.0,4.3,0
Tirstrup,0.0,0.0,4.59,0.0,1.15,2
Banja Luka,6.67,0.0,5.0,10.0,5.42,1
Aktau,10.0,0.0,5.0,0.0,3.75,0
Hohhot Baita,6.71,10.0,5.0,9.99,7.92,3
Georgia/Turkey,0.0,0.0,5.0,0.0,1.25,2
Georgia/Armenia,0.0,0.0,5.0,0.0,1.25,2
Quanzhou Jinjiang,0.0,0.0,4.29,7.98,3.07,1
Lusaka,6.92,0.0,1.73,8.28,4.23,1
Everrich Downtown Kinmen,5.89,9.96,5.0,4.05,6.23,3
Singapore,0.0,0.0,5.0,0.0,1.25,2
Kristiansund,0.0,0.0,5.0,0.0,1.25,2
Montreal,0.0,0.0,5.0,0.0,1.25,2
San Sebastian,0.0,0.0,5.0,0.0,1.25,2
Savannaket,0.0,0.0,5.0,0.0,1.25,2
Belgrade,6.83,0.0,0.27,9.37,4.12,1
Bilbao,6.84,0.0,0.17,9.91,4.23,1
Mongolia/China,0.0,0.0,5.0,0.0,1.25,2
Penang,6.67,10.0,1.1,8.58,6.59,3
Salalah,6.73,0.0,0.71,0.0,1.86,0
Barcelona,6.54,0.0,0.16,7.63,3.58,1
Abuja,6.28,10.0,0.44,8.42,6.28,3
Kavala,5.52,0.0,5.0,9.8,5.08,1
Tallinn (Estonia/Sweden/Finland - ferries,0.0,0.0,5.0,0.0,1.25,2
London Luton,6.46,0.0,0.48,8.77,3.93,1
Rostock,0.0,0.0,5.0,0.0,1.25,2
Paris Charles De Gaulle,6.67,10.0,0.42,8.44,6.38,3
Natal,6.84,10.0,0.24,4.78,5.46,3
Basel,6.35,10.0,0.21,4.59,5.29,3
Tunis,6.4,9.99,0.05,8.87,6.33,3
PRISTINA,6.93,0.0,0.1,8.04,3.77,1
Zia,4.93,0.0,2.24,9.85,4.26,1
Dostuk,0.0,0.0,5.0,0.0,1.25,2
Livigno,0.0,0.0,5.0,0.0,1.25,2
Naantali,0.0,0.0,5.0,0.0,1.25,2
Paris Orly,6.76,10.0,0.38,0.0,4.28,3
Maastricht - Aachen,0.0,0.0,5.0,0.0,1.25,2
Esendere Turkey Iran Border,0.0,0.0,5.0,0.0,1.25,2
Naberezhnye Chelny,0.0,0.0,5.0,0.0,1.25,2
Marsa Aalam,6.73,0.0,5.0,9.92,5.41,1
Vaxjo,4.67,0.0,5.0,0.0,2.42,0
Kosice,0.0,0.0,5.0,0.0,1.25,2
Basseterre (Saint Kitts),6.79,9.94,0.19,0.0,4.23,3
Zagreb,6.11,0.0,2.81,7.85,4.19,1
Hiroshima,4.89,0.0,2.24,10.0,4.28,1
Russe/Black Sea,0.0,0.0,5.0,0.0,1.25,2
Harbin Taiping,6.75,0.0,0.06,0.0,1.7,0
Chongqing Jiangbei,5.99,9.91,0.06,9.99,6.49,3
Dubrovnik,7.78,0.0,5.67,9.32,5.69,1
Monterrey,6.84,10.0,0.29,8.6,6.43,3
Berlin Schoenefeld,0.0,0.0,5.0,0.0,1.25,2
Minsk,6.79,0.0,0.1,10.0,4.22,1
Seattle,0.0,0.0,5.0,0.0,1.25,2
Oita,7.22,0.0,4.34,0.0,2.89,0
Burkina Faso,0.0,0.0,5.0,0.0,1.25,2
