Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Santiago Arturo Merino Benitez,7.23,7.84,3.48,7.46,6.5
Valencia,6.6,6.14,8.32,8.91,7.49
Tuzla,5.69,9.53,0.0,0.36,3.89
Ankara Airport,7.36,6.53,4.99,8.56,6.86
Bogota,5.96,6.36,9.06,8.41,7.45
Montego Bay,6.42,8.38,5.71,9.21,7.43
Ras El Khaymah,7.03,10.0,7.4,9.31,8.44
Kunming Wujiaba,5.71,2.25,6.19,1.9,4.01
Glasgow,7.0,5.46,6.92,6.63,6.5
Lima,6.84,8.92,6.42,9.16,7.84
Newcastle,5.82,4.54,7.85,6.02,6.06
Poznan-Lawica,5.98,9.07,6.61,9.67,7.83
Edinburgh,5.67,5.64,7.43,6.88,6.4
Brussels,6.43,9.12,9.68,10.0,8.81
Copenhagen,7.28,10.0,7.66,7.79,8.18
Pointe-a-Pitre,6.78,9.98,8.84,8.85,8.61
Danang,7.12,0.33,3.67,3.05,3.54
Rhodes,6.29,7.42,3.73,8.83,6.57
Liverpool,6.12,5.74,6.65,5.54,6.01
Sharm El Sheikh,7.21,10.0,6.96,7.98,8.04
Fort-de-France,6.49,9.28,8.89,10.0,8.66
Prague,5.85,8.62,6.43,8.98,7.47
Munich,6.49,6.48,7.36,10.0,7.58
Espargos,6.36,2.61,10.0,6.74,6.43
Jomo Kenyatta,6.3,6.82,5.41,9.12,6.91
London Luton,5.59,4.5,6.53,4.53,5.29
Pamandzi,6.58,9.17,9.93,9.28,8.74
Porto,7.36,7.21,10.0,8.7,8.32
Erbil International Airport,6.04,10.0,2.71,0.0,4.69
Rzeszow,6.62,10.0,6.54,9.3,8.12
Bristol,5.3,6.61,6.71,7.12,6.44
Leopold Sedar Senghar,7.19,9.07,8.38,8.17,8.2
Enfidha,5.46,9.78,4.86,9.03,7.28
Chengdu Tianfu,4.75,1.95,0.29,0.07,1.76
Sevilla,4.16,3.49,8.3,2.3,4.56
Tbilisi,5.86,10.0,8.59,8.71,8.29
Baku,5.85,9.75,8.53,9.15,8.32
Vienna,5.12,9.76,7.49,6.95,7.33
Mahon Airport,6.2,6.22,8.3,8.66,7.34
Ho Chi Minh,5.02,0.62,7.45,2.62,3.93
Soekarno Hatta,8.43,5.42,2.21,7.49,5.89
Xian Xianyang,5.79,1.61,3.6,2.08,3.27
Chitose,6.45,9.69,5.57,6.26,6.99
Santo Domingo Las Americas,6.79,7.24,7.94,7.22,7.3
Curacao,5.49,10.0,5.95,9.23,7.67
Qingdao Liuting,5.23,2.82,5.33,3.02,4.1
Rio de Janeiro,8.43,8.24,7.32,8.98,8.24
Basrah,4.74,10.0,0.0,2.4,4.28
Lyon Saint Exupery,6.18,6.66,9.38,8.28,7.62
Berlin Brandenburg,5.3,9.2,6.52,7.62,7.16
Stockholm Arlanda,8.12,4.32,5.37,10.0,6.95
Phnom Penh,7.36,1.91,4.56,2.71,4.14
Corfu,6.08,7.14,4.14,9.86,6.8
Heraklion Airport,5.1,6.83,3.85,8.4,6.04
Marseille,8.06,3.94,8.06,9.34,7.35
Duesseldorf,5.6,9.71,8.44,8.55,8.07
Jersey,6.4,0.46,4.81,2.56,3.56
Leeds Bradford,7.11,2.08,6.16,4.27,4.9
Shannon,5.5,10.0,7.02,10.0,8.13
Oranjestad,7.52,7.67,9.6,9.69,8.62
Cape Town,4.81,5.73,7.11,7.75,6.35
Panama Tocumen,5.39,7.96,8.77,8.27,7.6
Stavanger,7.52,9.91,5.48,8.96,7.97
Sandefjord-Torp,5.87,9.16,7.0,8.71,7.68
Urumchi Diwobao,7.24,3.51,9.78,2.81,5.84
Cheongju,5.73,0.0,3.49,0.84,2.52
Bydgoszcz,5.57,10.0,5.53,9.56,7.67
Nice,9.02,4.11,6.18,9.71,7.26
Taichung,7.16,0.0,7.63,0.0,3.7
East Midlands,3.92,5.14,6.66,6.54,5.56
Hyderabad,6.76,9.72,1.84,9.09,6.85
Shenyang Taoxian,5.66,1.44,5.99,2.64,3.93
Naples,4.76,8.5,8.5,9.08,7.71
Gerona,6.15,4.14,9.04,3.77,5.78
Vientiane,6.75,0.95,3.09,0.81,2.9
Bourgas,6.8,1.77,1.07,8.46,4.53
