Location,Cat_A,Cat_B,Cat_D,Avg_Score
Siem Reap,7.16,0.0,0.0,2.39
Aarhus,6.67,0.0,0.0,2.22
Ostrava,6.83,0.0,8.43,5.09
Mudanjiang Hailang,6.71,8.45,0.0,5.05
Piarco,6.67,0.0,2.88,3.18
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Podgorica,5.56,0.0,9.87,5.14
Mangalore,4.87,0.0,6.95,3.94
Oslo,6.78,0.0,0.0,2.26
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58
Eindhoven,6.88,0.0,0.0,2.29
Wellington,8.57,0.0,0.0,2.86
Singapore - Changi,6.83,0.0,7.65,4.83
Acapulco,8.48,0.0,0.0,2.83
Alicante,6.32,0.0,8.22,4.85
Phu Quok,6.87,0.0,9.04,5.3
Edinburgh,6.47,0.0,9.52,5.33
Durban,6.74,10.0,9.78,8.84
Iloilo,0.0,0.0,0.0,0.0
Zakynthos,5.44,0.0,4.36,3.27
Sochi,6.75,0.0,2.77,3.17
Bamako,6.89,0.0,10.0,5.63
Jeju (downtown),0.0,0.12,0.0,0.04
Porto Alegre,6.85,10.0,7.68,8.18
Sihanoukville,6.72,10.0,8.35,8.36
Quito,6.86,9.73,6.8,7.8
Orebro,7.78,0.0,9.67,5.82
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9
Granada,5.76,0.0,9.31,5.02
Xuzhou Guanyin,6.75,3.08,0.0,3.28
Vientiane,5.93,0.0,5.33,3.75
Sydney,6.67,0.0,9.84,5.5
Daegu,6.13,8.34,0.0,4.82
Frankfurt,6.82,0.0,3.33,3.38
Mykonos,5.53,0.0,9.37,4.97
Madrid Barajas,6.83,0.0,9.6,5.48
Shandong,6.85,0.0,0.0,2.28
DAMMAM,6.77,10.0,4.11,6.96
Lille,6.9,0.0,9.77,5.56
Prague,6.07,0.0,0.0,2.02
Cordoba,6.89,0.0,0.0,2.3
Wuhan Tianhe,6.07,7.37,9.98,7.81
Umea,7.08,0.0,9.71,5.6
Tokyo - Haneda,5.05,0.0,8.23,4.43
Istanbul Asia Airport,6.8,8.5,9.15,8.15
Ho Chi Minh,6.67,0.0,9.62,5.43
Beijing,5.91,6.27,0.0,4.06
Wroclaw,5.17,0.0,0.0,1.72
Baku,4.94,0.0,9.91,4.95
Makhachkala,6.94,0.0,6.75,4.56
Pointe-a-Pitre,6.35,10.0,8.73,8.36
Tbilisi,6.83,0.0,0.0,2.28
Roland Garros,6.67,10.0,7.17,7.95
Xian Xianyang,6.49,9.82,5.73,7.35
Palermo,6.86,0.0,9.23,5.36
Yangon,5.77,0.0,9.23,5.0
Juba (inactive),0.0,0.0,9.62,3.21
Copenhagen,6.83,0.0,9.4,5.41
Norwich,6.82,0.0,9.71,5.51
Kralendijk (Bonaire),6.79,0.0,0.0,2.26
Sfax,6.12,10.0,8.65,8.26
Cologne,6.91,0.0,6.04,4.32
Bologna,5.78,0.0,6.35,4.04
Kayseri Airport,6.84,10.0,10.0,8.95
Malmo,6.32,0.0,8.55,4.96
Danang Downtown Shop,0.0,0.0,0.0,0.0
Panama Tocumen,6.79,9.96,7.83,8.19
Gibraltar,5.33,0.0,10.0,5.11
Kunming Wujiaba,6.16,9.99,7.04,7.73
Changsha Huanghua,6.52,9.45,10.0,8.66
Hohhot Baita,6.71,10.0,9.99,8.9
Chambery,6.86,0.0,0.0,2.29
Aomori,4.44,0.0,8.84,4.43
Paderborn,6.82,0.0,9.84,5.55
Goa,4.87,0.0,7.18,4.02
Elblag,5.0,0.0,0.0,1.67
San Jose,5.24,0.0,0.0,1.75
San Jose,5.24,0.0,9.42,4.89
Split,7.78,0.0,5.93,4.57
Manas,6.15,0.0,0.0,2.05
Novosibirsk,6.83,0.0,9.25,5.36
Almeria,6.36,0.0,9.17,5.18
Erbil International Airport,5.0,0.0,5.93,3.64
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35
Rosario,6.9,0.0,2.86,3.25
Naha,4.94,0.0,6.2,3.71
Pisa,6.85,0.0,9.4,5.42
Kaunas,6.94,0.0,9.5,5.48
Indira Gandhi,5.25,0.0,0.0,1.75
Rio de Janeiro,6.82,10.0,8.71,8.51
