Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Stavanger,6.78,0.0,9.28,5.35,1
Cali,6.8,8.86,5.97,7.21,2
Colombo,6.7,10.0,0.0,5.57,3
Rabat,6.53,10.0,4.54,7.02,3
Valencia,6.5,0.0,0.0,2.17,0
Abu Dhabi,5.75,9.62,8.47,7.95,2
Wellington,8.57,0.0,0.0,2.86,0
Sierra Leone,5.42,0.0,9.8,5.07,1
Recife,6.86,9.99,9.49,8.78,2
Monastir,6.39,9.99,0.0,5.46,3
London Gatwick,6.58,0.0,0.0,2.19,0
Perth,6.71,10.0,0.0,5.57,3
Kinshasa,6.92,0.0,0.0,2.31,0
Santorini,5.38,0.0,8.71,4.7,1
Danang,6.67,0.0,0.0,2.22,0
Rome Fiumicino,6.87,0.0,9.63,5.5,1
Glasgow,6.48,0.0,0.01,2.16,0
Bydgoszcz,5.17,0.0,9.18,4.78,1
Astana,6.75,0.0,7.95,4.9,1
Seoul,5.74,8.54,5.72,6.67,2
Min Vody,6.75,0.0,7.86,4.87,1
Stockholm Arlanda,6.92,0.0,9.86,5.59,1
Hiroshima,4.89,0.0,10.0,4.96,1
Yancheng Nanyang,6.73,0.0,0.0,2.24,0
Djibouti,5.0,0.0,0.0,1.67,0
Duesseldorf,6.8,0.0,7.15,4.65,1
Gerona,6.44,0.0,9.72,5.39,1
Medina,6.87,10.0,0.0,5.62,3
Edinburgh,6.47,0.0,9.52,5.33,1
Entebbe,4.8,0.0,9.61,4.8,1
Podgorica,5.56,0.0,9.87,5.14,1
Urumchi Diwobao,6.48,10.0,0.76,5.75,3
Voronezh,7.85,0.0,0.0,2.62,0
Piarco,6.67,0.0,2.88,3.18,0
Szczecin,6.89,0.0,0.0,2.3,0
Lulea,7.33,0.0,0.0,2.44,0
Vientiane,5.93,0.0,5.33,3.75,1
Yingsheng,10.0,0.0,0.0,3.33,0
Samsun Airport,6.84,9.04,8.33,8.07,2
Munster-Osnabruck,4.9,0.0,6.56,3.82,1
Daegu (downtown),0.0,9.73,0.0,3.24,3
Wuxi Shuofang,6.71,10.0,9.95,8.89,2
Mombasa,9.0,0.0,0.0,3.0,0
Humberside,6.67,0.0,0.0,2.22,0
Munich,6.35,0.0,1.1,2.48,0
Kayseri Airport,6.84,10.0,10.0,8.95,2
Basel,6.35,10.0,4.59,6.98,3
Kigali,4.89,0.0,7.83,4.24,1
Penang,6.67,10.0,8.58,8.42,2
Bournemouth,6.22,0.0,0.0,2.07,0
Vaxjo,4.67,0.0,0.0,1.56,0
Cancun,6.84,9.86,8.84,8.51,2
Budapest,8.33,0.0,0.0,2.78,0
Sarajevo,4.91,0.0,9.61,4.84,1
Beijing,5.91,6.27,0.0,4.06,3
Beijing Daxing,0.0,0.0,6.8,2.27,1
Dortmund,6.77,0.0,7.23,4.67,1
Hannover,6.79,0.0,0.0,2.26,0
Salvador,6.84,10.0,9.09,8.64,2
Ufa,7.62,0.0,0.0,2.54,0
Nairobi,6.67,0.0,0.0,2.22,0
Poznan-Lawica,4.81,0.0,0.0,1.6,0
Fort-de-France,6.15,10.0,6.84,7.66,2
Glasgow Prestwick,6.36,0.0,6.82,4.39,1
Haiphong,8.33,0.0,9.9,6.08,1
Rzeszow,5.0,0.0,10.0,5.0,1
Praia,6.85,10.0,9.57,8.81,2
Sydney,6.67,0.0,9.84,5.5,1
Bangalore,6.18,10.0,6.2,7.46,2
Sharm El Sheikh,6.78,0.0,9.19,5.32,1
Shandong,6.85,0.0,0.0,2.28,0
Lubumbashi,7.14,0.0,9.72,5.62,1
Nanchang Changbei,6.62,10.0,9.96,8.86,2
Yaounde,8.15,0.0,0.0,2.72,0
PRISTINA,6.93,0.0,8.04,4.99,1
Qingdao Liuting,6.05,9.88,9.87,8.6,2
Pula,8.89,0.0,0.0,2.96,0
Sihanoukville,6.72,10.0,8.35,8.36,2
Brussels,6.67,0.0,5.79,4.15,1
Paris Charles De Gaulle,6.67,10.0,8.44,8.37,2
Coolangatta,8.33,0.0,0.0,2.78,0
Mazatlan,6.85,9.32,10.0,8.72,2
Rio de Janeiro,6.82,10.0,8.71,8.51,2
Samana El Catey,6.85,10.0,8.27,8.37,2
Fukushima,6.67,0.0,3.17,3.28,0
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33,0
Nantes,6.6,10.0,9.37,8.66,2
Luanda,6.9,0.0,0.0,2.3,0
Johannesburg,6.82,10.0,8.94,8.59,2
Sanya Fenghuang,6.71,0.0,0.0,2.24,0
Cayenne (REC),0.0,0.0,10.0,3.33,1
Prague,6.07,0.0,0.0,2.02,0
Beauvais,6.53,0.0,0.0,2.18,0
San Jose,5.24,0.0,0.0,1.75,0
San Jose,5.24,0.0,9.42,4.89,1
Yerevan,6.67,0.0,3.45,3.37,0
La Romana,6.83,9.97,9.29,8.7,2
Fuzhou Changle,6.02,10.0,6.37,7.46,2
Lviv,7.36,0.0,0.0,2.45,0
Chengdu Tianfu,6.52,7.52,8.03,7.36,2
London City,6.8,0.0,8.87,5.22,1
Belgrade,6.83,0.0,9.37,5.4,1
Moi,8.89,0.0,0.0,2.96,0
London Luton,6.46,0.0,8.77,5.08,1
Hefei Xinqiao,6.63,6.54,9.85,7.67,2
Liberia,5.24,0.0,3.2,2.81,0
Khabarovsk,7.67,0.0,0.0,2.56,0
Enfidha,6.85,9.99,8.55,8.46,2
Beira,8.75,0.0,0.0,2.92,0
Copenhagen,6.83,0.0,9.4,5.41,1
Douala,7.0,0.0,10.0,5.67,1
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35,3
Memmingen,10.0,0.0,0.0,3.33,0
Dnipropetrovsk,8.0,0.0,0.0,2.67,0
Gothenburg,6.67,0.0,8.69,5.12,1
Tozeur,6.36,10.0,0.0,5.45,3
Cochin,6.67,0.0,8.29,4.99,1
Belize City,5.38,0.0,0.0,1.79,0
Huatulco,0.0,0.0,0.0,0.0,0
Acapulco,8.48,0.0,0.0,2.83,0
Cartagena de Indias,0.0,0.0,0.0,0.0,0
Chubu,6.58,8.98,8.52,8.03,2
Punta del Este,3.33,0.0,0.0,1.11,0
Izmir Airport,6.82,9.62,9.85,8.76,2
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,1
Los Cabos,6.83,9.93,0.0,5.59,3
Charleroi,6.67,0.0,0.0,2.22,0
Dublin,5.83,0.0,3.3,3.04,0
Oranjestad,6.8,9.15,9.25,8.4,2
Madeira,6.67,0.0,9.0,5.22,1
Amsterdam - Schiphol,6.79,0.0,0.0,2.26,0
Eskisehir Airport,6.87,8.94,9.61,8.47,2
Ulaanbaatar,6.67,0.0,0.0,2.22,0
Novosibirsk,6.83,0.0,9.25,5.36,1
Shenzhen Bao'an,7.19,0.0,0.0,2.4,0
Berlin Brandenburg,6.82,0.0,0.0,2.27,0
Sfax,6.12,10.0,8.65,8.26,2
Mendoza,6.85,0.0,0.0,2.28,0
Manchester,6.49,0.0,7.16,4.55,1
Aomori,4.44,0.0,8.84,4.43,1
Cairns,7.08,0.0,6.9,4.66,1
Rostov Don,7.81,0.0,0.0,2.6,0
Sochi,6.75,0.0,2.77,3.17,0
Osaka - Kansai,6.58,5.08,9.03,6.9,2
Muscat,6.78,0.0,7.26,4.68,1
Split,7.78,0.0,5.93,4.57,1
Shenyang Taoxian,6.48,9.89,9.94,8.77,2
Porto Alegre,6.85,10.0,7.68,8.18,2
Kingston,6.67,0.0,0.0,2.22,0
Alesund,8.97,0.0,0.0,2.99,0
Lodz,6.83,0.0,9.61,5.48,1
Eindhoven,6.88,0.0,0.0,2.29,0
Puerto Vallarta,6.84,9.84,0.0,5.56,3
Lagos,6.83,10.0,9.65,8.83,2
Xian Xianyang,6.49,9.82,5.73,7.35,2
Erbil International Airport,5.0,0.0,5.93,3.64,1
Addis Ababa,6.81,10.0,7.26,8.02,2
