Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Kutaisi,6.78,0.0,0.58,8.84,4.05
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,0.0
Yinchuan Hedong,6.52,7.01,0.06,9.48,5.77
Guayaquil,5.23,10.0,0.81,0.0,4.01
Strasbourg,6.92,0.0,0.65,9.67,4.31
Queretaro,7.14,0.0,4.71,7.57,4.86
Helsinki-Vantaa,7.04,0.0,1.68,0.0,2.18
Coolangatta,8.33,0.0,5.0,0.0,3.33
Ibiza,6.46,0.0,0.17,0.0,1.66
Beijing,5.91,6.27,0.0,0.0,3.05
Adana Airport,6.87,9.16,0.07,6.73,5.71
Ioannina,6.98,0.0,0.0,8.47,3.86
Belize City,5.38,0.0,0.93,0.0,1.58
Alesund,8.97,0.0,5.0,0.0,3.49
Samsun Airport,6.84,9.04,0.05,8.33,6.07
Dnipropetrovsk,8.0,0.0,0.0,0.0,2.0
Changsha Huanghua,6.52,9.45,0.06,10.0,6.51
Gaziantep Airport,6.85,8.92,0.04,9.82,6.41
Ramon,10.0,0.0,0.0,0.0,2.5
Changzhou Benniu,6.91,0.0,5.0,0.0,2.98
Oita,7.22,0.0,4.34,0.0,2.89
Islamabad,3.33,0.0,5.0,10.0,4.58
Warsaw,6.83,0.0,0.0,0.0,1.71
Hurgada,6.72,0.0,0.08,7.68,3.62
Haiphong,8.33,0.0,0.0,9.9,4.56
Gothenburg,6.67,0.0,5.0,8.69,5.09
Harare,10.0,0.0,5.0,0.0,3.75
Curacao,6.75,0.0,1.87,0.0,2.16
Espargos,6.5,10.0,0.11,9.41,6.5
Mendoza,6.85,0.0,0.0,0.0,1.71
Bangalore,6.18,10.0,0.17,6.2,5.64
Hrabrovo,7.62,0.0,0.0,0.0,1.9
Bujumbura,5.0,0.0,2.16,9.37,4.13
Yaounde,8.15,0.0,0.0,0.0,2.04
Guatemala City,6.89,5.12,0.84,4.46,4.33
Indira Gandhi,5.25,0.0,5.89,0.0,2.78
La Romana,6.83,9.97,0.22,9.29,6.58
Geneva,6.41,10.0,0.2,0.0,4.15
Bamako,6.89,0.0,0.31,10.0,4.3
Newcastle,6.47,0.0,0.38,6.18,3.26
