Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Ekaterinburg,6.79,0.0,8.39,5.06,2
Johor Bahru,6.13,7.84,9.07,7.68,3
Fuzhou Changle,6.02,10.0,6.37,7.46,3
Phu Quok,6.87,0.0,9.04,5.3,2
Dnipropetrovsk,8.0,0.0,0.0,2.67,0
A Coruna,6.92,0.0,9.35,5.42,2
Mactan,6.67,0.0,0.0,2.22,0
Oranjestad,6.8,9.15,9.25,8.4,3
Helsinki-Vantaa,7.04,0.0,0.0,2.35,0
Chania,5.86,0.0,7.93,4.6,2
Doncaster,7.32,0.0,0.0,2.44,0
Alicante,6.32,0.0,8.22,4.85,2
Hong Kong,6.21,9.99,0.0,5.4,1
Cordoba,6.89,0.0,0.0,2.3,0
Juba (inactive),0.0,0.0,9.62,3.21,2
Aalborg,6.67,0.0,0.0,2.22,0
Shymkent,7.92,0.0,0.0,2.64,0
Warsaw,6.83,0.0,0.0,2.28,0
Tokyo - Narita,6.55,9.51,8.71,8.26,3
Adelaide,6.19,0.0,5.83,4.01,2
Poznan-Lawica,4.81,0.0,0.0,1.6,0
Konya Airport,6.87,8.06,9.87,8.27,3
Exeter,6.72,0.0,0.0,2.24,0
Torino,5.78,0.0,1.33,2.37,0
Urumchi Diwobao,6.48,10.0,0.76,5.75,1
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98,2
Ulaanbaatar,6.67,0.0,0.0,2.22,0
Makhachkala,6.94,0.0,6.75,4.56,2
Togo,5.83,0.0,9.82,5.22,2
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88,0
Enfidha,6.85,9.99,8.55,8.46,3
Accra,6.83,10.0,0.0,5.61,1
Bari,5.78,0.0,8.85,4.88,2
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,2
Perth,6.71,10.0,0.0,5.57,1
Mandalay,5.42,0.0,0.0,1.81,0
London Heathrow,6.55,0.0,9.17,5.24,2
Tokyo - Haneda,5.05,0.0,8.23,4.43,2
Wroclaw,5.17,0.0,0.0,1.72,0
Seoul (downtown),0.0,0.35,0.0,0.12,0
Taipei - Taoyuan,5.89,9.97,4.43,6.76,1
Changchun Longjia,5.96,10.0,9.93,8.63,3
Bridgetown,6.76,0.0,1.61,2.79,0
London Gatwick,6.58,0.0,0.0,2.19,0
Podgorica,5.56,0.0,9.87,5.14,2
Rostov Don,7.81,0.0,0.0,2.6,0
Marrakech,6.43,9.98,9.49,8.63,3
Quanzhou,6.25,0.0,0.0,2.08,0
Kunming Wujiaba,6.16,9.99,7.04,7.73,3
Eindhoven,6.88,0.0,0.0,2.29,0
Casablanca,6.47,9.97,9.92,8.79,3
Porto Alegre,6.85,10.0,7.68,8.18,3
Weihai Dashuibo,6.75,9.96,4.71,7.14,1
Beira,8.75,0.0,0.0,2.92,0
La Paz El Alto,10.0,0.0,0.0,3.33,0
Busan - Kimhae,6.02,9.85,0.52,5.46,1
Yangon,5.77,0.0,9.23,5.0,2
Hyderabad,5.18,0.0,0.0,1.73,0
Leopold Sedar Senghar,6.72,0.0,9.41,5.38,2
Sharm El Sheikh,6.78,0.0,9.19,5.32,2
Liverpool,6.47,0.0,0.0,2.16,0
Mazatlan,6.85,9.32,10.0,8.72,3
Kavala,5.52,0.0,9.8,5.11,2
London Stansted,6.57,0.0,9.55,5.37,2
Tarbes - Lourdes,6.67,10.0,9.5,8.72,3
Odessa,7.62,0.0,10.0,5.87,2
Male,5.33,0.0,8.94,4.76,2
Tbilisi,6.83,0.0,0.0,2.28,0
Bremen,6.77,0.0,0.0,2.26,0
Bristol,6.47,0.0,10.0,5.49,2
Kota Kinabalu,6.67,3.37,4.98,5.01,2
Shizuoka,5.83,0.0,6.1,3.98,2
Tangier,6.6,9.99,5.72,7.44,3
Skiathos,6.67,0.0,10.0,5.56,2
Ostrava,6.83,0.0,8.43,5.09,2
Sochi,6.75,0.0,2.77,3.17,0
Milan - Linate,6.88,0.0,4.11,3.66,0
Singapore - Changi,6.83,0.0,7.65,4.83,2
Dubrovnik,7.78,0.0,9.32,5.7,2
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76,0
Kuala Lumpur,6.52,9.17,0.0,5.23,1
La Palma,5.96,0.0,9.07,5.01,2
Sarajevo,4.91,0.0,9.61,4.84,2
Macau,6.67,10.0,8.03,8.23,3
Krasnodar,7.47,0.0,0.0,2.49,0
Astana,6.75,0.0,7.95,4.9,2
Naples,6.04,0.0,7.68,4.57,2
Athens,6.26,10.0,8.18,8.15,3
Cardiff,6.43,0.0,9.26,5.23,2
Sharjah,5.78,9.3,8.22,7.77,3
Humberside,6.67,0.0,0.0,2.22,0
Sydney,6.67,0.0,9.84,5.5,2
Stockholm Arlanda,6.92,0.0,9.86,5.59,2
Wuxi Shuofang,6.71,10.0,9.95,8.89,3
Okayama,6.44,9.93,3.69,6.69,1
Baku,4.94,0.0,9.91,4.95,2
Luanda,6.9,0.0,0.0,2.3,0
Bangui,8.33,0.0,0.0,2.78,0
Auckland,4.44,0.0,7.88,4.11,2
Banja Luka,6.67,0.0,10.0,5.56,2
Incheon,6.08,9.64,4.3,6.67,1
Port Louis,5.24,0.0,9.84,5.03,2
Vladivostok,9.67,0.0,0.0,3.22,0
Guadalajara,6.86,9.9,0.0,5.59,1
Shannon,5.0,0.0,6.95,3.98,2
Memmingen,10.0,0.0,0.0,3.33,0
Nairobi,6.67,0.0,0.0,2.22,0
Antalya Airport,6.78,9.68,0.0,5.49,1
Gran Canaria,6.76,0.0,6.68,4.48,2
Madeira,6.67,0.0,9.0,5.22,2
Dar Es Salaam,6.5,10.0,0.0,5.5,1
Anna,4.87,0.0,0.0,1.62,0
Venice,6.78,0.0,9.07,5.28,2
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5,3
Bourgas,6.2,0.0,0.6,2.27,0
Samara,6.67,0.0,10.0,5.56,2
Reus,6.26,0.0,9.78,5.35,2
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89,3
Izmir Airport,6.82,9.62,9.85,8.76,3
Soekarno Hatta,6.85,10.0,9.83,8.89,3
Moi,8.89,0.0,0.0,2.96,0
Liberia,5.24,0.0,3.2,2.81,0
Cayenne (REC),0.0,0.0,10.0,3.33,2
Tirstrup,0.0,0.0,0.0,0.0,0
Chisinau,7.76,0.0,0.0,2.59,0
Fortaleza,6.87,10.0,7.68,8.18,3
Panama Tocumen,6.79,9.96,7.83,8.19,3
Doha,5.05,0.0,6.68,3.91,2
Fukushima,6.67,0.0,3.17,3.28,0
Manila Downtown Shop,0.0,0.0,0.0,0.0,0
Punta Cana - Higuey,6.78,9.82,8.31,8.3,3
Prague,6.07,0.0,0.0,2.02,0
Riga,6.9,0.0,4.95,3.95,2
Kingston,6.67,0.0,0.0,2.22,0
Split,7.78,0.0,5.93,4.57,2
Osaka - Kansai,6.58,5.08,9.03,6.9,3
Ngurah Rai,6.76,9.96,9.16,8.63,3
Nouakchott,6.9,0.0,10.0,5.63,2
Ibiza,6.46,0.0,0.0,2.15,0
Yerevan,6.67,0.0,3.45,3.37,0
Manas,6.15,0.0,0.0,2.05,0
Cukurova Airport,6.86,9.08,0.0,5.31,1
Lodz,6.83,0.0,9.61,5.48,2
Marsa Aalam,6.73,0.0,9.92,5.55,2
Lucknow,4.87,0.0,5.82,3.56,2
Madrid Barajas,6.83,0.0,9.6,5.48,2
Ramon,10.0,0.0,0.0,3.33,0
Piarco,6.67,0.0,2.88,3.18,0
Islamabad,3.33,0.0,10.0,4.44,2
Vilnius,6.94,0.0,0.0,2.31,0
Nuernberg,6.86,0.0,0.0,2.29,0
Hanoi,5.4,0.0,9.15,4.85,2
