Location,Cat_B
Puerto Plata,7.66
Split,9.84
Samsun Airport,5.4
Manila - Ninoy Aquino,9.29
Yantai Penglai,3.8
Almeria,4.9
Medellin Jose Maria Cordova,8.94
Bologna,9.92
Praia,4.54
Piarco,0.49
La Palma,5.98
Gabon,9.32
Dar Es Salaam,6.5
Southampton,1.48
Pisa,6.86
Mykonos,3.55
Windhoek,9.26
Cardiff,3.46
Charleroi,9.16
Penang,0.83
Aqaba,5.27
Wenzhou Longwan,0.34
Adana Airport,6.48
Fuzhou Changle,1.41
Luxor,9.59
Belize City,10.0
Beauvais,2.96
Milan - Linate,8.08
Skiathos,6.29
Cologne,6.75
Nanning Wuxu,0.88
Sanya Fenghuang,4.98
Ohrid,9.26
Managua,1.03
Banjul,6.18
Melbourne,9.96
Astana,8.75
Aktio,2.44
Fortaleza,7.04
Bandaranaike,10.0
London City,8.5
Kingston,10.0
Moscow - Domodedovo,2.38
Siem Reap,1.88
Palermo,3.3
Jerez De La Frontera,6.52
Faroe Islands,10.0
Ouarzazate,8.66
Astrakhan,3.42
Hefei Xinqiao,0.41
Lubumbashi,9.13
Tulear,0.0
Helsinki-Vantaa,10.0
Wuxi Shuofang,1.23
Wellington,9.54
Zagreb,9.88
Diyarbakir Airport,5.11
Jinan Xiaoqiang,0.86
Salzburg,9.35
Eindhoven,9.0
Florence,8.16
Dubrovnik,9.76
Zhengzhou Xinzheng,0.4
Santander,2.23
St. Petersburg Pulkovo,2.95
Krasnoyarsk,5.01
Conakry,10.0
Bournemouth,4.85
Lagos,6.67
Viracopos,7.57
Kota Kinabalu,3.75
Nouakchott,8.29
Monterrey,8.43
La Romana,5.26
Dresden,4.63
Bremen,1.88
Torino,10.0
Niamey,10.0
Bari,9.88
Perth,6.15
Cozumel,6.61
Djibouti,0.0
Port-au-Prince (Haiti),9.67
Sochi,3.91
Durban,7.05
Yangon,0.82
Sendai,9.99
Madeira,6.67
Asturias,6.08
Volgograd,8.32
Mendoza,9.72
Lille,1.69
Salvador,8.24
Takamatsu,9.57
Cordoba,10.0
Exeter,4.54
Kilimanjaro,7.69
Douala,10.0
