Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Danang Downtown Shop,0.0,0.0,0.0,0.0,2
Torino,5.78,0.0,1.33,2.37,2
Natal,6.84,10.0,4.78,7.21,3
Yangyang,6.67,10.0,0.0,5.56,3
PRISTINA,6.93,0.0,8.04,4.99,1
Ostrava,6.83,0.0,8.43,5.09,1
Taipei - Taoyuan,5.89,9.97,4.43,6.76,3
Port Louis,5.24,0.0,9.84,5.03,1
Fortaleza,6.87,10.0,7.68,8.18,0
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,1
Makhachkala,6.94,0.0,6.75,4.56,1
Riga,6.9,0.0,4.95,3.95,1
Ngurah Rai,6.76,9.96,9.16,8.63,0
Birmingham,6.38,0.0,9.72,5.37,1
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58,3
Nouakchott,6.9,0.0,10.0,5.63,1
Harare,10.0,0.0,0.0,3.33,2
Exeter,6.72,0.0,0.0,2.24,2
Daegu,6.13,8.34,0.0,4.82,3
Male,5.33,0.0,8.94,4.76,1
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06,1
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98,1
Paris Charles De Gaulle,6.67,10.0,8.44,8.37,0
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35,1
Ibiza,6.46,0.0,0.0,2.15,2
Bodrum Airport,6.75,9.61,9.37,8.58,0
Antalya Airport,6.78,9.68,0.0,5.49,3
Lanzarote,6.76,0.0,8.74,5.17,1
Goa,4.87,0.0,7.18,4.02,1
Melbourne,6.76,0.0,9.04,5.27,1
Danang,6.67,0.0,0.0,2.22,2
London Heathrow,6.55,0.0,9.17,5.24,1
Treviso,5.69,0.0,9.87,5.19,1
Milan - Linate,6.88,0.0,4.11,3.66,2
Al Hoceima,6.67,0.0,9.52,5.4,1
Palermo,6.86,0.0,9.23,5.36,1
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27,2
Paderborn,6.82,0.0,9.84,5.55,1
Fukuoka,6.51,9.46,0.0,5.32,3
Tenerife,6.76,0.0,0.0,2.25,2
Nuernberg,6.86,0.0,0.0,2.29,2
Sierra Leone,5.42,0.0,9.8,5.07,1
Bogota,6.84,9.9,6.66,7.8,0
Diyarbakir Airport,6.84,8.53,0.0,5.12,3
Edinburgh,6.47,0.0,9.52,5.33,1
Naples,6.04,0.0,7.68,4.57,1
Kazan,8.75,0.0,0.0,2.92,2
Leeds Bradford,6.23,0.0,9.19,5.14,1
Yinchuan Hedong,6.52,7.01,9.48,7.67,0
Lubumbashi,7.14,0.0,9.72,5.62,1
Ramon,10.0,0.0,0.0,3.33,2
Jinan Xiaoqiang,6.67,5.9,10.0,7.52,0
Moscow - Domodedovo,6.76,0.0,9.0,5.25,1
London Luton,6.46,0.0,8.77,5.08,1
Macau,6.67,10.0,8.03,8.23,0
Tokyo - Haneda,5.05,0.0,8.23,4.43,1
Montevideo,6.67,0.0,2.86,3.18,2
Abuja,6.28,10.0,8.42,8.23,0
Casablanca,6.47,9.97,9.92,8.79,0
Mendoza,6.85,0.0,0.0,2.28,2
Orebro,7.78,0.0,9.67,5.82,1
Antigua,6.79,0.0,0.0,2.26,2
