Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Mazatlan,6.85,9.32,10.0,8.72,0
Granada,5.76,0.0,9.31,5.02,1
Astana,6.75,0.0,7.95,4.9,1
Alexandoupolis,5.71,0.0,0.0,1.9,2
London City,6.8,0.0,8.87,5.22,1
Punta del Este,3.33,0.0,0.0,1.11,2
Guayaquil,5.23,10.0,0.0,5.08,3
Yantai Penglai,6.03,9.97,0.06,5.35,3
Rotterdam,6.92,0.0,1.1,2.67,2
Rzeszow,5.0,0.0,10.0,5.0,1
Mactan,6.67,0.0,0.0,2.22,2
Porto,6.89,0.0,9.75,5.55,1
Kutahya Airport,6.95,10.0,1.39,6.11,3
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76,2
Istanbul Airport,6.79,0.0,0.0,2.26,2
Hefei Xinqiao,6.63,6.54,9.85,7.67,0
Asuncion Silvio Petterossi,6.85,0.0,7.95,4.93,1
Doha,5.05,0.0,6.68,3.91,1
Liverpool,6.47,0.0,0.0,2.16,2
Gibraltar,5.33,0.0,10.0,5.11,1
Basel,6.35,10.0,4.59,6.98,3
Pointe-a-Pitre,6.35,10.0,8.73,8.36,0
Samara,6.67,0.0,10.0,5.56,1
Harbin Taiping,6.75,0.0,0.0,2.25,2
Mykonos,5.53,0.0,9.37,4.97,1
Doncaster,7.32,0.0,0.0,2.44,2
Reus,6.26,0.0,9.78,5.35,1
Krakow Balice,6.79,0.0,9.81,5.53,1
Durban,6.74,10.0,9.78,8.84,0
Kinshasa,6.92,0.0,0.0,2.31,2
Moi,8.89,0.0,0.0,2.96,2
Jeddah,6.45,10.0,0.0,5.48,3
London Southend Airport,6.74,0.0,0.0,2.25,2
Aktau,10.0,0.0,0.0,3.33,2
Voronezh,7.85,0.0,0.0,2.62,2
Kralendijk (Bonaire),6.79,0.0,0.0,2.26,2
Aarhus,6.67,0.0,0.0,2.22,2
Juba (inactive),0.0,0.0,9.62,3.21,1
Kos,6.72,0.0,0.0,2.24,2
Addis Ababa,6.81,10.0,7.26,8.02,0
Billund,6.67,0.0,9.35,5.34,1
Montego Bay,6.73,9.61,8.53,8.29,0
Khabarovsk,7.67,0.0,0.0,2.56,2
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17,1
Hamburg,6.82,0.0,5.53,4.12,1
Muan,6.56,10.0,0.04,5.53,3
Samos,6.76,0.0,9.82,5.53,1
Berlin Brandenburg,6.82,0.0,0.0,2.27,2
Cayenne (REC),0.0,0.0,10.0,3.33,1
Santo Domingo Las Americas,6.8,9.64,4.3,6.91,3
Warsaw-Modlin,6.92,0.0,9.04,5.32,1
Guadalajara,6.86,9.9,0.0,5.59,3
Humberside,6.67,0.0,0.0,2.22,2
Shymkent,7.92,0.0,0.0,2.64,2
Skiathos,6.67,0.0,10.0,5.56,1
Corfu,5.59,10.0,6.7,7.43,0
Palma De Mallorca,6.48,0.0,7.17,4.55,1
Adana Airport,6.87,9.16,6.73,7.59,0
Dubai,6.57,8.82,9.07,8.15,0
Rome Fiumicino,6.87,0.0,9.63,5.5,1
Bristol,6.47,0.0,10.0,5.49,1
Madrid Barajas,6.83,0.0,9.6,5.48,1
Novosibirsk,6.83,0.0,9.25,5.36,1
Aomori,4.44,0.0,8.84,4.43,1
Shandong,6.85,0.0,0.0,2.28,2
La Romana,6.83,9.97,9.29,8.7,0
Rosario,6.9,0.0,2.86,3.25,2
Mitilini,6.77,0.0,0.0,2.26,2
Kaunas,6.94,0.0,9.5,5.48,1
Indira Gandhi,5.25,0.0,0.0,1.75,2
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13,1
Jeju,6.06,9.74,3.32,6.37,3
Rabat,6.53,10.0,4.54,7.02,3
Wuhan Tianhe,6.07,7.37,9.98,7.81,0
Basrah,6.81,0.0,0.0,2.27,2
Yangon,5.77,0.0,9.23,5.0,1
Fes,6.51,10.0,0.0,5.5,3
Bujumbura,5.0,0.0,9.37,4.79,1
Cayenne,6.45,10.0,0.0,5.48,3
Paris Orly,6.76,10.0,0.0,5.59,3
Pula,8.89,0.0,0.0,2.96,2
Cali,6.8,8.86,5.97,7.21,0
Beauvais,6.53,0.0,0.0,2.18,2
Queenstown,4.44,0.0,0.0,1.48,2
Ibaraki,4.44,0.0,6.8,3.75,1
Sandefjord-Torp,6.05,0.0,5.18,3.74,1
Siem Reap,7.16,0.0,0.0,2.39,2
Samana El Catey,6.85,10.0,8.27,8.37,0
Changzhou Benniu,6.91,0.0,0.0,2.3,2
Bergamo,6.86,0.0,9.3,5.39,1
Puerto Plata,6.82,9.11,7.83,7.92,0
Lille,6.9,0.0,9.77,5.56,1
Nis,6.53,0.0,0.0,2.18,2
Genoa,5.76,0.0,0.0,1.92,2
Salvador,6.84,10.0,9.09,8.64,0
Gdansk,6.81,0.0,9.82,5.54,1
Santiago Cibao,6.79,2.39,1.31,3.5,2
Volgograd,6.88,0.0,6.99,4.62,1
Cam Ranh,6.22,0.0,6.37,4.2,1
Seoul,5.74,8.54,5.72,6.67,0
Christchurch,4.44,0.0,0.0,1.48,2
Cairns,7.08,0.0,6.9,4.66,1
Florianopolis,6.79,10.0,9.55,8.78,0
Aalborg,6.67,0.0,0.0,2.22,2
Zagreb,6.11,0.0,7.85,4.65,1
Lisbon,6.86,0.0,8.54,5.13,1
Helsinki-Vantaa,7.04,0.0,0.0,2.35,2
Jersey,6.67,0.0,9.91,5.53,1
Naha,4.94,0.0,6.2,3.71,1
Tokyo - Narita,6.55,9.51,8.71,8.26,0
Brussels,6.67,0.0,5.79,4.15,1
Viracopos,6.85,10.0,7.38,8.08,0
Grenoble,6.35,10.0,10.0,8.78,0
Praia,6.85,10.0,9.57,8.81,0
Jerez De La Frontera,6.91,0.0,7.78,4.9,1
Qingdao Liuting,6.05,9.88,9.87,8.6,0
Brisbane,6.67,0.0,0.0,2.22,2
Guernsey,5.56,0.0,0.62,2.06,2
Nantes,6.6,10.0,9.37,8.66,0
Alexandria,6.76,0.0,9.14,5.3,1
Skopje,6.8,0.0,8.45,5.08,1
Yingsheng,10.0,0.0,0.0,3.33,2
London Gatwick,6.58,0.0,0.0,2.19,2
Marseille,6.76,10.0,8.01,8.26,0
Yaounde,8.15,0.0,0.0,2.72,2
Bandaranaike,5.1,0.0,9.66,4.92,1
Amritsar,4.87,0.0,6.89,3.92,1
Ciampino Airport,5.83,0.0,0.0,1.94,2
Ufa,7.62,0.0,0.0,2.54,2
Guangzhou Baiyun,6.09,9.75,9.98,8.61,0
Niamey,5.0,0.0,0.0,1.67,2
Zhukovsky,0.0,0.0,0.0,0.0,2
Shanghai Hongqiao,6.1,6.63,3.29,5.34,3
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35,3
Munich,6.35,0.0,1.1,2.48,2
Baku,4.94,0.0,9.91,4.95,1
Kagoshima,5.71,0.0,8.08,4.6,1
Kalibo,7.78,0.0,8.2,5.33,1
Panama Tocumen,6.79,9.96,7.83,8.19,0
Umea,7.08,0.0,9.71,5.6,1
Kigali,4.89,0.0,7.83,4.24,1
Punta Cana - Higuey,6.78,9.82,8.31,8.3,0
Hohhot Baita,6.71,10.0,9.99,8.9,0
Istanbul Asia Airport,6.8,8.5,9.15,8.15,0
Budapest,8.33,0.0,0.0,2.78,2
Glasgow Prestwick,6.36,0.0,6.82,4.39,1
Dalian Zhoushuizi,6.75,9.94,9.66,8.78,0
Lviv,7.36,0.0,0.0,2.45,2
Kuala Lumpur,6.52,9.17,0.0,5.23,3
Erbil International Airport,5.0,0.0,5.93,3.64,1
Sanya Fenghuang,6.71,0.0,0.0,2.24,2
Dubrovnik,7.78,0.0,9.32,5.7,1
A Coruna,6.92,0.0,9.35,5.42,1
Leopold Sedar Senghar,6.72,0.0,9.41,5.38,1
Rabil,6.09,10.0,9.57,8.55,0
Malaga,6.48,0.0,0.0,2.16,2
Yerevan,6.67,0.0,3.45,3.37,2
Vientiane,5.93,0.0,5.33,3.75,1
Brno,4.44,0.0,9.84,4.76,1
Daegu (downtown),0.0,9.73,0.0,3.24,3
Piarco,6.67,0.0,2.88,3.18,2
Enfidha,6.85,9.99,8.55,8.46,0
Cork,5.67,0.0,7.09,4.25,1
Bangalore,6.18,10.0,6.2,7.46,0
Shenzhen Bao'an,7.19,0.0,0.0,2.4,2
Lulea,7.33,0.0,0.0,2.44,2
Changchun Longjia,5.96,10.0,9.93,8.63,0
Olsztyn,6.84,0.0,0.0,2.28,2
Dublin,5.83,0.0,3.3,3.04,2
Sofia,6.75,0.0,1.33,2.69,2
Kutaisi,6.78,0.0,8.84,5.21,1
Venice,6.78,0.0,9.07,5.28,1
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3,2
Samsun Airport,6.84,9.04,8.33,8.07,0
Abu Dhabi,5.75,9.62,8.47,7.95,0
Bridgetown,6.76,0.0,1.61,2.79,2
Okayama,6.44,9.93,3.69,6.69,3
Douala,7.0,0.0,10.0,5.67,1
Wuxi Shuofang,6.71,10.0,9.95,8.89,0
Split,7.78,0.0,5.93,4.57,1
Ho Chi Minh,6.67,0.0,9.62,5.43,1
Pamandzi,4.85,0.0,10.0,4.95,1
Krasnoyarsk,6.88,0.0,9.48,5.45,1
Alesund,8.97,0.0,0.0,2.99,2
Marsa Aalam,6.73,0.0,9.92,5.55,1
Florence,6.86,0.0,9.71,5.52,1
Thessaloniki,5.98,0.0,6.5,4.16,1
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88,2
Hiroshima,4.89,0.0,10.0,4.96,1
Gerona,6.44,0.0,9.72,5.39,1
Johor Bahru,6.13,7.84,9.07,7.68,0
Hyderabad,5.18,0.0,0.0,1.73,2
Vladivostok,9.67,0.0,0.0,3.22,2
Soekarno Hatta,6.85,10.0,9.83,8.89,0
Bariloche,5.0,0.0,0.06,1.69,2
Lagos,6.83,10.0,9.65,8.83,0
Guatemala City,6.89,5.12,4.46,5.49,3
Beira,8.75,0.0,0.0,2.92,2
Queretaro,7.14,0.0,7.57,4.9,1
Stockholm Arlanda,6.92,0.0,9.86,5.59,1
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53,2
Aktio,6.05,0.0,10.0,5.35,1
St. George's Point Saline,6.81,10.0,9.62,8.81,0
Cordoba,6.89,0.0,0.0,2.3,2
Belo Horizonte,6.85,10.0,0.0,5.62,3
Nykoping,6.67,0.0,7.18,4.62,1
Zakynthos,5.44,0.0,4.36,3.27,2
Coolangatta,8.33,0.0,0.0,2.78,2
Chongqing Jiangbei,5.99,9.91,9.99,8.63,0
Sihanoukville,6.72,10.0,8.35,8.36,0
Chattrapati Shivaji,5.05,0.0,0.0,1.68,2
Kingston,6.67,0.0,0.0,2.22,2
Cancun,6.84,9.86,8.84,8.51,0
Bordeaux,6.5,10.0,1.54,6.01,3
Kilimanjaro,6.75,0.0,10.0,5.58,1
Mandalay,5.42,0.0,0.0,1.81,2
Cardiff,6.43,0.0,9.26,5.23,1
Nador,6.86,9.99,6.85,7.9,0
Luxor,6.79,0.0,8.96,5.25,1
Sevilla,6.44,0.0,0.0,2.15,2
Aberdeen,6.44,0.0,9.6,5.35,1
Bologna,5.78,0.0,6.35,4.04,1
Alicante,6.32,0.0,8.22,4.85,1
Kristiansand,7.6,0.0,0.0,2.53,2
Ekaterinburg,6.79,0.0,8.39,5.06,1
Tulear,6.97,0.0,0.0,2.32,2
Katima Mulilo,4.76,0.0,0.0,1.59,2
Tegucigalpa,9.0,0.0,0.0,3.0,2
Aqaba,6.86,10.0,0.0,5.62,3
Takamatsu,5.0,0.0,3.78,2.93,2
Huatulco,0.0,0.0,0.0,0.0,2
Murcia,6.75,0.0,3.68,3.48,2
Erfurt,10.0,0.0,0.0,3.33,2
Medina,6.87,10.0,0.0,5.62,3
Bourgas,6.2,0.0,0.6,2.27,2
Athens,6.26,10.0,8.18,8.15,0
Gaborone,7.78,0.0,0.21,2.66,2
Changsha Huanghua,6.52,9.45,10.0,8.66,0
Kuwait,6.05,9.94,0.0,5.33,3
Vigo,6.86,0.0,9.71,5.52,1
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89,0
Lucknow,4.87,0.0,5.82,3.56,1
Bydgoszcz,5.17,0.0,9.18,4.78,1
Frankfurt,6.82,0.0,3.33,3.38,2
Zurich,6.27,10.0,8.13,8.13,0
Santiago De Compostela,6.79,0.0,9.19,5.33,1
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26,1
Recife,6.86,9.99,9.49,8.78,0
Urumchi Diwobao,6.48,10.0,0.76,5.75,3
Nanchang Changbei,6.62,10.0,9.96,8.86,0
Islamabad,3.33,0.0,10.0,4.44,1
Bergen,6.81,0.0,5.7,4.17,1
Zanzibar,5.44,0.0,0.0,1.81,2
Kaohsiung,5.89,9.97,6.64,7.5,0
Vienna,6.77,0.0,8.52,5.1,1
Mangalore,4.87,0.0,6.95,3.94,1
La Palma,5.96,0.0,9.07,5.01,1
Jieyang Chaoshan,6.71,0.0,0.0,2.24,2
Rio de Janeiro,6.82,10.0,8.71,8.51,0
Asturias,6.97,0.0,0.0,2.32,2
Munster-Osnabruck,4.9,0.0,6.56,3.82,1
Varna,6.76,0.0,1.61,2.79,2
La Paz El Alto,10.0,0.0,0.0,3.33,2
Sarajevo,4.91,0.0,9.61,4.84,1
Abidjan,6.56,10.0,0.0,5.52,3
Togo,5.83,0.0,9.82,5.22,1
Acapulco,8.48,0.0,0.0,2.83,2
Windhoek,6.67,0.0,0.0,2.22,2
Yancheng Nanyang,6.73,0.0,0.0,2.24,2
Barcelona,6.54,0.0,7.63,4.72,1
Lodz,6.83,0.0,9.61,5.48,1
Lublin,6.82,0.0,0.0,2.27,2
Managua,6.87,9.46,5.83,7.39,0
Rhodes,5.6,10.0,8.2,7.93,0
Zaporizhya,8.04,0.0,0.0,2.68,2
Elblag,5.0,0.0,0.0,1.67,2
Toulouse,6.86,10.0,0.0,5.62,3
Fuerteventura,6.76,0.0,9.49,5.42,1
Memmingen,10.0,0.0,0.0,3.33,2
Min Vody,6.75,0.0,7.86,4.87,1
Ouarzazate,6.83,10.0,6.95,7.93,0
Xian Xianyang,6.49,9.82,5.73,7.35,0
Sharm El Sheikh,6.78,0.0,9.19,5.32,1
Taichung,6.03,9.96,5.82,7.27,0
Sendai,4.89,0.0,7.63,4.17,1
Dushanbe,7.86,0.0,0.0,2.62,2
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88,2
Shannon,5.0,0.0,6.95,3.98,1
Chengdu Tianfu,6.52,7.52,8.03,7.36,0
Monastir,6.39,9.99,0.0,5.46,3
Warsaw,6.83,0.0,0.0,2.28,2
Manama,6.74,5.51,0.0,4.08,3
Iwate,6.67,0.0,9.52,5.4,1
Southampton,6.71,0.0,0.0,2.24,2
Fuzhou Changle,6.02,10.0,6.37,7.46,0
RIYADH,6.81,10.0,2.77,6.53,3
Chitose,4.94,0.0,7.94,4.29,1
Cochin,6.67,0.0,8.29,4.99,1
Karipur,4.87,0.0,3.69,2.85,2
Hebei,5.15,0.0,0.0,1.72,2
Auckland,4.44,0.0,7.88,4.11,1
Rostov Don,7.81,0.0,0.0,2.6,2
DAMMAM,6.77,10.0,4.11,6.96,3
Belgorod,7.78,0.0,0.0,2.59,2
San Salvador Comalapa,6.84,9.8,7.84,8.16,0
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18,2
Hanoi,5.4,0.0,9.15,4.85,1
Kyiv,7.5,0.0,0.0,2.5,2
Denizli Cardak Airport,6.85,9.34,8.75,8.31,0
Chubu,6.58,8.98,8.52,8.03,0
Dalaman Airport,6.79,0.0,0.0,2.26,2
Lusaka,6.92,0.0,8.28,5.07,1
Mexico City,6.84,9.87,0.0,5.57,3
Lima,6.77,9.99,9.6,8.79,0
Santorini,5.38,0.0,8.71,4.7,1
Wenzhou Longwan,6.55,4.7,9.97,7.07,1
Moscow - Vnukovo,6.74,0.0,8.86,5.2,1
Brasilia,6.81,10.0,8.36,8.39,0
Kharkiv,7.78,0.0,0.0,2.59,2
Anna,4.87,0.0,0.0,1.62,2
Ningbo Lishe,6.2,0.09,9.99,5.43,1
Milan - Malpensa,6.82,0.0,9.02,5.28,1
Izmir Airport,6.82,9.62,9.85,8.76,0
Odessa,7.62,0.0,10.0,5.87,1
Marka,6.89,0.0,0.0,2.3,2
Colombo,6.7,10.0,0.0,5.57,3
Eskisehir Airport,6.87,8.94,9.61,8.47,0
Astrakhan,6.9,0.0,8.46,5.12,1
Podgorica,5.56,0.0,9.87,5.14,1
Beijing,5.91,6.27,0.0,4.06,3
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67,1
Manas,6.15,0.0,0.0,2.05,2
Duesseldorf,6.8,0.0,7.15,4.65,1
Charleroi,6.67,0.0,0.0,2.22,2
Strasbourg,6.92,0.0,9.67,5.53,1
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33,2
Shizuoka,5.83,0.0,6.1,3.98,1
Sharjah,5.78,9.3,8.22,7.77,0
Katowice,5.0,0.0,9.82,4.94,1
Chambery,6.86,0.0,0.0,2.29,2
Vaxjo,4.67,0.0,0.0,1.56,2
Shanghai Pudong,5.93,3.57,9.66,6.39,1
Nanjing Lukou,5.42,5.52,0.76,3.9,3
Singapore - Changi,6.83,0.0,7.65,4.83,1
Essaouira,6.84,9.99,10.0,8.94,0
Oranjestad,6.8,9.15,9.25,8.4,0
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72,1
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92,2
Fukushima,6.67,0.0,3.17,3.28,2
Dar Es Salaam,6.5,10.0,0.0,5.5,3
Johannesburg,6.82,10.0,8.94,8.59,0
Bremen,6.77,0.0,0.0,2.26,2
Ulaanbaatar,6.67,0.0,0.0,2.22,2
Bamako,6.89,0.0,10.0,5.63,1
Ras El Khaymah,6.8,0.0,2.11,2.97,2
Manchester,6.49,0.0,7.16,4.55,1
Tarbes - Lourdes,6.67,10.0,9.5,8.72,0
Adelaide,6.19,0.0,5.83,4.01,1
Paramaribo,6.79,0.0,4.13,3.64,2
Sydney,6.67,0.0,9.84,5.5,1
Konya Airport,6.87,8.06,9.87,8.27,0
London Stansted,6.57,0.0,9.55,5.37,1
Krasnodar,7.47,0.0,0.0,2.49,2
Dnipropetrovsk,8.0,0.0,0.0,2.67,2
Eindhoven,6.88,0.0,0.0,2.29,2
Ankara Airport,6.84,9.52,9.41,8.59,0
Tel-Aviv,5.42,0.0,9.85,5.09,1
Almaty,5.0,0.0,9.92,4.97,1
Zia,4.93,0.0,9.85,4.93,1
Heraklion Airport,6.75,10.0,8.52,8.42,0
Prague,6.07,0.0,0.0,2.02,2
Ohrid,6.83,0.0,4.57,3.8,1
Mahon Airport,6.26,0.0,9.77,5.34,1
Liberia,5.24,0.0,3.2,2.81,2
Faro Airport,6.74,0.0,0.0,2.25,2
Cologne,6.91,0.0,6.04,4.32,1
Chania,5.86,0.0,7.93,4.6,1
Verona,6.83,0.0,10.0,5.61,1
Xiamen Gaoqi,6.11,9.95,8.23,8.1,0
Miyazaki,6.67,0.0,0.0,2.22,2
Xuzhou Guanyin,6.75,3.08,0.0,3.28,2
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5,0
Bilbao,6.84,0.0,9.91,5.58,1
Maputo,9.17,0.0,0.0,3.06,2
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33,0
Chisinau,7.76,0.0,0.0,2.59,2
Trichy,4.87,0.0,6.82,3.9,1
Quito,6.86,9.73,6.8,7.8,0
Mombasa,9.0,0.0,0.0,3.0,2
Hatay Airport,9.52,0.0,0.0,3.17,2
Phnom Penh,6.75,4.28,8.24,6.42,1
Cartagena de Indias,0.0,0.0,0.0,0.0,2
Baghdad,6.78,0.0,0.0,2.26,2
Banjul,6.9,0.0,0.0,2.3,2
Almeria,6.36,0.0,9.17,5.18,1
Sochi,6.75,0.0,2.77,3.17,2
Hrabrovo,7.62,0.0,0.0,2.54,2
Jeju (downtown),0.0,0.12,0.0,0.04,2
Monterrey,6.84,10.0,8.6,8.48,0
Jaipur,4.87,0.0,0.0,1.62,2
Newcastle,6.47,0.0,6.18,4.22,1
Jerba,6.47,9.98,0.0,5.48,3
Hong Kong,6.21,9.99,0.0,5.4,3
Batumi,6.83,0.0,9.5,5.44,1
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54,1
Vilnius,6.94,0.0,0.0,2.31,2
Cape Town,6.9,10.0,8.87,8.59,0
Szczecin,6.89,0.0,0.0,2.3,2
Tozeur,6.36,10.0,0.0,5.45,3
Belize City,5.38,0.0,0.0,1.79,2
Oujda,6.55,10.0,5.62,7.39,0
Poznan-Lawica,4.81,0.0,0.0,1.6,2
Santander,6.92,0.0,8.53,5.15,1
Graz,6.79,0.0,10.0,5.6,1
Salalah,6.73,0.0,0.0,2.24,2
Stavanger,6.78,0.0,9.28,5.35,1
Lyon Saint Exupery,6.77,10.0,1.74,6.17,3
Nice,6.77,10.0,0.0,5.59,3
Muscat,6.78,0.0,7.26,4.68,1
Nairobi,6.67,0.0,0.0,2.22,2
Ioannina,6.98,0.0,8.47,5.15,1
Oslo,6.78,0.0,0.0,2.26,2
Oita,7.22,0.0,0.0,2.41,2
Taiyuan Wusu,6.71,10.0,9.58,8.76,0
Banja Luka,6.67,0.0,10.0,5.56,1
Haiphong,8.33,0.0,9.9,6.08,1
Bournemouth,6.22,0.0,0.0,2.07,2
Fort-de-France,6.15,10.0,6.84,7.66,0
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5,2
Quanzhou Jinjiang,0.0,0.0,7.98,2.66,1
Manila Downtown Shop,0.0,0.0,0.0,0.0,2
Hurgada,6.72,0.0,7.68,4.8,1
Gabon,6.79,0.0,5.83,4.21,1
Seoul (downtown),0.0,0.35,0.0,0.12,2
Hannover,6.79,0.0,0.0,2.26,2
Agadir,6.43,9.98,10.0,8.8,0
Karpathos,5.76,0.0,0.0,1.92,2
Amsterdam - Schiphol,6.79,0.0,0.0,2.26,2
Pengsheng,5.0,0.0,0.44,1.81,2
Weihai Dashuibo,6.75,9.96,4.71,7.14,3
Radom,5.56,0.0,7.48,4.35,1
Curacao,6.75,0.0,0.0,2.25,2
Los Cabos,6.83,9.93,0.0,5.59,3
Kyiv - Zhulyany,7.72,0.0,0.0,2.57,2
Espargos,6.5,10.0,9.41,8.64,0
Wellington,8.57,0.0,0.0,2.86,2
Accra,6.83,10.0,0.0,5.61,3
Trabzon Airport,6.84,5.39,9.92,7.38,0
Roland Garros,6.67,10.0,7.17,7.95,0
Montpellier,6.88,0.0,9.71,5.53,1
Valencia,6.5,0.0,0.0,2.17,2
Entebbe,4.8,0.0,9.61,4.8,1
Kayseri Airport,6.84,10.0,10.0,8.95,0
Luanda,6.9,0.0,0.0,2.3,2
Tunis,6.4,9.99,8.87,8.42,0
Trondheim,6.79,0.0,2.82,3.2,2
Tirana,6.19,0.0,9.65,5.28,1
Tashkent,5.6,0.0,8.31,4.64,1
Bari,5.78,0.0,8.85,4.88,1
Kavala,5.52,0.0,9.8,5.11,1
Marrakech,6.43,9.98,9.49,8.63,0
Tbilisi,6.83,0.0,0.0,2.28,2
Busan - Kimhae,6.02,9.85,0.52,5.46,3
Phu Quok,6.87,0.0,9.04,5.3,1
Conakry,9.17,0.0,0.0,3.06,2
Pisa,6.85,0.0,9.4,5.42,1
Asyut,5.33,0.0,9.87,5.07,1
Nanning Wuxu,6.7,9.38,9.96,8.68,0
San Jose,5.24,0.0,0.0,1.75,2
San Jose,5.24,0.0,9.42,4.89,1
Kota Kinabalu,6.67,3.37,4.98,5.01,1
Madeira,6.67,0.0,9.0,5.22,1
Perth,6.71,10.0,0.0,5.57,3
Norwich,6.82,0.0,9.71,5.51,1
Beijing Daxing,0.0,0.0,6.8,2.27,1
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,2
Kunming Wujiaba,6.16,9.99,7.04,7.73,0
Cozumel,6.87,10.0,0.0,5.62,3
Glasgow,6.48,0.0,0.01,2.16,2
Copenhagen,6.83,0.0,9.4,5.41,1
Cukurova Airport,6.86,9.08,0.0,5.31,3
Guiyang Longdongbao,7.78,0.0,0.0,2.59,2
Dresden,7.14,0.0,0.0,2.38,2
Stuttgart,6.88,0.0,0.6,2.49,2
Salzburg,6.78,0.0,9.25,5.34,1
Dortmund,6.77,0.0,7.23,4.67,1
Gothenburg,6.67,0.0,8.69,5.12,1
Iloilo,0.0,0.0,0.0,0.0,2
Jomo Kenyatta,6.42,9.99,6.99,7.8,0
Minsk,6.79,0.0,10.0,5.6,1
Penang,6.67,10.0,8.58,8.42,0
