Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster,Score_Range
Medina,6.87,10.0,0.0,,5.623333333333334,2,10.0
Melbourne,6.76,0.0,10.0,,5.586666666666666,0,10.0
Xuzhou Guanyin,6.75,3.077488644949546,0.0,,3.2758295483165156,2,6.75
Beijing,5.91,6.270890112579698,,,6.090445056289849,1,0.36089011257969794
Naples,6.04,0.0,9.82,1.21,4.2675,0,9.82
Skopje,6.8,0.0,9.59,0.0,4.0975,0,9.59
Ningbo Lishe,6.2,0.0946555759218226,10.0,9.64,6.483663893980456,3,9.905344424078178
Doha,5.05,0.0,9.97,,5.006666666666667,0,9.97
Batumi,6.83,0.0,0.0,,2.276666666666667,2,6.83
Daegu,6.13,8.336940756877883,10.0,,8.155646918959294,1,3.87
Aktio,6.05,0.0,0.0,,2.0166666666666666,2,6.05
Xian Xianyang,6.49,9.820119889565184,9.97,3.05,7.3325299723912964,1,6.920000000000001
Chattrapati Shivaji,5.05,0.0,9.67,,4.906666666666666,0,9.67
Sharm El Sheikh,6.78,0.0,9.93,7.96,6.1675,3,9.93
Bergamo,6.86,0.0,9.53,0.88,4.3175,0,9.53
Fukuoka,6.51,9.463165452712053,9.94,,8.637721817570684,1,3.4299999999999997
Madrid Barajas,6.83,0.0,9.96,1.27,4.515,0,9.96
Munich,6.35,0.0,10.0,10.0,6.5875,3,10.0
Bodrum Airport,6.75,9.614513125115275,9.54,1.4,6.826128281278818,1,8.214513125115275
Geneva,6.41,10.0,9.97,,8.793333333333335,1,3.59
Hyderabad,5.18,0.0,9.33,,4.836666666666667,0,9.33
Sofia,6.75,0.0,9.39,10.0,6.535,3,10.0
Suleymania Airport,6.81,0.0,9.52,,5.4433333333333325,0,9.52
Sao Paulo - Guarulhos,6.85,9.997073720896704,9.89,8.6,8.834268430224176,3,3.147073720896705
Manama,6.74,5.513025756141752,7.98,,6.744341918713918,1,2.4669742438582487
Chubu,6.58,8.980981121470355,9.95,,8.503660373823452,1,3.369999999999999
Viracopos,6.85,9.99811370594323,9.57,,8.806037901981076,1,3.1481137059432296
Stuttgart,6.88,0.0,9.98,0.02,4.22,0,9.98
Amman,6.02,9.999999999999996,9.96,,8.659999999999998,1,3.979999999999997
Port Louis,5.24,0.0,9.82,,5.0200000000000005,0,9.82
Abu Dhabi,5.75,9.624509661011391,7.52,0.23,5.781127415252848,1,9.39450966101139
Salalah,6.73,0.0,10.0,,5.576666666666667,0,10.0
Sendai,4.89,0.0,0.0,,1.63,2,4.89
Shanghai Pudong,5.93,3.569618897847564,9.99,7.51,6.74990472446189,3,6.420381102152437
Tel-Aviv,5.42,0.0,9.91,,5.11,0,9.91
Aqaba,6.86,10.0,0.0,,5.62,2,10.0
Cancun,6.84,9.858803368436806,9.79,6.6,8.272200842109202,1,3.2588033684368067
Doncaster,7.32,,0.0,,3.66,2,7.32
Fes,6.51,9.997759779033991,9.93,,8.81258659301133,1,3.4877597790339916
La Romana,6.83,9.969498785535675,9.42,3.07,7.322374696383919,1,6.899498785535675
Adana Airport,6.87,9.159195623169555,9.88,0.1,6.50229890579239,1,9.780000000000001
Dalaman Airport,6.79,0.0,10.0,,5.596666666666667,0,10.0
Katima Mulilo,4.76,0.0,0.0,,1.5866666666666667,2,4.76
Qingdao Liuting,6.05,9.875638614121309,9.98,,8.635212871373769,1,3.9300000000000006
Port-au-Prince (Haiti),6.76,0.0,9.67,,5.476666666666667,0,9.67
Amritsar,4.87,0.0,9.63,,4.833333333333333,0,9.63
Sharjah,5.78,9.30495700017584,10.0,,8.361652333391946,1,4.22
Malaga,6.48,0.0,9.95,,5.476666666666667,0,9.95
Marsa Aalam,6.73,0.0,0.0,0.12,1.7125000000000001,2,6.73
Urumchi Diwobao,6.48,9.998428366126324,0.0,,5.492809455375441,2,9.998428366126324
Manas,6.15,0.0,3.05,,3.0666666666666664,2,6.15
Dar Es Salaam,6.5,10.0,9.95,,8.816666666666666,1,3.5
Almaty,5.0,0.0,9.37,,4.79,0,9.37
Punta Cana - Higuey,6.78,9.822873512533825,9.92,4.46,7.745718378133457,1,5.46
Frankfurt,6.82,0.0,9.95,10.0,6.6925,3,10.0
Yanji Zhaoyangchuan,6.54,0.0,10.0,,5.513333333333333,0,10.0
Ankara Airport,6.84,9.520905262573256,9.5,4.71,7.642726315643314,1,4.8109052625732565
Jomo Kenyatta,6.42,9.993496647525236,9.75,,8.721165549175078,1,3.5734966475252357
Oujda,6.55,9.998636898988895,9.93,0.47,6.737159224747224,1,9.528636898988895
Sevilla,6.44,0.0,9.84,,5.426666666666667,0,9.84
Phnom Penh,6.75,4.27526805025105,9.99,0.16,5.293817012562763,1,9.83
Rome Fiumicino,6.87,0.0,9.95,,5.6066666666666665,0,9.95
Shanghai Hongqiao,6.1,6.633158459977885,0.0,0.72,3.3632896149944713,2,6.633158459977885
St. Maarten Princess Juliana,5.76,0.0,0.0,,1.92,2,5.76
Trabzon Airport,6.84,5.385317051936381,8.87,10.0,7.773829262984095,3,4.614682948063619
Almeria,6.36,0.0,9.97,0.51,4.210000000000001,0,9.97
Monastir,6.39,9.992678311146388,4.1,,6.827559437048795,1,5.892678311146389
Puerto Vallarta,6.84,9.836285392949014,9.74,,8.805428464316337,1,2.996285392949014
Jinan Xiaoqiang,6.67,5.902590285782189,0.0,9.9,5.618147571445547,3,9.9
Mykonos,5.53,0.0,9.58,3.5,4.6525,0,9.58
Lublin,6.82,0.0,0.0,,2.2733333333333334,2,6.82
Florence,6.86,0.0,9.58,,5.48,0,9.58
Kunming Wujiaba,6.16,9.994041871579237,9.99,3.84,7.49601046789481,1,6.154041871579237
Puerto Plata,6.82,9.110832688288363,9.86,1.72,6.87770817207209,1,8.139999999999999
Bangalore,6.18,10.0,9.79,,8.656666666666666,1,3.8200000000000003
Seoul,5.74,8.5405266339764,10.0,4.72,7.2501316584941,1,5.28
Macau,6.67,10.0,9.97,0.13,6.6925,1,9.87
Samsun Airport,6.84,9.04435424202746,9.9,10.0,8.946088560506865,3,3.16
Jerba,6.47,9.97918802071055,9.14,,8.52972934023685,1,3.5091880207105506
Humberside,6.67,0.0,0.0,,2.223333333333333,2,6.67
Aberdeen,6.44,0.0,9.97,0.66,4.2675,0,9.97
Astana,6.75,0.0,0.0,,2.25,2,6.75
Kingston,6.67,0.0,9.07,,5.246666666666667,0,9.07
Xiamen Gaoqi,6.11,9.953257374628684,9.98,,8.681085791542895,1,3.87
Cairo,6.79,9.999999999999998,,9.68,8.823333333333332,3,3.209999999999998
Guayaquil,5.23,10.0,9.3,,8.176666666666668,1,4.77
Toulouse,6.86,9.999999999999998,9.71,,8.856666666666667,1,3.139999999999998
Moscow - Vnukovo,6.74,0.0,9.99,1.87,4.65,0,9.99
Heraklion Airport,6.75,10.0,9.6,1.6,6.987500000000001,1,8.4
Malmo,6.32,0.0,9.82,,5.38,0,9.82
Changchun Longjia,5.96,10.0,9.21,8.91,8.52,3,4.04
Al Hoceima,6.67,,0.0,0.61,2.4266666666666667,2,6.67
Milan - Linate,6.88,0.0,9.61,1.75,4.56,0,9.61
Indira Gandhi,5.25,0.0,9.3,,4.8500000000000005,0,9.3
Hiroshima,4.89,0.0,0.0,,1.63,2,4.89
Lille,6.9,0.0,10.0,0.05,4.2375,0,10.0
Exeter,6.72,0.0,9.14,,5.286666666666666,0,9.14
Belgrade,6.83,0.0,9.9,,5.576666666666667,0,9.9
Managua,6.87,9.45522014164297,9.78,0.12,6.556305035410742,1,9.66
Vaxjo,4.67,0.0,0.0,,1.5566666666666666,2,4.67
Amsterdam - Schiphol,6.79,0.0,10.0,0.0,4.1975,0,10.0
Szczecin,6.89,0.0,9.9,,5.596666666666667,0,9.9
Accra,6.83,9.998051094576688,9.59,,8.806017031525561,1,3.168051094576688
Douala,7.0,0.0,10.0,,5.666666666666667,0,10.0
Barcelona,6.54,0.0,9.96,,5.5,0,9.96
Johannesburg,6.82,10.0,9.99,,8.936666666666667,1,3.1799999999999997
Newcastle,6.47,0.0,9.87,4.87,5.3025,0,9.87
Ibaraki,4.44,0.0,0.0,,1.4800000000000002,2,4.44
Yantai Penglai,6.03,9.972627549374344,9.97,,8.657542516458115,1,3.942627549374344
Lima,6.77,9.991862889279195,9.73,1.27,6.940465722319798,1,8.721862889279196
London Southend Airport,6.74,0.0,9.86,,5.533333333333334,0,9.86
Rabat,6.53,9.99948396923731,9.86,0.03,6.604870992309328,1,9.969483969237311
Guangzhou Baiyun,6.09,9.74763175206672,9.99,8.31,8.534407938016681,3,3.9000000000000004
Antalya Gazipasa Airport,6.83,9.2301984129937,9.64,,8.566732804331233,1,2.8100000000000005
Cozumel,6.87,9.9990011315203,9.61,,8.826333710506766,1,3.1290011315203
Danang,6.67,0.0,9.99,,5.553333333333334,0,9.99
Berlin Brandenburg,6.82,0.0,9.98,,5.6000000000000005,0,9.98
Tbilisi,6.83,0.0,10.0,,5.609999999999999,0,10.0
Monterrey,6.84,10.0,8.81,,8.549999999999999,1,3.16
Leeds Bradford,6.23,0.0,9.9,3.21,4.835000000000001,0,9.9
Bergen,6.81,0.0,9.83,0.55,4.2975,0,9.83
Naha,4.94,0.0,9.91,,4.95,0,9.91
Katowice,5.0,0.0,9.79,,4.93,0,9.79
Harbin Taiping,6.75,0.0,0.0,,2.25,2,6.75
Baku,4.94,0.0,9.4,,4.78,0,9.4
Zaporizhya,8.04,,0.0,,4.02,2,8.04
Paramaribo,6.79,0.0,9.33,,5.373333333333334,0,9.33
Murcia,6.75,0.0,0.0,2.63,2.3449999999999998,2,6.75
Kayseri Airport,6.84,10.0,9.99,,8.943333333333333,1,3.16
Santiago Cibao,6.79,2.386470660796951,9.5,0.15,4.7066176651992375,0,9.35
Treviso,5.69,0.0,8.53,7.12,5.335,3,8.53
Hangzhou Xiaoshan,6.09,2.415230638693508,9.99,9.71,7.051307659673377,3,7.574769361306492
Montego Bay,6.73,9.611246344354116,9.79,0.05,6.54531158608853,1,9.739999999999998
Cayenne,6.45,10.0,,,8.225,1,3.55
Dalian Zhoushuizi,6.75,9.944036592764622,0.0,7.51,6.051009148191156,2,9.944036592764622
Rio de Janeiro,6.82,10.0,9.87,9.0,8.9225,3,3.1799999999999997
Mudanjiang Hailang,6.71,8.446070841184465,0.0,,5.052023613728156,2,8.446070841184465
Gerona,6.44,0.0,9.91,5.82,5.5425,0,9.91
Shannon,5.0,0.0,10.0,,5.0,0,10.0
Chongqing Jiangbei,5.99,9.90830508890132,9.99,9.71,8.89957627222533,3,4.0
Los Cabos,6.83,9.93263681903063,9.78,,8.847545606343544,1,3.1026368190306304
Aswan,6.79,0.0,9.89,8.53,6.3025,3,9.89
Florianopolis,6.79,10.0,9.02,4.51,7.58,1,5.49
Cukurova Airport,6.86,9.0839799492253,0.0,,5.3146599830751,2,9.0839799492253
Rostov Don,7.81,,0.0,,3.905,2,7.81
Piarco,6.67,,9.98,0.0,5.55,0,9.98
Fortaleza,6.87,10.0,9.56,0.0,6.6075,1,10.0
Glasgow,6.48,0.0,9.9,0.91,4.322500000000001,0,9.9
Bristol,6.47,0.0,9.66,,5.376666666666666,0,9.66
Nice,6.77,10.0,9.99,,8.92,1,3.2300000000000004
Yinchuan Hedong,6.52,7.01408010858033,0.0,0.07,3.4010200271450826,2,7.01408010858033
Salvador,6.84,10.0,8.56,0.0,6.35,1,10.0
Ulaanbaatar,6.67,0.0,9.71,,5.460000000000001,0,9.71
Bariloche,5.0,0.0,0.0,,1.6666666666666667,2,5.0
Santiago Arturo Merino Benitez,6.67,10.0,9.85,,8.840000000000002,1,3.33
Krakow Balice,6.79,0.0,9.94,8.04,6.1925,3,9.94
Singapore - Changi,6.83,0.0,9.99,6.3,5.78,0,9.99
Addis Ababa,6.81,9.997484903189289,9.59,1.92,7.079371225797322,1,8.077484903189289
Oslo,6.78,0.0,9.78,,5.52,0,9.78
Pointe-a-Pitre,6.35,10.0,9.99,4.98,7.830000000000001,1,5.02
Porto,6.89,0.0,9.99,0.01,4.2225,0,9.99
Bujumbura,5.0,0.0,9.58,0.66,3.81,0,9.58
Phu Quok,6.87,0.0,9.92,,5.596666666666667,0,9.92
Marseille,6.76,10.0,9.99,0.24,6.7475,1,9.76
Shandong,6.85,,,,6.85,0,0.0
Grenoble,6.35,10.0,0.0,,5.45,2,10.0
Brasilia,6.81,9.999924497984525,9.36,1.87,7.009981124496131,1,8.129924497984526
Porto Alegre,6.85,10.0,9.56,1.21,6.905000000000001,1,8.79
Nanning Wuxu,6.7,9.375967349051194,0.0,5.01,5.271491837262799,2,9.375967349051194
Bydgoszcz,5.17,0.0,9.79,,4.986666666666666,0,9.79
Abidjan,6.56,10.0,9.74,,8.766666666666666,1,3.4400000000000004
Corfu,5.59,10.0,9.36,6.1,7.762499999999999,1,4.41
Moscow - Domodedovo,6.76,0.0,9.98,9.93,6.6675,3,9.98
Chania,5.86,0.0,9.57,8.85,6.07,3,9.57
Marka,6.89,0.0,0.0,,2.2966666666666664,2,6.89
Praia,6.85,10.0,9.59,5.47,7.9775,1,4.53
Recife,6.86,9.993827488258754,9.36,4.83,7.760956872064689,1,5.163827488258754
Wuhan Tianhe,6.07,7.36728560827231,9.99,9.73,8.289321402068078,3,3.92
Juba,6.9,0.0,,,3.45,0,6.9
Cardiff,6.43,0.0,9.89,3.13,4.8625,0,9.89
Ostrava,6.83,0.0,0.0,0.05,1.72,2,6.83
London Gatwick,6.58,0.0,9.93,,5.503333333333333,0,9.93
Denizli Cardak Airport,6.85,9.342410201852896,9.45,0.06,6.425602550463223,1,9.389999999999999
Panama Tocumen,6.79,9.963692734468804,9.67,9.66,9.0209231836172,3,3.173692734468804
Basel,6.35,10.0,9.99,1.31,6.9125000000000005,1,8.69
Tokyo - Haneda,5.05,0.0,10.0,,5.016666666666667,0,10.0
Milan - Malpensa,6.82,0.0,9.73,10.0,6.6375,3,10.0
Moscow - Sheremetyevo,6.8,0.0,9.51,,5.4366666666666665,0,9.51
London Luton,6.46,0.0,9.95,,5.47,0,9.95
London Stansted,6.57,0.0,9.92,,5.496666666666667,0,9.92
Natal,6.84,10.0,9.92,0.11,6.717499999999999,1,9.89
Rhodes,5.6,10.0,9.53,,8.376666666666667,1,4.4
Lodz,6.83,0.0,9.94,,5.59,0,9.94
Olsztyn,6.84,0.0,0.0,,2.28,2,6.84
Guatemala City,6.89,5.116465043005254,9.49,0.03,5.381616260751313,1,9.46
Perth,6.71,9.999999999999998,9.99,,8.899999999999999,1,3.2899999999999983
San Salvador Comalapa,6.84,9.803306198775733,9.52,0.02,6.545826549693933,1,9.783306198775733
Durban,6.74,10.0,9.99,3.13,7.465000000000001,1,6.87
Yerevan,6.67,0.0,9.95,0.9,4.379999999999999,0,9.95
Tunis,6.4,9.99054256700627,9.36,0.28,6.507635641751568,1,9.710542567006271
Alicante,6.32,0.0,9.93,,5.416666666666667,0,9.93
Antigua,6.79,0.0,0.0,,2.263333333333333,2,6.79
Tegucigalpa,9.0,,7.5,,8.25,0,1.5
Ohrid,6.83,0.0,0.0,0.17,1.75,2,6.83
Birmingham,6.38,0.0,9.93,5.82,5.5325,0,9.93
Rosario,6.9,0.0,9.92,,5.6066666666666665,0,9.92
Enfidha,6.85,9.993238406552752,5.38,10.0,8.055809601638188,3,4.62
Basseterre (Saint Kitts),6.79,9.938044863528374,9.68,,8.802681621176125,1,3.1480448635283738
Krasnodar,7.47,,0.0,,3.735,2,7.47
Johor Bahru,6.13,7.83551210042228,0.0,10.0,5.99137802510557,3,10.0
Cordoba,6.89,0.0,10.0,,5.63,0,10.0
Palermo,6.86,0.0,0.0,,2.2866666666666666,2,6.86
Cheongju,6.08,9.898377443336164,0.0,2.56,4.634594360834041,2,9.898377443336164
Cali,6.8,8.857973444182221,9.56,0.5,6.429493361045555,1,9.06
Mahon Airport,6.26,0.0,9.98,5.7,5.485,0,9.98
Copenhagen,6.83,0.0,10.0,0.0,4.2075,0,10.0
Salzburg,6.78,0.0,9.99,3.64,5.1025,0,9.99
London City,6.8,0.0,9.95,0.61,4.34,0,9.95
Liverpool,6.47,0.0,9.89,,5.453333333333333,0,9.89
Duesseldorf,6.8,0.0,9.57,,5.456666666666667,0,9.57
Cape Town,6.9,10.0,9.98,0.28,6.79,1,9.72
PRISTINA,6.93,0.0,9.93,10.0,6.715,3,10.0
Fuerteventura,6.76,0.0,9.95,4.83,5.385,0,9.95
Kazan,8.75,,10.0,,9.375,0,1.25
Sardar Vallabh Bhai Patel,4.87,0.0,9.63,,4.833333333333333,0,9.63
Mangalore,4.87,0.0,9.64,10.0,6.1275,3,10.0
Zia,4.93,0.0,9.63,,4.8533333333333335,0,9.63
Espargos,6.5,9.999926747817096,8.58,2.26,6.834981686954274,1,7.739926747817096
Ekaterinburg,6.79,0.0,9.21,9.28,6.32,3,9.28
Novosibirsk,6.83,0.0,9.96,,5.596666666666667,0,9.96
Strasbourg,6.92,0.0,9.73,10.0,6.6625,3,10.0
Kota Kinabalu,6.67,3.3722230711813603,1.58,,3.874074357060454,2,5.09
Nanchang Changbei,6.62,10.0,0.0,7.44,6.015000000000001,2,10.0
Muscat,6.78,0.0,9.16,1.92,4.465,0,9.16
Beirut - Rafik Hariri,6.77,0.0,9.81,,5.526666666666666,0,9.81
Elblag,5.0,0.0,0.0,,1.6666666666666667,2,5.0
Sanya Fenghuang,6.71,0.0,0.0,,2.236666666666667,2,6.71
Southampton,6.71,0.0,9.93,,5.546666666666667,0,9.93
Cochin,6.67,0.0,9.68,,5.45,0,9.68
Stavanger,6.78,0.0,9.91,,5.5633333333333335,0,9.91
Santiago De Compostela,6.79,0.0,9.65,3.21,4.9125000000000005,0,9.65
Billund,6.67,0.0,10.0,,5.5566666666666675,0,10.0
Belize City,5.38,0.0,8.9,,4.760000000000001,0,8.9
Curacao,6.75,0.0,9.5,,5.416666666666667,0,9.5
Bourgas,6.2,0.0,9.77,0.02,3.9974999999999996,0,9.77
Oita,7.22,0.0,0.0,,2.4066666666666667,2,7.22
Poznan-Lawica,4.81,0.0,9.94,,4.916666666666667,0,9.94
Bordeaux,6.5,10.0,9.99,4.9,7.8475,1,5.1
Kutahya Airport,6.95,10.0,0.0,,5.6499999999999995,2,10.0
Charleroi,6.67,0.0,9.87,,5.513333333333333,0,9.87
St. George's Point Saline,6.81,9.999387335348398,9.84,1.01,6.9148468338371,1,8.989387335348399
Alexandria,6.76,0.0,0.0,,2.2533333333333334,2,6.76
Fort-de-France,6.15,10.0,9.98,5.56,7.922499999999999,1,4.44
Miyazaki,6.67,0.0,0.0,,2.223333333333333,2,6.67
Haiphong,8.33,0.0,0.0,,2.776666666666667,2,8.33
Asyut,5.33,0.0,9.91,,5.08,0,9.91
Aomori,4.44,0.0,0.0,,1.4800000000000002,2,4.44
Aalborg,6.67,0.0,9.86,,5.510000000000001,0,9.86
Varna,6.76,0.0,9.82,,5.526666666666666,0,9.82
Christchurch,4.44,0.0,0.0,,1.4800000000000002,2,4.44
Asturias,6.97,0.0,9.86,,5.609999999999999,0,9.86
St. Petersburg Pulkovo,6.75,0.0,10.0,0.0,4.1875,0,10.0
Pengsheng,5.0,0.0,0.0,,1.6666666666666667,2,5.0
Krasnoyarsk,6.88,0.0,9.93,10.0,6.7025,3,10.0
Paris Orly,6.76,9.999999999999996,9.99,,8.916666666666666,1,3.2399999999999967
Bremen,6.77,0.0,9.71,,5.493333333333333,0,9.71
Yangyang,6.67,10.0,0.0,,5.5566666666666675,2,10.0
East Midlands,6.15,0.0,9.84,4.71,5.175,0,9.84
Sochi,6.75,0.0,9.95,5.55,5.5625,0,9.95
Dresden,7.14,0.0,0.0,,2.38,2,7.14
Nador,6.86,9.98996676167996,9.79,0.05,6.6724916904199905,1,9.93996676167996
Muan,6.56,10.0,0.0,,5.52,2,10.0
Vientiane,5.93,0.0,9.87,,5.266666666666667,0,9.87
Glasgow Prestwick,6.36,0.0,9.96,10.0,6.58,3,10.0
Tirana,6.19,0.0,8.12,0.33,3.6599999999999997,0,8.12
Kaohsiung,5.89,9.967393876535423,9.97,6.83,8.164348469133856,1,4.080000000000001
Graz,6.79,0.0,9.99,,5.593333333333334,0,9.99
Rzeszow,5.0,0.0,9.79,,4.93,0,9.79
Jaipur,4.87,0.0,9.63,,4.833333333333333,0,9.63
Cologne,6.91,0.0,0.0,,2.3033333333333332,2,6.91
Mazatlan,6.85,9.321659754636126,9.79,,8.653886584878707,1,2.9399999999999995
Minsk,6.79,0.0,9.99,,5.593333333333334,0,9.99
Goa,4.87,0.0,9.63,7.72,5.555,3,9.63
Santander,6.92,0.0,9.87,0.05,4.21,0,9.87
Palma De Mallorca,6.48,0.0,9.93,,5.47,0,9.93
Trichy,4.87,0.0,9.63,,4.833333333333333,0,9.63
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,9.63,,4.833333333333333,0,9.63
Jieyang Chaoshan,6.71,,0.0,,3.355,2,6.71
Penang,6.67,10.0,7.05,,7.906666666666667,1,3.33
Everrich Downtown Kinmen,5.89,9.96434819317729,0.0,1.08,4.233587048294323,2,9.96434819317729
Ciampino Airport,5.83,0.0,9.87,,5.233333333333333,0,9.87
Roland Garros,6.67,10.0,10.0,3.39,7.515000000000001,1,6.609999999999999
A Coruna,6.92,0.0,9.93,,5.616666666666667,0,9.93
Montpellier,6.88,0.0,9.97,,5.616666666666667,0,9.97
