Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster,Score_Range
Konya Airport,6.87,8.059718228480742,7.95,,7.626572742826913,1,1.189718228480742
Paris Charles De Gaulle,6.67,10.0,9.98,10.0,9.162500000000001,3,3.33
Hohhot Baita,6.71,10.0,0.0,9.38,6.522500000000001,3,10.0
Ngurah Rai,6.76,9.96331188355975,9.98,0.47,6.793327970889938,1,9.51
Manchester,6.49,0.0,9.86,3.39,4.9350000000000005,0,9.86
Warsaw,6.83,0.0,,,3.415,0,6.83
Incheon,6.08,9.638618444531945,9.98,0.23,6.482154611132986,1,9.75
Dubai,6.57,8.819849319184673,9.96,10.0,8.837462329796168,3,3.4299999999999997
Marrakech,6.43,9.978109237014568,9.89,0.0,6.574527309253642,1,9.978109237014568
Tangier,6.6,9.989729518358878,9.84,0.6,6.75743237958972,1,9.389729518358878
DAMMAM,6.77,10.0,9.35,1.75,6.967499999999999,1,8.25
Izmir Airport,6.82,9.624082882997326,9.51,,8.651360960999108,1,2.804082882997326
Chitose,4.94,0.0,9.99,,4.976666666666667,0,9.99
Komatsu,4.76,0.0,0.0,,1.5866666666666667,2,4.76
Osaka - Kansai,6.58,5.081883479516199,9.75,,7.1372944931720665,0,4.668116520483801
Jeddah,6.45,10.0,9.42,,8.623333333333333,1,3.55
Hannover,6.79,0.0,9.94,,5.576666666666667,0,9.94
Changsha Huanghua,6.52,9.448638294849015,9.96,9.76,8.922159573712253,3,3.4400000000000013
Gabon,6.79,0.0,9.95,0.12,4.215,0,9.95
Chengdu Tianfu,6.52,7.524976896202798,0.0,0.13,3.5437442240506996,2,7.524976896202798
Taipei - Taoyuan,5.89,9.970030221692188,9.93,1.75,6.885007555423047,1,8.220030221692188
Lagos,6.83,10.0,9.72,7.8,8.587499999999999,3,3.17
Samana El Catey,6.85,10.0,0.0,,5.616666666666667,2,10.0
Banjul,6.9,0.0,9.86,,5.586666666666666,0,9.86
Casablanca,6.47,9.97367446183398,9.9,0.12,6.615918615458495,1,9.85367446183398
Athens,6.26,10.0,9.8,7.67,8.4325,3,3.74
Santo Domingo Las Americas,6.8,9.644460176964872,9.84,8.55,8.708615044241217,3,3.04
Istanbul Airport,6.79,0.0,9.89,,5.56,0,9.89
Mexico City,6.84,9.870943455145348,9.85,,8.853647818381782,1,3.030943455145348
Faro Airport,6.74,0.0,9.99,,5.576666666666667,0,9.99
Zakynthos,5.44,0.0,9.33,1.14,3.9775,0,9.33
Jeju,6.06,9.73857357314902,10.0,1.25,6.762143393287255,1,8.75
Ouarzazate,6.83,10.0,0.0,10.0,6.7075,3,10.0
RIYADH,6.81,9.99964107742663,9.25,5.55,7.902410269356658,1,4.449641077426631
Weihai Dashuibo,6.75,9.962916170786,0.0,5.7,5.6032290426965,2,9.962916170786
Pisa,6.85,0.0,9.63,10.0,6.62,3,10.0
Bogota,6.84,9.903834942592178,9.81,1.21,6.940958735648046,1,8.69383494259218
Santorini,5.38,0.0,9.02,9.0,5.85,3,9.02
Colombo,6.7,9.999999999999996,0.0,,5.5666666666666655,2,9.999999999999996
Lyon Saint Exupery,6.77,10.0,9.95,4.9,7.904999999999999,1,5.1
Changzhou Benniu,6.91,,0.0,,3.455,2,6.91
Istanbul Asia Airport,6.8,8.498638952749872,10.0,10.0,8.824659738187467,3,3.2
Diyarbakir Airport,6.84,8.533975562171115,9.95,,8.44132518739037,1,3.1099999999999994
Asuncion Silvio Petterossi,6.85,0.0,9.24,,5.363333333333333,0,9.24
Valencia,6.5,0.0,9.89,,5.463333333333334,0,9.89
Erbil International Airport,5.0,0.0,9.74,,4.913333333333333,0,9.74
Alexandoupolis,5.71,0.0,0.0,,1.9033333333333333,2,5.71
Essaouira,6.84,9.985785323847452,0.0,,5.60859510794915,2,9.985785323847452
Oranjestad,6.8,9.154446465949407,9.92,1.97,6.961111616487351,1,7.95
Ibiza,6.46,0.0,9.98,,5.48,0,9.98
Hurgada,6.72,0.0,9.95,0.0,4.1674999999999995,0,9.95
Shenyang Taoxian,6.48,9.887394009788114,9.95,0.02,6.584348502447028,1,9.93
Ho Chi Minh,6.67,0.0,9.96,10.0,6.657500000000001,3,10.0
Reus,6.26,0.0,9.85,,5.37,0,9.85
Wenzhou Longwan,6.55,4.7008795448836445,10.0,0.88,5.532719886220911,1,9.12
Tokyo - Narita,6.55,9.513909961100753,9.94,0.08,6.520977490275188,1,9.86
Agadir,6.43,9.983407241514248,9.92,,8.777802413838083,1,3.5534072415142486
Gdansk,6.81,0.0,9.94,10.0,6.6875,3,10.0
Ixtapa Zihuatanejo,6.86,9.848042865069353,9.16,10.0,8.967010716267339,3,3.1399999999999997
Bournemouth,6.22,0.0,9.97,,5.396666666666667,0,9.97
Gaziantep Airport,6.85,8.920204851154985,9.98,10.0,8.937551212788746,3,3.1500000000000004
Prague,6.07,0.0,9.89,,5.32,0,9.89
Medellin Jose Maria Cordova,5.08,0.0,8.83,,4.636666666666667,0,8.83
Gran Canaria,6.76,0.0,9.95,,5.57,0,9.95
Hong Kong,6.21,9.991764611272654,9.97,,8.723921537090886,1,3.7817646112726537
Leopold Sedar Senghar,6.72,0.0,10.0,1.01,4.4325,0,10.0
Hefei Xinqiao,6.63,6.541016363962926,0.0,8.71,5.470254090990732,2,8.71
Thessaloniki,5.98,0.0,9.58,,5.1866666666666665,0,9.58
Nuernberg,6.86,0.0,9.98,,5.613333333333333,0,9.98
Antalya Airport,6.78,9.68001793959478,10.0,,8.820005979864927,1,3.2199999999999998
Taichung,6.03,9.964350742284717,0.0,,5.331450247428239,2,9.964350742284717
Belo Horizonte,6.85,9.99860876334106,9.81,,8.886202921113687,1,3.148608763341061
Male,5.33,0.0,9.6,,4.976666666666667,0,9.6
Busan - Kimhae,6.02,9.8487988621912,10.0,,8.622932954063733,1,3.9800000000000004
Lanzarote,6.76,0.0,9.96,,5.573333333333333,0,9.96
Tenerife,6.76,0.0,9.8,,5.5200000000000005,0,9.8
Wuxi Shuofang,6.71,10.0,0.0,9.13,6.460000000000001,3,10.0
Hanoi,5.4,0.0,9.93,10.0,6.3325,3,10.0
Zhengzhou Xinzheng,5.65,2.5301140074920574,9.88,9.35,6.8525285018730155,3,7.349885992507943
Zurich,6.27,10.0,9.94,0.0,6.5525,1,10.0
Kuwait,6.05,9.937619137795632,9.98,,8.655873045931878,1,3.9300000000000006
Guadalajara,6.86,9.90091667072798,9.8,,8.85363889024266,1,3.04091667072798
