Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Chubu,6.58,8.98,8.52,8.03,3
Odessa,7.62,0.0,10.0,5.87,1
Thessaloniki,5.98,0.0,6.5,4.16,1
Shymkent,7.92,0.0,0.0,2.64,2
Antalya Airport,6.78,9.68,0.0,5.49,0
Lisbon,6.86,0.0,8.54,5.13,1
Weihai Dashuibo,6.75,9.96,4.71,7.14,0
Samara,6.67,0.0,10.0,5.56,1
Chambery,6.86,0.0,0.0,2.29,2
Split,7.78,0.0,5.93,4.57,1
Shanghai Pudong,5.93,3.57,9.66,6.39,1
Queenstown,4.44,0.0,0.0,1.48,2
Wenzhou Longwan,6.55,4.7,9.97,7.07,1
Tokyo - Haneda,5.05,0.0,8.23,4.43,1
Ekaterinburg,6.79,0.0,8.39,5.06,1
Krakow Balice,6.79,0.0,9.81,5.53,1
Sharjah,5.78,9.3,8.22,7.77,3
Kalibo,7.78,0.0,8.2,5.33,1
Moscow - Vnukovo,6.74,0.0,8.86,5.2,1
Fukuoka,6.51,9.46,0.0,5.32,0
Colombo,6.7,10.0,0.0,5.57,0
Nairobi,6.67,0.0,0.0,2.22,2
Agadir,6.43,9.98,10.0,8.8,3
Hyderabad,5.18,0.0,0.0,1.73,2
Asyut,5.33,0.0,9.87,5.07,1
Marrakech,6.43,9.98,9.49,8.63,3
Cayenne,6.45,10.0,0.0,5.48,0
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76,2
Kyiv - Zhulyany,7.72,0.0,0.0,2.57,2
Tirana,6.19,0.0,9.65,5.28,1
Cork,5.67,0.0,7.09,4.25,1
Yerevan,6.67,0.0,3.45,3.37,2
Chattrapati Shivaji,5.05,0.0,0.0,1.68,2
Lanzarote,6.76,0.0,8.74,5.17,1
Aswan,6.79,0.0,9.76,5.52,1
La Palma,5.96,0.0,9.07,5.01,1
London Stansted,6.57,0.0,9.55,5.37,1
Sierra Leone,5.42,0.0,9.8,5.07,1
Corfu,5.59,10.0,6.7,7.43,3
Changsha Huanghua,6.52,9.45,10.0,8.66,3
Basel,6.35,10.0,4.59,6.98,0
Guernsey,5.56,0.0,0.62,2.06,2
Warsaw,6.83,0.0,0.0,2.28,2
Hrabrovo,7.62,0.0,0.0,2.54,2
Almeria,6.36,0.0,9.17,5.18,1
Togo,5.83,0.0,9.82,5.22,1
Santiago Cibao,6.79,2.39,1.31,3.5,2
Leopold Sedar Senghar,6.72,0.0,9.41,5.38,1
Brisbane,6.67,0.0,0.0,2.22,2
Busan - Kimhae,6.02,9.85,0.52,5.46,0
Takamatsu,5.0,0.0,3.78,2.93,2
Kaunas,6.94,0.0,9.5,5.48,1
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54,1
Naha,4.94,0.0,6.2,3.71,1
Okayama,6.44,9.93,3.69,6.69,0
Aarhus,6.67,0.0,0.0,2.22,2
Stockholm Arlanda,6.92,0.0,9.86,5.59,1
Trondheim,6.79,0.0,2.82,3.2,2
Los Cabos,6.83,9.93,0.0,5.59,0
Fes,6.51,10.0,0.0,5.5,0
Hurgada,6.72,0.0,7.68,4.8,1
Istanbul Airport,6.79,0.0,0.0,2.26,2
Praia,6.85,10.0,9.57,8.81,3
Aberdeen,6.44,0.0,9.6,5.35,1
Juba,6.9,0.0,0.0,2.3,2
Kota Kinabalu,6.67,3.37,4.98,5.01,1
Bilbao,6.84,0.0,9.91,5.58,1
Huatulco,0.0,0.0,0.0,0.0,2
Valencia,6.5,0.0,0.0,2.17,2
Shannon,5.0,0.0,6.95,3.98,1
Trichy,4.87,0.0,6.82,3.9,1
Harbin Taiping,6.75,0.0,0.0,2.25,2
Volgograd,6.88,0.0,6.99,4.62,1
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35,1
Bodrum Airport,6.75,9.61,9.37,8.58,3
Cozumel,6.87,10.0,0.0,5.62,0
Lyon Saint Exupery,6.77,10.0,1.74,6.17,0
Nanjing Lukou,5.42,5.52,0.76,3.9,0
Munster-Osnabruck,4.9,0.0,6.56,3.82,1
Casablanca,6.47,9.97,9.92,8.79,3
Queretaro,7.14,0.0,7.57,4.9,1
Dubrovnik,7.78,0.0,9.32,5.7,1
Alexandoupolis,5.71,0.0,0.0,1.9,2
Tozeur,6.36,10.0,0.0,5.45,0
Macau,6.67,10.0,8.03,8.23,3
Wroclaw,5.17,0.0,0.0,1.72,2
Poznan-Lawica,4.81,0.0,0.0,1.6,2
Humberside,6.67,0.0,0.0,2.22,2
Guatemala City,6.89,5.12,4.46,5.49,0
Astrakhan,6.9,0.0,8.46,5.12,1
Sharm El Sheikh,6.78,0.0,9.19,5.32,1
Guadalajara,6.86,9.9,0.0,5.59,0
Kuala Lumpur,6.52,9.17,0.0,5.23,0
Chengdu Tianfu,6.52,7.52,8.03,7.36,3
Manila Downtown Shop,0.0,0.0,0.0,0.0,2
Ohrid,6.83,0.0,4.57,3.8,1
Cartagena de Indias,0.0,0.0,0.0,0.0,2
Cam Ranh,6.22,0.0,6.37,4.2,1
Hefei Xinqiao,6.63,6.54,9.85,7.67,3
Everrich Downtown Kinmen,5.89,9.96,4.05,6.63,0
Panama Tocumen,6.79,9.96,7.83,8.19,3
Alexandria,6.76,0.0,9.14,5.3,1
London City,6.8,0.0,8.87,5.22,1
Abidjan,6.56,10.0,0.0,5.52,0
Ioannina,6.98,0.0,8.47,5.15,1
St. George's Point Saline,6.81,10.0,9.62,8.81,3
Riga,6.9,0.0,4.95,3.95,1
Nanchang Changbei,6.62,10.0,9.96,8.86,3
Seoul (downtown),0.0,0.35,0.0,0.12,2
Puerto Plata,6.82,9.11,7.83,7.92,3
Bordeaux,6.5,10.0,1.54,6.01,0
Kutaisi,6.78,0.0,8.84,5.21,1
Vientiane,5.93,0.0,5.33,3.75,1
Christchurch,4.44,0.0,0.0,1.48,2
Sihanoukville,6.72,10.0,8.35,8.36,3
Fortaleza,6.87,10.0,7.68,8.18,3
Copenhagen,6.83,0.0,9.4,5.41,1
Pula,8.89,0.0,0.0,2.96,2
Yantai Penglai,6.03,9.97,0.06,5.35,0
Manas,6.15,0.0,0.0,2.05,2
Sofia,6.75,0.0,1.33,2.69,2
Yinchuan Hedong,6.52,7.01,9.48,7.67,3
Dubai,6.57,8.82,9.07,8.15,3
Jerez De La Frontera,6.91,0.0,7.78,4.9,1
Durban,6.74,10.0,9.78,8.84,3
Taipei - Taoyuan,5.89,9.97,4.43,6.76,0
Daegu,6.13,8.34,0.0,4.82,0
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89,3
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67,1
Murcia,6.75,0.0,3.68,3.48,2
Monterrey,6.84,10.0,8.6,8.48,3
Heraklion Airport,6.75,10.0,8.52,8.42,3
Treviso,5.69,0.0,9.87,5.19,1
Rabil,6.09,10.0,9.57,8.55,3
Kralendijk (Bonaire),6.79,0.0,0.0,2.26,2
Shanghai Hongqiao,6.1,6.63,3.29,5.34,0
Glasgow,6.48,0.0,0.01,2.16,2
Bournemouth,6.22,0.0,0.0,2.07,2
Zhukovsky,0.0,0.0,0.0,0.0,2
Dar Es Salaam,6.5,10.0,0.0,5.5,0
Mendoza,6.85,0.0,0.0,2.28,2
Seoul,5.74,8.54,5.72,6.67,3
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18,2
Krasnodar,7.47,0.0,0.0,2.49,2
Monastir,6.39,9.99,0.0,5.46,0
Lusaka,6.92,0.0,8.28,5.07,1
Goa,4.87,0.0,7.18,4.02,1
Tokyo - Shinjuku,0.0,0.0,0.0,0.0,2
Lulea,7.33,0.0,0.0,2.44,2
Memmingen,10.0,0.0,0.0,3.33,2
Tenerife,6.76,0.0,0.0,2.25,2
Bangui,8.33,0.0,0.0,2.78,2
Chitose,4.94,0.0,7.94,4.29,1
RIYADH,6.81,10.0,2.77,6.53,0
Erfurt,10.0,0.0,0.0,3.33,2
Zurich,6.27,10.0,8.13,8.13,3
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06,1
Ankara Airport,6.84,9.52,9.41,8.59,3
Essaouira,6.84,9.99,10.0,8.94,3
Hong Kong,6.21,9.99,0.0,5.4,0
Cape Town,6.9,10.0,8.87,8.59,3
Johannesburg,6.82,10.0,8.94,8.59,3
Kunming Wujiaba,6.16,9.99,7.04,7.73,3
DAMMAM,6.77,10.0,4.11,6.96,0
Aqaba,6.86,10.0,0.0,5.62,0
Yancheng Nanyang,6.73,0.0,0.0,2.24,2
Indira Gandhi,5.25,0.0,0.0,1.75,2
Sydney,6.67,0.0,9.84,5.5,1
Dublin,5.83,0.0,3.3,3.04,2
Guangzhou Baiyun,6.09,9.75,9.98,8.61,3
Abu Dhabi,5.75,9.62,8.47,7.95,3
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3,2
London Heathrow,6.55,0.0,9.17,5.24,1
Mahon Airport,6.26,0.0,9.77,5.34,1
Newcastle,6.47,0.0,6.18,4.22,1
Kristiansand,7.6,0.0,0.0,2.53,2
Taichung,6.03,9.96,5.82,7.27,3
Marka,6.89,0.0,0.0,2.3,2
Eindhoven,6.88,0.0,0.0,2.29,2
Athens,6.26,10.0,8.18,8.15,3
Piarco,6.67,0.0,2.88,3.18,2
Montevideo,6.67,0.0,2.86,3.18,2
Pisa,6.85,0.0,9.4,5.42,1
Billund,6.67,0.0,9.35,5.34,1
Milan - Linate,6.88,0.0,4.11,3.66,2
Hiroshima,4.89,0.0,10.0,4.96,1
Alesund,8.97,0.0,0.0,2.99,2
Umea,7.08,0.0,9.71,5.6,1
Min Vody,6.75,0.0,7.86,4.87,1
Toulouse,6.86,10.0,0.0,5.62,0
Aktio,6.05,0.0,10.0,5.35,1
Khabarovsk,7.67,0.0,0.0,2.56,2
London Gatwick,6.58,0.0,0.0,2.19,2
Danang Downtown Shop,0.0,0.0,0.0,0.0,2
Muan,6.56,10.0,0.04,5.53,0
Cairo,6.79,10.0,0.0,5.6,0
Batumi,6.83,0.0,9.5,5.44,1
Eskisehir Airport,6.87,8.94,9.61,8.47,3
Santiago De Compostela,6.79,0.0,9.19,5.33,1
Lviv,7.36,0.0,0.0,2.45,2
Rome Fiumicino,6.87,0.0,9.63,5.5,1
Rostov Don,7.81,0.0,0.0,2.6,2
Rzeszow,5.0,0.0,10.0,5.0,1
Bergen,6.81,0.0,5.7,4.17,1
Managua,6.87,9.46,5.83,7.39,3
Leeds Bradford,6.23,0.0,9.19,5.14,1
Rosario,6.9,0.0,2.86,3.25,2
Santo Domingo Las Americas,6.8,9.64,4.3,6.91,0
Ibaraki,4.44,0.0,6.8,3.75,1
Mexico City,6.84,9.87,0.0,5.57,0
Windhoek,6.67,0.0,0.0,2.22,2
Madeira,6.67,0.0,9.0,5.22,1
Male,5.33,0.0,8.94,4.76,1
Chania,5.86,0.0,7.93,4.6,1
Lublin,6.82,0.0,0.0,2.27,2
Miyazaki,6.67,0.0,0.0,2.22,2
Perth,6.71,10.0,0.0,5.57,0
Bourgas,6.2,0.0,0.6,2.27,2
Southampton,6.71,0.0,0.0,2.24,2
Manama,6.74,5.51,0.0,4.08,0
Charleroi,6.67,0.0,0.0,2.22,2
Baku,4.94,0.0,9.91,4.95,1
Samos,6.76,0.0,9.82,5.53,1
Lille,6.9,0.0,9.77,5.56,1
Bristol,6.47,0.0,10.0,5.49,1
Samsun Airport,6.84,9.04,8.33,8.07,3
Port Louis,5.24,0.0,9.84,5.03,1
Cologne,6.91,0.0,6.04,4.32,1
Salzburg,6.78,0.0,9.25,5.34,1
Vladivostok,9.67,0.0,0.0,3.22,2
Yaounde,8.15,0.0,0.0,2.72,2
Ufa,7.62,0.0,0.0,2.54,2
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13,1
Genoa,5.76,0.0,0.0,1.92,2
Salvador,6.84,10.0,9.09,8.64,3
Ngurah Rai,6.76,9.96,9.16,8.63,3
Bridgetown,6.76,0.0,1.61,2.79,2
Milan - Malpensa,6.82,0.0,9.02,5.28,1
Venice,6.78,0.0,9.07,5.28,1
Qingdao Liuting,6.05,9.88,9.87,8.6,3
Jeddah,6.45,10.0,0.0,5.48,0
Bariloche,5.0,0.0,0.06,1.69,2
Wuxi Shuofang,6.71,10.0,9.95,8.89,3
Exeter,6.72,0.0,0.0,2.24,2
Nice,6.77,10.0,0.0,5.59,0
Shenyang Taoxian,6.48,9.89,9.94,8.77,3
Shizuoka,5.83,0.0,6.1,3.98,1
Gabon,6.79,0.0,5.83,4.21,1
Doncaster,7.32,0.0,0.0,2.44,2
Kingston,6.67,0.0,0.0,2.22,2
Baghdad,6.78,0.0,0.0,2.26,2
Belgrade,6.83,0.0,9.37,5.4,1
Curacao,6.75,0.0,0.0,2.25,2
Mazatlan,6.85,9.32,10.0,8.72,3
Zanzibar,5.44,0.0,0.0,1.81,2
Podgorica,5.56,0.0,9.87,5.14,1
Beijing,5.91,6.27,0.0,4.06,0
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72,1
Rhodes,5.6,10.0,8.2,7.93,3
Skopje,6.8,0.0,8.45,5.08,1
Wellington,8.57,0.0,0.0,2.86,2
Stavanger,6.78,0.0,9.28,5.35,1
Birmingham,6.38,0.0,9.72,5.37,1
Graz,6.79,0.0,10.0,5.6,1
Anna,4.87,0.0,0.0,1.62,2
Basrah,6.81,0.0,0.0,2.27,2
Melbourne,6.76,0.0,9.04,5.27,1
Naples,6.04,0.0,7.68,4.57,1
Nuernberg,6.86,0.0,0.0,2.29,2
Urumchi Diwobao,6.48,10.0,0.76,5.75,0
Zia,4.93,0.0,9.85,4.93,1
Quito,6.86,9.73,6.8,7.8,3
Zaporizhya,8.04,0.0,0.0,2.68,2
Porto Alegre,6.85,10.0,7.68,8.18,3
Bydgoszcz,5.17,0.0,9.18,4.78,1
Pamandzi,4.85,0.0,10.0,4.95,1
Cairns,7.08,0.0,6.9,4.66,1
Luanda,6.9,0.0,0.0,2.3,2
Banjul,6.9,0.0,0.0,2.3,2
Luxor,6.79,0.0,8.96,5.25,1
Jinan Xiaoqiang,6.67,5.9,10.0,7.52,3
Ciampino Airport,5.83,0.0,0.0,1.94,2
Xiamen Gaoqi,6.11,9.95,8.23,8.1,3
Norwich,6.82,0.0,9.71,5.51,1
Asuncion Silvio Petterossi,6.85,0.0,7.95,4.93,1
Strasbourg,6.92,0.0,9.67,5.53,1
Dresden,7.14,0.0,0.0,2.38,2
London Luton,6.46,0.0,8.77,5.08,1
Jaipur,4.87,0.0,0.0,1.62,2
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26,1
Fukushima,6.67,0.0,3.17,3.28,2
Punta Cana - Higuey,6.78,9.82,8.31,8.3,3
Yangyang,6.67,10.0,0.0,5.56,0
Berlin Brandenburg,6.82,0.0,0.0,2.27,2
Cardiff,6.43,0.0,9.26,5.23,1
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17,1
Changzhou Benniu,6.91,0.0,0.0,2.3,2
Montpellier,6.88,0.0,9.71,5.53,1
Bujumbura,5.0,0.0,9.37,4.79,1
Djibouti,5.0,0.0,0.0,1.67,2
Johor Bahru,6.13,7.84,9.07,7.68,3
Paris Orly,6.76,10.0,0.0,5.59,0
Kharkiv,7.78,0.0,0.0,2.59,2
Santander,6.92,0.0,8.53,5.15,1
Tirstrup,0.0,0.0,0.0,0.0,2
Szczecin,6.89,0.0,0.0,2.3,2
Phu Quok,6.87,0.0,9.04,5.3,1
Mombasa,9.0,0.0,0.0,3.0,2
Juba (inactive),0.0,0.0,9.62,3.21,1
Izmir Airport,6.82,9.62,9.85,8.76,3
La Paz El Alto,10.0,0.0,0.0,3.33,2
Bogota,6.84,9.9,6.66,7.8,3
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5,3
Santorini,5.38,0.0,8.71,4.7,1
Budapest,8.33,0.0,0.0,2.78,2
PRISTINA,6.93,0.0,8.04,4.99,1
Elblag,5.0,0.0,0.0,1.67,2
Marsa Aalam,6.73,0.0,9.92,5.55,1
Jomo Kenyatta,6.42,9.99,6.99,7.8,3
Fuzhou Changle,6.02,10.0,6.37,7.46,3
Gerona,6.44,0.0,9.72,5.39,1
Ostrava,6.83,0.0,8.43,5.09,1
Sarajevo,4.91,0.0,9.61,4.84,1
Gibraltar,5.33,0.0,10.0,5.11,1
Brussels,6.67,0.0,5.79,4.15,1
Sochi,6.75,0.0,2.77,3.17,2
Phnom Penh,6.75,4.28,8.24,6.42,1
Singapore - Changi,6.83,0.0,7.65,4.83,1
Tulear,6.97,0.0,0.0,2.32,2
Chisinau,7.76,0.0,0.0,2.59,2
Rabat,6.53,10.0,4.54,7.02,0
Kilimanjaro,6.75,0.0,10.0,5.58,1
Trabzon Airport,6.84,5.39,9.92,7.38,3
Manchester,6.49,0.0,7.16,4.55,1
Xian Xianyang,6.49,9.82,5.73,7.35,3
Kavala,5.52,0.0,9.8,5.11,1
Kagoshima,5.71,0.0,8.08,4.6,1
Aomori,4.44,0.0,8.84,4.43,1
Amritsar,4.87,0.0,6.89,3.92,1
Kigali,4.89,0.0,7.83,4.24,1
Shandong,6.85,0.0,0.0,2.28,2
Kyiv,7.5,0.0,0.0,2.5,2
Soekarno Hatta,6.85,10.0,9.83,8.89,3
Diyarbakir Airport,6.84,8.53,0.0,5.12,0
Guayaquil,5.23,10.0,0.0,5.08,0
Palermo,6.86,0.0,9.23,5.36,1
Rotterdam,6.92,0.0,1.1,2.67,2
Lagos,6.83,10.0,9.65,8.83,3
Moi,8.89,0.0,0.0,2.96,2
Ho Chi Minh,6.67,0.0,9.62,5.43,1
Paderborn,6.82,0.0,9.84,5.55,1
Quanzhou Jinjiang,0.0,0.0,7.98,2.66,1
Vaxjo,4.67,0.0,0.0,1.56,2
Paramaribo,6.79,0.0,4.13,3.64,2
Ulaanbaatar,6.67,0.0,0.0,2.22,2
Varna,6.76,0.0,1.61,2.79,2
Beauvais,6.53,0.0,0.0,2.18,2
Florianopolis,6.79,10.0,9.55,8.78,3
Bologna,5.78,0.0,6.35,4.04,1
Erbil International Airport,5.0,0.0,5.93,3.64,1
Rio de Janeiro,6.82,10.0,8.71,8.51,3
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88,2
Sandefjord-Torp,6.05,0.0,5.18,3.74,1
San Jose,5.24,0.0,0.0,1.75,2
San Jose,5.24,0.0,9.42,4.89,1
Xuzhou Guanyin,6.75,3.08,0.0,3.28,2
San Salvador Comalapa,6.84,9.8,7.84,8.16,3
Pengsheng,5.0,0.0,0.44,1.81,2
Sfax,6.12,10.0,8.65,8.26,3
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53,2
Liverpool,6.47,0.0,0.0,2.16,2
Oranjestad,6.8,9.15,9.25,8.4,3
Gothenburg,6.67,0.0,8.69,5.12,1
Kaohsiung,5.89,9.97,6.64,7.5,3
Iwate,6.67,0.0,9.52,5.4,1
Reus,6.26,0.0,9.78,5.35,1
Cheongju,6.08,9.9,4.47,6.82,0
Banja Luka,6.67,0.0,10.0,5.56,1
Madrid Barajas,6.83,0.0,9.6,5.48,1
Adana Airport,6.87,9.16,6.73,7.59,3
Cayenne (REC),0.0,0.0,10.0,3.33,1
Nantes,6.6,10.0,9.37,8.66,3
Kayseri Airport,6.84,10.0,10.0,8.95,3
Mangalore,4.87,0.0,6.95,3.94,1
Kutahya Airport,6.95,10.0,1.39,6.11,0
Bremen,6.77,0.0,0.0,2.26,2
Beira,8.75,0.0,0.0,2.92,2
Espargos,6.5,10.0,9.41,8.64,3
Krasnoyarsk,6.88,0.0,9.48,5.45,1
Abuja,6.28,10.0,8.42,8.23,3
Amsterdam - Schiphol,6.79,0.0,0.0,2.26,2
Jersey,6.67,0.0,9.91,5.53,1
Cukurova Airport,6.86,9.08,0.0,5.31,0
Addis Ababa,6.81,10.0,7.26,8.02,3
Muscat,6.78,0.0,7.26,4.68,1
Adelaide,6.19,0.0,5.83,4.01,1
Geneva,6.41,10.0,0.0,5.47,0
Tarbes - Lourdes,6.67,10.0,9.5,8.72,3
Denizli Cardak Airport,6.85,9.34,8.75,8.31,3
Warsaw-Modlin,6.92,0.0,9.04,5.32,1
Danang,6.67,0.0,0.0,2.22,2
Kinshasa,6.92,0.0,0.0,2.31,2
Hannover,6.79,0.0,0.0,2.26,2
Jeju,6.06,9.74,3.32,6.37,0
Grenoble,6.35,10.0,10.0,8.78,3
Brasilia,6.81,10.0,8.36,8.39,3
Sanya Fenghuang,6.71,0.0,0.0,2.24,2
Palma De Mallorca,6.48,0.0,7.17,4.55,1
Vienna,6.77,0.0,8.52,5.1,1
Moscow - Domodedovo,6.76,0.0,9.0,5.25,1
Gran Canaria,6.76,0.0,6.68,4.48,1
Roland Garros,6.67,10.0,7.17,7.95,3
Lubumbashi,7.14,0.0,9.72,5.62,1
Suleymania Airport,6.81,0.0,0.0,2.27,2
Cali,6.8,8.86,5.97,7.21,3
Guiyang Longdongbao,7.78,0.0,0.0,2.59,2
Acapulco,8.48,0.0,0.0,2.83,2
Hanoi,5.4,0.0,9.15,4.85,1
Almaty,5.0,0.0,9.92,4.97,1
Fort-de-France,6.15,10.0,6.84,7.66,3
Granada,5.76,0.0,9.31,5.02,1
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33,3
Gaborone,7.78,0.0,0.21,2.66,2
Alicante,6.32,0.0,8.22,4.85,1
Malaga,6.48,0.0,0.0,2.16,2
Islamabad,3.33,0.0,10.0,4.44,1
Niamey,5.0,0.0,0.0,1.67,2
Jerba,6.47,9.98,0.0,5.48,0
Prague,6.07,0.0,0.0,2.02,2
Bandaranaike,5.1,0.0,9.66,4.92,1
Bari,5.78,0.0,8.85,4.88,1
Mykonos,5.53,0.0,9.37,4.97,1
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98,1
Ningbo Lishe,6.2,0.09,9.99,5.43,1
Natal,6.84,10.0,4.78,7.21,0
Zakynthos,5.44,0.0,4.36,3.27,2
Bangalore,6.18,10.0,6.2,7.46,3
Lucknow,4.87,0.0,5.82,3.56,1
Nador,6.86,9.99,6.85,7.9,3
Mactan,6.67,0.0,0.0,2.22,2
Nanning Wuxu,6.7,9.38,9.96,8.68,3
La Romana,6.83,9.97,9.29,8.7,3
Tegucigalpa,9.0,0.0,0.0,3.0,2
