Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Recife,6.86,9.99,9.49,8.78,3
Coolangatta,8.33,0.0,0.0,2.78,2
Doha,5.05,0.0,6.68,3.91,1
Dalaman Airport,6.79,0.0,0.0,2.26,2
Orebro,7.78,0.0,9.67,5.82,1
Karpathos,5.76,0.0,0.0,1.92,2
Istanbul Asia Airport,6.8,8.5,9.15,8.15,3
Torino,5.78,0.0,1.33,2.37,2
Dnipropetrovsk,8.0,0.0,0.0,2.67,2
Nykoping,6.67,0.0,7.18,4.62,1
Komatsu,4.76,0.0,8.13,4.3,1
Ouarzazate,6.83,10.0,6.95,7.93,3
Al Hoceima,6.67,0.0,9.52,5.4,1
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27,2
Chongqing Jiangbei,5.99,9.91,9.99,8.63,3
Cordoba,6.89,0.0,0.0,2.3,2
Astana,6.75,0.0,7.95,4.9,1
Belgorod,7.78,0.0,0.0,2.59,2
Belo Horizonte,6.85,10.0,0.0,5.62,0
Gaziantep Airport,6.85,8.92,9.82,8.53,3
Malmo,6.32,0.0,8.55,4.96,1
Salalah,6.73,0.0,0.0,2.24,2
Karipur,4.87,0.0,3.69,2.85,2
Maputo,9.17,0.0,0.0,3.06,2
Mitilini,6.77,0.0,0.0,2.26,2
Zadar,8.89,0.0,0.0,2.96,2
Kos,6.72,0.0,0.0,2.24,2
Dushanbe,7.86,0.0,0.0,2.62,2
Tashkent,5.6,0.0,8.31,4.64,1
Voronezh,7.85,0.0,0.0,2.62,2
Faroe Islands,6.67,0.0,9.55,5.41,1
Tunis,6.4,9.99,8.87,8.42,3
Barcelona,6.54,0.0,7.63,4.72,1
Pointe-a-Pitre,6.35,10.0,8.73,8.36,3
Oslo,6.78,0.0,0.0,2.26,2
Belize City,5.38,0.0,0.0,1.79,2
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,1
Ibiza,6.46,0.0,0.0,2.15,2
Florence,6.86,0.0,9.71,5.52,1
Douala,7.0,0.0,10.0,5.67,1
Dalian Zhoushuizi,6.75,9.94,9.66,8.78,3
Tokyo - Narita,6.55,9.51,8.71,8.26,3
Vilnius,6.94,0.0,0.0,2.31,2
Accra,6.83,10.0,0.0,5.61,0
Haiphong,8.33,0.0,9.9,6.08,1
Tel-Aviv,5.42,0.0,9.85,5.09,1
Ramon,10.0,0.0,0.0,3.33,2
Siem Reap,7.16,0.0,0.0,2.39,2
Daegu (downtown),0.0,9.73,0.0,3.24,0
A Coruna,6.92,0.0,9.35,5.42,1
Tbilisi,6.83,0.0,0.0,2.28,2
Hohhot Baita,6.71,10.0,9.99,8.9,3
Marseille,6.76,10.0,8.01,8.26,3
East Midlands,6.15,0.0,9.41,5.19,1
Quanzhou,6.25,0.0,0.0,2.08,2
London Southend Airport,6.74,0.0,0.0,2.25,2
Gdansk,6.81,0.0,9.82,5.54,1
Verona,6.83,0.0,10.0,5.61,1
Stuttgart,6.88,0.0,0.6,2.49,2
Jeju (downtown),0.0,0.12,0.0,0.04,2
Kazan,8.75,0.0,0.0,2.92,2
Glasgow Prestwick,6.36,0.0,6.82,4.39,1
Hebei,5.15,0.0,0.0,1.72,2
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58,0
Enfidha,6.85,9.99,8.55,8.46,3
Harare,10.0,0.0,0.0,3.33,2
Ras El Khaymah,6.8,0.0,2.11,2.97,2
Mandalay,5.42,0.0,0.0,1.81,2
Porto,6.89,0.0,9.75,5.55,1
Samana El Catey,6.85,10.0,8.27,8.37,3
Nis,6.53,0.0,0.0,2.18,2
Skiathos,6.67,0.0,10.0,5.56,1
Yangon,5.77,0.0,9.23,5.0,1
Frankfurt,6.82,0.0,3.33,3.38,2
Paris Charles De Gaulle,6.67,10.0,8.44,8.37,3
Duesseldorf,6.8,0.0,7.15,4.65,1
Amman,6.02,10.0,0.0,5.34,0
Olsztyn,6.84,0.0,0.0,2.28,2
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33,2
Iloilo,0.0,0.0,0.0,0.0,2
Novosibirsk,6.83,0.0,9.25,5.36,1
Oujda,6.55,10.0,5.62,7.39,3
Asturias,6.97,0.0,0.0,2.32,2
Radom,5.56,0.0,7.48,4.35,1
Kuwait,6.05,9.94,0.0,5.33,0
Dortmund,6.77,0.0,7.23,4.67,1
Edinburgh,6.47,0.0,9.52,5.33,1
Osaka - Kansai,6.58,5.08,9.03,6.9,3
Sendai,4.89,0.0,7.63,4.17,1
Puerto Vallarta,6.84,9.84,0.0,5.56,0
Yingsheng,10.0,0.0,0.0,3.33,2
Katima Mulilo,4.76,0.0,0.0,1.59,2
Punta del Este,3.33,0.0,0.0,1.11,2
Liberia,5.24,0.0,3.2,2.81,2
Aalborg,6.67,0.0,0.0,2.22,2
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92,2
Sevilla,6.44,0.0,0.0,2.15,2
Brno,4.44,0.0,9.84,4.76,1
Lodz,6.83,0.0,9.61,5.48,1
Faro Airport,6.74,0.0,0.0,2.25,2
Beijing Daxing,0.0,0.0,6.8,2.27,1
Hatay Airport,9.52,0.0,0.0,3.17,2
Tuzla,4.91,0.0,9.87,4.93,1
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5,2
Viracopos,6.85,10.0,7.38,8.08,3
Montego Bay,6.73,9.61,8.53,8.29,3
Hamburg,6.82,0.0,5.53,4.12,1
Munich,6.35,0.0,1.1,2.48,2
Auckland,4.44,0.0,7.88,4.11,1
Konya Airport,6.87,8.06,9.87,8.27,3
