Location,Cat_A,Cat_B,Cat_D,Avg_Score
Stavanger,6.78,0.0,9.28,5.35
Cali,6.8,8.86,5.97,7.21
Colombo,6.7,10.0,0.0,5.57
Rabat,6.53,10.0,4.54,7.02
Valencia,6.5,0.0,0.0,2.17
Abu Dhabi,5.75,9.62,8.47,7.95
Wellington,8.57,0.0,0.0,2.86
Sierra Leone,5.42,0.0,9.8,5.07
Recife,6.86,9.99,9.49,8.78
Monastir,6.39,9.99,0.0,5.46
London Gatwick,6.58,0.0,0.0,2.19
Perth,6.71,10.0,0.0,5.57
Kinshasa,6.92,0.0,0.0,2.31
Santorini,5.38,0.0,8.71,4.7
Danang,6.67,0.0,0.0,2.22
Rome Fiumicino,6.87,0.0,9.63,5.5
Glasgow,6.48,0.0,0.01,2.16
Bydgoszcz,5.17,0.0,9.18,4.78
Astana,6.75,0.0,7.95,4.9
Seoul,5.74,8.54,5.72,6.67
Min Vody,6.75,0.0,7.86,4.87
Stockholm Arlanda,6.92,0.0,9.86,5.59
Hiroshima,4.89,0.0,10.0,4.96
Yancheng Nanyang,6.73,0.0,0.0,2.24
Djibouti,5.0,0.0,0.0,1.67
Duesseldorf,6.8,0.0,7.15,4.65
Gerona,6.44,0.0,9.72,5.39
Medina,6.87,10.0,0.0,5.62
Edinburgh,6.47,0.0,9.52,5.33
Entebbe,4.8,0.0,9.61,4.8
Podgorica,5.56,0.0,9.87,5.14
Urumchi Diwobao,6.48,10.0,0.76,5.75
Voronezh,7.85,0.0,0.0,2.62
Piarco,6.67,0.0,2.88,3.18
Szczecin,6.89,0.0,0.0,2.3
Lulea,7.33,0.0,0.0,2.44
Vientiane,5.93,0.0,5.33,3.75
Yingsheng,10.0,0.0,0.0,3.33
Samsun Airport,6.84,9.04,8.33,8.07
Munster-Osnabruck,4.9,0.0,6.56,3.82
Daegu (downtown),0.0,9.73,0.0,3.24
Wuxi Shuofang,6.71,10.0,9.95,8.89
Mombasa,9.0,0.0,0.0,3.0
Humberside,6.67,0.0,0.0,2.22
Munich,6.35,0.0,1.1,2.48
Kayseri Airport,6.84,10.0,10.0,8.95
Basel,6.35,10.0,4.59,6.98
Kigali,4.89,0.0,7.83,4.24
Penang,6.67,10.0,8.58,8.42
Bournemouth,6.22,0.0,0.0,2.07
Vaxjo,4.67,0.0,0.0,1.56
Cancun,6.84,9.86,8.84,8.51
Budapest,8.33,0.0,0.0,2.78
Sarajevo,4.91,0.0,9.61,4.84
Beijing,5.91,6.27,0.0,4.06
Beijing Daxing,0.0,0.0,6.8,2.27
Dortmund,6.77,0.0,7.23,4.67
Hannover,6.79,0.0,0.0,2.26
Salvador,6.84,10.0,9.09,8.64
Ufa,7.62,0.0,0.0,2.54
Nairobi,6.67,0.0,0.0,2.22
Poznan-Lawica,4.81,0.0,0.0,1.6
Fort-de-France,6.15,10.0,6.84,7.66
Glasgow Prestwick,6.36,0.0,6.82,4.39
Haiphong,8.33,0.0,9.9,6.08
Rzeszow,5.0,0.0,10.0,5.0
Praia,6.85,10.0,9.57,8.81
Sydney,6.67,0.0,9.84,5.5
Bangalore,6.18,10.0,6.2,7.46
Sharm El Sheikh,6.78,0.0,9.19,5.32
Shandong,6.85,0.0,0.0,2.28
Lubumbashi,7.14,0.0,9.72,5.62
Nanchang Changbei,6.62,10.0,9.96,8.86
Yaounde,8.15,0.0,0.0,2.72
PRISTINA,6.93,0.0,8.04,4.99
Qingdao Liuting,6.05,9.88,9.87,8.6
Pula,8.89,0.0,0.0,2.96
Sihanoukville,6.72,10.0,8.35,8.36
Brussels,6.67,0.0,5.79,4.15
Paris Charles De Gaulle,6.67,10.0,8.44,8.37
Coolangatta,8.33,0.0,0.0,2.78
Mazatlan,6.85,9.32,10.0,8.72
Rio de Janeiro,6.82,10.0,8.71,8.51
Samana El Catey,6.85,10.0,8.27,8.37
Fukushima,6.67,0.0,3.17,3.28
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33
Nantes,6.6,10.0,9.37,8.66
Luanda,6.9,0.0,0.0,2.3
Johannesburg,6.82,10.0,8.94,8.59
Sanya Fenghuang,6.71,0.0,0.0,2.24
Cayenne (REC),0.0,0.0,10.0,3.33
Prague,6.07,0.0,0.0,2.02
Beauvais,6.53,0.0,0.0,2.18
San Jose,5.24,0.0,0.0,1.75
San Jose,5.24,0.0,9.42,4.89
Yerevan,6.67,0.0,3.45,3.37
La Romana,6.83,9.97,9.29,8.7
