Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Friedrichshafen,0.0,0.0,5.3,0.0,1.32,1
Salt Lake City,0.0,0.0,5.3,0.0,1.32,1
Kinshasa,6.92,0.0,1.2,0.0,2.03,1
Guilin Liangjiang,0.0,0.0,5.3,0.0,1.32,1
Helsingor,0.0,0.0,5.3,0.0,1.32,1
Aqaba (Saudi border),0.0,0.0,5.3,0.0,1.32,1
Maastricht - Aachen,0.0,0.0,5.3,0.0,1.32,1
Yanji Zhaoyangchuan,6.54,0.0,7.2,0.0,3.44,1
Baku,4.94,0.0,2.89,9.91,4.44,2
Corfu Port,0.0,0.0,5.3,0.0,1.32,1
Munster-Osnabruck,4.9,0.0,9.14,6.56,5.15,2
Darwin,0.0,0.0,5.3,0.0,1.32,1
Niigata,0.0,0.0,5.3,0.0,1.32,1
Cardiff,6.43,0.0,0.43,9.26,4.03,2
Taipei - Taoyuan,5.89,9.97,0.25,4.43,5.14,0
Turkestan,0.0,0.0,5.3,0.0,1.32,1
Russian/Latvia,0.0,0.0,5.3,0.0,1.32,1
Civitavecchia,0.0,0.0,5.3,0.0,1.32,1
Kyzyl Kaya,0.0,0.0,5.3,0.0,1.32,1
Baghdad,6.78,0.0,3.43,0.0,2.55,1
Vienna,6.77,0.0,0.36,8.52,3.91,2
Piombino,0.0,0.0,5.3,0.0,1.32,1
Kalamata,0.0,0.0,5.3,0.0,1.32,1
Houston,0.0,0.0,5.3,0.0,1.32,1
Kyiv - Zhulyany,7.72,0.0,5.3,0.0,3.26,1
Towaraghondi,0.0,0.0,5.3,0.0,1.32,1
Bergamo,6.86,0.0,0.46,9.3,4.16,2
Nizhniy Novgorod,0.0,0.0,5.3,0.0,1.32,1
Tashkent,5.6,0.0,0.65,8.31,3.64,2
Tirstrup,0.0,0.0,4.59,0.0,1.15,1
Sharm El Sheikh,6.78,0.0,0.08,9.19,4.01,2
Akjol,0.0,0.0,5.3,0.0,1.32,1
