Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Accra,6.83,10.0,0.22,0.0,4.26,0
La Paz Manuel Marquez de Leon,6.84,0.0,2.47,4.86,3.54,2
Aarhus,6.67,0.0,0.0,0.0,1.67,1
Ronne,0.0,0.0,5.3,0.0,1.32,1
Klagenfurt,0.0,0.0,5.3,0.0,1.32,1
Rabat,6.53,10.0,0.04,4.54,5.28,0
Taichung,6.03,9.96,0.26,5.82,5.52,3
Doncaster,7.32,0.0,5.3,0.0,3.16,1
Ufa,7.62,0.0,5.3,0.0,3.23,1
Santiago Cibao,6.79,2.39,0.64,1.31,2.78,1
Bamako,6.89,0.0,0.31,10.0,4.3,2
Kharkiv,7.78,0.0,5.3,0.0,3.27,1
Konya Airport,6.87,8.06,0.08,9.87,6.22,3
Najaf,0.0,0.0,5.3,0.0,1.32,1
Moi,8.89,0.0,5.3,0.0,3.55,1
Esbjerg,0.0,0.0,5.3,0.0,1.32,1
Aland,0.0,0.0,5.3,0.0,1.32,1
Berlin Schoenefeld,0.0,0.0,5.3,0.0,1.32,1
Dublin,5.83,0.0,2.14,3.3,2.82,2
Piarco,6.67,0.0,0.12,2.88,2.42,2
Ibaraki,4.44,0.0,9.85,6.8,5.27,2
Irkeshtam,0.0,0.0,5.3,0.0,1.32,1
Milan - Malpensa,6.82,0.0,0.24,9.02,4.02,2
Antananarivo,0.0,0.0,5.3,0.0,1.32,1
Dubrovnik,7.78,0.0,5.67,9.32,5.69,2
Qingdao Liuting,6.05,9.88,0.06,9.87,6.46,3
Kos,6.72,0.0,3.48,0.0,2.55,1
Ibiza,6.46,0.0,0.17,0.0,1.66,1
Mykonos,5.53,0.0,0.25,9.37,3.79,2
Cadiz,0.0,0.0,5.3,0.0,1.32,1
Berlin,0.0,0.0,5.3,0.0,1.32,1
Jaber (Syria border),0.0,0.0,5.3,0.0,1.32,1
Russia/Norway,0.0,0.0,5.3,0.0,1.32,1
Sanya Fenghuang,6.71,0.0,0.05,0.0,1.69,1
Algeciras,0.0,0.0,5.3,0.0,1.32,1
Fujairah,0.0,0.0,5.3,0.0,1.32,1
Kristiansund,0.0,0.0,5.3,0.0,1.32,1
Khabarovsk,7.67,0.0,5.3,0.0,3.24,1
Split,7.78,0.0,5.38,5.93,4.77,2
Naples,6.04,0.0,0.32,7.68,3.51,2
Krakow Balice,6.79,0.0,0.27,9.81,4.22,2
Moscow - Sheremetyevo,6.8,0.0,0.14,0.0,1.74,1
Santo Domingo Las Americas,6.8,9.64,0.27,4.3,5.25,0
Wellington,8.57,0.0,6.68,0.0,3.81,1
Indira Gandhi,5.25,0.0,5.89,0.0,2.78,1
Nairobi,6.67,0.0,5.3,0.0,2.99,1
Exeter,6.72,0.0,0.46,0.0,1.8,1
Dushanbe,7.86,0.0,5.3,0.0,3.29,1
Sheikh Hussein Bridge (Israel border),0.0,0.0,5.3,0.0,1.32,1
Glasgow Prestwick,6.36,0.0,0.2,6.82,3.34,2
Sarajevo,4.91,0.0,2.41,9.61,4.23,2
Dakhla,0.0,0.0,5.3,0.0,1.32,1
Huangshan Tunxi,0.0,0.0,5.3,0.0,1.32,1
Yonago,0.0,0.0,5.3,0.0,1.32,1
Male,5.33,0.0,2.05,8.94,4.08,2
Granada,5.76,0.0,2.53,9.31,4.4,2
Naantali,0.0,0.0,5.3,0.0,1.32,1
Suez,0.0,0.0,5.3,0.0,1.32,1
Bournemouth,6.22,0.0,0.6,0.0,1.7,1
Kuching,0.0,0.0,5.3,0.0,1.32,1
Molde,0.0,0.0,5.3,0.0,1.32,1
Cayenne,6.45,10.0,9.75,0.0,6.55,0
Hirtshals,0.0,0.0,5.3,0.0,1.32,1
Karaganda,0.0,0.0,5.3,0.0,1.32,1
Paramaribo,6.79,0.0,1.64,4.13,3.14,2
Rome Fiumicino,6.87,0.0,0.38,9.63,4.22,2
Huatulco,0.0,0.0,0.0,0.0,0.0,1
Fuerteventura,6.76,0.0,0.13,9.49,4.1,2
Kayragach,0.0,0.0,5.3,0.0,1.32,1
Espargos,6.5,10.0,0.11,9.41,6.5,3
Cairns,7.08,0.0,3.24,6.9,4.3,2
Tyumen,0.0,0.0,5.3,0.0,1.32,1
Odessa Sea Port,0.0,0.0,5.3,0.0,1.32,1
Skopje,6.8,0.0,0.11,8.45,3.84,2
Nanning Wuxu,6.7,9.38,0.04,9.96,6.52,3
London Heathrow,6.55,0.0,0.33,9.17,4.01,2
Orenburg,0.0,0.0,5.3,0.0,1.32,1
Phoenix,0.0,0.0,5.3,0.0,1.32,1
Russia/Ukraine,0.0,0.0,5.3,0.0,1.32,1
Aqaba,6.86,10.0,0.0,0.0,4.22,0
Oita,7.22,0.0,4.34,0.0,2.89,1
W. P. Labuan,0.0,0.0,5.3,0.0,1.32,1
Guayaquil,5.23,10.0,0.81,0.0,4.01,0
Shir Khan,0.0,0.0,5.3,0.0,1.32,1
Greece/FYROM,0.0,0.0,5.3,0.0,1.32,1
Bratislava,0.0,0.0,5.3,0.0,1.32,1
Seeb,0.0,0.0,5.3,0.0,1.32,1
San Jose,5.24,0.0,4.69,0.0,2.48,1
San Jose,5.24,0.0,4.69,9.42,4.84,2
Winnipeg,0.0,0.0,5.3,0.0,1.32,1
Limassol,0.0,0.0,5.3,0.0,1.32,1
Yinchuan Hedong,6.52,7.01,0.06,9.48,5.77,3
Frankfurt,6.82,0.0,0.67,3.33,2.7,2
Everrich Downtown Kinmen,5.89,9.96,0.0,4.05,4.98,0
Okayama,6.44,9.93,0.49,3.69,5.14,0
Ukraine/Hungary,0.0,0.0,5.3,0.0,1.32,1
Lubumbashi,7.14,0.0,9.65,9.72,6.63,2
Anna,4.87,0.0,3.93,0.0,2.2,1
Merida,0.0,0.0,5.3,0.0,1.32,1
Rzeszow,5.0,0.0,2.95,10.0,4.49,2
Amritsar,4.87,0.0,3.93,6.89,3.92,2
Bangkok Airport,0.0,0.0,5.3,0.0,1.32,1
Samos,6.76,0.0,0.25,9.82,4.21,2
Ukraine/Moldova,0.0,0.0,5.3,0.0,1.32,1
Naha,4.94,0.0,3.24,6.2,3.6,2
Karipur,4.87,0.0,3.93,3.69,3.12,1
Algiers,0.0,0.0,5.3,0.0,1.32,1
Gerona,6.44,0.0,0.14,9.72,4.08,2
Tokyo - Haneda,5.05,0.0,2.66,8.23,3.99,2
Riga,6.9,0.0,1.11,4.95,3.24,2
Yaounde,8.15,0.0,5.3,0.0,3.36,1
Belarus/Latvia,0.0,0.0,5.3,0.0,1.32,1
Melbourne,6.76,0.0,0.3,9.04,4.02,2
Sandefjord-Torp,6.05,0.0,0.92,5.18,3.04,2
Toulouse,6.86,10.0,0.18,0.0,4.26,0
Diyarbakir Airport,6.84,8.53,0.04,0.0,3.85,0
Batumi,6.83,0.0,0.0,9.5,4.08,2
Belgrade,6.83,0.0,0.27,9.37,4.12,2
Trichy,4.87,0.0,3.93,6.82,3.9,2
Liberia,5.24,0.0,4.31,3.2,3.19,1
Kherson,0.0,0.0,5.3,0.0,1.32,1
Xuzhou Guanyin,6.75,3.08,0.0,0.0,2.46,0
Treviso,5.69,0.0,0.39,9.87,3.99,2
Rhodes,5.6,10.0,0.27,8.2,6.02,3
Shenzhen Bao'an,7.19,0.0,0.85,0.0,2.01,1
Astara,0.0,0.0,5.3,0.0,1.32,1
Kunming Wujiaba,6.16,9.99,0.06,7.04,5.81,3
Liverpool,6.47,0.0,0.3,0.0,1.69,1
Sevilla,6.44,0.0,0.17,0.0,1.65,1
Al Hoceima,6.67,0.0,5.3,9.52,5.37,2
Hong Kong,6.21,9.99,0.2,0.0,4.1,0
Antalya Airport,6.78,9.68,0.05,0.0,4.13,0
Beirut - Rafik Hariri,6.77,0.0,1.93,7.4,4.03,2
Trondheim,6.79,0.0,0.32,2.82,2.48,2
Punta del Este,3.33,0.0,5.3,0.0,2.16,1
Danang Downtown Shop,0.0,0.0,0.0,0.0,0.0,1
Santiago De Compostela,6.79,0.0,0.24,9.19,4.06,2
Oulu,0.0,0.0,5.3,0.0,1.32,1
Berlin Tegel,0.0,0.0,5.3,0.0,1.32,1
Stockholm Arlanda,6.92,0.0,3.53,9.86,5.08,2
Maya,0.0,0.0,5.3,0.0,1.32,1
Spinboltak,0.0,0.0,5.3,0.0,1.32,1
Brussels,6.67,0.0,0.4,5.79,3.22,2
Jeddah,6.45,10.0,0.15,0.0,4.15,0
Zagreb,6.11,0.0,2.81,7.85,4.19,2
Shenyang Taoxian,6.48,9.89,0.06,9.94,6.59,3
Dnipropetrovsk,8.0,0.0,5.3,0.0,3.32,1
Kapikule Turkey Bulgaria Border,0.0,0.0,5.3,0.0,1.32,1
Oranjestad,6.8,9.15,0.14,9.25,6.34,3
Recife,6.86,9.99,0.29,9.49,6.66,3
Aktobe,0.0,0.0,5.3,0.0,1.32,1
Russe/Black Sea,0.0,0.0,5.3,0.0,1.32,1
St Johns,0.0,0.0,5.3,0.0,1.32,1
Amsterdam - Schiphol,6.79,0.0,0.5,0.0,1.82,1
Nis,6.53,0.0,0.0,0.0,1.63,1
Haugesund,0.0,0.0,5.3,0.0,1.32,1
Danang,6.67,0.0,1.3,0.0,1.99,1
Norwich,6.82,0.0,0.55,9.71,4.27,2
Skiathos,6.67,0.0,0.0,10.0,4.17,2
Budapest,8.33,0.0,5.3,0.0,3.41,1
Duesseldorf,6.8,0.0,0.67,7.15,3.66,2
Dalian Zhoushuizi,6.75,9.94,0.06,9.66,6.6,3
Izmir Port,0.0,0.0,5.3,0.0,1.32,1
Alexandoupolis,5.71,0.0,0.0,0.0,1.43,1
Geneva,6.41,10.0,0.2,0.0,4.15,0
Perth,6.71,10.0,0.36,0.0,4.27,0
Rhodes Port,0.0,0.0,5.3,0.0,1.32,1
Saarbruecken,0.0,0.0,5.3,0.0,1.32,1
Sierra Leone,5.42,0.0,4.69,9.8,4.98,2
Dieppe,0.0,0.0,5.3,0.0,1.32,1
Chengdu Shuangliu,0.0,0.0,5.3,0.0,1.32,1
Banjul,6.9,0.0,0.27,0.0,1.79,1
Oujda,6.55,10.0,0.04,5.62,5.55,3
Izmir Airport,6.82,9.62,0.06,9.85,6.59,3
Hahn,0.0,0.0,5.3,0.0,1.32,1
London Luton,6.46,0.0,0.48,8.77,3.93,2
Rjieka Croatia,0.0,0.0,5.3,0.0,1.32,1
Vladivostok,9.67,0.0,5.3,0.0,3.74,1
Belem,0.0,0.0,5.3,0.0,1.32,1
Beijing Capital,0.0,0.0,5.3,0.0,1.32,1
Yerevan,6.67,0.0,0.4,3.45,2.63,2
Novosibirsk,6.83,0.0,0.1,9.25,4.04,2
Ukraine/Belarus,0.0,0.0,5.3,0.0,1.32,1
Cheongju,6.08,9.9,0.28,4.47,5.18,0
Visby,0.0,0.0,5.3,0.0,1.32,1
Gibraltar,5.33,0.0,2.62,10.0,4.49,2
Akita,0.0,0.0,5.3,0.0,1.32,1
Mendoza,6.85,0.0,5.67,0.0,3.13,1
Nynashamn,0.0,0.0,5.3,0.0,1.32,1
Surgut,0.0,0.0,5.3,0.0,1.32,1
Zakynthos,5.44,0.0,0.22,4.36,2.5,2
Mombasa,9.0,0.0,8.64,0.0,4.41,1
Ouarzazate,6.83,10.0,0.0,6.95,5.94,3
La Romana,6.83,9.97,0.22,9.29,6.58,3
Murcia,6.75,0.0,0.0,3.68,2.61,2
Istanbul Europe Airlines,0.0,0.0,5.3,0.0,1.32,1
Salalah,6.73,0.0,0.71,0.0,1.86,1
Ukraine/Russia,0.0,0.0,5.3,0.0,1.32,1
Saint Lucia,0.0,0.0,5.3,0.0,1.32,1
Yuzhno-Sakhalinsk,0.0,0.0,5.3,0.0,1.32,1
Basseterre (Saint Kitts),6.79,9.94,0.19,0.0,4.23,0
Oran,0.0,0.0,5.3,0.0,1.32,1
London Southend Airport,6.74,0.0,0.65,0.0,1.85,1
Thessaloniki,5.98,0.0,0.44,6.5,3.23,2
Jebel Ali,0.0,0.0,5.3,0.0,1.32,1
Fredrikshavn,0.0,0.0,5.3,0.0,1.32,1
Tallinn (Estonia/Sweden/Finland - ferries,0.0,0.0,5.3,0.0,1.32,1
Tirana,6.19,0.0,0.07,9.65,3.98,2
Taranto,0.0,0.0,5.3,0.0,1.32,1
Varberg,0.0,0.0,5.3,0.0,1.32,1
Varna,6.76,0.0,0.46,1.61,2.21,1
Constantine,0.0,0.0,5.3,0.0,1.32,1
Jeju,6.06,9.74,0.28,3.32,4.85,0
Malaga,6.48,0.0,0.13,0.0,1.65,1
Sharjah - Khaled Port,0.0,0.0,5.3,0.0,1.32,1
Montevideo,6.67,0.0,0.45,2.86,2.5,2
Kaliningrad (Lithuania Border),0.0,0.0,5.3,0.0,1.32,1
Kutahya Airport,6.95,10.0,0.0,1.39,4.58,0
Hamburg,6.82,0.0,0.66,5.53,3.25,2
Erfurt,10.0,0.0,0.0,0.0,2.5,1
Beijing Daxing,0.0,0.0,0.08,6.8,1.72,2
Puerto Vallarta,6.84,9.84,0.21,0.0,4.22,0
Verona,6.83,0.0,1.01,10.0,4.46,2
Humberside,6.67,0.0,0.0,0.0,1.67,1
Vilnius,6.94,0.0,0.69,0.0,1.91,1
Chambery,6.86,0.0,0.0,0.0,1.72,1
Ciampino Airport,5.83,0.0,0.42,0.0,1.56,1
Kagoshima,5.71,0.0,2.4,8.08,4.05,2
Belarus/Poland,0.0,0.0,5.3,0.0,1.32,1
Memmingen,10.0,0.0,5.3,0.0,3.82,1
Porto,6.89,0.0,0.22,9.75,4.22,2
Shannon,5.0,0.0,4.46,6.95,4.1,2
Erbil International Airport,5.0,0.0,3.39,5.93,3.58,2
Bandar Seri Begawan,0.0,0.0,5.3,0.0,1.32,1
Warsaw,6.83,0.0,5.94,0.0,3.19,1
Kazan,8.75,0.0,0.0,0.0,2.19,1
Naberezhnye Chelny,0.0,0.0,5.3,0.0,1.32,1
Jerez De La Frontera,6.91,0.0,0.36,7.78,3.76,2
Nykoping,6.67,0.0,10.0,7.18,5.96,2
Vientiane,5.93,0.0,0.87,5.33,3.03,2
Omari (Saudi border),0.0,0.0,5.3,0.0,1.32,1
Limassol Port,0.0,0.0,5.3,0.0,1.32,1
Yangyang,6.67,10.0,0.0,0.0,4.17,0
Hairatan,0.0,0.0,5.3,0.0,1.32,1
Szczecin,6.89,0.0,0.53,0.0,1.86,1
Mdawara (Saudi border),0.0,0.0,5.3,0.0,1.32,1
Guadalajara,6.86,9.9,0.25,0.0,4.25,0
Tromso,0.0,0.0,5.3,0.0,1.32,1
Russian/Finland,0.0,0.0,5.3,0.0,1.32,1
Paris Charles De Gaulle,6.67,10.0,0.42,8.44,6.38,3
Makhachkala,6.94,0.0,5.45,6.75,4.78,2
Coimbatore,0.0,0.0,5.3,0.0,1.32,1
Turkgozu Turkey Georgia Border,0.0,0.0,5.3,0.0,1.32,1
Madrid,0.0,0.0,5.3,0.0,1.32,1
Min Vody,6.75,0.0,0.29,7.86,3.72,2
Savannaket,0.0,0.0,5.3,0.0,1.32,1
Amman,6.02,10.0,0.09,0.0,4.03,0
St. Petersburg Pulkovo,6.75,0.0,0.42,6.04,3.3,2
Salerno,0.0,0.0,5.3,0.0,1.32,1
Pazarkule Turkey Greece Border,0.0,0.0,5.3,0.0,1.32,1
Santa Cruz Viru Viru,10.0,0.0,5.3,10.0,6.32,2
Kilimanjaro,6.75,0.0,0.34,10.0,4.27,2
Trapani,0.0,0.0,5.3,0.0,1.32,1
RIYADH,6.81,10.0,0.25,2.77,4.96,0
Ganja,0.0,0.0,5.3,0.0,1.32,1
Curacao,6.75,0.0,1.87,0.0,2.16,1
Odessa,7.62,0.0,5.3,10.0,5.73,2
Melilla,0.0,0.0,5.3,0.0,1.32,1
Chelyabinsk,0.0,0.0,5.3,0.0,1.32,1
Banja Luka,6.67,0.0,5.3,10.0,5.49,2
Aktio,6.05,0.0,0.0,10.0,4.01,2
Nalchik,0.0,0.0,5.3,0.0,1.32,1
Lavorishki,0.0,0.0,5.3,0.0,1.32,1
Islamqila,0.0,0.0,5.3,0.0,1.32,1
Mykolayiv,0.0,0.0,5.3,0.0,1.32,1
Urumchi Diwobao,6.48,10.0,0.06,0.76,4.32,0
Jeju (downtown),0.0,0.12,0.0,0.0,0.03,1
Kano,0.0,0.0,5.3,0.0,1.32,1
Haikou Meilan,0.0,0.0,5.3,0.0,1.32,1
Clarkfield,0.0,0.0,5.3,0.0,1.32,1
Santorini Port,0.0,0.0,5.3,0.0,1.32,1
Minsk,6.79,0.0,0.1,10.0,4.22,2
Cotonou,0.0,0.0,5.3,0.0,1.32,1
Nouakchott,6.9,0.0,0.39,10.0,4.32,2
Cape Town,6.9,10.0,0.65,8.87,6.6,3
Montpellier,6.88,0.0,2.14,9.71,4.68,2
Ancona,0.0,0.0,5.3,0.0,1.32,1
Aalborg,6.67,0.0,8.01,0.0,3.67,1
Almeria,6.36,0.0,0.45,9.17,4.0,2
Bordeaux,6.5,10.0,0.43,1.54,4.62,0
Dresden,7.14,0.0,2.17,0.0,2.33,1
Regina,0.0,0.0,5.3,0.0,1.32,1
Ciudad del Este Guarani,0.0,0.0,5.3,0.0,1.32,1
Jinan Xiaoqiang,6.67,5.9,0.07,10.0,5.66,3
Juba,6.9,0.0,8.87,0.0,3.94,1
Voronezh,7.85,0.0,5.3,0.0,3.29,1
Brasilia,6.81,10.0,0.29,8.36,6.36,3
Florence,6.86,0.0,0.43,9.71,4.25,2
Cordoba,6.89,0.0,8.17,0.0,3.76,1
Billund,6.67,0.0,2.85,9.35,4.72,2
Bodrum Yalikavak Port,0.0,0.0,5.3,0.0,1.32,1
Bogota,6.84,9.9,0.4,6.66,5.95,3
Nimroz,0.0,0.0,5.3,0.0,1.32,1
Moresby Port,0.0,0.0,5.3,0.0,1.32,1
Glasgow,6.48,0.0,0.15,0.01,1.66,1
Osaka - Kansai,6.58,5.08,0.04,9.03,5.18,3
Cologne,6.91,0.0,1.49,6.04,3.61,2
Johannesburg,6.82,10.0,0.88,8.94,6.66,3
Bodo,0.0,0.0,5.3,0.0,1.32,1
London City,6.8,0.0,0.68,8.87,4.09,2
Tuzla,4.91,0.0,0.0,9.87,3.7,2
Yangon,5.77,0.0,0.74,9.23,3.94,2
Van Setur Kapikoy Turkey Iran Border,0.0,0.0,5.3,0.0,1.32,1
Innsbruck,0.0,0.0,5.3,0.0,1.32,1
Mitilini,6.77,0.0,0.36,0.0,1.78,1
Aleppo,0.0,0.0,5.3,0.0,1.32,1
Khorgos,0.0,0.0,5.3,0.0,1.32,1
Hefei Xinqiao,6.63,6.54,0.07,9.85,5.77,3
Embajadas,0.0,0.0,5.3,0.0,1.32,1
Pula,8.89,0.0,5.28,0.0,3.54,1
Kualanamu,0.0,0.0,5.3,0.0,1.32,1
Kazakh./Uzbek.,0.0,0.0,5.3,0.0,1.32,1
Larvik,0.0,0.0,5.3,0.0,1.32,1
Dortmund,6.77,0.0,1.58,7.23,3.9,2
Belfast,0.0,0.0,5.3,0.0,1.32,1
Langesund,0.0,0.0,5.3,0.0,1.32,1
Jonkoping,0.0,0.0,5.3,0.0,1.32,1
Paris Orly,6.76,10.0,0.38,0.0,4.28,0
Shandong,6.85,0.0,0.0,0.0,1.71,1
Hamzabeyli Turkey Bulgaria Border,0.0,0.0,5.3,0.0,1.32,1
Katakolo Port,0.0,0.0,5.3,0.0,1.32,1
King Hussein Bridge (Palestine border),0.0,0.0,5.3,0.0,1.32,1
Gaborone,7.78,0.0,0.0,0.21,2.0,1
Dostuk,0.0,0.0,5.3,0.0,1.32,1
Yemen,0.0,0.0,5.3,0.0,1.32,1
Ottawa,0.0,0.0,5.3,0.0,1.32,1
Alesund,8.97,0.0,5.3,0.0,3.57,1
Armenia - Georgia,0.0,0.0,5.3,0.0,1.32,1
Istanbul Europe Airport,0.0,0.0,5.3,0.0,1.32,1
Windhoek,6.67,0.0,0.86,0.0,1.88,1
Greece/Turkey,0.0,0.0,5.3,0.0,1.32,1
Torino,5.78,0.0,1.89,1.33,2.25,1
Montego Bay,6.73,9.61,0.2,8.53,6.27,3
Alexandria,6.76,0.0,0.0,9.14,3.98,2
Ankara Airport,6.84,9.52,0.07,9.41,6.46,3
Chengdu Tianfu,6.52,7.52,0.06,8.03,5.53,3
Christchurch,4.44,0.0,2.6,0.0,1.76,1
Araxos Peloponnese,0.0,0.0,5.3,0.0,1.32,1
Catania,0.0,0.0,5.3,0.0,1.32,1
St. Petersburg Sea Port,0.0,0.0,5.3,0.0,1.32,1
Kelowna,0.0,0.0,5.3,0.0,1.32,1
Grzechotki,0.0,0.0,5.3,0.0,1.32,1
Zhukovsky,0.0,0.0,0.0,0.0,0.0,1
Skelleftea,0.0,0.0,5.3,0.0,1.32,1
Kaunas,6.94,0.0,0.64,9.5,4.27,2
Saskatoon,0.0,0.0,5.3,0.0,1.32,1
Athens,6.26,10.0,0.24,8.18,6.17,3
Quanzhou Jinjiang,0.0,0.0,4.29,7.98,3.07,2
Mitilini Port,0.0,0.0,5.3,0.0,1.32,1
Livigno,0.0,0.0,5.3,0.0,1.32,1
Aktau,10.0,0.0,0.0,0.0,2.5,1
Lahore,0.0,0.0,5.3,0.0,1.32,1
St. Maarten Princess Juliana,5.76,0.0,1.34,0.0,1.78,1
Tunis,6.4,9.99,0.05,8.87,6.33,3
Tulear,6.97,0.0,0.0,0.0,1.74,1
Dover,0.0,0.0,5.3,0.0,1.32,1
Buenos Aires - Ezeiza,6.84,0.0,0.4,0.76,2.0,1
Daegu,6.13,8.34,0.25,0.0,3.68,0
Zaporizhya,8.04,0.0,5.3,0.0,3.34,1
Port Louis,5.24,0.0,2.93,9.84,4.5,2
Dar Es Salaam,6.5,10.0,0.24,0.0,4.18,0
Antalya Port,0.0,0.0,5.3,0.0,1.32,1
Ekaterinburg,6.79,0.0,0.2,8.39,3.84,2
Rosario,6.9,0.0,6.22,2.86,4.0,1
Queenstown,4.44,0.0,2.5,0.0,1.74,1
Ostrava,6.83,0.0,0.0,8.43,3.82,2
Beauvais,6.53,0.0,0.45,0.0,1.74,1
Kristiansand,7.6,0.0,5.3,0.0,3.22,1
Umea,7.08,0.0,0.0,9.71,4.2,2
Colombo,6.7,10.0,0.0,0.0,4.17,0
Sundsvall,0.0,0.0,5.3,0.0,1.32,1
Gdansk,6.81,0.0,0.4,9.82,4.26,2
Annaba,0.0,0.0,5.3,0.0,1.32,1
Calgary,0.0,0.0,5.3,0.0,1.32,1
Panemune,0.0,0.0,5.3,0.0,1.32,1
Fukuoka,6.51,9.46,0.1,0.0,4.02,0
Svalbard,0.0,0.0,5.3,0.0,1.32,1
Palma De Mallorca,6.48,0.0,0.13,7.17,3.44,2
Salvador,6.84,10.0,0.67,9.09,6.65,3
Guernsey,5.56,0.0,2.5,0.62,2.17,1
Sydney,6.67,0.0,0.96,9.84,4.37,2
Hamriyah Sharjah Port,0.0,0.0,5.3,0.0,1.32,1
Marsa Aalam,6.73,0.0,0.0,9.92,4.16,2
Southampton,6.71,0.0,0.2,0.0,1.73,1
Ixtapa Zihuatanejo,6.86,9.85,0.34,8.28,6.33,3
Yiwu,0.0,0.0,5.3,0.0,1.32,1
East Midlands,6.15,0.0,0.24,9.41,3.95,2
SDK (Azerbaijan-Russia Border),0.0,0.0,5.3,0.0,1.32,1
Dubai,6.57,8.82,0.04,9.07,6.12,3
Lisbon,6.86,0.0,0.17,8.54,3.89,2
Fes,6.51,10.0,0.04,0.0,4.14,0
Lilongwe,0.0,0.0,5.3,0.0,1.32,1
Cam Ranh,6.22,0.0,1.36,6.37,3.49,2
Alicante,6.32,0.0,0.14,8.22,3.67,2
Podgorica,5.56,0.0,4.19,9.87,4.9,2
Edmonton,0.0,0.0,5.3,0.0,1.32,1
Mongolia/China,0.0,0.0,5.3,0.0,1.32,1
Antigua,6.79,0.0,0.73,0.0,1.88,1
La Palma,5.96,0.0,0.16,9.07,3.8,2
Lugano,0.0,0.0,5.3,0.0,1.32,1
Karpathos,5.76,0.0,0.0,0.0,1.44,1
Ovda Eilat,0.0,0.0,5.3,0.0,1.32,1
Kuala Lumpur,6.52,9.17,0.24,0.0,3.98,0
Kayseri Airport,6.84,10.0,0.1,10.0,6.74,3
Moroni,0.0,0.0,5.3,0.0,1.32,1
La Paz El Alto,10.0,0.0,5.3,0.0,3.82,1
PRISTINA,6.93,0.0,0.1,8.04,3.77,2
Pisa,6.85,0.0,1.23,9.4,4.37,2
Bangalore,6.18,10.0,0.17,6.2,5.64,3
Yantai Penglai,6.03,9.97,0.06,0.06,4.03,0
Fiumicino,0.0,0.0,5.3,0.0,1.32,1
Teesside,0.0,0.0,5.3,0.0,1.32,1
Ravenna,0.0,0.0,5.3,0.0,1.32,1
Cochin,6.67,0.0,4.17,8.29,4.78,2
Phu Quok,6.87,0.0,1.03,9.04,4.23,2
Belo Horizonte,6.85,10.0,0.29,0.0,4.28,0
Jaipur,4.87,0.0,3.93,0.0,2.2,1
Mandalay,5.42,0.0,5.3,0.0,2.68,1
La Spezia,0.0,0.0,5.3,0.0,1.32,1
Istanbul Airport,6.79,0.0,0.06,0.0,1.71,1
Rostock,0.0,0.0,5.3,0.0,1.32,1
Wuhan Tianhe,6.07,7.37,0.07,9.98,5.87,3
Incheon,6.08,9.64,0.21,4.3,5.06,0
Moscow - Domodedovo,6.76,0.0,0.11,9.0,3.97,2
Cukurova Airport,6.86,9.08,5.3,0.0,5.31,0
Queretaro,7.14,0.0,4.71,7.57,4.86,2
Sandefjord,0.0,0.0,5.3,0.0,1.32,1
Mazatlan,6.85,9.32,0.4,10.0,6.64,3
Moscow - Vnukovo,6.74,0.0,0.27,8.86,3.97,2
Nantes,6.6,10.0,0.34,9.37,6.58,3
Luxembourg,0.0,0.0,5.3,0.0,1.32,1
Pune,0.0,0.0,5.3,0.0,1.32,1
