Location,Cat_C
Puerto Plata,5.05
Split,6.01
Samsun Airport,4.74
Manila - Ninoy Aquino,9.5
Yantai Penglai,4.83
Almeria,8.0
Medellin Jose Maria Cordova,7.12
Bologna,8.23
Praia,9.43
Piarco,2.62
La Palma,8.85
Gabon,7.91
Dar Es Salaam,5.16
Southampton,4.36
Pisa,8.03
Mykonos,3.91
Windhoek,9.38
Cardiff,7.71
Charleroi,9.62
Penang,5.74
Aqaba,0.06
Wenzhou Longwan,0.06
Adana Airport,4.22
Fuzhou Changle,4.54
Luxor,5.77
Belize City,2.74
Beauvais,8.72
Milan - Linate,5.95
Skiathos,0.44
Cologne,7.58
Nanning Wuxu,8.74
Sanya Fenghuang,8.41
Ohrid,0.0
Managua,5.43
Banjul,6.42
Melbourne,8.3
Astana,3.65
Aktio,0.26
Fortaleza,9.26
Bandaranaike,2.66
London City,5.31
Kingston,4.51
Moscow - Domodedovo,4.5
Siem Reap,5.29
Palermo,6.35
Jerez De La Frontera,7.95
Faroe Islands,8.55
Ouarzazate,0.39
Astrakhan,2.58
Hefei Xinqiao,9.18
Lubumbashi,9.19
Tulear,0.88
Helsinki-Vantaa,9.37
Wuxi Shuofang,1.18
Wellington,7.2
Zagreb,6.45
Diyarbakir Airport,5.39
Jinan Xiaoqiang,2.33
Salzburg,7.0
Eindhoven,6.29
Florence,6.27
Dubrovnik,5.92
Zhengzhou Xinzheng,3.57
Santander,6.68
St. Petersburg Pulkovo,3.31
Krasnoyarsk,3.08
Conakry,8.32
Bournemouth,7.07
Lagos,5.46
Viracopos,9.4
Kota Kinabalu,3.88
Nouakchott,5.87
Monterrey,2.26
La Romana,7.41
Dresden,5.82
Bremen,7.08
Torino,6.85
Niamey,3.3
Bari,7.13
Perth,6.62
Cozumel,1.68
Djibouti,0.0
Port-au-Prince (Haiti),4.35
Sochi,2.31
Durban,4.8
Yangon,6.47
Sendai,6.56
Madeira,6.33
Asturias,8.07
Volgograd,2.67
Mendoza,4.54
Lille,8.88
Salvador,7.04
Takamatsu,6.6
Cordoba,8.45
Exeter,7.2
Kilimanjaro,7.57
Douala,8.78
Weihai Dashuibo,5.1
Brisbane,7.9
Lusaka,0.6
Antigua,8.33
Munster-Osnabruck,6.67
Rotterdam,9.71
Paderborn,9.52
Phu Quok,6.94
Genoa,6.87
Kigali,2.44
Dortmund,8.03
Mombasa,9.46
Malmo,6.37
Mazatlan,2.9
Dalian Zhoushuizi,0.35
Mudanjiang Hailang,7.72
La Paz Manuel Marquez de Leon,2.25
Konya Airport,6.94
Hiroshima,6.73
Okayama,4.38
Nanchang Changbei,8.75
Belo Horizonte,9.1
Pula,4.33
Liberia,7.59
Abuja,3.76
Yangyang,0.15
A Coruna,10.0
Norwich,4.98
Aalborg,6.74
Auckland,0.0
Treviso,3.05
Ramon,0.0
Ekaterinburg,2.72
Kutahya Airport,0.74
Samana El Catey,0.0
Minsk,1.56
Humberside,0.44
Min Vody,3.01
St. George's Point Saline,10.0
Katima Mulilo,0.0
Graz,8.28
Kavala,0.0
Natal,10.0
Florianopolis,1.67
Grenoble,0.19
Ostrava,0.19
Sydney,3.29
Tarbes - Lourdes,0.14
Brasilia,9.32
Zadar,8.77
Porto Alegre,7.94
Harbin Taiping,6.1
Recife,9.62
Mitilini,4.99
Amritsar,1.38
Anna,0.88
Goa,2.09
Jaipur,1.55
Karipur,1.64
Lucknow,1.46
Mangalore,1.24
Netaji Subhash Chandra Bose Int. Airport,2.01
Sardar Vallabh Bhai Patel,0.96
Trichy,1.93
Granada,7.94
Yinchuan Hedong,0.08
Gaborone,0.68
Haiphong,4.63
Sierra Leone,4.73
Chambery,0.32
London Southend Airport,6.08
Bujumbura,4.24
Ixtapa Zihuatanejo,4.78
Shizuoka,8.44
Vaxjo,0.0
Basseterre (Saint Kitts),4.98
Strasbourg,9.31
Maputo,0.0
Samarkand,0.67
Denizli Cardak Airport,6.3
Queretaro,2.13
Shandong,0.09
Kagoshima,8.46
Tozeur,0.0
Kinshasa,0.0
Acapulco,2.21
Samos,4.73
Samara,4.95
Rosario,5.77
Cairns,6.88
Kalibo,8.67
Lulea,8.19
Nykoping,5.98
Quanzhou,0.0
Erfurt,0.38
Sihanoukville,0.76
Miyazaki,2.37
Xuzhou Guanyin,0.02
