Location,Cat_A,Cat_B,Cat_D,Avg_Score
Agadir,6.43,9.98,10.0,8.8
Graz,6.79,0.0,10.0,5.6
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33
Adana Airport,6.87,9.16,6.73,7.59
Munich,6.35,0.0,1.1,2.48
Piarco,6.67,0.0,2.88,3.18
Birmingham,6.38,0.0,9.72,5.37
Rome Fiumicino,6.87,0.0,9.63,5.5
Banjul,6.9,0.0,0.0,2.3
Xian Xianyang,6.49,9.82,5.73,7.35
Faro Airport,6.74,0.0,0.0,2.25
Casablanca,6.47,9.97,9.92,8.79
Rzeszow,5.0,0.0,10.0,5.0
Dresden,7.14,0.0,0.0,2.38
Norwich,6.82,0.0,9.71,5.51
Manas,6.15,0.0,0.0,2.05
Toulouse,6.86,10.0,0.0,5.62
Lucknow,4.87,0.0,5.82,3.56
Punta Cana - Higuey,6.78,9.82,8.31,8.3
Heraklion Airport,6.75,10.0,8.52,8.42
Niamey,5.0,0.0,0.0,1.67
Douala,7.0,0.0,10.0,5.67
London Gatwick,6.58,0.0,0.0,2.19
Bologna,5.78,0.0,6.35,4.04
Goa,4.87,0.0,7.18,4.02
Guayaquil,5.23,10.0,0.0,5.08
Melbourne,6.76,0.0,9.04,5.27
Gothenburg,6.67,0.0,8.69,5.12
Tel-Aviv,5.42,0.0,9.85,5.09
Vilnius,6.94,0.0,0.0,2.31
Tuzla,4.91,0.0,9.87,4.93
Belize City,5.38,0.0,0.0,1.79
Dubai,6.57,8.82,9.07,8.15
Mudanjiang Hailang,6.71,8.45,0.0,5.05
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26
Singapore - Changi,6.83,0.0,7.65,4.83
Kazan,8.75,0.0,0.0,2.92
Zaporizhya,8.04,0.0,0.0,2.68
Alicante,6.32,0.0,8.22,4.85
Cartagena de Indias,0.0,0.0,0.0,0.0
Cologne,6.91,0.0,6.04,4.32
Zurich,6.27,10.0,8.13,8.13
Colombo,6.7,10.0,0.0,5.57
Manila - Ninoy Aquino,6.92,0.0,9.13,5.35
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5
Ngurah Rai,6.76,9.96,9.16,8.63
Ufa,7.62,0.0,0.0,2.54
Jeddah,6.45,10.0,0.0,5.48
Stavanger,6.78,0.0,9.28,5.35
Min Vody,6.75,0.0,7.86,4.87
Puerto Vallarta,6.84,9.84,0.0,5.56
Bergamo,6.86,0.0,9.3,5.39
Yanji Zhaoyangchuan,6.54,0.0,0.0,2.18
Shandong,6.85,0.0,0.0,2.28
Cordoba,6.89,0.0,0.0,2.3
Incheon,6.08,9.64,4.3,6.67
Johor Bahru,6.13,7.84,9.07,7.68
Thessaloniki,5.98,0.0,6.5,4.16
Lima,6.77,9.99,9.6,8.79
Rabat,6.53,10.0,4.54,7.02
Hyderabad,5.18,0.0,0.0,1.73
Danang,6.67,0.0,0.0,2.22
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92
Lodz,6.83,0.0,9.61,5.48
Cairo,6.79,10.0,0.0,5.6
Lusaka,6.92,0.0,8.28,5.07
Maputo,9.17,0.0,0.0,3.06
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3
Tangier,6.6,9.99,5.72,7.44
Haiphong,8.33,0.0,9.9,6.08
Quanzhou Jinjiang,0.0,0.0,7.98,2.66
Samana El Catey,6.85,10.0,8.27,8.37
Santiago De Compostela,6.79,0.0,9.19,5.33
Cozumel,6.87,10.0,0.0,5.62
Cochin,6.67,0.0,8.29,4.99
Chubu,6.58,8.98,8.52,8.03
Bremen,6.77,0.0,0.0,2.26
Gibraltar,5.33,0.0,10.0,5.11
Riga,6.9,0.0,4.95,3.95
Muan,6.56,10.0,0.04,5.53
Katima Mulilo,4.76,0.0,0.0,1.59
Fuerteventura,6.76,0.0,9.49,5.42
Aarhus,6.67,0.0,0.0,2.22
Batumi,6.83,0.0,9.5,5.44
Fes,6.51,10.0,0.0,5.5
Cukurova Airport,6.86,9.08,0.0,5.31
Taiyuan Wusu,6.71,10.0,9.58,8.76
