Location,Cat_A,Cat_B,Cat_D,Avg_Score
Antigua,6.79,0.0,0.0,2.26
Abuja,6.28,10.0,8.42,8.23
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35
Macau,6.67,10.0,8.03,8.23
Bamako,6.89,0.0,10.0,5.63
Yerevan,6.67,0.0,3.45,3.37
Hanoi,5.4,0.0,9.15,4.85
St. George's Point Saline,6.81,10.0,9.62,8.81
Jinan Xiaoqiang,6.67,5.9,10.0,7.52
Jeju (downtown),0.0,0.12,0.0,0.04
Ningbo Lishe,6.2,0.09,9.99,5.43
La Paz El Alto,10.0,0.0,0.0,3.33
Lulea,7.33,0.0,0.0,2.44
Bujumbura,5.0,0.0,9.37,4.79
Muscat,6.78,0.0,7.26,4.68
Monterrey,6.84,10.0,8.6,8.48
Bourgas,6.2,0.0,0.6,2.27
Oranjestad,6.8,9.15,9.25,8.4
Nouakchott,6.9,0.0,10.0,5.63
Cheongju,6.08,9.9,4.47,6.82
Trondheim,6.79,0.0,2.82,3.2
Eskisehir Airport,6.87,8.94,9.61,8.47
Verona,6.83,0.0,10.0,5.61
Wuhan Tianhe,6.07,7.37,9.98,7.81
Diyarbakir Airport,6.84,8.53,0.0,5.12
Florence,6.86,0.0,9.71,5.52
Samos,6.76,0.0,9.82,5.53
Bangui,8.33,0.0,0.0,2.78
Budapest,8.33,0.0,0.0,2.78
Brisbane,6.67,0.0,0.0,2.22
Johannesburg,6.82,10.0,8.94,8.59
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Durban,6.74,10.0,9.78,8.84
Mangalore,4.87,0.0,6.95,3.94
Aalborg,6.67,0.0,0.0,2.22
Sydney,6.67,0.0,9.84,5.5
Moscow - Domodedovo,6.76,0.0,9.0,5.25
Cardiff,6.43,0.0,9.26,5.23
Naples,6.04,0.0,7.68,4.57
Stuttgart,6.88,0.0,0.6,2.49
Harare,10.0,0.0,0.0,3.33
Warsaw-Modlin,6.92,0.0,9.04,5.32
Rotterdam,6.92,0.0,1.1,2.67
Los Cabos,6.83,9.93,0.0,5.59
Hamburg,6.82,0.0,5.53,4.12
Lublin,6.82,0.0,0.0,2.27
Krasnodar,7.47,0.0,0.0,2.49
Dnipropetrovsk,8.0,0.0,0.0,2.67
Brno,4.44,0.0,9.84,4.76
Hong Kong,6.21,9.99,0.0,5.4
Ho Chi Minh,6.67,0.0,9.62,5.43
Wroclaw,5.17,0.0,0.0,1.72
Espargos,6.5,10.0,9.41,8.64
Liverpool,6.47,0.0,0.0,2.16
Dar Es Salaam,6.5,10.0,0.0,5.5
Fort-de-France,6.15,10.0,6.84,7.66
Tirana,6.19,0.0,9.65,5.28
Danang Downtown Shop,0.0,0.0,0.0,0.0
Soekarno Hatta,6.85,10.0,9.83,8.89
Edinburgh,6.47,0.0,9.52,5.33
Moi,8.89,0.0,0.0,2.96
Khabarovsk,7.67,0.0,0.0,2.56
Novosibirsk,6.83,0.0,9.25,5.36
Abidjan,6.56,10.0,0.0,5.52
Yantai Penglai,6.03,9.97,0.06,5.35
Asturias,6.97,0.0,0.0,2.32
Salzburg,6.78,0.0,9.25,5.34
Volgograd,6.88,0.0,6.99,4.62
Shenyang Taoxian,6.48,9.89,9.94,8.77
Sfax,6.12,10.0,8.65,8.26
Glasgow Prestwick,6.36,0.0,6.82,4.39
Conakry,9.17,0.0,0.0,3.06
Zhukovsky,0.0,0.0,0.0,0.0
Jerez De La Frontera,6.91,0.0,7.78,4.9
Cam Ranh,6.22,0.0,6.37,4.2
Adelaide,6.19,0.0,5.83,4.01
Marka,6.89,0.0,0.0,2.3
Tunis,6.4,9.99,8.87,8.42
Nador,6.86,9.99,6.85,7.9
Xuzhou Guanyin,6.75,3.08,0.0,3.28
Yangon,5.77,0.0,9.23,5.0
Cape Town,6.9,10.0,8.87,8.59
Paderborn,6.82,0.0,9.84,5.55
Tenerife,6.76,0.0,0.0,2.25
Karpathos,5.76,0.0,0.0,1.92
Jieyang Chaoshan,6.71,0.0,0.0,2.24
Naha,4.94,0.0,6.2,3.71
Bilbao,6.84,0.0,9.91,5.58
Kaohsiung,5.89,9.97,6.64,7.5
Aktio,6.05,0.0,10.0,5.35
Quanzhou,6.25,0.0,0.0,2.08
Istanbul Airport,6.79,0.0,0.0,2.26
Asuncion Silvio Petterossi,6.85,0.0,7.95,4.93
Astana,6.75,0.0,7.95,4.9
Mitilini,6.77,0.0,0.0,2.26
Tegucigalpa,9.0,0.0,0.0,3.0
Kavala,5.52,0.0,9.8,5.11
Sevilla,6.44,0.0,0.0,2.15
Belo Horizonte,6.85,10.0,0.0,5.62
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13
Dublin,5.83,0.0,3.3,3.04
Male,5.33,0.0,8.94,4.76
Kinshasa,6.92,0.0,0.0,2.31
Mexico City,6.84,9.87,0.0,5.57
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76
Basrah,6.81,0.0,0.0,2.27
Christchurch,4.44,0.0,0.0,1.48
Warsaw,6.83,0.0,0.0,2.28
Lviv,7.36,0.0,0.0,2.45
Gran Canaria,6.76,0.0,6.68,4.48
Punta del Este,3.33,0.0,0.0,1.11
Genoa,5.76,0.0,0.0,1.92
Samarkand,10.0,0.0,0.0,3.33
Santo Domingo Las Americas,6.8,9.64,4.3,6.91
Belgrade,6.83,0.0,9.37,5.4
Managua,6.87,9.46,5.83,7.39
Hatay Airport,9.52,0.0,0.0,3.17
Corfu,5.59,10.0,6.7,7.43
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33
Ibiza,6.46,0.0,0.0,2.15
Juba,6.9,0.0,0.0,2.3
Montego Bay,6.73,9.61,8.53,8.29
Takamatsu,5.0,0.0,3.78,2.93
Valencia,6.5,0.0,0.0,2.17
Pisa,6.85,0.0,9.4,5.42
Banja Luka,6.67,0.0,10.0,5.56
Prague,6.07,0.0,0.0,2.02
Guatemala City,6.89,5.12,4.46,5.49
Taipei - Taoyuan,5.89,9.97,4.43,6.76
Eindhoven,6.88,0.0,0.0,2.29
Busan - Kimhae (downtown),0.0,2.64,0.0,0.88
Everrich Downtown Kinmen,5.89,9.96,4.05,6.63
Cayenne (REC),0.0,0.0,10.0,3.33
Paris Charles De Gaulle,6.67,10.0,8.44,8.37
Chitose,4.94,0.0,7.94,4.29
Taichung,6.03,9.96,5.82,7.27
Zia,4.93,0.0,9.85,4.93
Monastir,6.39,9.99,0.0,5.46
Santiago Cibao,6.79,2.39,1.31,3.5
Tokyo - Narita,6.55,9.51,8.71,8.26
Nairobi,6.67,0.0,0.0,2.22
San Jose,5.24,0.0,0.0,1.75
San Jose,5.24,0.0,9.42,4.89
Erbil International Airport,5.0,0.0,5.93,3.64
Aqaba,6.86,10.0,0.0,5.62
Accra,6.83,10.0,0.0,5.61
Rosario,6.9,0.0,2.86,3.25
Salvador,6.84,10.0,9.09,8.64
Tirstrup,0.0,0.0,0.0,0.0
Tokyo - Shinjuku,0.0,0.0,0.0,0.0
Malaga,6.48,0.0,0.0,2.16
Gerona,6.44,0.0,9.72,5.39
Nis,6.53,0.0,0.0,2.18
Kyiv - Zhulyany,7.72,0.0,0.0,2.57
Memmingen,10.0,0.0,0.0,3.33
Chisinau,7.76,0.0,0.0,2.59
Bariloche,5.0,0.0,0.06,1.69
Abu Dhabi,5.75,9.62,8.47,7.95
Copenhagen,6.83,0.0,9.4,5.41
Makhachkala,6.94,0.0,6.75,4.56
Djibouti,5.0,0.0,0.0,1.67
Siem Reap,7.16,0.0,0.0,2.39
Cairns,7.08,0.0,6.9,4.66
Rabil,6.09,10.0,9.57,8.55
Mykonos,5.53,0.0,9.37,4.97
Astrakhan,6.9,0.0,8.46,5.12
Lubumbashi,7.14,0.0,9.72,5.62
Bogota,6.84,9.9,6.66,7.8
Granada,5.76,0.0,9.31,5.02
Cancun,6.84,9.86,8.84,8.51
Kilimanjaro,6.75,0.0,10.0,5.58
Beira,8.75,0.0,0.0,2.92
Pointe-a-Pitre,6.35,10.0,8.73,8.36
Luxor,6.79,0.0,8.96,5.25
Osaka - Kansai,6.58,5.08,9.03,6.9
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9
Jaipur,4.87,0.0,0.0,1.62
Alexandoupolis,5.71,0.0,0.0,1.9
Tozeur,6.36,10.0,0.0,5.45
Mactan,6.67,0.0,0.0,2.22
Umea,7.08,0.0,9.71,5.6
Wellington,8.57,0.0,0.0,2.86
Rhodes,5.6,10.0,8.2,7.93
Komatsu,4.76,0.0,8.13,4.3
Yingsheng,10.0,0.0,0.0,3.33
Kaunas,6.94,0.0,9.5,5.48
Hurgada,6.72,0.0,7.68,4.8
Guangzhou Baiyun,6.09,9.75,9.98,8.61
Samara,6.67,0.0,10.0,5.56
Manchester,6.49,0.0,7.16,4.55
Acapulco,8.48,0.0,0.0,2.83
Aomori,4.44,0.0,8.84,4.43
Ras El Khaymah,6.8,0.0,2.11,2.97
Konya Airport,6.87,8.06,9.87,8.27
Voronezh,7.85,0.0,0.0,2.62
Ciampino Airport,5.83,0.0,0.0,1.94
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27
Porto,6.89,0.0,9.75,5.55
Lanzarote,6.76,0.0,8.74,5.17
Sendai,4.89,0.0,7.63,4.17
Minsk,6.79,0.0,10.0,5.6
Aktau,10.0,0.0,0.0,3.33
Basel,6.35,10.0,4.59,6.98
Gdansk,6.81,0.0,9.82,5.54
Marrakech,6.43,9.98,9.49,8.63
Togo,5.83,0.0,9.82,5.22
Munster-Osnabruck,4.9,0.0,6.56,3.82
Sanya Fenghuang,6.71,0.0,0.0,2.24
Lyon Saint Exupery,6.77,10.0,1.74,6.17
Santorini,5.38,0.0,8.71,4.7
Milan - Linate,6.88,0.0,4.11,3.66
Ramon,10.0,0.0,0.0,3.33
Beijing,5.91,6.27,0.0,4.06
Kingston,6.67,0.0,0.0,2.22
Belgorod,7.78,0.0,0.0,2.59
Vienna,6.77,0.0,8.52,5.1
Vaxjo,4.67,0.0,0.0,1.56
Murcia,6.75,0.0,3.68,3.48
Panama Tocumen,6.79,9.96,7.83,8.19
Weihai Dashuibo,6.75,9.96,4.71,7.14
Amman,6.02,10.0,0.0,5.34
Nykoping,6.67,0.0,7.18,4.62
Geneva,6.41,10.0,0.0,5.47
Erfurt,10.0,0.0,0.0,3.33
Entebbe,4.8,0.0,9.61,4.8
Mandalay,5.42,0.0,0.0,1.81
Dortmund,6.77,0.0,7.23,4.67
Vladivostok,9.67,0.0,0.0,3.22
Samsun Airport,6.84,9.04,8.33,8.07
Mahon Airport,6.26,0.0,9.77,5.34
Shijiazhuang Zhengding,0.0,0.0,4.63,1.54
Fortaleza,6.87,10.0,7.68,8.18
Viracopos,6.85,10.0,7.38,8.08
Chattrapati Shivaji,5.05,0.0,0.0,1.68
Madeira,6.67,0.0,9.0,5.22
Billund,6.67,0.0,9.35,5.34
RIYADH,6.81,10.0,2.77,6.53
Pengsheng,5.0,0.0,0.44,1.81
Berlin Brandenburg,6.82,0.0,0.0,2.27
Gaziantep Airport,6.85,8.92,9.82,8.53
Praia,6.85,10.0,9.57,8.81
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88
Yinchuan Hedong,6.52,7.01,9.48,7.67
Madrid Barajas,6.83,0.0,9.6,5.48
Almaty,5.0,0.0,9.92,4.97
Shizuoka,5.83,0.0,6.1,3.98
Doha,5.05,0.0,6.68,3.91
Sharjah,5.78,9.3,8.22,7.77
Fuzhou Changle,6.02,10.0,6.37,7.46
Recife,6.86,9.99,9.49,8.78
A Coruna,6.92,0.0,9.35,5.42
Beijing Daxing,0.0,0.0,6.8,2.27
Kralendijk (Bonaire),6.79,0.0,0.0,2.26
Dushanbe,7.86,0.0,0.0,2.62
Urumchi Diwobao,6.48,10.0,0.76,5.75
Luanda,6.9,0.0,0.0,2.3
Nanning Wuxu,6.7,9.38,9.96,8.68
Beirut - Rafik Hariri,6.77,0.0,7.4,4.72
Malmo,6.32,0.0,8.55,4.96
Sandefjord-Torp,6.05,0.0,5.18,3.74
Chania,5.86,0.0,7.93,4.6
Hiroshima,4.89,0.0,10.0,4.96
Lille,6.9,0.0,9.77,5.56
Kuala Lumpur,6.52,9.17,0.0,5.23
Paris Orly,6.76,10.0,0.0,5.59
Zhengzhou Xinzheng,5.65,2.53,9.99,6.06
Suleymania Airport,6.81,0.0,0.0,2.27
Huatulco,0.0,0.0,0.0,0.0
Qingdao Liuting,6.05,9.88,9.87,8.6
Exeter,6.72,0.0,0.0,2.24
Istanbul Asia Airport,6.8,8.5,9.15,8.15
Baghdad,6.78,0.0,0.0,2.26
Aswan,6.79,0.0,9.76,5.52
Wuxi Shuofang,6.71,10.0,9.95,8.89
Glasgow,6.48,0.0,0.01,2.16
Santander,6.92,0.0,8.53,5.15
Hrabrovo,7.62,0.0,0.0,2.54
Duesseldorf,6.8,0.0,7.15,4.65
Bandaranaike,5.1,0.0,9.66,4.92
Sochi,6.75,0.0,2.77,3.17
San Salvador Comalapa,6.84,9.8,7.84,8.16
Kuwait,6.05,9.94,0.0,5.33
Indira Gandhi,5.25,0.0,0.0,1.75
Nice,6.77,10.0,0.0,5.59
Leopold Sedar Senghar,6.72,0.0,9.41,5.38
Marseille,6.76,10.0,8.01,8.26
Shannon,5.0,0.0,6.95,3.98
Strasbourg,6.92,0.0,9.67,5.53
Moscow - Vnukovo,6.74,0.0,8.86,5.2
Bridgetown,6.76,0.0,1.61,2.79
Shenzhen Bao'an,7.19,0.0,0.0,2.4
Kristiansand,7.6,0.0,0.0,2.53
Torino,5.78,0.0,1.33,2.37
Nanchang Changbei,6.62,10.0,9.96,8.86
London Heathrow,6.55,0.0,9.17,5.24
Tashkent,5.6,0.0,8.31,4.64
Ulaanbaatar,6.67,0.0,0.0,2.22
Rostov Don,7.81,0.0,0.0,2.6
Sihanoukville,6.72,10.0,8.35,8.36
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89
Al Hoceima,6.67,0.0,9.52,5.4
Radom,5.56,0.0,7.48,4.35
Changsha Huanghua,6.52,9.45,10.0,8.66
Oujda,6.55,10.0,5.62,7.39
Olsztyn,6.84,0.0,0.0,2.28
Szczecin,6.89,0.0,0.0,2.3
Rio de Janeiro,6.82,10.0,8.71,8.51
Podgorica,5.56,0.0,9.87,5.14
Medina,6.87,10.0,0.0,5.62
Brussels,6.67,0.0,5.79,4.15
Fukushima,6.67,0.0,3.17,3.28
Trichy,4.87,0.0,6.82,3.9
Queretaro,7.14,0.0,7.57,4.9
Kagoshima,5.71,0.0,8.08,4.6
Helsinki-Vantaa,7.04,0.0,0.0,2.35
Baku,4.94,0.0,9.91,4.95
Zadar,8.89,0.0,0.0,2.96
Jersey,6.67,0.0,9.91,5.53
Iwate,6.67,0.0,9.52,5.4
Changchun Longjia,5.96,10.0,9.93,8.63
Kos,6.72,0.0,0.0,2.24
La Romana,6.83,9.97,9.29,8.7
Seoul (downtown),0.0,0.35,0.0,0.12
Almeria,6.36,0.0,9.17,5.18
Florianopolis,6.79,10.0,9.55,8.78
Bodrum Airport,6.75,9.61,9.37,8.58
Enfidha,6.85,9.99,8.55,8.46
Jomo Kenyatta,6.42,9.99,6.99,7.8
Kota Kinabalu,6.67,3.37,4.98,5.01
Chambery,6.86,0.0,0.0,2.29
Mazatlan,6.85,9.32,10.0,8.72
Yaounde,8.15,0.0,0.0,2.72
Salalah,6.73,0.0,0.0,2.24
Aberdeen,6.44,0.0,9.6,5.35
Lagos,6.83,10.0,9.65,8.83
Port Louis,5.24,0.0,9.84,5.03
Ohrid,6.83,0.0,4.57,3.8
Bydgoszcz,5.17,0.0,9.18,4.78
Islamabad,3.33,0.0,10.0,4.44
Chongqing Jiangbei,5.99,9.91,9.99,8.63
Wenzhou Longwan,6.55,4.7,9.97,7.07
Sharm El Sheikh,6.78,0.0,9.19,5.32
Sofia,6.75,0.0,1.33,2.69
Asyut,5.33,0.0,9.87,5.07
Liberia,5.24,0.0,3.2,2.81
Stockholm Arlanda,6.92,0.0,9.86,5.59
Trabzon Airport,6.84,5.39,9.92,7.38
Reus,6.26,0.0,9.78,5.35
Tbilisi,6.83,0.0,0.0,2.28
Cali,6.8,8.86,5.97,7.21
Auckland,4.44,0.0,7.88,4.11
Grenoble,6.35,10.0,10.0,8.78
Split,7.78,0.0,5.93,4.57
Skopje,6.8,0.0,8.45,5.08
Yangyang,6.67,10.0,0.0,5.56
Tulear,6.97,0.0,0.0,2.32
Leeds Bradford,6.23,0.0,9.19,5.14
Jerba,6.47,9.98,0.0,5.48
Hefei Xinqiao,6.63,6.54,9.85,7.67
Krasnoyarsk,6.88,0.0,9.48,5.45
Iloilo,0.0,0.0,0.0,0.0
Bari,5.78,0.0,8.85,4.88
Queenstown,4.44,0.0,0.0,1.48
Krakow Balice,6.79,0.0,9.81,5.53
Manila Downtown Shop,0.0,0.0,0.0,0.0
Chengdu Tianfu,6.52,7.52,8.03,7.36
Marsa Aalam,6.73,0.0,9.92,5.55
Penang,6.67,10.0,8.58,8.42
Treviso,5.69,0.0,9.87,5.19
Seoul,5.74,8.54,5.72,6.67
Beauvais,6.53,0.0,0.0,2.18
Puerto Plata,6.82,9.11,7.83,7.92
London Southend Airport,6.74,0.0,0.0,2.25
Gabon,6.79,0.0,5.83,4.21
Bangalore,6.18,10.0,6.2,7.46
Bergen,6.81,0.0,5.7,4.17
Sarajevo,4.91,0.0,9.61,4.84
Doncaster,7.32,0.0,0.0,2.44
Shanghai Hongqiao,6.1,6.63,3.29,5.34
Guernsey,5.56,0.0,0.62,2.06
Antalya Airport,6.78,9.68,0.0,5.49
Faroe Islands,6.67,0.0,9.55,5.41
Daegu (downtown),0.0,9.73,0.0,3.24
Perth,6.71,10.0,0.0,5.57
Milan - Malpensa,6.82,0.0,9.02,5.28
Alesund,8.97,0.0,0.0,2.99
Kutahya Airport,6.95,10.0,1.39,6.11
Oslo,6.78,0.0,0.0,2.26
Alexandria,6.76,0.0,9.14,5.3
Bristol,6.47,0.0,10.0,5.49
London City,6.8,0.0,8.87,5.22
Cayenne,6.45,10.0,0.0,5.48
Manama,6.74,5.51,0.0,4.08
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58
Hohhot Baita,6.71,10.0,9.99,8.9
Mombasa,9.0,0.0,0.0,3.0
Quito,6.86,9.73,6.8,7.8
Amsterdam - Schiphol,6.79,0.0,0.0,2.26
Humberside,6.67,0.0,0.0,2.22
Okayama,6.44,9.93,3.69,6.69
Roland Garros,6.67,10.0,7.17,7.95
Skiathos,6.67,0.0,10.0,5.56
Anna,4.87,0.0,0.0,1.62
Yancheng Nanyang,6.73,0.0,0.0,2.24
Athens,6.26,10.0,8.18,8.15
Oita,7.22,0.0,0.0,2.41
London Luton,6.46,0.0,8.77,5.08
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53
Zagreb,6.11,0.0,7.85,4.65
Palma De Mallorca,6.48,0.0,7.17,4.55
Phu Quok,6.87,0.0,9.04,5.3
Shymkent,7.92,0.0,0.0,2.64
Vigo,6.86,0.0,9.71,5.52
Kunming Wujiaba,6.16,9.99,7.04,7.73
Kayseri Airport,6.84,10.0,10.0,8.95
Ankara Airport,6.84,9.52,9.41,8.59
Brasilia,6.81,10.0,8.36,8.39
Palermo,6.86,0.0,9.23,5.36
Ekaterinburg,6.79,0.0,8.39,5.06
Cork,5.67,0.0,7.09,4.25
Venice,6.78,0.0,9.07,5.28
Vientiane,5.93,0.0,5.33,3.75
Dalian Zhoushuizi,6.75,9.94,9.66,8.78
Providenciales (Turks and Caicos),7.5,0.0,0.0,2.5
Tokyo - Haneda,5.05,0.0,8.23,4.43
Barcelona,6.54,0.0,7.63,4.72
Curacao,6.75,0.0,0.0,2.25
Xiamen Gaoqi,6.11,9.95,8.23,8.1
Dalaman Airport,6.79,0.0,0.0,2.26
Guadalajara,6.86,9.9,0.0,5.59
Changzhou Benniu,6.91,0.0,0.0,2.3
Coolangatta,8.33,0.0,0.0,2.78
Dubrovnik,7.78,0.0,9.32,5.7
PRISTINA,6.93,0.0,8.04,4.99
Frankfurt,6.82,0.0,3.33,3.38
Nuernberg,6.86,0.0,0.0,2.29
Pula,8.89,0.0,0.0,2.96
Kyiv,7.5,0.0,0.0,2.5
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98
Ibaraki,4.44,0.0,6.8,3.75
DAMMAM,6.77,10.0,4.11,6.96
Paramaribo,6.79,0.0,4.13,3.64
Lisbon,6.86,0.0,8.54,5.13
Nantes,6.6,10.0,9.37,8.66
Porto Alegre,6.85,10.0,7.68,8.18
Harbin Taiping,6.75,0.0,0.0,2.25
Montevideo,6.67,0.0,2.86,3.18
Kharkiv,7.78,0.0,0.0,2.59
Tarbes - Lourdes,6.67,10.0,9.5,8.72
Ouarzazate,6.83,10.0,6.95,7.93
Guiyang Longdongbao,7.78,0.0,0.0,2.59
Pamandzi,4.85,0.0,10.0,4.95
Kalibo,7.78,0.0,8.2,5.33
Essaouira,6.84,9.99,10.0,8.94
Ioannina,6.98,0.0,8.47,5.15
Hannover,6.79,0.0,0.0,2.26
Varna,6.76,0.0,1.61,2.79
London Stansted,6.57,0.0,9.55,5.37
Katowice,5.0,0.0,9.82,4.94
Sierra Leone,5.42,0.0,9.8,5.07
Hangzhou Xiaoshan,6.09,2.42,9.99,6.17
Zakynthos,5.44,0.0,4.36,3.27
Southampton,6.71,0.0,0.0,2.24
Miyazaki,6.67,0.0,0.0,2.22
Elblag,5.0,0.0,0.0,1.67
Charleroi,6.67,0.0,0.0,2.22
Addis Ababa,6.81,10.0,7.26,8.02
East Midlands,6.15,0.0,9.41,5.19
Natal,6.84,10.0,4.78,7.21
Fukuoka,6.51,9.46,0.0,5.32
Orebro,7.78,0.0,9.67,5.82
Windhoek,6.67,0.0,0.0,2.22
Nanjing Lukou,5.42,5.52,0.76,3.9
La Palma,5.96,0.0,9.07,5.01
Bordeaux,6.5,10.0,1.54,6.01
Daegu,6.13,8.34,0.0,4.82
Juba (inactive),0.0,0.0,9.62,3.21
Newcastle,6.47,0.0,6.18,4.22
Denizli Cardak Airport,6.85,9.34,8.75,8.31
Poznan-Lawica,4.81,0.0,0.0,1.6
Kigali,4.89,0.0,7.83,4.24
Hebei,5.15,0.0,0.0,1.72
Amritsar,4.87,0.0,6.89,3.92
Busan - Kimhae,6.02,9.85,0.52,5.46
Mendoza,6.85,0.0,0.0,2.28
Gaborone,7.78,0.0,0.21,2.66
Kutaisi,6.78,0.0,8.84,5.21
Ostrava,6.83,0.0,8.43,5.09
Jeju,6.06,9.74,3.32,6.37
Zanzibar,5.44,0.0,0.0,1.81
Phnom Penh,6.75,4.28,8.24,6.42
Karipur,4.87,0.0,3.69,2.85
Bournemouth,6.22,0.0,0.0,2.07
Odessa,7.62,0.0,10.0,5.87
Shanghai Pudong,5.93,3.57,9.66,6.39
Montpellier,6.88,0.0,9.71,5.53
Izmir Airport,6.82,9.62,9.85,8.76
