Location,Cat_D
Kaohsiung,2.74
Graz,0.0
Rzeszow,0.0
Jaipur,0.0
Cologne,1.52
Mazatlan,0.0
Minsk,0.13
Goa,1.5
Santander,0.0
Palma De Mallorca,3.06
Trichy,0.78
Netaji Subhash Chandra Bose Int. Airport,4.94
Jieyang Chaoshan,0.0
Penang,1.35
Everrich Downtown Kinmen,1.87
Roland Garros,2.83
Montpellier,6.31
Stockholm Arlanda,2.8
Tarbes - Lourdes,1.6
Karipur,3.92
Kutaisi,1.33
Luxor,0.51
Sydney,0.53
Rotterdam,2.02
Hamburg,0.96
Acapulco,0.0
Min Vody,1.22
Siem Reap,0.0
Queretaro,0.42
Kos,1.81
Kyiv,0.0
Sandefjord-Torp,1.3
Kristiansand,0.0
Lisbon,0.1
Vilnius,0.0
Soekarno Hatta,2.1
Venice,0.47
La Palma,0.47
Torino,4.35
Kilimanjaro,0.0
Fuzhou Changle,2.78
Volgograd,3.98
Lusaka,0.65
Conakry,0.0
Sfax,0.03
Taiyuan Wusu,0.82
Odessa,0.0
Makhachkala,1.82
Banja Luka,0.0
Rabil,6.68
Kinshasa,0.0
Quito,1.58
Tozeur,0.0
Faroe Islands,0.5
Bandaranaike,1.74
Riga,0.52
Khabarovsk,0.0
Norwich,4.59
Togo,2.02
Dortmund,1.39
Ras El Khaymah,1.68
Nantes,0.14
Chisinau,0.0
La Paz Manuel Marquez de Leon,1.24
Jerez De La Frontera,1.26
Buenos Aires Aeroparque,0.0
Trondheim,1.21
Lucknow,5.34
Vienna,0.65
Santa Cruz Viru Viru,0.0
Kyiv - Zhulyany,0.0
Beira,0.0
Nouakchott,0.0
Samos,2.02
Kharkiv,0.0
London Heathrow,1.24
Skiathos,0.0
Jersey,0.0
Umea,1.27
Lviv,0.0
Providenciales (Turks and Caicos),0.0
Belgorod,0.0
Basrah,0.0
Karpathos,0.0
Verona,0.0
Eskisehir Airport,0.95
Voronezh,0.0
Samara,0.0
Buenos Aires - Ezeiza,0.77
Sierra Leone,4.27
Bari,2.32
Edinburgh,0.29
Abuja,0.33
Astrakhan,0.87
Dublin,0.4
Cam Ranh,2.78
Luanda,0.0
Madeira,1.78
Bilbao,0.0
Erfurt,0.0
Granada,0.03
Warsaw-Modlin,0.04
Sarajevo,1.67
Okayama,3.92
Bamako,0.0
Tashkent,0.55
Liberia,0.05
Cork,0.57
