SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
MARLBORO - GOLD (2.0 ORIGINAL) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,122766,France,Chambery,PMI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C JUMBO WHITE - TURKEY DF,200,98190,Turkey,Gaziantep Airport,PMI
MARLBORO - (RED FWD) 100's BOX WHITE - LA&CANADA DF-ENG TXT,200,91644,Colombia,Medellin Jose Maria Cordova,PMI
UNDEFINED,0,0,Iraq,Suleymania Airport,BAT
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS BOX C WRG WHITE - GENERIC DF-ENG TXT,200,122896,Colombia,Bogota,PMI
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Colombia,Bogota,PMI
WINSTON - CLASSIC KS BOX,600,54087,Mexico,Los Cabos,JTI
CAMEL - KS BOX,200,43011,Mexico,Los Cabos,JTI
DUNHILL - INTERNATIONAL KS BOX,400,47577,Mexico,Ixtapa Zihuatanejo,BAT
MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - TURKEY DF,600,123072,Turkey,Kayseri Airport,PMI
UNDEFINED,0,0,Kenya,Jomo Kenyatta,BAT
MARLBORO - GOLD (3.5) KS RCS 600 SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,123518,Kenya,Jomo Kenyatta,PMI
MORE - INTERNATIONAL (RED) 120's SOFT EXTRA SLIMS,200,62272,Jamaica,Montego Bay,JTI
UNDEFINED,200,0,China,Yanji Zhaoyangchuan,CHINA NATIONAL
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Egypt,Alexandria,PMI
NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,200,54054,Switzerland,Basel,JTI
DUNHILL - COURTLEIGH BLEND KS OCTAGONAL PACK RE-SEAL,200,70149,South Africa,Johannesburg,BAT
GENTLE - 9 KS BOX,200,52934,Taiwan,Everrich Downtown Kinmen,TAIWAN TOBACCO & LIQ
UNDEFINED,0,0,Uzbekistan,Tashkent,JTI
PHILIP MORRIS - (RED) KS BOX 400 - ARGENTINA DF,400,98473,Argentina,Buenos Aires - Ezeiza,PMI
MARLBORO - (GOLD 3.0) KS RCB WHITE - JAPAN DF,200,113865,Japan,Tokyo - Haneda,PMI
L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,124252,Poland,Warsaw-Modlin,PMI
DAVIDOFF - (WHITE) KS BOX,200,70865,Morocco,Casablanca,IMPERIAL BRANDS
SEASONS - KS BOX,200,46300,South Korea,Yangyang,KT & G
WINSTON - BLUE KS BOX,200,54088,Dominican Republic,Samana El Catey,JTI
DUNHILL - BLUE KS BOX,200,54826,Malaysia,Kota Kinabalu,BAT
MARLBORO - DOUBLE MIX MIX KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,123412,India,Trichy,PMI
THE KING - BLUE KS BOX,200,106307,Spain DP,Palma De Mallorca,KING'S TOBACCO
JOHN PLAYER SPECIAL - BLACK ORIGINAL KS BOX,200,50525,Spain DP,Palma De Mallorca,IMPERIAL BRANDS
LUCKY STRIKE - CLICK & ROLL KS BOX C,600,59257,Brazil,Sao Paulo - Guarulhos,BAT
WEST - SILVER KS BOX,200,46755,Tunisia,Enfidha,IMPERIAL BRANDS
MARLBORO - DOUBLE MIX MIX KS RCS C JUMBO RC WHITE - GENERIC DF-ENG TXT,200,123412,Uganda,Entebbe,PMI
MARLBORO - (GOLD 3.0) KS RCB WHITE - JAPAN DF,200,113865,Japan,Fukuoka,PMI
LAMBERT & BUTLER - WHITE KS BOX,200,45980,Ghana,Accra,IMPERIAL BRANDS
DUNHILL - INTERNATIONAL KS BOX,200,47577,Ghana,Accra,BAT
SUPERKINGS - BLUE 100's BOX,200,46019,Great Britain,Leeds Bradford,IMPERIAL BRANDS
LUCKY STRIKE - ADDITIVE FREE (RED) KS BOX,200,86131,Spain DP,Alicante,BAT
KARELIA - SLIMS MENTHOL MENTHOL 100's BOX SUPERSLIMS,200,93620,Turkey,Cukurova Airport,KARELIA TOBACCO
L&M - RED LABEL KS RCB - TURKEY DF,200,42447,Turkey,Cukurova Airport,PMI
CASTER - MILD KS BOX,200,46127,China,Nanchang Changbei,JTI
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Spain DP,Sevilla,BAT
BENSON & HEDGES - SILVER KS BOX,200,42858,Spain DP,Sevilla,BAT
WINSTON - BLUE KS BOX,600,54088,Peru,Lima,JTI
CAMEL - (YELLOW) KS BOX,200,49844,Senegal,Leopold Sedar Senghar,JTI
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Colombia,Bogota,BAT
DAVIDOFF - EVOLVE PURPLE MIST MENTHOL KS RCB C,200,130408,Morocco,Agadir,IMPERIAL BRANDS
LAMBERT & BUTLER - KS BOX,200,43912,Italy,Venice,IMPERIAL BRANDS
LUCKY STRIKE - ORIGINAL RED KS BOX,600,51260,Ethiopia,Addis Ababa,BAT
DUNHILL - (BLUE) KS BOX,200,49364,Morocco,Fes,BAT
STERLING - KS BOX,200,44904,Morocco,Fes,JTI
DAVIDOFF - GOLD KS BOX,200,88458,Italy,Bergamo,IMPERIAL BRANDS
WINSTON - BLUE KS RCB,400,53483,Italy,Bergamo,JTI
MERIT - (ORANGE) KS BOX - ITALY DF - IDM ITALY,200,120994,Italy,Bergamo,PMI
MEVIUS - LSS ONE KS PUSH AND SLIDE BOX,200,94996,South Korea,Jeju,JTI
MARLBORO - PURPLE BURST MENTHOL KS BOX C TRU WHITE - KOREA DF,200,103507,South Korea,Jeju,PMI
DAVIDOFF - LIGHTS KS BOX,200,47571,China,Sanya Fenghuang,IMPERIAL BRANDS
STATE EXPRESS 555,200,38071,China,Urumchi Diwobao,BAT
LUCKY STRIKE - MENTHOL KS BOX,200,46496,China,Yinchuan Hedong,BAT
CAMEL - KS BOX,200,43011,China,Nanning Wuxu,JTI
UNDEFINED,200,0,China,Taiyuan Wusu,CHINA NATIONAL
STERLING - SUPERKINGS (RED) 100's BOX,200,61077,Spain DP,Reus,JTI
CAMEL - BLUE KS BOX,200,52735,Spain DP,Reus,JTI
LUCKY STRIKE - ORIGINAL RED KS BOX,400,51260,Morocco,Nador,BAT
CAMEL - (YELLOW) KS BOX,200,49844,Morocco,Nador,JTI
MILANO - BLUE 100's BOX SUPERSLIMS,200,109571,Bahrain,Manama,GULBAHAR TOBACCO
WINSTON - CLASSIC 100's BOX,400,56652,Bahrain,Manama,JTI
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Bahrain,Manama,PMI
DUNHILL - (BLUE) KS BOX,200,49364,Bahrain,Manama,BAT
MEVIUS - SKY BLUE KS RCB,200,89726,Taiwan,Kaohsiung,JTI
DAVIDOFF - WHITE SLIMS 100's OCTAGONAL PACK SUPERSLIMS,200,94327,Armenia,Yerevan,IMPERIAL BRANDS
ROTHMANS - (BLUE) KS BOX,200,46008,Great Britain,East Midlands,BAT
WINSTON - (RED) KS BOX,200,56993,China,Changsha Huanghua,JTI
LUCKY STRIKE - ORIGINAL TOBACCO (BLUE) KS BOX,600,86599,Brazil,Natal,BAT
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Brazil,Natal,BAT
LUCKY STRIKE - ORIGINAL RED KS BOX,400,51260,Morocco,Oujda,BAT
WINSTON - BLUE 100's BOX SUPERSLIMS,400,54235,Turkey,Istanbul Asia Airport,JTI
DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,103412,China,Wuxi Shuofang,NANYANG BROTHERS
MAYFAIR - SKY BLUE KS BOX,400,46686,Great Britain,Bournemouth,JTI
VOGUE - LILAS 100's BOX SUPERSLIMS,200,51103,Spain DP,Vigo,BAT
WINSTON - KS BOX,600,45182,Tunisia,Tunis,JTI
SILK CUT - SILVER KS BOX,400,46016,Great Britain,Aberdeen,JTI
THE KING - GOLD KS BOX,200,56651,Spain,Valencia,KING'S TOBACCO
SOVEREIGN - BLUE KS BOX,200,51334,Albania,Tirana,BAT
PALL MALL - (BLUE) KS BOX,200,51685,Albania,Tirana,BAT
MERIT - FILTER KS RCB TRANSPARENT BUNDLE - NORTH AFRICA DF,200,122890,Tunisia,Jerba,PMI
BENSON & HEDGES - (GOLD) KS BOX,200,58119,Tunisia,Jerba,BAT
CAMEL - LIGHTS KS BOX,200,43025,China,Xian Xianyang,JTI
WINSTON - EXPAND DUO KS BOX C,200,121580,Morocco,Marrakech,JTI
BASTOS - KS BOX,200,50356,Belgium,Charleroi,IMPERIAL BRANDS
CAMEL - FILTER KS BOX,600,88440,Morocco,Agadir,JTI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - GENERIC DF-ENG TXT,200,125087,Brazil,Porto Alegre,PMI
FORTUNA - (BLUE) KS BOX,200,45967,Spain,Bilbao,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM BULGARIA,200,120906,Bulgaria,Varna,PMI
GITANES - BLONDES KS BOX,200,43577,France DP,Toulouse,IMPERIAL BRANDS
GAULOISES - BLONDES LEGERES KS BOX,200,43534,China,Hefei Xinqiao,IMPERIAL BRANDS
DAVIDOFF - LIGHTS KS BOX,200,47571,China,Hefei Xinqiao,IMPERIAL BRANDS
MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,142119,Namibia,Windhoek,PMI
THE KING - (RED) KS BOX,200,106308,Spain DP,Malaga,KING'S TOBACCO
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCB 600 C WRG SPECIAL OUTER WHITE - TURKEY DF,600,122817,Turkey,Diyarbakir Airport,PMI
KARELIA - MENTHOL KS RCB,200,53142,Turkey,Diyarbakir Airport,KARELIA TOBACCO
MARLBORO - EXOTIC FUSION KS RCT C PSW SLIMS WHITE - TURKEY DF,200,138635,Turkey,Diyarbakir Airport,PMI
UNDEFINED,0,0,Sri Lanka,Colombo,JTI
L&M - BLUE LABEL (5.0 CWB) KS RCB TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GREECE,200,125727,Greece,Ioannina,PMI
PARLIAMENT - SILVER BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,122945,Egypt,Luxor,PMI
VOGUE - BLEUE 100's BOX SUPERSLIMS,200,51105,Guadalupe,Pointe-a-Pitre,BAT
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,Guadalupe,Pointe-a-Pitre,BAT
MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,125084,Brazil,Recife,PMI
MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,139305,Mexico,La Paz Manuel Marquez de Leon,PMI
MARLBORO - (RED FWD) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,122747,Great Britain,Liverpool,PMI
MARLBORO - RED 3.5 KS BOX - SPAIN DF - IDM SPAIN,200,125679,Spain DP,Mahon Airport,PMI
CORSET - (PINK) 100's BOX SUPERSLIMS,200,60717,Spain DP,Madrid Barajas,KING'S TOBACCO
FORTUNA - RED LINE KS BOX,200,61088,Spain DP,Madrid Barajas,IMPERIAL BRANDS
MARLBORO - (RED FWD) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,122747,Great Britain,Southampton,PMI
CHESTERFIELD - ORIGINAL RED KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,121898,Martinique,Fort-de-France,PMI
VOGUE - LILAS 100's L-STICK BOX SUPERSLIMS,200,70512,Martinique,Fort-de-France,BAT
STATE EXPRESS 555 - MANDARIN PEARL 90's,200,57655,China,Yantai Penglai,BAT
