Year,EBROMId,Market,EBROM,Volume
2024,60184720,Mongolia,RICH AROMA IRISH COFFEE KS RCB 20 (-),2628
2024,50075286,Russia,L&M RED LABEL KS RCB 20 (-),793725
2024,50050514,Iraq,PINE LIGHTS KS BOX 20 (-),49627
2024,60238497,Uzbekistan,CAMEL COMPACT BLUE KS DSP 20 SLI (-),34869
2024,60079648,Singapore,MARLBORO (RED FWD) KS BOS 20 (-),107944
2024,60137721,Germany,DUCAL RED KS BOX 39 (-),22
2024,60241299,Sweden,MARLBORO CRAFTED 2.0 BLUE 100 BOX 20 (-),10994
2024,60125793,Caribbean Other,DK'S FULL FLAVOUR KS BOX 20 (-),482
2024,60075901,Serbia,DUNHILL FINE CUT (RED) LTK OCT 20 SLI (-),180
2024,50060250,Romania,DUBLISS (SILVER) KS BOX 20 (-),9402
2024,50061457,Israel,TIME (BLUE) KS BOX 20 (-),2938
2024,60209342,Indonesia,SERASA (SKT) NF LS BOX 12 SLI (-),152032
2024,60240880,Eswatini,MARLBORO RED 3.5 KS RCB 20 (-),100
2024,60129247,Russia,DAKOTA BLUE KS RCB 20 (-),573
2024,60131191,Australia,ROTHMANS RED COOL CRUSH KS BOX 20 (-),891
2024,60232561,Austria,MARLBORO RED 3.5 KS BOX 20 (-),595063
2024,60189130,Germany,WINSTON BLACK KS BOX 28 (-),10584
2024,60125458,Russia,FEST 7 KS RCB 20 (-),9484
2024,60275115,Argentina,MARLBORO CRAFTED CORAL MNT KS BOX 20 (-),7820
2024,60233582,Argentina,CHESTERFIELD BLUE MOTION KS BOX 20 (-),469261
2024,60209359,India,MARLBORO GOLD (3.5 ORIGINAL) KS BOX 20 (-),235734
2024,60198825,Russia,DAVIDOFF REACH FOCUS BLACK KS DHX 20 SSL (-),56403
2024,60165045,Malaysia,DUNHILL CLASSIC KS OCS 20 (-),1119999
2024,60162220,Czech Republic,CORSET MAUVE A PORTER 100 BOX 20 SSL (-),15325
2024,50032739,Italy,WEST RED KS BOX 20 (-),160505
2024,60199049,Germany,PALL MALL AUTTOBBL KS BOX 34 (-),1836
2024,60058035,Switzerland,PEPE EASY GREEN KS BOX 20 (-),598
2024,60193697,Russia,TU-134 KS RCB 20 (-),6130
2024,60188573,France,THE KING BLACK 100 BOX 20 (-),10
2024,60196345,Canada,CAMEL NORTH ACTIVATE KS BOX 20 (-),4
2024,50073863,Turkish Cyprus,DAVIDOFF ONE LTK RCB 20 (-),10495
2024,60095721,Armenia,GARNI PREMIUM GOLD 100 OCT 20 XSL (-),14966
2024,50000581,Andorra,HABANOS KS SOF 20 (-),315
2024,50046831,Spain Mainland,STERLING KS BOX 20 (-),4541
2024,60206056,Germany,WEST SILVER KS BOX 50 (-),5
2024,60258588,Germany,TAWA SILVER KS BOX 35 (-),54224
2024,60242729,Peru,MARLBORO ARCTIC FUSION MNT 100 BOX 10 (-),174
2024,60210385,Germany,CAMEL BLUE KS BOX 53 (-),44573
2024,60214472,Israel,PALL MALL BACD KS RCB 20 SLI (-),6283
2024,60279249,Russia,RICHARD RED KS RCB 20 SLI (-),176
2024,60212175,Kyrgyzstan,WINSTON COMPACT SUMMER MIX KS DSP 20 SLI (-),3
2024,60210002,Germany,GAULOISES BLONDES RED KS BOX 31 (-),1
2024,60271631,Colombia,PALL MALL GREEN MNT KS BOX 10 (-),2
2024,60135629,Germany,JOHN PLAYER SPECIAL BLUESTRE KS BOX 27 (-),1
2024,60240611,Germany,MARLBORO GOLD (3.5) KS 7XL 58 (-),5
2024,50017667,Russia,DALNOBOYSCHIK NF RS FLP 20 (MORSHANSK TF),1
2024,60246775,Taiwan,BOHEM GREEN SAWA BALL 4 MNT KS BOX 20 (-),23488
2024,60077024,Caribbean Other,PUEBLO (BROWN) KS BOX 20 (-),218
2024,50068425,Czech Republic,LD RED KS RCB 20 (-),6240
2024,60186053,Australia,CHOICE CHSIBLGO KS BOX 20 (-),3552
2024,60271420,Spain Mainland,YESMOKE RED KS BOX 20 (-),1607
2024,60240619,Romania,ROTHMANS INTLBLUE LTK RCB 20 SSL (-),54980
2024,60061838,Australia,HORIZON MENTHOL BLUE MNT KS BOX 30 (-),2081
2024,60210457,Russia,CAVALLO JADE 100 BOX 20 SSL (-),3852
2024,60199100,Armenia,DAVIDOFF SILVER KS RCB 20 (-),6746
2024,60196884,Reunion,LUCKIES RED KS BOX 25 (-),2667
2024,60205513,Macau,MARLBORO SUMMER SPLASH 5 MNT KS BOS 20 (-),2946
2024,60205564,New Zealand,CHESTERFIELD RED KS BOX 25 (-),11056
2024,60127171,Germany,SMART RED KS BOX 24 (-),59535
2024,50049839,Vietnam,FASOL KS BOX 20 (-),380897
2024,60237350,Canary Islands,L&B ORIGINAL SILVER KS BOX 20 (-),25121
2024,60128418,Turkey,WINNER ROSSO KS RCB 20 (-),61
2024,60195789,India,BRISTOL RED RS OCT 10 (-),571111
2024,60047193,Panama,VICEROY CLASSIC MNT KS BOX 20 (-),9995
2024,60207404,Czech Republic,AUSTIN RED 100 BOX 20 (-),18758
2024,60206065,Sweden,WINSTON GREEN KS RCB 20 (-),26179
2024,50071673,Angola,SL KS BOX 20 (-),4425
2024,60238717,Finland,MARLBORO (GOLD 3.0) KS SOF 20 (-),47701
2024,60193495,Kazakhstan,KENT PURPLE KS RCB 20 SLI (-),107
2024,50071857,India,WILLS CLASSRTA MNT KS BEV 20 (-),29746
2024,60257522,Germany,GIANTS BLUE KS BOX 29 (-),40192
2024,50066245,Gambia,BUSINESS ROYALS (RED) KS BOX 20 (-),29877
2024,60271717,Singapore,CAMEL EXTRA MENTHOL LONGS MNT 100 BOX 20 (-),9567
2024,60129217,Japan,WINSTON INAZMA MENTHOL 1 MNT 100 RCB 20 (-),208
2024,60045100,Montenegro,SOBRANIE GOLD KS OCT 20 (-),15887
2024,60194663,Switzerland,LUCKY STRIKE SLOW-CURED AMBER KS RCB 20 (-),31488
2024,60075492,Iraq,KENT CONVERTIBLES (SILVER) KS RCB 20 (-),73350
2024,60188806,Reunion,GAULOISES BRUNES NF RS SOF 20 (-),1816
2024,60199280,Poland,DAVIDOFF EVOLVED BLUE KS RCB 20 (-),163582
2024,60211940,Uzbekistan,SOBRANIE BLACK KS RCB 20 (-),32734
2024,60057513,Ukraine,CHESTERFIELD BLUE KS RCB 20 (-),229997
2024,60055097,Germany,PETER STUYVESANT ORIGINAL KS BOX 20 (-),215408
2024,60049866,Bulgaria,WINSTON BLUE 100 RCB 20 (-),193469
2024,60131481,France,LUCKY STRIKE GOLD KS BOX 20 (-),20699
2024,60188261,Canada,LD ACTIVATE KS OCT 25 (-),13
2024,60271636,Colombia,ROTHMANS BLANCO KS BOX 20 (-),73884
2024,60213904,North Macedonia,BOHEM GRIP NO.3 KS OCT 20 SLI (-),1394
2024,60205457,Caribbean Other,EMPIRE RED KS BOX 10 (-),4358
2024,60237173,Czech Republic,CHESTERFIELD RED (CROWN 3.0) KS BOB 22 (-),47355
2024,60258979,Czech Republic,MARK ADAMS NO. 1 CLASSIC KS BOX 20 (-),2
2024,60121791,Iraq,MARLBORO (RED FWD) KS BOS 20 (-),9108
2024,50050114,Russia,CLASSIC ULTIMA 100 OCT 20 SSL (IMT/ARMENIA),97027
2024,60122026,Australia,LONGBEACH FINE SILVER FRM KS BOX 40 (-),38926
2024,60194878,Australia,WINFIELD OPTIMUM CRUSH GOLD KS BOX 40 (-),4
2024,60136449,Germany,PRINCE RICH KS BOX 21 (-),235
2024,60056794,Dem. Rep. of Congo,CAMEL LIGHTS KS BOX 20 (-),77
2024,60273365,Russia,DUNHILL SWISBLEND AROMARED KS RCB 20 SLI (-),76191
2024,60205271,Germany,L&M RED LABEL (5.0 CFB) KS BOG 34 (-),25
2024,60077649,Australia,ROTHMANS RED KS BOX 25 (-),126
2024,50008737,Spain Mainland,SILK CUT PURPLE 100 BOX 20 (-),1611
2024,50008363,Spain Mainland,JOHN PLAYER SPECIAL KS BOX 20 (-),28665
2024,60197198,Russia,P&S DUO RED KS RCB 20 SLI (-),1338
2024,60188805,Reunion,MARYLAND ROUGE KS BOX 25 (-),10331
2024,60197080,Armenia,CENTER BLUE KS DSP 20 SLI (-),46
2024,60071439,Macau,NEXT BLUE LABEL KS RCB 20 (-),2795
2024,50034156,South Africa,YES KS BOX 20 (-),128
2024,50001365,Cape Verde,PORTO GRANDE KS SOF 20 (-),20725
2024,60242006,Australia,WINFIELD SUPREME GOLD KS BOX 30 (-),8178
2024,60170034,Eswatini,VOYAGER (BLUE) KS BOX 20 (-),79
2024,60169996,Eswatini,CAMEL DOUBLE MINT&PURPLE KS CUR 20 (-),120
2024,60230630,Bangladesh,LUCKY STRIKE ORIGINAL KS BOX 20 (-),1350992
2024,60065038,Czech Republic,PALL MALL ADDITIVE FREE (BLUE) KS OCT 20 (-),12443
2024,60072810,Saudi Arabia,PARLIAMENT AQUA BLUE KS RCS 20 (-),360962
2024,60206308,Indonesia,SKY MILD KS BOX 16 (-),78
2024,60136086,Hungary,HUNGARIA NO.1 KS RCB 20 (-),704
2024,60242555,Malaysia,LUCKIES RED KS OCS 20 (-),16935
2024,60212078,Russia,PHILIP MORRIS COMPREYA MNT KS DSP 20 SLI (-),3207822
2024,50037952,Luxembourg,PALL MALL KS OCT 20 (-),26816
2024,60213252,Taiwan,MINE GOLD LTK BOX 20 (-),7811
2024,60124816,India,DUKE DELUXE RS BOX 10 (-),254697
2024,60136849,Corsica,VOGUE L'ESSENTIELLE BLEUE 100 BOX 20 SSL (-),2057
2024,60205982,Russia,MT PINK 100 OCT 20 SSL (-),231
2024,60207640,Portugal,CHESTERFIELD BLUE (4.0) KS BOX 20 (-),70883
2024,60256332,Russia,URBAN RAINBOW KS RCB 20 (-),223
2024,60040923,Indonesia,DJI SAM SOE SUPER PREMIUM NF LS SHO 12 (-),7020904
2024,60235291,Malaysia,MARLBORO RED 3.5 KS BOS 20 (-),125229
2024,60196315,Indonesia,GLORY KRETEK KS BOX 16 (-),439324
2024,60209341,Indonesia,SAMPOERNA HIJAU (SKT) NF LS BOX 12 (-),4090286
2024,60061396,Singapore,EASY GOLD KS BOX 20 (-),1121
2024,60166219,Japan,MEVIUS GOLD IMPACT 6 100 DSP 20 SSL (-),48
2024,60169493,Croatia,DUNHILL FINE CUT BLONDE LTK OCT 20 SLI (-),15767
2024,60234881,Mexico,MARLBORO CRAFTED(RED) KS BOX 20 (-),104486
2024,60165381,Russia,DONSKOY TABAK DARK KS RCB 20 (-),1465
2024,60235378,Indonesia,TWIZZ ROYAL CRUSH MNT LTK DSP 16 SLI (-),995411
2024,60165937,India,TOTAL FUSION RS BOX 10 (-),22697
2024,60214280,Albania,WINSTON XSTYLE LONG BLUE 100 RCB 20 XSL (-),1750
2024,50076892,Bolivia,L&M RED LABEL KS SOF 20 (-),73512
2024,60062656,Saudi Arabia,WINSTON SILVER KS RCB 20 (-),1212700
2024,50011948,Gambia,PICCADILLY KS BOX 20 (-),178517
2024,60075666,Israel,PALL MALL STREAM (BLUE) KS OCT 20 (-),34136
2024,60242392,Mexico,MARLBORO SOL SHUFFLE MNT 100 BOX 20 (-),16878
2024,60208371,Jordan,DAVIDOFF EVOLVE RED KS RCB 20 (-),3503
2024,60211667,Russia,APSNY BLAST 100 BOX 20 SSL (-),776
2024,60236028,Hong Kong,MOMENTO BLAST PLUS MNT KS BOX 20 (-),8
2024,60209018,Armenia,AKHTAMAR CLASSIC 100 OPK 20 XSL (-),384
2024,60077057,Caribbean Other,MAYA SANS ADDITIFS KS BOX 20 (-),220
2024,60207667,Russia,CHAPMAN BLUE 100 DSP 20 SSL (-),418
2024,60063900,Australia,JOHN PLAYER SPECIAL RED KS BOX 26 (-),2
