IATA,CLUSTER_IATA,SIMILARITY_SCORE,RANK
AHJ,TU_037-01,0.999457511298,4
AHO,CHC,0.999480467853,1
AHO,SFL,0.997898434305,2
AHO,UBN,0.997667712388,3
AHO,IXM,0.997259663399,4
AHU,MLE,0.999760647780,1
AHU,MLX,0.999690311849,2
AHU,BDL,0.999171181349,3
AHU,LCY,0.999141224090,4
AJA,RES,0.998352737019,1
AJA,FEZ,0.997985228509,2
AJA,DGO,0.996372069830,3
AJA,VSA,0.995951943668,4
AJF,WUZ,0.998900239366,1
AJF,VNO,0.998720399842,2
AJF,VOG,0.997979309285,3
AJF,GAY,0.996680653153,4
AJI,PVG,0.994559775000,1
AJI,ITM,0.984601867907,2
AJI,DLC,0.977120266221,3
AJI,RFP,0.966554924242,4
AJU,SUX,0.999775991166,1
AJU,JDO,0.998907533655,2
AJU,MAO,0.996395430660,3
AJU,LAO,0.994880288858,4
AKA,TU_047-02,0.999915025252,1
AKA,TU_036-02,0.999878390386,2
AKA,IQM,0.999695075758,3
AKA,TU_048-12,0.999677682535,4
AKJ,HAD,0.994407067570,1
AKJ,ZCO,0.989399818543,2
AKJ,GYS,0.988314523339,3
AKJ,IAH,0.986188957695,4
AKL,MXP,0.998751228506,1
AKL,KJA,0.998438905109,2
AKL,TU_030-03,0.996389978367,3
AKL,SNA,0.996305239264,4
AKU,DAD,0.991197226851,1
AKU,SUB,0.975536296542,2
AKU,XFN,0.968625040092,3
AKU,BTH,0.956485114507,4
AKX,ELS,0.997739674659,1
AKX,AOJ,0.997478130205,2
AKX,JNB,0.995882357601,3
AKX,KYD,0.995809992626,4
ALA,KHV,0.998639543130,1
ALA,TZX,0.998412945192,2
ALA,WJU,0.995747349104,3
ALA,LST,0.995218555583,4
ALB,BIQ,0.999817968424,1
ALB,KEJ,0.999467868507,2
ALB,PNS,0.998358832753,3
ALB,AAQ,0.997220000966,4
ALC,TFS,0.998014379762,1
ALC,SHJ,0.996625991623,2
ALC,LYR,0.992616912452,3
ALC,RPR,0.991093160651,4
ALF,BDU,0.999869867467,1
ALF,VOZ,0.999781254882,2
ALF,AOE,0.999780085044,3
ALF,PAV,0.999587991210,4
ALG,VGA,0.999179711836,1
ALG,REU,0.999179190656,2
ALG,COR,0.998799137261,3
ALG,BDS,0.997986793462,4
ALW,YNJ,0.999245843341,1
ALW,TPS,0.994424131187,2
ALW,TRU,0.983136555281,3
ALW,KTA,0.982505577988,4
ALY,OOL,0.996212751517,1
ALY,HGU,0.993721958094,2
ALY,BRS,0.993300727363,3
ALY,BNI,0.993125726971,4
AMA,LRH,0.999931645906,1
AMA,KSD,0.999470724655,2
AMA,EVE,0.999393902282,3
AMA,INN,0.999264047003,4
AMD,OAK,0.998827455792,1
AMD,YXC,0.997534673664,2
AMD,TAK,0.996022452054,3
AMD,NYU,0.987951136159,4
AMM,AFA,0.999376711381,1
AMM,BJZ,0.998450575018,2
AMM,REN,0.997770274032,3
AMM,MYR,0.997457544317,4
AMQ,LRT,0.999075132094,1
AMQ,KCA,0.998359685303,2
AMQ,JXA,0.996631562253,3
AMQ,YNZ,0.993880996503,4
AMS,ZAL,0.999716365213,1
AMS,AGP,0.999181227687,2
AMS,FLG,0.998645377211,3
