2025-02-28 08:34:21,848 - __main__ - INFO - Starting 2023-based portfolio scoring...
2025-02-28 08:34:21,855 - __main__ - INFO - Loaded reference scores for 501 locations
2025-02-28 08:34:21,855 - __main__ - INFO - Loading data files...
2025-02-28 08:34:22,794 - __main__ - INFO - Loaded df_vols: 32937 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mc_per_product: 10923 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_pmi: 1662 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_comp: 6057 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded pax_data: 82265 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mrk_nat_map: 231 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded iata_location: 1011 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded similarity_file: 8536 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded country_figures: 1332 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_volumes: 16841 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_products: 119733 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded selma_df_map: 114923 rows
2025-02-28 08:34:31,379 - __main__ - WARNING - Error calculating Category B score for Sardar Vallabh Bhai Patel: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,381 - __main__ - WARNING - Error calculating Category B score for Nanjing Lukou: Found input variables with inconsistent numbers of samples: [4, 29]
2025-02-28 08:34:31,383 - __main__ - WARNING - Error calculating Category B score for Fukushima: Found input variables with inconsistent numbers of samples: [1, 2]
2025-02-28 08:34:31,385 - __main__ - WARNING - Error calculating Category B score for Oranjestad: Found input variables with inconsistent numbers of samples: [5, 21]
2025-02-28 08:34:31,387 - __main__ - WARNING - Error calculating Category B score for Southampton: Found input variables with inconsistent numbers of samples: [2, 13]
2025-02-28 08:34:31,393 - __main__ - WARNING - Error calculating Category B score for Taiyuan Wusu: Found input variables with inconsistent numbers of samples: [3, 29]
2025-02-28 08:34:31,395 - __main__ - WARNING - Error calculating Category B score for Palermo: Found input variables with inconsistent numbers of samples: [2, 8]
2025-02-28 08:34:31,398 - __main__ - WARNING - Error calculating Category B score for Cochin: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,400 - __main__ - WARNING - Error calculating Category B score for Malaga: Found input variables with inconsistent numbers of samples: [2, 19]
2025-02-28 08:34:31,402 - __main__ - WARNING - Error calculating Category B score for Graz: Found input variables with inconsistent numbers of samples: [2, 1]
2025-02-28 08:34:31,404 - __main__ - WARNING - Error calculating Category B score for Bilbao: Found input variables with inconsistent numbers of samples: [2, 11]
2025-02-28 08:34:31,406 - __main__ - WARNING - Error calculating Category B score for Sofia: Found input variables with inconsistent numbers of samples: [2, 21]
2025-02-28 08:34:31,412 - __main__ - WARNING - Error calculating Category B score for Aarhus: Found input variables with inconsistent numbers of samples: [3, 1]
2025-02-28 08:34:31,414 - __main__ - WARNING - Error calculating Category B score for Faroe Islands: Found input variables with inconsistent numbers of samples: [3, 1]
2025-02-28 08:34:31,416 - __main__ - WARNING - Error calculating Category B score for Kralendijk (Bonaire): Found input variables with inconsistent numbers of samples: [5, 2]
2025-02-28 08:34:31,418 - __main__ - WARNING - Error calculating Category B score for Shanghai Pudong: Found input variables with inconsistent numbers of samples: [4, 27]
2025-02-28 08:34:31,420 - __main__ - WARNING - Error calculating Category B score for Indira Gandhi: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,423 - __main__ - WARNING - Error calculating Category B score for Stockholm Arlanda: Found input variables with inconsistent numbers of samples: [1, 4]
2025-02-28 08:34:31,425 - __main__ - WARNING - Error calculating Category B score for Iwate: Found input variables with inconsistent numbers of samples: [1, 2]
2025-02-28 08:34:31,427 - __main__ - WARNING - Error calculating Category B score for Sochi: Found input variables with inconsistent numbers of samples: [3, 11]
2025-02-28 08:34:31,433 - __main__ - WARNING - Error calculating Category B score for Murcia: Found input variables with inconsistent numbers of samples: [2, 9]
2025-02-28 08:34:31,435 - __main__ - WARNING - Error calculating Category B score for Zurich: Found input variables with inconsistent numbers of samples: [4, 32]
2025-02-28 08:34:31,437 - __main__ - WARNING - Error calculating Category B score for Fuerteventura: Found input variables with inconsistent numbers of samples: [2, 18]
2025-02-28 08:34:31,439 - __main__ - WARNING - Error calculating Category B score for Jeddah: Found input variables with inconsistent numbers of samples: [4, 28]
2025-02-28 08:34:31,441 - __main__ - WARNING - Error calculating Category B score for Zia: Found input variables with inconsistent numbers of samples: [3, 2]
2025-02-28 08:34:31,444 - __main__ - WARNING - Error calculating Category B score for Praia: Found input variables with inconsistent numbers of samples: [5, 13]
2025-02-28 08:34:31,446 - __main__ - WARNING - Error calculating Category B score for Mexico City: Found input variables with inconsistent numbers of samples: [5, 16]
2025-02-28 08:34:31,448 - __main__ - WARNING - Error calculating Category B score for Doha: Found input variables with inconsistent numbers of samples: [6, 7]
2025-02-28 08:34:31,450 - __main__ - WARNING - Error calculating Category B score for Salvador: Found input variables with inconsistent numbers of samples: [4, 8]
2025-02-28 08:34:31,453 - __main__ - WARNING - Error calculating Category B score for Humberside: Found input variables with inconsistent numbers of samples: [2, 10]
2025-02-28 08:34:31,455 - __main__ - WARNING - Error calculating Category B score for Chubu: Found input variables with inconsistent numbers of samples: [4, 25]
2025-02-28 08:34:31,457 - __main__ - WARNING - Error calculating Category B score for Nantes: Found input variables with inconsistent numbers of samples: [3, 12]
2025-02-28 08:34:31,460 - __main__ - WARNING - Error calculating Category B score for Brisbane: Found input variables with inconsistent numbers of samples: [4, 3]
2025-02-28 08:34:31,462 - __main__ - WARNING - Error calculating Category B score for Miyazaki: Found input variables with inconsistent numbers of samples: [1, 2]
2025-02-28 08:34:31,464 - __main__ - WARNING - Error calculating Category B score for Bergen: Found input variables with inconsistent numbers of samples: [4, 1]
2025-02-28 08:34:31,467 - __main__ - WARNING - Error calculating Category B score for Lusaka: Found input variables with inconsistent numbers of samples: [4, 3]
2025-02-28 08:34:31,469 - __main__ - WARNING - Error calculating Category B score for Seoul (downtown): Found input variables with inconsistent numbers of samples: [7, 28]
2025-02-28 08:34:31,472 - __main__ - WARNING - Error calculating Category B score for Colombo: Found input variables with inconsistent numbers of samples: [3, 22]
2025-02-28 08:34:31,474 - __main__ - WARNING - Error calculating Category B score for Samana El Catey: Found input variables with inconsistent numbers of samples: [4, 8]
2025-02-28 08:34:31,476 - __main__ - WARNING - Error calculating Category B score for Everrich Downtown Kinmen: Found input variables with inconsistent numbers of samples: [5, 15]
2025-02-28 08:34:31,478 - __main__ - WARNING - Error calculating Category B score for Nanchang Changbei: Found input variables with inconsistent numbers of samples: [2, 29]
2025-02-28 08:34:31,481 - __main__ - WARNING - Error calculating Category B score for Niamey: Found input variables with inconsistent numbers of samples: [1, 3]
2025-02-28 08:34:31,483 - __main__ - WARNING - Error calculating Category B score for Thessaloniki: Found input variables with inconsistent numbers of samples: [2, 18]
2025-02-28 08:34:31,489 - __main__ - WARNING - Error calculating Category B score for Changsha Huanghua: Found input variables with inconsistent numbers of samples: [4, 29]
2025-02-28 08:34:31,492 - __main__ - WARNING - Error calculating Category B score for Ankara Airport: Found input variables with inconsistent numbers of samples: [5, 36]
2025-02-28 08:34:31,495 - __main__ - WARNING - Error calculating Category B score for Cukurova Airport: Found input variables with inconsistent numbers of samples: [5, 31]
2025-02-28 08:34:31,498 - __main__ - WARNING - Error calculating Category B score for Quito: Found input variables with inconsistent numbers of samples: [5, 9]
2025-02-28 08:34:31,500 - __main__ - WARNING - Error calculating Category B score for Salzburg: Found input variables with inconsistent numbers of samples: [2, 1]
2025-02-28 08:34:31,503 - __main__ - WARNING - Error calculating Category B score for Espargos: Found input variables with inconsistent numbers of samples: [5, 21]
2025-02-28 08:34:31,505 - __main__ - WARNING - Error calculating Category B score for Nis: Found input variables with inconsistent numbers of samples: [2, 11]
2025-02-28 08:34:31,507 - __main__ - WARNING - Error calculating Category B score for Erbil International Airport: Found input variables with inconsistent numbers of samples: [4, 1]
2025-02-28 08:34:31,510 - __main__ - WARNING - Error calculating Category B score for Ciampino Airport: Found input variables with inconsistent numbers of samples: [2, 8]
2025-02-28 08:34:31,512 - __main__ - WARNING - Error calculating Category B score for Cartagena de Indias: Found input variables with inconsistent numbers of samples: [5, 2]
2025-02-28 08:34:31,514 - __main__ - WARNING - Error calculating Category B score for Leeds Bradford: Found input variables with inconsistent numbers of samples: [2, 11]
2025-02-28 08:34:31,516 - __main__ - WARNING - Error calculating Category B score for Gdansk: Found input variables with inconsistent numbers of samples: [2, 11]
2025-02-28 08:34:31,519 - __main__ - WARNING - Error calculating Category B score for Cayenne: Found input variables with inconsistent numbers of samples: [3, 7]
2025-02-28 08:34:31,521 - __main__ - WARNING - Error calculating Category B score for Vigo: Found input variables with inconsistent numbers of samples: [2, 7]
2025-02-28 08:34:31,523 - __main__ - WARNING - Error calculating Category B score for Banja Luka: Found input variables with inconsistent numbers of samples: [3, 11]
2025-02-28 08:34:31,525 - __main__ - WARNING - Error calculating Category B score for Chania: Found input variables with inconsistent numbers of samples: [3, 17]
2025-02-28 08:34:31,527 - __main__ - WARNING - Error calculating Category B score for Bournemouth: Found input variables with inconsistent numbers of samples: [2, 12]
2025-02-28 08:34:31,529 - __main__ - WARNING - Error calculating Category B score for Macau: Found input variables with inconsistent numbers of samples: [4, 16]
