Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Wuxi Shuofang,6.71,1.0,0.0,81.0,0.21,0.13,9.09,4.035
Hanoi,5.4,0.0,8.0,42.0,1.32,0.02,0.11,1.7125000000000001
Zhengzhou Xinzheng,5.65,0.0,16.0,105.0,0.3,0.02,8.74,3.6775
Zurich,6.27,3.0,10.0,143.0,0.96,0.0,0.2,1.8575
Kuwait,6.05,8.0,19.0,163.0,0.52,0.0,,2.19
Guadalajara,6.86,6.0,0.0,104.0,0.29,0.0,,2.3833333333333333
Medina,6.87,5.0,0.0,81.0,0.13,0.03,,2.3433333333333333
Melbourne,6.76,2.0,0.0,74.0,10.0,0.0,1.94,4.675
Xuzhou Guanyin,6.75,2.0,0.0,80.0,0.3,1.46,,2.8366666666666664
Beijing,5.91,1.0,12.0,101.0,0.34,0.0,,2.0833333333333335
Naples,6.04,2.0,6.0,53.0,0.56,0.0,0.6,1.7999999999999998
Skopje,6.8,3.0,0.0,73.0,10.0,0.0,0.04,4.21
Ningbo Lishe,6.2,1.0,7.0,93.0,0.3,0.09,9.6,4.047499999999999
Doha,5.05,1.0,18.0,72.0,10.0,0.01,0.13,3.7975000000000003
Batumi,6.83,2.0,0.0,41.0,10.0,,0.69,5.84
Daegu,6.13,1.0,10.0,119.0,0.26,0.16,,2.183333333333333
Aktio,6.05,1.0,4.0,38.0,0.5,,,3.275
Xian Xianyang,6.49,1.0,3.0,92.0,0.34,0.02,0.49,1.835
Chattrapati Shivaji,5.05,0.0,9.0,37.0,10.0,0.0,,5.016666666666667
Sharm El Sheikh,6.78,4.0,0.0,115.0,0.0,0.01,0.48,1.8175
Bergamo,6.86,3.0,0.0,52.0,0.08,0.0,0.08,1.7550000000000001
Fukuoka,6.51,0.0,3.0,130.0,7.27,0.06,,4.613333333333333
Madrid Barajas,6.83,4.0,0.0,83.0,0.1,0.0,0.05,1.7449999999999999
Munich,6.35,4.0,5.0,64.0,0.0,0.0,0.76,1.7774999999999999
Bodrum Airport,6.75,9.0,0.0,341.0,0.01,0.01,0.12,1.7225
Geneva,6.41,6.0,9.0,157.0,0.01,0.01,,2.143333333333333
Hyderabad,5.18,1.0,9.0,38.0,10.0,0.0,,5.06
Sofia,6.75,1.0,0.0,42.0,0.01,0.0,0.15,1.7275
Suleymania Airport,6.81,1.0,0.0,24.0,10.0,0.01,,5.6066666666666665
Sao Paulo - Guarulhos,6.85,7.0,0.0,126.0,0.82,0.0,0.0,1.9175
Manama,6.74,4.0,0.0,187.0,0.01,0.02,,2.2566666666666664
Chubu,6.58,0.0,2.0,157.0,2.32,0.04,0.13,2.2675
Viracopos,6.85,6.0,0.0,107.0,0.22,0.0,0.28,1.8375
Stuttgart,6.88,3.0,0.0,48.0,0.53,0.0,0.5,1.9775
Amman,6.02,7.0,20.0,170.0,0.08,0.0,,2.033333333333333
Port Louis,5.24,1.0,2.0,7.0,,0.01,1.1,2.1166666666666667
Abu Dhabi,5.75,7.0,24.0,149.0,1.24,0.01,0.21,1.8025
Salalah,6.73,1.0,0.0,53.0,10.0,0.04,,5.59
Sendai,4.89,0.0,4.0,15.0,10.0,0.22,0.06,3.7925000000000004
Shanghai Pudong,5.93,0.0,11.0,99.0,0.34,0.0,6.23,3.125
Tel-Aviv,5.42,1.0,5.0,24.0,0.0,0.0,0.63,1.5125
