Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Konya Airport,6.87,5.0,0.0,81.0,8.059718228480738,0.01,0.16,3.7749295571201844
Paris Charles De Gaulle,6.67,4.0,2.0,69.0,10.0,0.0,0.22,4.2225
Hohhot Baita,6.71,1.0,0.0,82.0,9.999999999999996,0.3,9.33,6.584999999999999
Ngurah Rai,6.76,4.0,0.0,140.0,9.963311883559747,0.02,0.12,4.215827970889936
Manchester,6.49,0.0,2.0,76.0,0.0,0.0,0.49,1.745
Warsaw,6.83,3.0,0.0,62.0,0.0,0.0,0.26,1.7725
Incheon,6.08,0.0,14.0,158.0,9.638618444531948,0.0,0.24,3.989654611132987
Dubai,6.57,11.0,9.0,253.0,8.819849319184673,0.01,0.16,3.8899623297961683
Marrakech,6.43,8.0,12.0,223.0,9.978109237014563,0.01,0.02,4.109527309253641
Tangier,6.6,8.0,6.0,196.0,9.989729518358875,0.01,0.04,4.159932379589718
DAMMAM,6.77,3.0,0.0,94.0,10.0,0.02,0.67,4.365
Izmir Airport,6.82,17.0,0.0,370.0,9.624082882997323,0.0,0.06,4.12602072074933
Chitose,4.94,0.0,7.0,27.0,0.0,0.26,0.0,1.3
Komatsu,4.76,0.0,2.0,7.0,0.0,1.94,5.11,2.9524999999999997
Osaka - Kansai,6.58,0.0,3.0,235.0,5.081883479516199,0.0,1.7,3.3404708698790495
Jeddah,6.45,3.0,5.0,110.0,10.0,0.01,,5.486666666666667
Hannover,6.79,2.0,0.0,53.0,0.0,0.0,,2.263333333333333
Changsha Huanghua,6.52,0.0,2.0,92.0,9.448638294849017,0.04,9.57,6.3946595737122545
Gabon,6.79,2.0,0.0,56.0,0.0,0.03,0.44,1.8150000000000002
Chengdu Tianfu,6.52,0.0,2.0,91.0,7.524976896202798,0.53,,4.858325632067599
Taipei - Taoyuan,5.89,0.0,5.0,43.0,9.970030221692191,0.0,0.25,4.027507555423048
Lagos,6.83,3.0,0.0,60.0,9.999999999999998,0.0,0.18,4.2524999999999995
Samana El Catey,6.85,3.0,0.0,56.0,10.0,,1.39,6.080000000000001
Banjul,6.9,2.0,0.0,28.0,0.0,0.02,,2.3066666666666666
Casablanca,6.47,7.0,10.0,226.0,9.97367446183398,0.0,0.03,4.118418615458495
Athens,6.26,3.0,7.0,90.0,10.0,0.01,0.16,4.1075
Santo Domingo Las Americas,6.8,5.0,0.0,122.0,9.644460176964873,0.0,0.07,4.128615044241219
Istanbul Airport,6.79,10.0,0.0,278.0,0.0,0.0,,2.263333333333333
Mexico City,6.84,8.0,0.0,150.0,9.870943455145348,0.0,,5.570314485048449
Faro Airport,6.74,1.0,0.0,48.0,0.0,0.0,,2.2466666666666666
Zakynthos,5.44,0.0,11.0,60.0,0.0,0.01,0.22,1.4175
Jeju,6.06,0.0,13.0,142.0,9.738573573149019,0.1,0.25,4.037143393287254
Ouarzazate,6.83,6.0,0.0,126.0,10.0,,0.13,5.653333333333332
RIYADH,6.81,4.0,0.0,96.0,9.99964107742663,0.01,0.09,4.227410269356658
Weihai Dashuibo,6.75,2.0,0.0,79.0,9.962916170786007,1.52,,6.077638723595336
Pisa,6.85,2.0,0.0,36.0,0.0,0.0,0.93,1.9449999999999998
Bogota,6.84,6.0,0.0,117.0,9.903834942592173,0.0,0.26,4.250958735648044
Santorini,5.38,2.0,11.0,52.0,0.0,0.01,0.26,1.4124999999999999
Colombo,6.7,1.0,0.0,116.0,9.999999999999996,,,8.349999999999998
Lyon Saint Exupery,6.77,4.0,1.0,67.0,9.999999999999998,0.0,0.38,4.287499999999999
Changzhou Benniu,6.91,6.0,0.0,81.0,,,,6.91
Istanbul Asia Airport,6.8,15.0,0.0,370.0,8.498638952749868,0.0,0.13,3.8571597381874674
Diyarbakir Airport,6.84,11.0,0.0,212.0,8.533975562171118,0.01,,5.127991854057039
Asuncion Silvio Petterossi,6.85,1.0,0.0,18.0,0.0,0.31,2.02,2.295
Valencia,6.5,3.0,3.0,59.0,0.0,0.01,,2.17
Erbil International Airport,5.0,0.0,5.0,20.0,0.0,0.0,0.22,1.305
Alexandoupolis,5.71,1.0,8.0,52.0,0.0,,,2.855
Essaouira,6.84,7.0,0.0,138.0,9.985785323847455,,,8.412892661923728
Oranjestad,6.8,6.0,0.0,152.0,9.154446465949409,0.0,0.16,4.028611616487352
Ibiza,6.46,2.0,3.0,64.0,0.0,0.01,,2.1566666666666667
Hurgada,6.72,2.0,0.0,116.0,0.0,0.01,0.07,1.7
Shenyang Taoxian,6.48,1.0,3.0,91.0,9.887394009788112,0.05,0.0,4.104348502447029
Ho Chi Minh,6.67,0.0,0.0,33.0,0.0,0.01,0.11,1.6975
Reus,6.26,1.0,3.0,41.0,0.0,0.01,0.27,1.6349999999999998
Wenzhou Longwan,6.55,1.0,2.0,86.0,4.700879544883648,0.22,0.55,3.0052198862209125
Tokyo - Narita,6.55,1.0,3.0,141.0,9.513909961100753,0.0,0.04,4.025977490275188
Agadir,6.43,9.0,12.0,215.0,9.983407241514248,0.01,,5.4744690805047505
Gdansk,6.81,2.0,0.0,48.0,0.0,0.0,0.18,1.7474999999999998
Ixtapa Zihuatanejo,6.86,5.0,0.0,86.0,9.848042865069353,0.0,1.27,4.494510716267338
Bournemouth,6.22,0.0,3.0,45.0,0.0,0.01,,2.0766666666666667
Gaziantep Airport,6.85,11.0,0.0,202.0,8.920204851154985,0.0,0.18,3.987551212788746
Prague,6.07,1.0,3.0,28.0,0.0,0.0,,2.0233333333333334
Medellin Jose Maria Cordova,5.08,1.0,10.0,40.0,0.0,0.01,2.68,1.9425
Gran Canaria,6.76,2.0,0.0,69.0,0.0,0.01,0.1,1.7174999999999998
Hong Kong,6.21,1.0,5.0,65.0,9.991764611272654,0.01,,5.403921537090885
Leopold Sedar Senghar,6.72,3.0,1.0,63.0,0.0,0.43,0.53,1.92
Hefei Xinqiao,6.63,1.0,1.0,85.0,6.541016363962926,0.16,6.97,5.0752540909907315
Thessaloniki,5.98,3.0,9.0,73.0,0.0,0.01,0.57,1.6400000000000001
Nuernberg,6.86,3.0,0.0,52.0,0.0,0.0,,2.2866666666666666
Antalya Airport,6.78,12.0,0.0,369.0,9.680017939594787,0.01,,5.49000597986493
Taichung,6.03,0.0,4.0,42.0,9.964350742284717,0.16,0.23,4.096087685571179
Belo Horizonte,6.85,5.0,0.0,92.0,9.998608763341057,0.01,,5.619536254447019
Male,5.33,0.0,8.0,40.0,0.0,0.02,0.03,1.345
Busan - Kimhae,6.02,0.0,14.0,144.0,9.84879886219121,0.05,0.09,4.002199715547802
